ko:K19405	ctlq:L2B8200_00710
ko:K01921	ctlq:L2B8200_00810
ko:K01924	ctlq:L2B8200_00810
ko:K14233	ctlq:L2B8200_00890
ko:K11645	ctlq:L2B8200_00218
ko:K03800	ctlq:L2B8200_00290
ko:K03696	ctlq:L2B8200_00291
ko:K00566	ctlq:L2B8200_00292
ko:K01963	ctlq:L2B8200_00298
ko:K04564	ctlq:L2B8200_00299
ko:K03685	ctlq:L2B8200_00302
ko:K04485	ctlq:L2B8200_00303
ko:K01749	ctlq:L2B8200_00304
ko:K01873	ctlq:L2B8200_00307
ko:K03046	ctlq:L2B8200_00319
ko:K03043	ctlq:L2B8200_00320
ko:K02935	ctlq:L2B8200_00321
ko:K02864	ctlq:L2B8200_00322
ko:K02863	ctlq:L2B8200_00323
ko:K02867	ctlq:L2B8200_00324
ko:K02601	ctlq:L2B8200_00325
ko:K03073	ctlq:L2B8200_00326
ko:K02358	ctlq:L2B8200_00328
ko:K02518	ctlq:L2B8200_00330
ko:K01803	ctlq:L2B8200_00337
ko:K03601	ctlq:L2B8200_00338
ko:K03602	ctlq:L2B8200_00339
ko:K01662	ctlq:L2B8200_00341
ko:K01241	ctlq:L2B8200_00798
ko:K02356	ctlq:L2B8200_00799
ko:K01929	ctlq:L2B8200_00804
ko:K01000	ctlq:L2B8200_00805
ko:K01925	ctlq:L2B8200_00806
ko:K03588	ctlq:L2B8200_00808
ko:K02563	ctlq:L2B8200_00809
ko:K06960	ctlq:L2B8200_00811
ko:K00791	ctlq:L2B8200_00814
ko:K09710	ctlq:L2B8200_00817
ko:K09458	ctlq:L2B8200_00818
ko:K03559	ctlq:L2B8200_00625
ko:K00873	ctlq:L2B8200_00342
ko:K03701	ctlq:L2B8200_00343
ko:K02343	ctlq:L2B8200_00344
ko:K09747	ctlq:L2B8200_00345
ko:K11381	ctlq:L2B8200_00351
ko:K03686	ctlq:L2B8200_00352
ko:K02970	ctlq:L2B8200_00353
ko:K01338	ctlq:L2B8200_00355
ko:K03733	ctlq:L2B8200_00358
ko:K06287	ctlq:L2B8200_00360
ko:K03075	ctlq:L2B8200_00363
ko:K01462	ctlq:L2B8200_00364
ko:K02528	ctlq:L2B8200_00365
ko:K06888	ctlq:L2B8200_00367
ko:K03523	ctlq:L2B8200_00371
ko:K01714	ctlq:L2B8200_00374
ko:K00928	ctlq:L2B8200_00375
ko:K00133	ctlq:L2B8200_00376
ko:K00215	ctlq:L2B8200_00377
ko:K00800	ctlq:L2B8200_00379
ko:K00891	ctlq:L2B8200_00380
ko:K01736	ctlq:L2B8200_00381
ko:K01735	ctlq:L2B8200_00382
ko:K13832	ctlq:L2B8200_00383
ko:K03758	ctlq:L2B8200_00387
ko:K00024	ctlq:L2B8200_00389
ko:K01810	ctlq:L2B8200_00391
ko:K03665	ctlq:L2B8200_00392
ko:K06167	ctlq:L2B8200_00393
ko:K09996	ctlq:L2B8200_00394
ko:K06966	ctlq:L2B8200_00401
ko:K09131	ctlq:L2B8200_00402
ko:K10206	ctlq:L2B8200_00404
ko:K01881	ctlq:L2B8200_00407
ko:K03705	ctlq:L2B8200_00408
ko:K03687	ctlq:L2B8200_00409
ko:K04043	ctlq:L2B8200_00410
ko:K12573	ctlq:L2B8200_00411
ko:K07164	ctlq:L2B8200_00412
ko:K06041	ctlq:L2B8200_00413
ko:K00658	ctlq:L2B8200_00414
ko:K00912	ctlq:L2B8200_00416
ko:K03437	ctlq:L2B8200_00417
ko:K06969	ctlq:L2B8200_00418
ko:K00793	ctlq:L2B8200_00419
ko:K07738	ctlq:L2B8200_00420
