ko:K19272	kpc:KPNIH10_26765
ko:K16238	kpc:KPNIH10_05240
ko:K01980	kpc:KPNIH10_01025
ko:K21908	kpc:KPNIH10_22975
ko:K00984	kpc:KPNIH10_26425
ko:K18590	kpc:KPNIH10_26700
ko:K19611	kpc:KPNIH10_10620
ko:K03293	kpc:KPNIH10_12010
ko:K01582	kpc:KPNIH10_04645
ko:K01990	kpc:KPNIH10_08275
ko:K01990	kpc:KPNIH10_25615
ko:K00984	kpc:KPNIH10_26705
ko:K19611	kpc:KPNIH10_01525
ko:K19789	kpc:KPNIH10_17975
ko:K19745	kpc:KPNIH10_16990
ko:K00108	kpc:KPNIH10_07075
ko:K00146	kpc:KPNIH10_06785
ko:K08348	kpc:KPNIH10_14025
ko:K08348	kpc:KPNIH10_14030
ko:K00344	kpc:KPNIH10_01475
ko:K03446	kpc:KPNIH10_13540
ko:K04103	kpc:KPNIH10_18585
ko:K00001	kpc:KPNIH10_00305
ko:K12979	kpc:KPNIH10_20275
ko:K21430	kpc:KPNIH10_08540
ko:K01007	kpc:KPNIH10_15530
ko:K08156	kpc:KPNIH10_13995
ko:K19586	kpc:KPNIH10_20130
ko:K07713	kpc:KPNIH10_01210
ko:K05714	kpc:KPNIH10_15315
ko:K00433	kpc:KPNIH10_17170
ko:K03293	kpc:KPNIH10_00760
ko:K02483	kpc:KPNIH10_13725
ko:K19587	kpc:KPNIH10_20140
ko:K04753	kpc:KPNIH10_22725
ko:K00984	kpc:KPNIH10_10970
ko:K19504	kpc:KPNIH10_03365
ko:K00130	kpc:KPNIH10_22050
ko:K00042	kpc:KPNIH10_23265
ko:K01185	kpc:KPNIH10_11320
ko:K21645	kpc:KPNIH10_16180
ko:K20861	kpc:KPNIH10_08575
ko:K20866	kpc:KPNIH10_00165
ko:K20881	kpc:KPNIH10_24500
ko:K20862	kpc:KPNIH10_00840
ko:K09017	kpc:KPNIH10_09585
ko:K01151	kpc:KPNIH10_17870
ko:K02769	kpc:KPNIH10_17875
ko:K02770	kpc:KPNIH10_17875
ko:K00882	kpc:KPNIH10_17880
ko:K02768	kpc:KPNIH10_17885
ko:K11183	kpc:KPNIH10_17885
ko:K03291	kpc:KPNIH10_17890
ko:K09968	kpc:KPNIH10_17895
ko:K02356	kpc:KPNIH10_17905
ko:K01686	kpc:KPNIH10_17910
ko:K13694	kpc:KPNIH10_17930
ko:K13893	kpc:KPNIH10_17940
ko:K13894	kpc:KPNIH10_17945
ko:K13895	kpc:KPNIH10_17950
ko:K13896	kpc:KPNIH10_17955
ko:K07552	kpc:KPNIH10_17965
ko:K06183	kpc:KPNIH10_17970
ko:K02897	kpc:KPNIH10_17980
ko:K06899	kpc:KPNIH10_18005
ko:K09904	kpc:KPNIH10_18010
ko:K07014	kpc:KPNIH10_18015
ko:K08276	kpc:KPNIH10_18030
ko:K01258	kpc:KPNIH10_10010
ko:K18850	kpc:KPNIH10_10015
ko:K07637	kpc:KPNIH10_10020
ko:K07660	kpc:KPNIH10_10025
ko:K01756	kpc:KPNIH10_10040
ko:K07153	kpc:KPNIH10_10045
ko:K00566	kpc:KPNIH10_10050
ko:K12152	kpc:KPNIH10_10055
ko:K06181	kpc:KPNIH10_10060
ko:K00031	kpc:KPNIH10_10065
ko:K09984	kpc:KPNIH10_10085
ko:K07217	kpc:KPNIH10_10110
ko:K00425	kpc:KPNIH10_10115
ko:K00426	kpc:KPNIH10_10120
ko:K03182	kpc:KPNIH10_10155
ko:K01424	kpc:KPNIH10_10175
ko:K12974	kpc:KPNIH10_10180
ko:K11250	kpc:KPNIH10_10185
ko:K13069	kpc:KPNIH10_10205
ko:K09712	kpc:KPNIH10_10210
ko:K03449	kpc:KPNIH10_10230
ko:K19055	kpc:KPNIH10_10245
ko:K03503	kpc:KPNIH10_10265
ko:K03502	kpc:KPNIH10_10270
ko:K00432	kpc:KPNIH10_10300
ko:K09786	kpc:KPNIH10_10310
ko:K07180	kpc:KPNIH10_10315
ko:K01792	kpc:KPNIH10_10330
ko:K00134	kpc:KPNIH10_10335
ko:K07305	kpc:KPNIH10_10340
ko:K09916	kpc:KPNIH10_10345
ko:K01183	kpc:KPNIH10_10355
ko:K08369	kpc:KPNIH10_10365
ko:K18471	kpc:KPNIH10_10385
ko:K08369	kpc:KPNIH10_10395
ko:K08281	kpc:KPNIH10_10400
ko:K01424	kpc:KPNIH10_10405
ko:K04773	kpc:KPNIH10_10410
ko:K07483	kpc:KPNIH10_10420
ko:K09474	kpc:KPNIH10_10430
ko:K01008	kpc:KPNIH10_10435
ko:K03169	kpc:KPNIH10_10440
ko:K00262	kpc:KPNIH10_10450
ko:K08320	kpc:KPNIH10_10455
ko:K05779	kpc:KPNIH10_10470
ko:K05778	kpc:KPNIH10_10475
ko:K05777	kpc:KPNIH10_10480
ko:K01142	kpc:KPNIH10_10500
ko:K00840	kpc:KPNIH10_10505
ko:K00673	kpc:KPNIH10_10510
ko:K06447	kpc:KPNIH10_10515
ko:K01484	kpc:KPNIH10_10520
ko:K05526	kpc:KPNIH10_10525
ko:K05984	kpc:KPNIH10_10535
ko:K01916	kpc:KPNIH10_10540
ko:K04064	kpc:KPNIH10_10545
ko:K02760	kpc:KPNIH10_10550
ko:K02761	kpc:KPNIH10_10555
ko:K02759	kpc:KPNIH10_10560
ko:K03490	kpc:KPNIH10_10565
ko:K01222	kpc:KPNIH10_10570
ko:K03478	kpc:KPNIH10_10575
ko:K03781	kpc:KPNIH10_10580
ko:K15722	kpc:KPNIH10_10585
ko:K06956	kpc:KPNIH10_10590
ko:K07038	kpc:KPNIH10_10595
ko:K00065	kpc:KPNIH10_10600
ko:K10806	kpc:KPNIH10_10615
ko:K06190	kpc:KPNIH10_10625
ko:K06940	kpc:KPNIH10_10635
ko:K07275	kpc:KPNIH10_10640
ko:K16090	kpc:KPNIH10_10650
ko:K13021	kpc:KPNIH10_10680
ko:K07246	kpc:KPNIH10_10685
ko:K01695	kpc:KPNIH10_10695
ko:K01696	kpc:KPNIH10_10700
ko:K13498	kpc:KPNIH10_10705
ko:K13497	kpc:KPNIH10_10710
ko:K01657	kpc:KPNIH10_10715
ko:K07053	kpc:KPNIH10_10720
ko:K03566	kpc:KPNIH10_10735
ko:K06178	kpc:KPNIH10_10740
ko:K19221	kpc:KPNIH10_10745
ko:K04774	kpc:KPNIH10_10760
ko:K03168	kpc:KPNIH10_10770
ko:K13634	kpc:KPNIH10_10780
ko:K01681	kpc:KPNIH10_10790
ko:K01497	kpc:KPNIH10_10795
ko:K08992	kpc:KPNIH10_10805
ko:K01591	kpc:KPNIH10_10815
ko:K03113	kpc:KPNIH10_10820
ko:K04062	kpc:KPNIH10_10825
ko:K01147	kpc:KPNIH10_10840
ko:K00208	kpc:KPNIH10_10850
ko:K09975	kpc:KPNIH10_10855
ko:K03457	kpc:KPNIH10_10860
ko:K19230	kpc:KPNIH10_10865
ko:K19229	kpc:KPNIH10_10870
ko:K19228	kpc:KPNIH10_10875
ko:K07481	kpc:KPNIH10_10900
ko:K18320	kpc:KPNIH10_10960
ko:K18975	kpc:KPNIH10_10975
ko:K18974	kpc:KPNIH10_10980
ko:K18320	kpc:KPNIH10_11000
ko:K03503	kpc:KPNIH10_11020
ko:K03502	kpc:KPNIH10_11025
ko:K19227	kpc:KPNIH10_11035
ko:K19226	kpc:KPNIH10_11040
ko:K08170	kpc:KPNIH10_11065
ko:K03974	kpc:KPNIH10_11070
ko:K03969	kpc:KPNIH10_11075
ko:K03970	kpc:KPNIH10_11080
ko:K03971	kpc:KPNIH10_11090
ko:K06918	kpc:KPNIH10_11095
ko:K08990	kpc:KPNIH10_11100
ko:K13636	kpc:KPNIH10_11105
ko:K01222	kpc:KPNIH10_11110
ko:K03721	kpc:KPNIH10_11115
ko:K07120	kpc:KPNIH10_11120
ko:K11065	kpc:KPNIH10_11125
ko:K14054	kpc:KPNIH10_11135
ko:K15580	kpc:KPNIH10_11140
ko:K06889	kpc:KPNIH10_11160
ko:K04757	kpc:KPNIH10_11175
ko:K06885	kpc:KPNIH10_11190
ko:K05520	kpc:KPNIH10_11195
ko:K07483	kpc:KPNIH10_11410
ko:K01697	kpc:KPNIH10_22595
ko:K01758	kpc:KPNIH10_22600
ko:K01460	kpc:KPNIH10_22635
ko:K11209	kpc:KPNIH10_22645
ko:K01061	kpc:KPNIH10_22655
ko:K03559	kpc:KPNIH10_22675
ko:K03561	kpc:KPNIH10_22680
ko:K01760	kpc:KPNIH10_22690
ko:K08325	kpc:KPNIH10_22705
ko:K06221	kpc:KPNIH10_22710
ko:K00655	kpc:KPNIH10_22730
ko:K02621	kpc:KPNIH10_22735
ko:K13652	kpc:KPNIH10_22740
ko:K07666	kpc:KPNIH10_22750
ko:K07645	kpc:KPNIH10_22755
ko:K03923	kpc:KPNIH10_22760
ko:K02622	kpc:KPNIH10_22770
ko:K07000	kpc:KPNIH10_22775
ko:K03651	kpc:KPNIH10_22780
ko:K09920	kpc:KPNIH10_22785
ko:K01515	kpc:KPNIH10_22790
ko:K12340	kpc:KPNIH10_22795
ko:K09251	kpc:KPNIH10_23075
ko:K11530	kpc:KPNIH10_23080
ko:K08321	kpc:KPNIH10_23085
ko:K10555	kpc:KPNIH10_23090
ko:K10557	kpc:KPNIH10_23095
ko:K10556	kpc:KPNIH10_23100
ko:K10558	kpc:KPNIH10_23105
ko:K11531	kpc:KPNIH10_23110
ko:K11216	kpc:KPNIH10_23115
ko:K00219	kpc:KPNIH10_23120
ko:K11391	kpc:KPNIH10_23125
ko:K07043	kpc:KPNIH10_23140
ko:K07862	kpc:KPNIH10_23155
ko:K01685	kpc:KPNIH10_23165
ko:K01812	kpc:KPNIH10_23170
ko:K08191	kpc:KPNIH10_23180
ko:K15977	kpc:KPNIH10_23220
ko:K07393	kpc:KPNIH10_23225
ko:K06911	kpc:KPNIH10_23240
ko:K00865	kpc:KPNIH10_23260
ko:K01630	kpc:KPNIH10_23270
ko:K12299	kpc:KPNIH10_23275
ko:K01708	kpc:KPNIH10_23285
ko:K08302	kpc:KPNIH10_23300
ko:K16370	kpc:KPNIH10_23305
ko:K02769	kpc:KPNIH10_23310
ko:K02770	kpc:KPNIH10_23310
ko:K11189	kpc:KPNIH10_23315
ko:K16371	kpc:KPNIH10_23320
ko:K02773	kpc:KPNIH10_23325
ko:K02774	kpc:KPNIH10_23330
ko:K02775	kpc:KPNIH10_23335
ko:K00094	kpc:KPNIH10_23340
ko:K02436	kpc:KPNIH10_23345
ko:K06041	kpc:KPNIH10_23620
ko:K03270	kpc:KPNIH10_23625
