ko:K11707	cpsi:B599_0476
ko:K01921	cpsi:B599_0915
ko:K01924	cpsi:B599_0915
ko:K07315	cpsi:B599_1031
ko:K00241	cpsi:B599_1037
ko:K03386	cpsi:B599_1047
ko:K02428	cpsi:B599_1051
ko:K01934	cpsi:B599_1063
ko:K03702	cpsi:B599_1029
ko:K01689	cpsi:B599_1030
ko:K00240	cpsi:B599_1035
ko:K00239	cpsi:B599_1036
ko:K03424	cpsi:B599_1038
ko:K03562	cpsi:B599_1040
ko:K03641	cpsi:B599_1043
ko:K03640	cpsi:B599_1044
ko:K03648	cpsi:B599_1053
ko:K03657	cpsi:B599_1054
ko:K03092	cpsi:B599_1055
ko:K03168	cpsi:B599_1057
ko:K06137	cpsi:B599_1065
ko:K13941	cpsi:B599_1068
ko:K01633	cpsi:B599_1069
ko:K03086	cpsi:B599_1070
ko:K02968	cpsi:B599_1072
ko:K03581	cpsi:B599_1074
ko:K13789	cpsi:B599_1078
ko:K03583	cpsi:B599_0011
ko:K08719	cpsi:B599_0977
ko:K06213	cpsi:B599_0536
ko:K02071	cpsi:B599_0541
ko:K02072	cpsi:B599_0542
ko:K02073	cpsi:B599_0543
ko:K02470	cpsi:B599_0546
ko:K02469	cpsi:B599_0547
ko:K00943	cpsi:B599_0548
ko:K02343	cpsi:B599_0549
ko:K06999	cpsi:B599_0550
ko:K07566	cpsi:B599_0552
ko:K06966	cpsi:B599_0556
ko:K03179	cpsi:B599_0557
ko:K03186	cpsi:B599_0558
ko:K03787	cpsi:B599_0562
ko:K07039	cpsi:B599_0564
ko:K14441	cpsi:B599_0570
ko:K02913	cpsi:B599_0571
ko:K09808	cpsi:B599_0572
ko:K02871	cpsi:B599_0576
ko:K02996	cpsi:B599_0577
ko:K01057	cpsi:B599_0584
ko:K00036	cpsi:B599_0585
ko:K15580	cpsi:B599_0586
ko:K03402	cpsi:B599_0588
ko:K02029	cpsi:B599_0589
ko:K02950	cpsi:B599_0217
ko:K02992	cpsi:B599_0218
ko:K02355	cpsi:B599_0219
ko:K02946	cpsi:B599_0220
ko:K01770	cpsi:B599_0222
ko:K02888	cpsi:B599_0225
ko:K02899	cpsi:B599_0226
ko:K03979	cpsi:B599_0227
ko:K09817	cpsi:B599_0228
ko:K00788	cpsi:B599_0231
ko:K00878	cpsi:B599_0232
ko:K03310	cpsi:B599_0237
ko:K03101	cpsi:B599_0238
ko:K06204	cpsi:B599_0239
ko:K07738	cpsi:B599_0240
ko:K00793	cpsi:B599_0241
ko:K06969	cpsi:B599_0242
ko:K03437	cpsi:B599_0243
ko:K00912	cpsi:B599_0244
ko:K00658	cpsi:B599_0246
ko:K06041	cpsi:B599_0247
ko:K07164	cpsi:B599_0248
ko:K00600	cpsi:B599_0252
ko:K01358	cpsi:B599_0253
ko:K01778	cpsi:B599_0254
ko:K03183	cpsi:B599_0256
ko:K07042	cpsi:B599_0263
ko:K03652	cpsi:B599_0267
ko:K01985	cpsi:B599_1082
ko:K01698	cpsi:B599_0001
ko:K00346	cpsi:B599_0002
ko:K03582	cpsi:B599_0009
ko:K03583	cpsi:B599_0010
ko:K07146	cpsi:B599_0013
ko:K02986	cpsi:B599_0014
ko:K01151	cpsi:B599_0015
ko:K03980	cpsi:B599_0017
ko:K06861	cpsi:B599_0024
ko:K01627	cpsi:B599_0026
ko:K06960	cpsi:B599_0029
ko:K06180	cpsi:B599_0030
ko:K02469	cpsi:B599_0033
ko:K02470	cpsi:B599_0034
ko:K02492	cpsi:B599_0035
ko:K08301	cpsi:B599_0865
ko:K00630	cpsi:B599_0866
ko:K00919	cpsi:B599_0870
ko:K02939	cpsi:B599_0871
ko:K02963	cpsi:B599_0872
ko:K02990	cpsi:B599_0873
ko:K01056	cpsi:B599_0874
ko:K02897	cpsi:B599_0875
ko:K00703	cpsi:B599_0877
ko:K00995	cpsi:B599_0878
ko:K14164	cpsi:B599_0880
ko:K03555	cpsi:B599_0886
ko:K03703	cpsi:B599_0887
ko:K02954	cpsi:B599_0889
ko:K02919	cpsi:B599_0890
ko:K01883	cpsi:B599_0893
ko:K04567	cpsi:B599_0894
ko:K04066	cpsi:B599_0897
ko:K00655	cpsi:B599_0899
ko:K00263	cpsi:B599_0901
ko:K09458	cpsi:B599_0904
ko:K09710	cpsi:B599_0905
ko:K00791	cpsi:B599_0910
ko:K03926	cpsi:B599_0913
ko:K06960	cpsi:B599_0914
ko:K02563	cpsi:B599_0916
ko:K03588	cpsi:B599_0917
ko:K07058	cpsi:B599_0593
ko:K01783	cpsi:B599_0596
ko:K02356	cpsi:B599_0597
ko:K02160	cpsi:B599_0598
ko:K01961	cpsi:B599_0599
ko:K01951	cpsi:B599_0616
ko:K09125	cpsi:B599_0625
ko:K00773	cpsi:B599_0626
ko:K03611	cpsi:B599_0630
ko:K00979	cpsi:B599_0639
ko:K01937	cpsi:B599_0640
ko:K01937	cpsi:B599_0641
ko:K07447	cpsi:B599_0642
ko:K12573	cpsi:B599_0268
ko:K04043	cpsi:B599_0269
ko:K03687	cpsi:B599_0270
ko:K03705	cpsi:B599_0271
ko:K01881	cpsi:B599_0272
ko:K09131	cpsi:B599_0275
ko:K10206	cpsi:B599_0277
ko:K06966	cpsi:B599_0281
ko:K09996	cpsi:B599_0290
ko:K06167	cpsi:B599_0292
ko:K03665	cpsi:B599_0293
ko:K09779	cpsi:B599_0318
ko:K02435	cpsi:B599_0319
ko:K02434	cpsi:B599_0321
ko:K03224	cpsi:B599_0043
ko:K02417	cpsi:B599_0046
ko:K03219	cpsi:B599_0048
ko:K02838	cpsi:B599_0055
ko:K09903	cpsi:B599_0056
ko:K02357	cpsi:B599_0057
ko:K02967	cpsi:B599_0058
ko:K03162	cpsi:B599_0060
ko:K09013	cpsi:B599_0064
ko:K09015	cpsi:B599_0065
ko:K11717	cpsi:B599_0066
ko:K07220	cpsi:B599_0073
ko:K03306	cpsi:B599_0074
ko:K00927	cpsi:B599_0075
ko:K02337	cpsi:B599_0087
ko:K07783	cpsi:B599_0088
ko:K01892	cpsi:B599_0090
ko:K01876	cpsi:B599_0091
ko:K03216	cpsi:B599_0093
ko:K03671	cpsi:B599_0094
ko:K06925	cpsi:B599_0098
ko:K01925	cpsi:B599_0919
ko:K01000	cpsi:B599_0920
ko:K01929	cpsi:B599_0922
ko:K02356	cpsi:B599_0928
ko:K01241	cpsi:B599_0929
