ko:K02495	seen:SE451236_00885
ko:K18138	seen:SE451236_08395
ko:K22507	seen:SE451236_20545
ko:K18923	seen:SE451236_13640
ko:K19092	seen:SE451236_20870
ko:K19504	seen:SE451236_05715
ko:K00097	seen:SE451236_06465
ko:K03771	seen:SE451236_06470
ko:K04744	seen:SE451236_06475
ko:K05801	seen:SE451236_06480
ko:K06177	seen:SE451236_06485
ko:K03580	seen:SE451236_06490
ko:K02336	seen:SE451236_06495
ko:K01804	seen:SE451236_06515
ko:K00853	seen:SE451236_06520
ko:K02099	seen:SE451236_06525
ko:K02062	seen:SE451236_06535
ko:K02063	seen:SE451236_06540
ko:K02064	seen:SE451236_06545
ko:K11925	seen:SE451236_06550
ko:K01704	seen:SE451236_06565
ko:K01703	seen:SE451236_06570
ko:K00052	seen:SE451236_06575
ko:K01649	seen:SE451236_06580
ko:K05798	seen:SE451236_06585
ko:K01652	seen:SE451236_06590
ko:K01653	seen:SE451236_06595
ko:K03435	seen:SE451236_06600
ko:K02505	seen:SE451236_06730
ko:K02504	seen:SE451236_06735
ko:K02682	seen:SE451236_06740
ko:K00767	seen:SE451236_06745
ko:K03806	seen:SE451236_06750
ko:K03807	seen:SE451236_06755
ko:K11734	seen:SE451236_06770
ko:K00163	seen:SE451236_06780
ko:K00627	seen:SE451236_06785
ko:K00382	seen:SE451236_06790
ko:K01682	seen:SE451236_06810
ko:K09910	seen:SE451236_06820
ko:K02526	seen:SE451236_06825
ko:K01611	seen:SE451236_06845
ko:K00797	seen:SE451236_06850
ko:K14588	seen:SE451236_06860
ko:K00117	seen:SE451236_06865
ko:K00760	seen:SE451236_06870
ko:K01673	seen:SE451236_06875
ko:K07347	seen:SE451236_06895
ko:K03831	seen:SE451236_06050
ko:K07034	seen:SE451236_06055
ko:K04043	seen:SE451236_06070
ko:K03686	seen:SE451236_06075
ko:K07347	seen:SE451236_06125
ko:K06871	seen:SE451236_06195
ko:K03313	seen:SE451236_06210
ko:K03717	seen:SE451236_06215
ko:K13301	seen:SE451236_06690
ko:K03070	seen:SE451236_06695
ko:K03574	seen:SE451236_06700
ko:K09862	seen:SE451236_06710
ko:K00859	seen:SE451236_06720
ko:K00364	seen:SE451236_06725
ko:K00926	seen:SE451236_05350
ko:K01811	seen:SE451236_06220
ko:K01478	seen:SE451236_05355
ko:K00611	seen:SE451236_05365
ko:K02968	seen:SE451236_06230
ko:K09893	seen:SE451236_05370
ko:K11753	seen:SE451236_06235
ko:K06169	seen:SE451236_05375
ko:K01870	seen:SE451236_06240
ko:K03101	seen:SE451236_06245
ko:K03774	seen:SE451236_06250
ko:K03828	seen:SE451236_05385
ko:K03527	seen:SE451236_06255
ko:K12700	seen:SE451236_06265
ko:K07702	seen:SE451236_06270
ko:K07700	seen:SE451236_06275
ko:K01572	seen:SE451236_06280
ko:K01571	seen:SE451236_06285
ko:K01573	seen:SE451236_06290
ko:K01910	seen:SE451236_06300
ko:K01646	seen:SE451236_06305
