ko:K11707	chr:Cpsi_4291
ko:K00813	chr:Cpsi_0111
ko:K01921	chr:Cpsi_8441
ko:K01924	chr:Cpsi_8441
ko:K07258	chr:Cpsi_0791
ko:K02342	chr:Cpsi_0961
ko:K01885	chr:Cpsi_1951
ko:K00380	chr:Cpsi_2061
ko:K02030	chr:Cpsi_1491
ko:K02035	chr:Cpsi_1531
ko:K02033	chr:Cpsi_1541
ko:K00567	chr:Cpsi_1561
ko:K07098	chr:Cpsi_1771
ko:K09815	chr:Cpsi_2141
ko:K01719	chr:Cpsi_2361
ko:K03307	chr:Cpsi_2681
ko:K00700	chr:Cpsi_2781
ko:K02433	chr:Cpsi_2941
ko:K03471	chr:Cpsi_2991
ko:K00784	chr:Cpsi_3211
ko:K00033	chr:Cpsi_4241
ko:K00059	chr:Cpsi_4781
ko:K02342	chr:Cpsi_3771
ko:K06179	chr:Cpsi_3841
ko:K07052	chr:Cpsi_3871
ko:K11189	chr:Cpsi_3301
ko:K08483	chr:Cpsi_3311
ko:K03177	chr:Cpsi_4551
ko:K02806	chr:Cpsi_3441
ko:K02806	chr:Cpsi_3451
ko:K03311	chr:Cpsi_9161
ko:K00382	chr:Cpsi_9191
ko:K03644	chr:Cpsi_9201
ko:K03222	chr:Cpsi_9211
ko:K03223	chr:Cpsi_9231
ko:K03226	chr:Cpsi_9241
ko:K03228	chr:Cpsi_9261
ko:K02455	chr:Cpsi_9321
ko:K02453	chr:Cpsi_9341
ko:K06287	chr:Cpsi_3181
ko:K03733	chr:Cpsi_3201
ko:K01338	chr:Cpsi_3221
ko:K02970	chr:Cpsi_3241
ko:K03686	chr:Cpsi_3251
ko:K11381	chr:Cpsi_3261
ko:K09747	chr:Cpsi_3321
ko:K02343	chr:Cpsi_3331
ko:K07037	chr:Cpsi_3341
ko:K01749	chr:Cpsi_3361
ko:K04485	chr:Cpsi_3371
ko:K03685	chr:Cpsi_3381
ko:K04564	chr:Cpsi_3411
ko:K01963	chr:Cpsi_3421
ko:K00566	chr:Cpsi_3491
ko:K03696	chr:Cpsi_3501
ko:K03800	chr:Cpsi_3511
ko:K02437	chr:Cpsi_3541
ko:K00350	chr:Cpsi_3571
ko:K00349	chr:Cpsi_3581
ko:K00348	chr:Cpsi_3591
ko:K00347	chr:Cpsi_3601
ko:K02313	chr:Cpsi_3621
ko:K03438	chr:Cpsi_3651
ko:K03587	chr:Cpsi_3671
ko:K01928	chr:Cpsi_3681
ko:K03308	chr:Cpsi_4841
ko:K06213	chr:Cpsi_4881
ko:K02071	chr:Cpsi_4931
ko:K02072	chr:Cpsi_4941
ko:K02470	chr:Cpsi_4981
ko:K02469	chr:Cpsi_4991
ko:K00943	chr:Cpsi_5001
ko:K02343	chr:Cpsi_5011
ko:K06999	chr:Cpsi_5021
ko:K07566	chr:Cpsi_5031
ko:K06966	chr:Cpsi_5071
ko:K03179	chr:Cpsi_5081
ko:K03186	chr:Cpsi_5091
ko:K03787	chr:Cpsi_5121
ko:K07039	chr:Cpsi_5141
ko:K14441	chr:Cpsi_5201
ko:K02913	chr:Cpsi_5211
ko:K09808	chr:Cpsi_5221
ko:K02871	chr:Cpsi_5251
ko:K02996	chr:Cpsi_5261
ko:K01057	chr:Cpsi_5321
ko:K00036	chr:Cpsi_5331
ko:K15580	chr:Cpsi_5341
ko:K03402	chr:Cpsi_5361
ko:K02029	chr:Cpsi_5371
ko:K00873	chr:Cpsi_6591
ko:K03701	chr:Cpsi_6601
ko:K01873	chr:Cpsi_6621
ko:K03046	chr:Cpsi_6741
ko:K03043	chr:Cpsi_6751
ko:K02935	chr:Cpsi_6761
ko:K02864	chr:Cpsi_6771
ko:K02863	chr:Cpsi_6781
ko:K02867	chr:Cpsi_6791
ko:K02601	chr:Cpsi_6801
ko:K03073	chr:Cpsi_6811
ko:K02358	chr:Cpsi_6831
ko:K02518	chr:Cpsi_6851
ko:K03523	chr:Cpsi_6891
ko:K01714	chr:Cpsi_6941
ko:K00928	chr:Cpsi_6951
ko:K00133	chr:Cpsi_6961
ko:K00215	chr:Cpsi_6971
ko:K09125	chr:Cpsi_6991
ko:K01012	chr:Cpsi_7021
ko:K01935	chr:Cpsi_7041
ko:K00833	chr:Cpsi_7051
ko:K00800	chr:Cpsi_7071
ko:K00891	chr:Cpsi_7081
ko:K01736	chr:Cpsi_7091
ko:K01735	chr:Cpsi_7101
ko:K13832	chr:Cpsi_7111
ko:K01903	chr:Cpsi_7721
ko:K03110	chr:Cpsi_7731
ko:K06890	chr:Cpsi_7741
ko:K03834	chr:Cpsi_7751
