ko:K07591	ebw:BWG_2827
ko:K03779	ebw:BWG_2772
ko:K00932	ebw:BWG_2823
ko:K13888	ebw:BWG_0731
ko:K03316	ebw:BWG_3779
ko:K07229	ebw:BWG_2780
ko:K07480	ebw:BWG_0019
ko:K18919	ebw:BWG_0016
ko:K18919	ebw:BWG_1381
ko:K18919	ebw:BWG_4269
ko:K13895	ebw:BWG_1955
ko:K01961	ebw:BWG_2955
ko:K03722	ebw:BWG_1621
ko:K03277	ebw:BWG_3314
ko:K18138	ebw:BWG_0343
ko:K10823	ebw:BWG_1075
ko:K12973	ebw:BWG_0495
ko:K18922	ebw:BWG_0453
ko:K01524	ebw:BWG_2266
ko:K05396	ebw:BWG_1728
ko:K20541	ebw:BWG_3221
ko:K00219	ebw:BWG_2791
ko:K00974	ebw:BWG_2767
ko:K13788	ebw:BWG_2071
ko:K07274	ebw:BWG_3274
ko:K21905	ebw:BWG_3205
ko:K15555	ebw:BWG_0785
ko:K09022	ebw:BWG_2821
ko:K07491	ebw:BWG_0214
ko:K00058	ebw:BWG_2637
ko:K09934	ebw:BWG_2001
ko:K01784	ebw:BWG_0611
ko:K02824	ebw:BWG_2261
ko:K04772	ebw:BWG_2935
ko:K10708	ebw:BWG_3063
ko:K07040	ebw:BWG_0936
ko:K02911	ebw:BWG_0937
ko:K03621	ebw:BWG_0938
ko:K00648	ebw:BWG_0939
ko:K00645	ebw:BWG_0940
ko:K02078	ebw:BWG_0942
ko:K09458	ebw:BWG_0943
ko:K07082	ebw:BWG_0945
ko:K00943	ebw:BWG_0946
ko:K02341	ebw:BWG_0947
ko:K03424	ebw:BWG_0948
ko:K07337	ebw:BWG_0953
ko:K07251	ebw:BWG_0954
ko:K07000	ebw:BWG_0956
ko:K03885	ebw:BWG_0957
ko:K12151	ebw:BWG_0960
ko:K03723	ebw:BWG_0962
ko:K09808	ebw:BWG_0964
ko:K09808	ebw:BWG_0966
ko:K07637	ebw:BWG_0977
ko:K01756	ebw:BWG_0979
ko:K07153	ebw:BWG_0980
ko:K00566	ebw:BWG_0981
ko:K06181	ebw:BWG_0983
ko:K00031	ebw:BWG_0984
ko:K03818	ebw:BWG_1844
ko:K01991	ebw:BWG_1852
ko:K07289	ebw:BWG_1854
ko:K01494	ebw:BWG_1855
ko:K00876	ebw:BWG_1856
ko:K01247	ebw:BWG_1858
ko:K04046	ebw:BWG_1859
ko:K07799	ebw:BWG_1864
ko:K07788	ebw:BWG_1865
ko:K07789	ebw:BWG_1866
ko:K07642	ebw:BWG_1868
ko:K07664	ebw:BWG_1869
ko:K08303	ebw:BWG_1871
ko:K02774	ebw:BWG_1879
ko:K02773	ebw:BWG_1880
ko:K00878	ebw:BWG_1890
ko:K00655	ebw:BWG_2731
ko:K02621	ebw:BWG_2732
ko:K03923	ebw:BWG_2741
ko:K02622	ebw:BWG_2743
ko:K07000	ebw:BWG_2744
ko:K03651	ebw:BWG_2745
ko:K09920	ebw:BWG_2746
ko:K07238	ebw:BWG_2752
ko:K00982	ebw:BWG_2764
ko:K07184	ebw:BWG_2766
ko:K06153	ebw:BWG_2768
ko:K01633	ebw:BWG_2769
ko:K08591	ebw:BWG_2770
ko:K03780	ebw:BWG_2773
ko:K02970	ebw:BWG_2776
ko:K03086	ebw:BWG_2778
ko:K03534	ebw:BWG_3571
ko:K00848	ebw:BWG_3574
ko:K02854	ebw:BWG_3576
ko:K02856	ebw:BWG_3577
ko:K04564	ebw:BWG_3578
ko:K02526	ebw:BWG_3579
ko:K00850	ebw:BWG_3585
ko:K02048	ebw:BWG_3586
ko:K01521	ebw:BWG_3587
ko:K01803	ebw:BWG_3588
ko:K00528	ebw:BWG_3593
ko:K00864	ebw:BWG_3595
ko:K02440	ebw:BWG_3596
ko:K09892	ebw:BWG_3597
ko:K02553	ebw:BWG_3598
ko:K02548	ebw:BWG_3599
ko:K03667	ebw:BWG_3600
ko:K01419	ebw:BWG_3601
ko:K03591	ebw:BWG_3602
ko:K04066	ebw:BWG_3604
ko:K02909	ebw:BWG_3605
ko:K03764	ebw:BWG_3607
ko:K09974	ebw:BWG_3613
ko:K00005	ebw:BWG_3614
ko:K08483	ebw:BWG_3616
ko:K11189	ebw:BWG_3616
ko:K11201	ebw:BWG_3616
ko:K11203	ebw:BWG_3617
ko:K11202	ebw:BWG_3618
ko:K00656	ebw:BWG_3619
ko:K04069	ebw:BWG_3620
ko:K11202	ebw:BWG_3621
ko:K01595	ebw:BWG_3624
ko:K01438	ebw:BWG_3625
ko:K00145	ebw:BWG_3626
ko:K00930	ebw:BWG_3627
ko:K01755	ebw:BWG_3628
ko:K02611	ebw:BWG_1219
ko:K02612	ebw:BWG_1220
ko:K02613	ebw:BWG_1221
ko:K00074	ebw:BWG_1224
ko:K01912	ebw:BWG_1227
ko:K02616	ebw:BWG_1228
ko:K00981	ebw:BWG_1236
ko:K01118	ebw:BWG_1239
ko:K03578	ebw:BWG_1240
ko:K09794	ebw:BWG_1251
ko:K03304	ebw:BWG_1254
ko:K05782	ebw:BWG_1258
ko:K08303	ebw:BWG_1260
ko:K00137	ebw:BWG_1269
ko:K09936	ebw:BWG_1273
ko:K03823	ebw:BWG_1274
ko:K01753	ebw:BWG_2134
ko:K07690	ebw:BWG_2137
ko:K07088	ebw:BWG_2140
ko:K02478	ebw:BWG_2148
ko:K08483	ebw:BWG_2151
ko:K11189	ebw:BWG_2151
ko:K11201	ebw:BWG_2151
ko:K11203	ebw:BWG_2154
ko:K11202	ebw:BWG_2155
ko:K03322	ebw:BWG_2159
ko:K11537	ebw:BWG_2167
ko:K03815	ebw:BWG_2168
ko:K02394	ebw:BWG_0928
ko:K02395	ebw:BWG_0929
ko:K02396	ebw:BWG_0930
ko:K02397	ebw:BWG_0931
ko:K08300	ebw:BWG_0932
ko:K09802	ebw:BWG_1797
ko:K07470	ebw:BWG_1799
ko:K01141	ebw:BWG_1801
ko:K07112	ebw:BWG_1803
ko:K00765	ebw:BWG_1810
ko:K00013	ebw:BWG_1811
ko:K00817	ebw:BWG_1812
ko:K01089	ebw:BWG_1813
ko:K02501	ebw:BWG_1814
ko:K01814	ebw:BWG_1815
ko:K02500	ebw:BWG_1816
ko:K11755	ebw:BWG_1817
ko:K00012	ebw:BWG_1819
ko:K01790	ebw:BWG_1828
ko:K00973	ebw:BWG_1829
ko:K00067	ebw:BWG_1830
ko:K00963	ebw:BWG_1832
ko:K03208	ebw:BWG_1840
ko:K03207	ebw:BWG_1841
ko:K02377	ebw:BWG_1842
ko:K01711	ebw:BWG_1843
ko:K01920	ebw:BWG_2669
ko:K07735	ebw:BWG_2670
ko:K07447	ebw:BWG_2671
ko:K02669	ebw:BWG_2672
ko:K06997	ebw:BWG_2673
ko:K02221	ebw:BWG_2674
ko:K09131	ebw:BWG_2675
ko:K09923	ebw:BWG_2681
ko:K00969	ebw:BWG_0510
ko:K02340	ebw:BWG_0511
ko:K03643	ebw:BWG_0512
ko:K01869	ebw:BWG_0513
