ko:K19744	paes:SCV20265_1135
ko:K18094	paes:SCV20265_3372
ko:K10815	paes:SCV20265_3180
ko:K00520	paes:SCV20265_2373
ko:K11741	paes:SCV20265_4739
ko:K18095	paes:SCV20265_3373
ko:K01851	paes:SCV20265_0730
ko:K18302	paes:SCV20265_1333
ko:K19591	paes:SCV20265_5433
ko:K19595	paes:SCV20265_1540
ko:K03297	paes:SCV20265_5657
ko:K02487	paes:SCV20265_2358
ko:K03560	paes:SCV20265_0206
ko:K22617	paes:SCV20265_4924
ko:K19593	paes:SCV20265_1542
ko:K16238	paes:SCV20265_0951
ko:K09691	paes:SCV20265_6183
ko:K18131	paes:SCV20265_0442
ko:K18130	paes:SCV20265_1288
ko:K00344	paes:SCV20265_0022
ko:K02625	paes:SCV20265_0233
ko:K18129	paes:SCV20265_3371
ko:K11741	paes:SCV20265_3514
ko:K06998	paes:SCV20265_0746
ko:K00800	paes:SCV20265_1896
ko:K21429	paes:SCV20265_0600
ko:K11741	paes:SCV20265_1789
ko:K00638	paes:SCV20265_4808
ko:K07497	paes:SCV20265_2298
ko:K07497	paes:SCV20265_2509
ko:K07497	paes:SCV20265_2895
ko:K07497	paes:SCV20265_4540
ko:K07497	paes:SCV20265_5837
ko:K03111	paes:SCV20265_0729
ko:K12960	paes:SCV20265_1890
ko:K19735	paes:SCV20265_4439
ko:K18138	paes:SCV20265_0444
ko:K19611	paes:SCV20265_4592
ko:K07497	paes:SCV20265_2886
ko:K07497	paes:SCV20265_4703
ko:K18135	paes:SCV20265_1487
ko:K21430	paes:SCV20265_4315
ko:K18297	paes:SCV20265_2818
ko:K01156	paes:SCV20265_2507
ko:K18150	paes:SCV20265_1290
ko:K18979	paes:SCV20265_5610
ko:K11209	paes:SCV20265_3789
ko:K19609	paes:SCV20265_2561
ko:K11209	paes:SCV20265_4404
ko:K18456	paes:SCV20265_0146
ko:K01399	paes:SCV20265_1285
ko:K18139	paes:SCV20265_0445
ko:K09788	paes:SCV20265_4730
ko:K13292	paes:SCV20265_0356
ko:K01126	paes:SCV20265_0362
ko:K07095	paes:SCV20265_0366
ko:K16345	paes:SCV20265_0367
ko:K01687	paes:SCV20265_0368
ko:K06969	paes:SCV20265_0369
ko:K05520	paes:SCV20265_0370
ko:K10563	paes:SCV20265_0372
ko:K07126	paes:SCV20265_0375
