ko:K13040	sbp:Sbal223_3676
ko:K01760	sbp:Sbal223_2452
ko:K19416	sbp:Sbal223_2201
ko:K14682	sbp:Sbal223_0405
ko:K12297	sbp:Sbal223_1774
ko:K22317	sbp:Sbal223_2800
ko:K01890	sbp:Sbal223_2418
ko:K06879	sbp:Sbal223_2923
ko:K02028	sbp:Sbal223_0970
ko:K09696	sbp:Sbal223_0071
ko:K09697	sbp:Sbal223_0072
ko:K11689	sbp:Sbal223_1551
ko:K02566	sbp:Sbal223_2551
ko:K02484	sbp:Sbal223_3288
ko:K09607	sbp:Sbal223_0128
ko:K00018	sbp:Sbal223_3304
ko:K00567	sbp:Sbal223_1558
ko:K01802	sbp:Sbal223_3832
ko:K01802	sbp:Sbal223_1285
ko:K02619	sbp:Sbal223_1890
ko:K04751	sbp:Sbal223_3223
ko:K03316	sbp:Sbal223_3094
ko:K00832	sbp:Sbal223_2228
ko:K00758	sbp:Sbal223_1141
ko:K07090	sbp:Sbal223_0061
ko:K07090	sbp:Sbal223_1521
ko:K07090	sbp:Sbal223_2726
ko:K03767	sbp:Sbal223_3529
ko:K01104	sbp:Sbal223_2438
ko:K01908	sbp:Sbal223_1532
ko:K01895	sbp:Sbal223_2532
ko:K00265	sbp:Sbal223_3135
ko:K03574	sbp:Sbal223_3873
ko:K12062	sbp:Sbal223_4503
ko:K12062	sbp:Sbal223_4437
ko:K12062	sbp:Sbal223_4379
ko:K11751	sbp:Sbal223_1760
ko:K12063	sbp:Sbal223_4438
ko:K12065	sbp:Sbal223_4440
ko:K11688	sbp:Sbal223_1552
ko:K02483	sbp:Sbal223_3501
ko:K01079	sbp:Sbal223_1145
ko:K00632	sbp:Sbal223_1597
ko:K12068	sbp:Sbal223_4497
ko:K12058	sbp:Sbal223_4433
ko:K12058	sbp:Sbal223_4507
ko:K12059	sbp:Sbal223_4434
ko:K12059	sbp:Sbal223_4506
ko:K12279	sbp:Sbal223_0504
ko:K12061	sbp:Sbal223_4380
ko:K12061	sbp:Sbal223_4436
ko:K01426	sbp:Sbal223_1233
ko:K12340	sbp:Sbal223_0806
ko:K00703	sbp:Sbal223_3023
ko:K11991	sbp:Sbal223_1381
ko:K03533	sbp:Sbal223_1153
ko:K11085	sbp:Sbal223_2674
ko:K10925	sbp:Sbal223_0514
ko:K12281	sbp:Sbal223_0507
ko:K12283	sbp:Sbal223_0509
ko:K12284	sbp:Sbal223_0510
ko:K06970	sbp:Sbal223_0131
ko:K12287	sbp:Sbal223_0521
ko:K01096	sbp:Sbal223_3920
ko:K07506	sbp:Sbal223_1196
ko:K01270	sbp:Sbal223_3350
ko:K12278	sbp:Sbal223_0512
ko:K12280	sbp:Sbal223_0506
ko:K07304	sbp:Sbal223_2237
ko:K00575	sbp:Sbal223_1415
ko:K00575	sbp:Sbal223_2101
ko:K09810	sbp:Sbal223_1955
ko:K11930	sbp:Sbal223_1151
ko:K03768	sbp:Sbal223_2754
ko:K00108	sbp:Sbal223_3035
ko:K03496	sbp:Sbal223_4486
ko:K12152	sbp:Sbal223_1874
ko:K01835	sbp:Sbal223_2238
ko:K03496	sbp:Sbal223_4319
ko:K03496	sbp:Sbal223_2680
ko:K00060	sbp:Sbal223_4286
ko:K03496	sbp:Sbal223_1460
ko:K07637	sbp:Sbal223_1849
ko:K07637	sbp:Sbal223_4141
ko:K08305	sbp:Sbal223_2422
ko:K01259	sbp:Sbal223_0321
ko:K01894	sbp:Sbal223_0871
ko:K00029	sbp:Sbal223_0502
ko:K00970	sbp:Sbal223_0870
ko:K00821	sbp:Sbal223_3697
ko:K11690	sbp:Sbal223_1550
ko:K03711	sbp:Sbal223_1842
ko:K00652	sbp:Sbal223_2526
ko:K03636	sbp:Sbal223_0283
ko:K12061	sbp:Sbal223_4504
