ko:K06896	spng:HMPREF1038_00771
ko:K12293	spng:HMPREF1038_00108
ko:K12292	spng:HMPREF1038_00107
ko:K02028	spng:HMPREF1038_00835
ko:K13925	spng:HMPREF1038_01802
ko:K01215	spng:HMPREF1038_00390
ko:K19689	spng:HMPREF1038_00333
ko:K10040	spng:HMPREF1038_00629
ko:K05362	spng:HMPREF1038_01514
ko:K06183	spng:HMPREF1038_00335
ko:K01372	spng:HMPREF1038_00336
ko:K02795	spng:HMPREF1038_00338
ko:K02793	spng:HMPREF1038_00339
ko:K02794	spng:HMPREF1038_00339
ko:K13953	spng:HMPREF1038_00340
ko:K07052	spng:HMPREF1038_00344
ko:K15383	spng:HMPREF1038_00355
ko:K03491	spng:HMPREF1038_00357
ko:K01727	spng:HMPREF1038_00364
ko:K07491	spng:HMPREF1038_00365
ko:K00046	spng:HMPREF1038_00369
ko:K02744	spng:HMPREF1038_00370
ko:K02745	spng:HMPREF1038_00372
ko:K07729	spng:HMPREF1038_00381
ko:K12556	spng:HMPREF1038_00384
ko:K04086	spng:HMPREF1038_00386
ko:K01104	spng:HMPREF1038_00397
ko:K07570	spng:HMPREF1038_01522
ko:K03768	spng:HMPREF1038_01523
ko:K11209	spng:HMPREF1038_01537
ko:K00974	spng:HMPREF1038_01541
ko:K09762	spng:HMPREF1038_01549
ko:K02086	spng:HMPREF1038_01560
ko:K07009	spng:HMPREF1038_01573
ko:K05337	spng:HMPREF1038_01590
ko:K01784	spng:HMPREF1038_01592
ko:K15986	spng:HMPREF1038_01519
ko:K02035	spng:HMPREF1038_00417
ko:K03700	spng:HMPREF1038_00420
ko:K00033	spng:HMPREF1038_00426
ko:K00869	spng:HMPREF1038_00432
ko:K01597	spng:HMPREF1038_00433
ko:K00938	spng:HMPREF1038_00434
ko:K01823	spng:HMPREF1038_00435
ko:K11617	spng:HMPREF1038_00437
ko:K11618	spng:HMPREF1038_00438
ko:K03471	spng:HMPREF1038_00448
ko:K11041	spng:HMPREF1038_00454
ko:K02371	spng:HMPREF1038_00463
ko:K00059	spng:HMPREF1038_00465
ko:K07052	spng:HMPREF1038_00474
ko:K02433	spng:HMPREF1038_00479
ko:K07030	spng:HMPREF1038_00485
ko:K14983	spng:HMPREF1038_00808
ko:K03177	spng:HMPREF1038_01217
ko:K00016	spng:HMPREF1038_01224
ko:K07652	spng:HMPREF1038_01229
ko:K07668	spng:HMPREF1038_01230
ko:K07105	spng:HMPREF1038_01238
ko:K03574	spng:HMPREF1038_01239
ko:K07052	spng:HMPREF1038_01243
ko:K06201	spng:HMPREF1038_01264
ko:K02824	spng:HMPREF1038_01291
ko:K09787	spng:HMPREF1038_01293
ko:K12296	spng:HMPREF1038_00014
ko:K06023	spng:HMPREF1038_01400
ko:K02564	spng:HMPREF1038_01402
ko:K01916	spng:HMPREF1038_01406
ko:K07729	spng:HMPREF1038_01409
ko:K06147	spng:HMPREF1038_01421
ko:K06147	spng:HMPREF1038_01422
ko:K00567	spng:HMPREF1038_01449
ko:K01835	spng:HMPREF1038_01481
ko:K07404	spng:HMPREF1038_01488
ko:K03095	spng:HMPREF1038_00928
ko:K02004	spng:HMPREF1038_00932
ko:K07052	spng:HMPREF1038_00945
ko:K02238	spng:HMPREF1038_00975
ko:K01759	spng:HMPREF1038_00982
ko:K02823	spng:HMPREF1038_00983
ko:K10563	spng:HMPREF1038_00990
ko:K07533	spng:HMPREF1038_01001
ko:K03976	spng:HMPREF1038_01005
ko:K08974	spng:HMPREF1038_01006
ko:K07273	spng:HMPREF1038_01007
ko:K01515	spng:HMPREF1038_01009
ko:K01243	spng:HMPREF1038_01011
ko:K02342	spng:HMPREF1038_01013
ko:K06196	spng:HMPREF1038_01018
ko:K02786	spng:HMPREF1038_00512
ko:K01220	spng:HMPREF1038_00513
ko:K03498	spng:HMPREF1038_00515
ko:K03499	spng:HMPREF1038_00516
ko:K03048	spng:HMPREF1038_00527
ko:K03713	spng:HMPREF1038_00534
ko:K07706	spng:HMPREF1038_00559
ko:K07052	spng:HMPREF1038_00571
ko:K07052	spng:HMPREF1038_00573
ko:K09155	spng:HMPREF1038_00587
ko:K03488	spng:HMPREF1038_00600
ko:K02755	spng:HMPREF1038_00601
ko:K02756	spng:HMPREF1038_00601
ko:K02757	spng:HMPREF1038_00601
ko:K02004	spng:HMPREF1038_00622
ko:K02004	spng:HMPREF1038_00624
ko:K10041	spng:HMPREF1038_00632
ko:K03930	spng:HMPREF1038_00635
ko:K05363	spng:HMPREF1038_00636
ko:K12554	spng:HMPREF1038_00637
ko:K01990	spng:HMPREF1038_00659
ko:K01992	spng:HMPREF1038_00660
ko:K03316	spng:HMPREF1038_00682
ko:K06196	spng:HMPREF1038_00684
ko:K03342	spng:HMPREF1038_00691
ko:K00845	spng:HMPREF1038_00695
ko:K00784	spng:HMPREF1038_00701
ko:K06183	spng:HMPREF1038_00707
ko:K14982	spng:HMPREF1038_00809
ko:K06286	spng:HMPREF1038_00817
ko:K03697	spng:HMPREF1038_00832
ko:K03783	spng:HMPREF1038_00841
ko:K03784	spng:HMPREF1038_00845
ko:K00867	spng:HMPREF1038_00848
ko:K00564	spng:HMPREF1038_00850
ko:K01619	spng:HMPREF1038_00853
ko:K01489	spng:HMPREF1038_00854
ko:K02056	spng:HMPREF1038_00856
ko:K00841	spng:HMPREF1038_00100
ko:K12373	spng:HMPREF1038_00122
ko:K02795	spng:HMPREF1038_00126
ko:K02793	spng:HMPREF1038_00128
ko:K01785	spng:HMPREF1038_00130
ko:K07104	spng:HMPREF1038_00131
ko:K03498	spng:HMPREF1038_00138
ko:K03499	spng:HMPREF1038_00139
ko:K04488	spng:HMPREF1038_00882
ko:K07258	spng:HMPREF1038_00884
ko:K03436	spng:HMPREF1038_00888
ko:K00882	spng:HMPREF1038_00889
ko:K01281	spng:HMPREF1038_00912
ko:K02035	spng:HMPREF1038_00868
ko:K04516	spng:HMPREF1038_01302
ko:K06147	spng:HMPREF1038_01312
ko:K01489	spng:HMPREF1038_01318
ko:K02033	spng:HMPREF1038_01323
ko:K02035	spng:HMPREF1038_01324
ko:K01788	spng:HMPREF1038_01326
ko:K07052	spng:HMPREF1038_01333
ko:K06147	spng:HMPREF1038_01344
ko:K04518	spng:HMPREF1038_01357
ko:K04517	spng:HMPREF1038_01361
ko:K01176	spng:HMPREF1038_01370
ko:K11069	spng:HMPREF1038_01374
ko:K11071	spng:HMPREF1038_01376
ko:K11072	spng:HMPREF1038_01377
ko:K01258	spng:HMPREF1038_01177
ko:K08483	spng:HMPREF1038_01186
ko:K11189	spng:HMPREF1038_01187
ko:K02530	spng:HMPREF1038_01191
ko:K01220	spng:HMPREF1038_01193
ko:K02786	spng:HMPREF1038_01195
ko:K01635	spng:HMPREF1038_01197
ko:K00917	spng:HMPREF1038_01198
ko:K01819	spng:HMPREF1038_01199
ko:K01819	spng:HMPREF1038_01200
ko:K02004	spng:HMPREF1038_00711
ko:K01092	spng:HMPREF1038_01390
ko:K16509	spng:HMPREF1038_01392
ko:K01409	spng:HMPREF1038_00200
ko:K07052	spng:HMPREF1038_00218
ko:K07052	spng:HMPREF1038_00219
ko:K01439	spng:HMPREF1038_00224
ko:K07720	spng:HMPREF1038_00230
ko:K03647	spng:HMPREF1038_00232
ko:K07052	spng:HMPREF1038_00244
ko:K01262	spng:HMPREF1038_00249
ko:K00939	spng:HMPREF1038_00287
ko:K02005	spng:HMPREF1038_00795
ko:K02004	spng:HMPREF1038_00797
ko:K00059	spng:HMPREF1038_00803
ko:K10530	spng:HMPREF1038_00731
ko:K00158	spng:HMPREF1038_00746
ko:K03574	spng:HMPREF1038_00753
ko:K04767	spng:HMPREF1038_00766
ko:K00383	spng:HMPREF1038_00794
ko:K03294	spng:HMPREF1038_01020
ko:K09815	spng:HMPREF1038_01021
ko:K07025	spng:HMPREF1038_01025
ko:K00700	spng:HMPREF1038_01058
ko:K07584	spng:HMPREF1038_01073
ko:K00625	spng:HMPREF1038_01080
ko:K07816	spng:HMPREF1038_01083
ko:K05833	spng:HMPREF1038_01109
ko:K05832	spng:HMPREF1038_01110
ko:K01989	spng:HMPREF1038_01111
ko:K01784	spng:HMPREF1038_01119
ko:K01271	spng:HMPREF1038_01574
ko:K01390	spng:HMPREF1038_01043
ko:K02313	spng:HMPREF1038_00001
ko:K02338	spng:HMPREF1038_00002
ko:K16786	spng:HMPREF1038_00736
ko:K16787	spng:HMPREF1038_00736
ko:K02003	spng:HMPREF1038_00712
ko:K01925	spng:HMPREF1038_00713
ko:K02563	spng:HMPREF1038_00714
ko:K03589	spng:HMPREF1038_00715
ko:K01591	spng:HMPREF1038_00717
ko:K00762	spng:HMPREF1038_00718
ko:K02029	spng:HMPREF1038_00727
ko:K02029	spng:HMPREF1038_00728
ko:K04567	spng:HMPREF1038_00730
ko:K00878	spng:HMPREF1038_00733
ko:K00788	spng:HMPREF1038_00734
ko:K03707	spng:HMPREF1038_00738
ko:K00878	spng:HMPREF1038_00740
ko:K00788	spng:HMPREF1038_00741
ko:K00941	spng:HMPREF1038_00742
ko:K01223	spng:HMPREF1038_00749
ko:K01809	spng:HMPREF1038_00750
ko:K03308	spng:HMPREF1038_00751
ko:K07007	spng:HMPREF1038_00754
ko:K00761	spng:HMPREF1038_00758
ko:K01358	spng:HMPREF1038_00759
ko:K01999	spng:HMPREF1038_00761
ko:K01997	spng:HMPREF1038_00762
ko:K01998	spng:HMPREF1038_00763
ko:K01995	spng:HMPREF1038_00764
ko:K01996	spng:HMPREF1038_00765
ko:K02836	spng:HMPREF1038_00767
ko:K09812	spng:HMPREF1038_00768
ko:K09811	spng:HMPREF1038_00769
ko:K00789	spng:HMPREF1038_00773
ko:K02340	spng:HMPREF1038_00775
ko:K04564	spng:HMPREF1038_00776
ko:K06941	spng:HMPREF1038_00778
ko:K02959	spng:HMPREF1038_00784
ko:K06960	spng:HMPREF1038_00785
ko:K02860	spng:HMPREF1038_00787
ko:K00554	spng:HMPREF1038_00788
ko:K03523	spng:HMPREF1038_00793
ko:K02003	spng:HMPREF1038_00796
ko:K01874	spng:HMPREF1038_00798
ko:K01256	spng:HMPREF1038_00807
ko:K03596	spng:HMPREF1038_01207
ko:K03631	spng:HMPREF1038_01209
ko:K03402	spng:HMPREF1038_01210
ko:K06442	spng:HMPREF1038_01211
ko:K13789	spng:HMPREF1038_01212
ko:K03602	spng:HMPREF1038_01213
ko:K03601	spng:HMPREF1038_01214
ko:K00876	spng:HMPREF1038_01215
ko:K01740	spng:HMPREF1038_01219
ko:K02469	spng:HMPREF1038_01223
ko:K10716	spng:HMPREF1038_01225
ko:K03575	spng:HMPREF1038_01231
ko:K01938	spng:HMPREF1038_01233
ko:K03702	spng:HMPREF1038_01242
ko:K00036	spng:HMPREF1038_01246
ko:K03110	spng:HMPREF1038_01247
ko:K03529	spng:HMPREF1038_01250
ko:K03685	spng:HMPREF1038_01251
ko:K00364	spng:HMPREF1038_01253
ko:K01704	spng:HMPREF1038_01258
ko:K00052	spng:HMPREF1038_01260
ko:K09790	spng:HMPREF1038_01265
ko:K03168	spng:HMPREF1038_01266
ko:K04096	spng:HMPREF1038_01269
ko:K05352	spng:HMPREF1038_01273
ko:K01955	spng:HMPREF1038_01278
ko:K01956	spng:HMPREF1038_01279
ko:K00609	spng:HMPREF1038_01280
ko:K02825	spng:HMPREF1038_01281
ko:K10773	spng:HMPREF1038_01283
ko:K07040	spng:HMPREF1038_01284
ko:K03799	spng:HMPREF1038_01288
ko:K03744	spng:HMPREF1038_01289
ko:K03501	spng:HMPREF1038_01290
ko:K03106	spng:HMPREF1038_01292
ko:K06885	spng:HMPREF1038_01295
ko:K02884	spng:HMPREF1038_01299
ko:K06199	spng:HMPREF1038_01300
ko:K06199	spng:HMPREF1038_01301
ko:K02909	spng:HMPREF1038_01305
ko:K07243	spng:HMPREF1038_01306
ko:K00262	spng:HMPREF1038_01310
ko:K02034	spng:HMPREF1038_01322
ko:K02935	spng:HMPREF1038_01341
ko:K02864	spng:HMPREF1038_01342
ko:K12960	spng:HMPREF1038_01343
ko:K12267	spng:HMPREF1038_01346
ko:K00872	spng:HMPREF1038_01348
ko:K00003	spng:HMPREF1038_01349
ko:K16511	spng:HMPREF1038_01350
ko:K00891	spng:HMPREF1038_01358
ko:K00800	spng:HMPREF1038_01359
ko:K01736	spng:HMPREF1038_01362
ko:K01735	spng:HMPREF1038_01363
