ko:K19079	saur:SABB_00708
ko:K09022	saur:SABB_02552
ko:K00130	saur:SABB_02022
ko:K01985	saur:SABB_05535
ko:K01985	saur:SABB_05536
ko:K01985	saur:SABB_05534
ko:K01985	saur:SABB_05537
ko:K01985	saur:SABB_05538
ko:K01985	saur:SABB_05539
ko:K19005	saur:SABB_00769
ko:K08365	saur:SABB_04251
ko:K00561	saur:SABB_05250
ko:K01318	saur:SABB_01933
ko:K19285	saur:SABB_04936
ko:K05592	saur:SABB_02409
ko:K14228	saur:SABB_05471
ko:K14224	saur:SABB_05452
ko:K14224	saur:SABB_05507
ko:K14224	saur:SABB_05466
ko:K14226	saur:SABB_05504
ko:K14226	saur:SABB_05496
ko:K00887	saur:SABB_02611
ko:K18936	saur:SABB_01261
ko:K18934	saur:SABB_03043
ko:K18935	saur:SABB_01493
ko:K03328	saur:SABB_01709
ko:K03328	saur:SABB_02559
ko:K18940	saur:SABB_00099
ko:K21454	saur:SABB_01318
ko:K19975	saur:SABB_00679
ko:K19973	saur:SABB_00681
ko:K00681	saur:SABB_01643
ko:K07483	saur:SABB_02215
ko:K14234	saur:SABB_05456
ko:K14234	saur:SABB_05493
ko:K14234	saur:SABB_05476
ko:K02171	saur:SABB_03151
ko:K02031	saur:SABB_01647
ko:K02032	saur:SABB_01647
ko:K02755	saur:SABB_01585
ko:K19080	saur:SABB_04045
ko:K00561	saur:SABB_02575
ko:K18104	saur:SABB_00691
ko:K02479	saur:SABB_01967
ko:K02547	saur:SABB_03471
ko:K08168	saur:SABB_01704
ko:K02483	saur:SABB_01312
ko:K14204	saur:SABB_02359
ko:K01046	saur:SABB_03504
ko:K03293	saur:SABB_00175
ko:K07741	saur:SABB_02531
ko:K02313	saur:SABB_02122
ko:K02338	saur:SABB_02736
ko:K02470	saur:SABB_02126
ko:K03629	saur:SABB_02125
ko:K02469	saur:SABB_02127
ko:K01745	saur:SABB_02129
ko:K13012	saur:SABB_01680
ko:K01784	saur:SABB_01679
ko:K02472	saur:SABB_01678
ko:K01791	saur:SABB_01677
ko:K07145	saur:SABB_01676
ko:K09790	saur:SABB_01675
ko:K00128	saur:SABB_01674
ko:K16264	saur:SABB_01673
ko:K02049	saur:SABB_01671
ko:K02051	saur:SABB_03085
ko:K02050	saur:SABB_01669
ko:K00122	saur:SABB_03463
ko:K08996	saur:SABB_01662
ko:K00930	saur:SABB_01661
ko:K00620	saur:SABB_01660
ko:K00145	saur:SABB_01659
ko:K00819	saur:SABB_01658
ko:K03311	saur:SABB_01657
ko:K01771	saur:SABB_03691
ko:K08170	saur:SABB_01734
ko:K03324	saur:SABB_01733
ko:K10254	saur:SABB_01732
ko:K03303	saur:SABB_01730
ko:K14196	saur:SABB_04815
ko:K02015	saur:SABB_02706
ko:K02015	saur:SABB_01726
ko:K02016	saur:SABB_01725
ko:K01586	saur:SABB_01717
ko:K01875	saur:SABB_02130
ko:K00641	saur:SABB_02133
ko:K02939	saur:SABB_02136
ko:K01939	saur:SABB_02138
ko:K07668	saur:SABB_03186
ko:K07652	saur:SABB_02140
ko:K00783	saur:SABB_02145
ko:K09968	saur:SABB_04495
ko:K04763	saur:SABB_05238
ko:K01153	saur:SABB_01782
ko:K00383	saur:SABB_01780
ko:K03366	saur:SABB_01714
ko:K01784	saur:SABB_01713
ko:K04564	saur:SABB_01708
ko:K03784	saur:SABB_01705
ko:K01619	saur:SABB_01703
ko:K01839	saur:SABB_01702
ko:K02042	saur:SABB_01701
ko:K02042	saur:SABB_01700
ko:K02041	saur:SABB_01699
ko:K02044	saur:SABB_01698
ko:K04072	saur:SABB_01693
ko:K01104	saur:SABB_01690
ko:K17716	saur:SABB_01688
ko:K01791	saur:SABB_01686
ko:K01126	saur:SABB_01774
ko:K02545	saur:SABB_01772
ko:K07090	saur:SABB_01765
ko:K01534	saur:SABB_03931
ko:K00265	saur:SABB_02164
ko:K00266	saur:SABB_02163
ko:K02818	saur:SABB_04205
ko:K02819	saur:SABB_04205
ko:K01226	saur:SABB_02161
ko:K03486	saur:SABB_02160
ko:K02343	saur:SABB_02158
ko:K09747	saur:SABB_02157
ko:K06187	saur:SABB_02156
ko:K00943	saur:SABB_02537
ko:K02341	saur:SABB_02539
ko:K07461	saur:SABB_02543
ko:K07056	saur:SABB_02544
ko:K01874	saur:SABB_02545
ko:K03424	saur:SABB_02546
ko:K05985	saur:SABB_05445
ko:K02528	saur:SABB_03558
ko:K00919	saur:SABB_02550
ko:K09685	saur:SABB_05027
ko:K06412	saur:SABB_02553
ko:K04042	saur:SABB_03560
ko:K00948	saur:SABB_03275
ko:K02897	saur:SABB_03276
ko:K01056	saur:SABB_02557
ko:K03723	saur:SABB_02558
ko:K02499	saur:SABB_02560
ko:K07571	saur:SABB_02563
ko:K04075	saur:SABB_02564
ko:K00760	saur:SABB_02565
ko:K03798	saur:SABB_03277
ko:K04083	saur:SABB_02567
ko:K01738	saur:SABB_02568
ko:K00796	saur:SABB_02569
ko:K01633	saur:SABB_02570
ko:K00950	saur:SABB_02571
ko:K04567	saur:SABB_03996
ko:K06215	saur:SABB_00569
ko:K08681	saur:SABB_00570
ko:K11535	saur:SABB_00571
ko:K03708	saur:SABB_00572
ko:K03696	saur:SABB_00575
ko:K04485	saur:SABB_02617
ko:K09698	saur:SABB_03808
ko:K00640	saur:SABB_03908
ko:K01883	saur:SABB_00580
ko:K03466	saur:SABB_01564
ko:K03311	saur:SABB_03448
ko:K09963	saur:SABB_01653
ko:K07106	saur:SABB_01652
ko:K02809	saur:SABB_01651
ko:K02810	saur:SABB_01651
ko:K01153	saur:SABB_01649
ko:K02033	saur:SABB_03081
ko:K02034	saur:SABB_01645
ko:K02035	saur:SABB_01644
ko:K01118	saur:SABB_01641
ko:K02004	saur:SABB_01540
ko:K02003	saur:SABB_01539
ko:K16329	saur:SABB_01536
ko:K03307	saur:SABB_01534
ko:K01639	saur:SABB_01533
ko:K01788	saur:SABB_01530
ko:K16169	saur:SABB_03214
ko:K00088	saur:SABB_02243
ko:K01951	saur:SABB_02242
ko:K08987	saur:SABB_02214
ko:K11042	saur:SABB_02212
ko:K03427	saur:SABB_05215
ko:K01154	saur:SABB_05408
ko:K03816	saur:SABB_02245
ko:K10112	saur:SABB_01639
ko:K15770	saur:SABB_02699
ko:K15772	saur:SABB_01635
ko:K07784	saur:SABB_04418
ko:K07720	saur:SABB_01629
ko:K02012	saur:SABB_01627
ko:K00656	saur:SABB_01626
ko:K04069	saur:SABB_01625
ko:K01126	saur:SABB_01624
ko:K07516	saur:SABB_01620
ko:K00252	saur:SABB_01619
ko:K01897	saur:SABB_01618
ko:K03800	saur:SABB_01521
ko:K03475	saur:SABB_01519
ko:K02822	saur:SABB_03047
ko:K02821	saur:SABB_01517
ko:K00299	saur:SABB_01508
ko:K03817	saur:SABB_01505
ko:K07224	saur:SABB_01504
ko:K16301	saur:SABB_01503
ko:K07243	saur:SABB_03442
ko:K03118	saur:SABB_01501
ko:K03116	saur:SABB_01500
ko:K01990	saur:SABB_01497
ko:K05577	saur:SABB_02183
ko:K09822	saur:SABB_03201
ko:K02035	saur:SABB_01614
ko:K05916	saur:SABB_01612
ko:K00016	saur:SABB_01611
ko:K02773	saur:SABB_01607
ko:K02774	saur:SABB_03070
ko:K02775	saur:SABB_01605
ko:K05352	saur:SABB_01601
ko:K07322	saur:SABB_01593
ko:K00626	saur:SABB_02275
ko:K00549	saur:SABB_02273
ko:K01760	saur:SABB_02271
ko:K01739	saur:SABB_02270
ko:K06942	saur:SABB_02267
ko:K02990	saur:SABB_02266
ko:K02963	saur:SABB_02264
ko:K01834	saur:SABB_02256
ko:K03387	saur:SABB_02252
ko:K03386	saur:SABB_02251
ko:K06956	saur:SABB_03215
ko:K03928	saur:SABB_02178
ko:K03308	saur:SABB_02177
ko:K17216	saur:SABB_03199
ko:K17217	saur:SABB_02175
ko:K02071	saur:SABB_02174
ko:K02072	saur:SABB_02173
ko:K02073	saur:SABB_04854
ko:K07704	saur:SABB_01592
ko:K05338	saur:SABB_01590
ko:K05339	saur:SABB_01589
ko:K03489	saur:SABB_01586
ko:K01223	saur:SABB_01584
ko:K00852	saur:SABB_01582
ko:K06726	saur:SABB_01581
ko:K06216	saur:SABB_01580
ko:K02529	saur:SABB_01579
ko:K01442	saur:SABB_01576
ko:K01990	saur:SABB_03456
ko:K01992	saur:SABB_01573
ko:K01992	saur:SABB_03061
ko:K03046	saur:SABB_00594
ko:K07590	saur:SABB_04598
ko:K02950	saur:SABB_00596
ko:K02992	saur:SABB_00597
ko:K02355	saur:SABB_00598
ko:K02358	saur:SABB_00599
ko:K00639	saur:SABB_00601
ko:K05523	saur:SABB_00602
ko:K00853	saur:SABB_04281
ko:K00826	saur:SABB_00605
ko:K01091	saur:SABB_00606
ko:K15519	saur:SABB_00607
ko:K06895	saur:SABB_00849
ko:K03785	saur:SABB_00852
ko:K03075	saur:SABB_00828
ko:K03928	saur:SABB_00829
ko:K12573	saur:SABB_00830
ko:K03664	saur:SABB_00831
ko:K15738	saur:SABB_00770
ko:K03654	saur:SABB_00771
ko:K05847	saur:SABB_00772
ko:K05845	saur:SABB_02635
ko:K05846	saur:SABB_02635
ko:K00817	saur:SABB_00774
