ko:K01006	cbj:H04402_03029
ko:K19271	cbj:H04402_01613
ko:K19225	cbj:H04402_00415
ko:K02030	cbj:H04402_00465
ko:K19271	cbj:H04402_00694
ko:K16961	cbj:H04402_01250
ko:K00334	cbj:H04402_01843
ko:K09022	cbj:H04402_03075
ko:K06881	cbj:H04402_02443
ko:K06998	cbj:H04402_02190
ko:K07260	cbj:H04402_01109
ko:K20038	cbj:H04402_02123
ko:K18344	cbj:H04402_01993
ko:K16962	cbj:H04402_01249
ko:K00087	cbj:H04402_01356
ko:K01835	cbj:H04402_03719
ko:K00131	cbj:H04402_01326
ko:K16950	cbj:H04402_01026
ko:K16951	cbj:H04402_01027
ko:K02028	cbj:H04402_02044
ko:K02028	cbj:H04402_00437
ko:K02030	cbj:H04402_01480
ko:K02030	cbj:H04402_02047
ko:K02406	cbj:H04402_02791
ko:K01841	cbj:H04402_02796
ko:K02406	cbj:H04402_02810
ko:K02407	cbj:H04402_02812
ko:K02422	cbj:H04402_02813
ko:K03563	cbj:H04402_02816
ko:K13626	cbj:H04402_02817
ko:K02397	cbj:H04402_02818
ko:K02396	cbj:H04402_02819
ko:K02398	cbj:H04402_02821
ko:K02417	cbj:H04402_02822
ko:K02416	cbj:H04402_02823
ko:K03408	cbj:H04402_02824
ko:K03413	cbj:H04402_02825
ko:K03410	cbj:H04402_02826
ko:K03407	cbj:H04402_02827
ko:K01034	cbj:H04402_02933
ko:K07141	cbj:H04402_02935
ko:K07090	cbj:H04402_02952
ko:K00794	cbj:H04402_02953
ko:K14652	cbj:H04402_02954
ko:K00793	cbj:H04402_02955
ko:K11752	cbj:H04402_02956
ko:K00783	cbj:H04402_03671
ko:K01265	cbj:H04402_03677
ko:K01012	cbj:H04402_03682
ko:K03150	cbj:H04402_03683
ko:K09936	cbj:H04402_03689
ko:K01962	cbj:H04402_03693
ko:K01963	cbj:H04402_03694
ko:K01961	cbj:H04402_03695
ko:K02372	cbj:H04402_03696
ko:K02160	cbj:H04402_03697
ko:K09458	cbj:H04402_03698
ko:K00645	cbj:H04402_03700
ko:K02078	cbj:H04402_03702
ko:K00648	cbj:H04402_03703
ko:K09773	cbj:H04402_03709
ko:K07007	cbj:H04402_03711
ko:K01939	cbj:H04402_03716
ko:K06911	cbj:H04402_00926
ko:K06966	cbj:H04402_00931
ko:K09936	cbj:H04402_00932
ko:K03827	cbj:H04402_00934
ko:K09936	cbj:H04402_00937
ko:K01462	cbj:H04402_00943
ko:K00375	cbj:H04402_00944
ko:K01223	cbj:H04402_00951
ko:K10536	cbj:H04402_00962
ko:K03523	cbj:H04402_00977
ko:K02217	cbj:H04402_01780
ko:K01356	cbj:H04402_01789
ko:K03666	cbj:H04402_01791
ko:K00791	cbj:H04402_01792
ko:K03572	cbj:H04402_01793
ko:K03555	cbj:H04402_01794
ko:K06168	cbj:H04402_01795
ko:K05825	cbj:H04402_01796
ko:K00812	cbj:H04402_01798
ko:K02945	cbj:H04402_01803
ko:K03527	cbj:H04402_01803
ko:K00945	cbj:H04402_01804
ko:K07007	cbj:H04402_01805
ko:K00260	cbj:H04402_01806
ko:K06178	cbj:H04402_01808
ko:K03671	cbj:H04402_01815
ko:K04654	cbj:H04402_01829
ko:K04564	cbj:H04402_00546
ko:K07240	cbj:H04402_00559
ko:K07240	cbj:H04402_00560
ko:K09770	cbj:H04402_00563
ko:K01950	cbj:H04402_00564
ko:K06200	cbj:H04402_00580
ko:K03282	cbj:H04402_00585
ko:K02016	cbj:H04402_01408
ko:K02015	cbj:H04402_01409
ko:K02013	cbj:H04402_01410
ko:K09957	cbj:H04402_01415
ko:K02034	cbj:H04402_01424
ko:K09816	cbj:H04402_01428
ko:K09817	cbj:H04402_01429
ko:K01308	cbj:H04402_01441
ko:K00868	cbj:H04402_01457
ko:K03310	cbj:H04402_02677
ko:K03310	cbj:H04402_02679
ko:K01952	cbj:H04402_02682
ko:K00611	cbj:H04402_02683
ko:K00926	cbj:H04402_02684
ko:K00600	cbj:H04402_02685
ko:K07053	cbj:H04402_02696
ko:K03284	cbj:H04402_02698
ko:K01462	cbj:H04402_02715
ko:K01114	cbj:H04402_02727
ko:K04564	cbj:H04402_02380
ko:K01462	cbj:H04402_02392
ko:K00686	cbj:H04402_02394
ko:K03088	cbj:H04402_02402
ko:K07341	cbj:H04402_02413
ko:K02231	cbj:H04402_00982
ko:K02232	cbj:H04402_00984
ko:K02227	cbj:H04402_00986
ko:K02007	cbj:H04402_00989
ko:K02008	cbj:H04402_00991
ko:K13542	cbj:H04402_00992
ko:K01698	cbj:H04402_00994
ko:K02224	cbj:H04402_00995
ko:K06042	cbj:H04402_00996
ko:K02188	cbj:H04402_01002
ko:K02191	cbj:H04402_01005
ko:K03394	cbj:H04402_01013
ko:K05936	cbj:H04402_01014
ko:K02189	cbj:H04402_01016
ko:K05895	cbj:H04402_01018
ko:K16651	cbj:H04402_01022
ko:K02598	cbj:H04402_01025
ko:K04653	cbj:H04402_01830
ko:K04656	cbj:H04402_01831
ko:K06024	cbj:H04402_01851
ko:K05896	cbj:H04402_01852
ko:K00756	cbj:H04402_01860
ko:K07699	cbj:H04402_01879
ko:K06399	cbj:H04402_01880
ko:K03100	cbj:H04402_00637
ko:K06871	cbj:H04402_00643
ko:K02003	cbj:H04402_00650
ko:K02003	cbj:H04402_01459
ko:K14155	cbj:H04402_01469
ko:K00763	cbj:H04402_01479
ko:K02029	cbj:H04402_01481
ko:K03657	cbj:H04402_01483
ko:K01448	cbj:H04402_01494
ko:K06409	cbj:H04402_01503
ko:K06409	cbj:H04402_01504
ko:K01756	cbj:H04402_02421
ko:K02897	cbj:H04402_03305
ko:K03978	cbj:H04402_03315
ko:K01338	cbj:H04402_03316
ko:K03544	cbj:H04402_03318
