ko:K02495	send:DT104_40111
ko:K18138	send:DT104_05191
ko:K22507	send:DT104_28871
ko:K18923	send:DT104_15201
ko:K10906	send:DT104_26861
ko:K19504	send:DT104_45291
ko:K06148	send:DT104_42571
ko:K03297	send:DT104_16241
ko:K19595	send:DT104_03961
ko:K19555	send:DT104_p0421
ko:K01990	send:DT104_08331
ko:K09690	send:DT104_07441
ko:K02345	send:DT104_18911
ko:K08151	send:DT104_38611
ko:K03111	send:DT104_42501
ko:K02032	send:DT104_12361
ko:K02031	send:DT104_12351
ko:K18292	send:DT104_31161
ko:K03111	send:DT104_p0661
ko:K10906	send:DT104_09841
ko:K18968	send:DT104_04291
ko:K18552	send:DT104_38591
ko:K19611	send:DT104_27791
ko:K14744	send:DT104_10061
ko:K00526	send:DT104_23361
ko:K00287	send:DT104_00911
ko:K01175	send:DT104_07191
ko:K19221	send:DT104_16891
ko:K00632	send:DT104_24451
ko:K00254	send:DT104_10411
ko:K14220	send:DT104_t00032
ko:K12455	send:DT104_21481
ko:K13654	send:DT104_15591
ko:K01139	send:DT104_37261
ko:K07274	send:DT104_12611
ko:K19230	send:DT104_16661
ko:K18828	send:DT104_30301
ko:K00537	send:DT104_25471
ko:K18816	send:DT104_15901
ko:K07012	send:DT104_29421
ko:K04065	send:DT104_45481
ko:K08316	send:DT104_35551
ko:K14227	send:DT104_t00001
ko:K01977	send:DT104_r00015
ko:K14227	send:DT104_t00069
ko:K14227	send:DT104_t00071
ko:K14218	send:DT104_t00002
ko:K14218	send:DT104_t00070
ko:K14218	send:DT104_t00072
ko:K19697	send:DT104_21141
ko:K18139	send:DT104_03941
ko:K19789	send:DT104_22821
ko:K00483	send:DT104_10811
ko:K01977	send:DT104_r00018
ko:K01096	send:DT104_16801
ko:K01069	send:DT104_02601
ko:K01659	send:DT104_04131
ko:K03292	send:DT104_40251
ko:K02226	send:DT104_06721
ko:K17837	send:DT104_37211
ko:K14218	send:DT104_t00038
ko:K14218	send:DT104_t00039
ko:K01980	send:DT104_r00013
ko:K01980	send:DT104_r00016
ko:K14223	send:DT104_t00007
ko:K14223	send:DT104_t00008
ko:K14223	send:DT104_t00010
ko:K14223	send:DT104_t00011
ko:K14228	send:DT104_t00067
ko:K14228	send:DT104_t00085
ko:K14228	send:DT104_t00083
ko:K14228	send:DT104_t00084
ko:K14220	send:DT104_t00033
ko:K14220	send:DT104_t00035
ko:K14220	send:DT104_t00034
ko:K14234	send:DT104_t00057
ko:K14235	send:DT104_t00064
ko:K01840	send:DT104_21631
ko:K00971	send:DT104_21431
ko:K04772	send:DT104_33411
ko:K01497	send:DT104_16811
ko:K17722	send:DT104_22461
ko:K01485	send:DT104_33271
ko:K17723	send:DT104_22471
ko:K13638	send:DT104_33991
ko:K07684	send:DT104_17341
ko:K00042	send:DT104_32431
ko:K14225	send:DT104_t00075
ko:K05799	send:DT104_01561
ko:K03566	send:DT104_29801
ko:K08194	send:DT104_38121
ko:K06518	send:DT104_42661
ko:K08173	send:DT104_14771
ko:K01980	send:DT104_r00005
ko:K01980	send:DT104_r00010
ko:K14219	send:DT104_t00006
ko:K14219	send:DT104_t00022
ko:K14219	send:DT104_t00037
ko:K02477	send:DT104_22181
ko:K00661	send:DT104_05161
ko:K01187	send:DT104_04461
ko:K03772	send:DT104_34391
ko:K00146	send:DT104_31251
ko:K01985	send:DT104_r00003
ko:K01985	send:DT104_r00014
ko:K01985	send:DT104_r00004
ko:K01985	send:DT104_r00017
ko:K01985	send:DT104_r00009
ko:K01985	send:DT104_r00020
ko:K01985	send:DT104_r00023
ko:K01985	send:DT104_r00008
ko:K14219	send:DT104_t00023
ko:K14219	send:DT104_t00045
ko:K14219	send:DT104_t00048
ko:K14219	send:DT104_t00047
ko:K14219	send:DT104_t00046
ko:K14219	send:DT104_t00065
ko:K05540	send:DT104_33761
ko:K04771	send:DT104_02141
ko:K03292	send:DT104_37341
ko:K00632	send:DT104_39951
ko:K11747	send:DT104_34431
ko:K01130	send:DT104_31181
ko:K01840	send:DT104_21421
ko:K00971	send:DT104_21641
ko:K13793	send:DT104_18271
ko:K14059	send:DT104_09801
ko:K08485	send:DT104_33171
ko:K01791	send:DT104_39381
ko:K01739	send:DT104_41091
ko:K01977	send:DT104_r00001
ko:K01977	send:DT104_r00021
ko:K01980	send:DT104_r00006
ko:K14230	send:DT104_t00009
ko:K14230	send:DT104_t00013
ko:K14230	send:DT104_t00050
ko:K14230	send:DT104_t00055
ko:K14230	send:DT104_t00051
ko:K14229	send:DT104_t00014
ko:K14229	send:DT104_t00016
ko:K14229	send:DT104_t00043
ko:K14229	send:DT104_t00018
ko:K14229	send:DT104_t00017
ko:K14237	send:DT104_t00015
ko:K14237	send:DT104_t00040
ko:K14237	send:DT104_t00041
ko:K14237	send:DT104_t00042
ko:K14237	send:DT104_t00024
ko:K14237	send:DT104_t00025
ko:K14233	send:DT104_t00019
ko:K14233	send:DT104_t00021
ko:K14233	send:DT104_t00020
ko:K14233	send:DT104_t00031
ko:K14233	send:DT104_t00049
ko:K14236	send:DT104_t00026
ko:K14236	send:DT104_t00027
ko:K14236	send:DT104_t00074
ko:K14222	send:DT104_t00029
