ko:K18929	hpya:HPAKL117_00685
ko:K18928	hpya:HPAKL117_00690
ko:K12053	hpya:HPAKL117_06705
ko:K03496	hpya:HPAKL117_02215
ko:K03196	hpya:HPAKL117_06800
ko:K03196	hpya:HPAKL117_02255
ko:K03196	hpya:HPAKL117_06655
ko:K12369	hpya:HPAKL117_01490
ko:K01426	hpya:HPAKL117_01465
ko:K12371	hpya:HPAKL117_01500
ko:K00626	hpya:HPAKL117_03260
ko:K01424	hpya:HPAKL117_03410
ko:K00769	hpya:HPAKL117_03480
ko:K02342	hpya:HPAKL117_07485
ko:K03406	hpya:HPAKL117_00395
ko:K03406	hpya:HPAKL117_00480
ko:K03406	hpya:HPAKL117_00500
ko:K01119	hpya:HPAKL117_00505
ko:K06179	hpya:HPAKL117_04580
ko:K03442	hpya:HPAKL117_04705
ko:K01585	hpya:HPAKL117_04825
ko:K07098	hpya:HPAKL117_01960
ko:K01262	hpya:HPAKL117_01995
ko:K03711	hpya:HPAKL117_02045
ko:K13640	hpya:HPAKL117_02055
ko:K00076	hpya:HPAKL117_02115
ko:K00949	hpya:HPAKL117_06125
ko:K01679	hpya:HPAKL117_06300
ko:K06603	hpya:HPAKL117_03570
ko:K02004	hpya:HPAKL117_03750
ko:K03386	hpya:HPAKL117_07680
ko:K01409	hpya:HPAKL117_07785
ko:K03455	hpya:HPAKL117_02360
ko:K02017	hpya:HPAKL117_02380
ko:K01885	hpya:HPAKL117_02385
ko:K02238	hpya:HPAKL117_06485
ko:K03635	hpya:HPAKL117_03815
ko:K05845	hpya:HPAKL117_03915
ko:K05846	hpya:HPAKL117_03915
ko:K00088	hpya:HPAKL117_03975
ko:K02433	hpya:HPAKL117_03980
ko:K07126	hpya:HPAKL117_01180
ko:K06196	hpya:HPAKL117_01320
ko:K03784	hpya:HPAKL117_05570
ko:K03317	hpya:HPAKL117_05580
ko:K08077	hpya:HPAKL117_02530
ko:K07126	hpya:HPAKL117_02590
ko:K00059	hpya:HPAKL117_02645
ko:K04517	hpya:HPAKL117_06590
ko:K03279	hpya:HPAKL117_06770
ko:K02014	hpya:HPAKL117_04195
ko:K07126	hpya:HPAKL117_00800
ko:K15898	hpya:HPAKL117_00890
ko:K00058	hpya:HPAKL117_04935
ko:K06013	hpya:HPAKL117_05010
ko:K03279	hpya:HPAKL117_00795
ko:K00652	hpya:HPAKL117_02830
ko:K07457	hpya:HPAKL117_02845
ko:K00939	hpya:HPAKL117_02915
ko:K01507	hpya:HPAKL117_02930
ko:K00674	hpya:HPAKL117_02960
