ko:K07492	bsuv:BSPT2_II0508
ko:K07050	bsuv:BSPT2_I0646
ko:K13967	bsuv:BSPT2_II0366
ko:K22617	bsuv:BSPT2_I1951
ko:K21909	bsuv:BSPT2_II0808
ko:K13581	bsuv:BSPT2_I1211
ko:K00001	bsuv:BSPT2_I0855
ko:K01271	bsuv:BSPT2_I0638
ko:K02031	bsuv:BSPT2_II0724
ko:K03297	bsuv:BSPT2_I0772
ko:K22616	bsuv:BSPT2_I1571
ko:K02031	bsuv:BSPT2_II0360
ko:K02031	bsuv:BSPT2_II1055
ko:K00035	bsuv:BSPT2_II0888
ko:K11741	bsuv:BSPT2_I0927
ko:K14218	bsuv:BSPT2_I0018
ko:K14218	bsuv:BSPT2_I1662
ko:K14218	bsuv:BSPT2_II1078
ko:K14218	bsuv:BSPT2_II1300
ko:K14227	bsuv:BSPT2_I1663
ko:K14227	bsuv:BSPT2_II1079
ko:K14227	bsuv:BSPT2_II1301
ko:K01271	bsuv:BSPT2_I1547
ko:K07005	bsuv:BSPT2_I1388
ko:K21911	bsuv:BSPT2_II0813
ko:K00130	bsuv:BSPT2_I1152
ko:K19231	bsuv:BSPT2_II1335
ko:K19232	bsuv:BSPT2_I0068
ko:K11209	bsuv:BSPT2_I1076
ko:K02946	bsuv:BSPT2_I0463
ko:K02906	bsuv:BSPT2_I0464
ko:K02926	bsuv:BSPT2_I0465
ko:K02892	bsuv:BSPT2_I0466
ko:K02886	bsuv:BSPT2_I0467
ko:K02965	bsuv:BSPT2_I0468
ko:K02890	bsuv:BSPT2_I0469
ko:K02982	bsuv:BSPT2_I0470
ko:K02878	bsuv:BSPT2_I0471
ko:K02904	bsuv:BSPT2_I0472
ko:K02961	bsuv:BSPT2_I0473
ko:K02874	bsuv:BSPT2_I0474
ko:K02895	bsuv:BSPT2_I0475
ko:K02931	bsuv:BSPT2_I0476
ko:K02954	bsuv:BSPT2_I0477
ko:K02994	bsuv:BSPT2_I0478
ko:K02933	bsuv:BSPT2_I0479
ko:K09919	bsuv:BSPT2_I0533
ko:K02967	bsuv:BSPT2_I0538
ko:K02357	bsuv:BSPT2_I0539
ko:K09903	bsuv:BSPT2_I0540
ko:K02838	bsuv:BSPT2_I0541
ko:K00806	bsuv:BSPT2_I0542
ko:K00981	bsuv:BSPT2_I0543
ko:K11749	bsuv:BSPT2_I0544
ko:K07277	bsuv:BSPT2_I0545
ko:K02536	bsuv:BSPT2_I0546
ko:K02372	bsuv:BSPT2_I0547
ko:K00677	bsuv:BSPT2_I0548
ko:K09949	bsuv:BSPT2_I0549
ko:K00748	bsuv:BSPT2_I0550
ko:K01647	bsuv:BSPT2_I0551
ko:K01885	bsuv:BSPT2_I0552
ko:K01356	bsuv:BSPT2_I0555
ko:K03750	bsuv:BSPT2_I0556
ko:K03637	bsuv:BSPT2_I0557
ko:K01609	bsuv:BSPT2_I0558
ko:K00766	bsuv:BSPT2_I0559
ko:K03770	bsuv:BSPT2_I0560
ko:K01803	bsuv:BSPT2_I0561
ko:K03075	bsuv:BSPT2_I0562
ko:K01937	bsuv:BSPT2_I0564
ko:K01627	bsuv:BSPT2_I0565
ko:K01689	bsuv:BSPT2_I0566
ko:K00161	bsuv:BSPT2_I0569
ko:K00162	bsuv:BSPT2_I0570
ko:K00627	bsuv:BSPT2_I0571
ko:K00382	bsuv:BSPT2_I0572
ko:K03644	bsuv:BSPT2_I0574
ko:K18588	bsuv:BSPT2_I0575
ko:K03743	bsuv:BSPT2_I0577
ko:K12506	bsuv:BSPT2_I0578
ko:K07708	bsuv:BSPT2_I0580
ko:K08300	bsuv:BSPT2_I0786
ko:K03786	bsuv:BSPT2_I0792
ko:K02160	bsuv:BSPT2_I0793
ko:K01961	bsuv:BSPT2_I0795
ko:K00249	bsuv:BSPT2_I1288
ko:K00001	bsuv:BSPT2_II0675
ko:K00065	bsuv:BSPT2_II0929
ko:K00076	bsuv:BSPT2_I1639
ko:K01144	bsuv:BSPT2_I1401
ko:K02339	bsuv:BSPT2_I1017
ko:K01255	bsuv:BSPT2_I1018
ko:K07091	bsuv:BSPT2_I1020
ko:K11720	bsuv:BSPT2_I1021
ko:K04744	bsuv:BSPT2_I1022
ko:K03771	bsuv:BSPT2_I1023
ko:K00097	bsuv:BSPT2_I1024
ko:K02528	bsuv:BSPT2_I1025
ko:K05786	bsuv:BSPT2_I1027
ko:K01649	bsuv:BSPT2_I1028
ko:K01883	bsuv:BSPT2_I1029
ko:K06895	bsuv:BSPT2_I1032
ko:K01465	bsuv:BSPT2_I1038
ko:K06915	bsuv:BSPT2_I1141
ko:K03449	bsuv:BSPT2_I1143
ko:K03284	bsuv:BSPT2_I1145
