ko:K19744	psg:G655_05385
ko:K18094	psg:G655_15005
ko:K00483	psg:G655_04225
ko:K10815	psg:G655_14180
ko:K00254	psg:G655_09535
ko:K01659	psg:G655_21380
ko:K02338	psg:G655_00010
ko:K03500	psg:G655_00085
ko:K00655	psg:G655_00025
ko:K01879	psg:G655_00040
ko:K03629	psg:G655_00015
ko:K03499	psg:G655_00080
ko:K03273	psg:G655_00030
ko:K00604	psg:G655_00090
ko:K01462	psg:G655_00095
ko:K02313	psg:G655_00005
ko:K11741	psg:G655_21435
ko:K02470	psg:G655_00020
ko:K18095	psg:G655_15010
ko:K02226	psg:G655_18765
ko:K01878	psg:G655_00045
ko:K09125	psg:G655_00065
ko:K01246	psg:G655_00050
ko:K02517	psg:G655_00055
ko:K01851	psg:G655_03550
ko:K18302	psg:G655_06410
ko:K18979	psg:G655_26095
ko:K04063	psg:G655_00305
ko:K02004	psg:G655_00370
ko:K09983	psg:G655_00285
ko:K19591	psg:G655_25170
ko:K19595	psg:G655_07185
ko:K03297	psg:G655_26300
ko:K02028	psg:G655_26720
ko:K01977	psg:G655_r29414
ko:K01977	psg:G655_r29412
ko:K01977	psg:G655_r29410
ko:K01977	psg:G655_r29408
ko:K01696	psg:G655_00185
ko:K03560	psg:G655_01005
ko:K22617	psg:G655_22375
ko:K19593	psg:G655_07195
ko:K16238	psg:G655_04565
ko:K09691	psg:G655_28665
ko:K18131	psg:G655_02160
ko:K18130	psg:G655_06190
ko:K02625	psg:G655_01130
ko:K18129	psg:G655_15000
ko:K11741	psg:G655_08465
ko:K11741	psg:G655_15710
ko:K06998	psg:G655_03630
ko:K03446	psg:G655_10630
ko:K08151	psg:G655_19585
ko:K21429	psg:G655_02890
ko:K00647	psg:G655_00505
ko:K00638	psg:G655_21825
ko:K03111	psg:G655_03545
ko:K12960	psg:G655_08995
ko:K03366	psg:G655_03960
ko:K19735	psg:G655_20285
ko:K18138	psg:G655_02170
ko:K19611	psg:G655_20700
ko:K07497	psg:G655_15425
ko:K18135	psg:G655_06925
ko:K00131	psg:G655_13435
ko:K21430	psg:G655_19690
ko:K18346	psg:G655_21625
ko:K14222	psg:G655_t29330
ko:K14232	psg:G655_t29312
ko:K14237	psg:G655_t29292
ko:K14237	psg:G655_t29306
ko:K14219	psg:G655_t29350
ko:K14219	psg:G655_t29352
ko:K14227	psg:G655_t29398
ko:K14227	psg:G655_t29380
ko:K14227	psg:G655_t29362
ko:K14218	psg:G655_t29360
ko:K14218	psg:G655_t29378
ko:K14218	psg:G655_t29396
ko:K14226	psg:G655_t29336
ko:K14226	psg:G655_t29340
ko:K04059	psg:G655_16675
ko:K03932	psg:G655_02750
ko:K01409	psg:G655_02935
ko:K00974	psg:G655_02955
ko:K01525	psg:G655_02985
ko:K00799	psg:G655_08705
ko:K02067	psg:G655_08770
ko:K03498	psg:G655_08785
ko:K00845	psg:G655_08875
ko:K03574	psg:G655_08945
ko:K01479	psg:G655_08970
ko:K02274	psg:G655_00540
ko:K02258	psg:G655_00545
ko:K02348	psg:G655_00585
ko:K02056	psg:G655_00685
ko:K10831	psg:G655_04995
ko:K00626	psg:G655_05055
ko:K00666	psg:G655_05060
ko:K03635	psg:G655_05115
ko:K01113	psg:G655_05145
ko:K07004	psg:G655_05150
ko:K01759	psg:G655_07180
ko:K07213	psg:G655_07200
ko:K03613	psg:G655_07240
ko:K03612	psg:G655_07245
ko:K03614	psg:G655_07250
ko:K03615	psg:G655_07255
ko:K03616	psg:G655_07260
ko:K03617	psg:G655_07265
ko:K03593	psg:G655_07310
ko:K00027	psg:G655_07360
ko:K09898	psg:G655_07400
ko:K02055	psg:G655_03045
ko:K02055	psg:G655_03055
ko:K10914	psg:G655_03215
ko:K02238	psg:G655_09870
ko:K01104	psg:G655_09900
ko:K06179	psg:G655_09915
ko:K00059	psg:G655_09955
ko:K02619	psg:G655_09970
ko:K03386	psg:G655_00700
ko:K00575	psg:G655_00885
ko:K03406	psg:G655_00890
ko:K03406	psg:G655_00910
ko:K00059	psg:G655_00920
ko:K02014	psg:G655_00965
ko:K00090	psg:G655_05215
ko:K03316	psg:G655_05265
ko:K00374	psg:G655_05345
ko:K03769	psg:G655_05350
ko:K02014	psg:G655_05365
ko:K00666	psg:G655_05395
ko:K01692	psg:G655_07585
ko:K02055	psg:G655_01095
ko:K01039	psg:G655_01115
ko:K01607	psg:G655_01145
ko:K06970	psg:G655_05500
ko:K05833	psg:G655_05510
ko:K05832	psg:G655_05515
ko:K01989	psg:G655_05520
ko:K06889	psg:G655_05560
ko:K01092	psg:G655_05615
ko:K04488	psg:G655_05640
ko:K13628	psg:G655_05645
ko:K02014	psg:G655_05755
ko:K01426	psg:G655_07930
ko:K09931	psg:G655_07990
ko:K03405	psg:G655_10085
ko:K03406	psg:G655_10205
ko:K02014	psg:G655_10250
ko:K00595	psg:G655_10270
ko:K02030	psg:G655_10295
ko:K03307	psg:G655_01445
ko:K00088	psg:G655_05860
ko:K11189	psg:G655_05990
ko:K00575	psg:G655_08020
ko:K06147	psg:G655_03595
ko:K00666	psg:G655_03715
ko:K07052	psg:G655_10385
ko:K02004	psg:G655_10515
ko:K03769	psg:G655_03825
ko:K01426	psg:G655_03890
ko:K02510	psg:G655_04060
ko:K01826	psg:G655_04075
ko:K00569	psg:G655_10645
ko:K07305	psg:G655_10670
ko:K06445	psg:G655_10795
ko:K00058	psg:G655_01595
ko:K11069	psg:G655_01630
ko:K11071	psg:G655_01640
ko:K11072	psg:G655_01645
ko:K10563	psg:G655_01810
ko:K07126	psg:G655_01825
ko:K04763	psg:G655_06100
ko:K06889	psg:G655_06320
ko:K01077	psg:G655_08295
ko:K07221	psg:G655_08390
ko:K07221	psg:G655_08395
ko:K02052	psg:G655_08530
ko:K02055	psg:G655_08550
ko:K06177	psg:G655_08570
ko:K00657	psg:G655_04130
ko:K00484	psg:G655_04220
ko:K00059	psg:G655_04235
ko:K07729	psg:G655_04295
ko:K01784	psg:G655_04340
ko:K02004	psg:G655_04360
ko:K00568	psg:G655_08990
ko:K01885	psg:G655_09125
ko:K08086	psg:G655_09220
ko:K01507	psg:G655_04525
ko:K02030	psg:G655_04545
ko:K02454	psg:G655_09280
ko:K00219	psg:G655_09335
ko:K02441	psg:G655_09365
ko:K07114	psg:G655_09430
ko:K07114	psg:G655_09435
ko:K07019	psg:G655_01875
ko:K02428	psg:G655_01970
ko:K02657	psg:G655_02080
ko:K02658	psg:G655_02085
ko:K02659	psg:G655_02090
ko:K02660	psg:G655_02095
ko:K02487	psg:G655_02105
ko:K06596	psg:G655_02105
ko:K00939	psg:G655_06365
ko:K00674	psg:G655_06465
ko:K03316	psg:G655_06495
ko:K07182	psg:G655_08635
ko:K02342	psg:G655_08640
ko:K08305	psg:G655_04675
ko:K07258	psg:G655_04685
ko:K07126	psg:G655_04785
ko:K00799	psg:G655_09610
ko:K00803	psg:G655_09655
ko:K06149	psg:G655_09700
ko:K00274	psg:G655_02145
ko:K02014	psg:G655_02210
ko:K02030	psg:G655_02295
ko:K02014	psg:G655_02385
ko:K00121	psg:G655_06650
ko:K03087	psg:G655_06685
ko:K05524	psg:G655_06690
ko:K03743	psg:G655_06705
ko:K11069	psg:G655_06745
ko:K11071	psg:G655_06755
ko:K11072	psg:G655_06760
ko:K05812	psg:G655_06765
ko:K00626	psg:G655_06850
ko:K00652	psg:G655_02530
ko:K02303	psg:G655_02575
ko:K04748	psg:G655_02625
ko:K07213	psg:G655_06920
ko:K00882	psg:G655_06995
ko:K00066	psg:G655_07100
ko:K02010	psg:G655_07110
ko:K03386	psg:G655_07155
ko:K14230	psg:G655_t29382
ko:K14230	psg:G655_t29348
ko:K00537	psg:G655_20600
ko:K07559	psg:G655_00280
ko:K07396	psg:G655_00300
ko:K01091	psg:G655_00335
ko:K01414	psg:G655_00345
ko:K07070	psg:G655_00350
ko:K02003	psg:G655_00375
ko:K11891	psg:G655_00395
ko:K11890	psg:G655_00390
ko:K11892	psg:G655_00400
ko:K11902	psg:G655_00420
ko:K11901	psg:G655_00425
ko:K11898	psg:G655_00440
ko:K11896	psg:G655_00450
ko:K11900	psg:G655_00430
ko:K11897	psg:G655_00445
ko:K11907	psg:G655_00460
ko:K11893	psg:G655_00405
ko:K11906	psg:G655_00410
ko:K11903	psg:G655_00435
ko:K11895	psg:G655_00455
ko:K14228	psg:G655_t29384
ko:K14218	psg:G655_t29278
ko:K14227	psg:G655_t29276
ko:K14234	psg:G655_t29284
ko:K05524	psg:G655_11410
ko:K07017	psg:G655_11535
ko:K02454	psg:G655_11605
ko:K01985	psg:G655_r29400
ko:K01985	psg:G655_r29406
ko:K01985	psg:G655_r29404
ko:K01985	psg:G655_r29402
ko:K14236	psg:G655_t29280
ko:K14225	psg:G655_t29282
ko:K14235	psg:G655_t29286
ko:K14219	psg:G655_t29290
ko:K14225	psg:G655_t29318
ko:K14225	psg:G655_t29328
ko:K14225	psg:G655_t29320
ko:K14237	psg:G655_t29322
ko:K14233	psg:G655_t29326
ko:K14228	psg:G655_t29338
ko:K14219	psg:G655_t29342
ko:K14230	psg:G655_t29376
ko:K14238	psg:G655_t29386
ko:K00626	psg:G655_15100
ko:K01907	psg:G655_15120
ko:K03769	psg:G655_15125
ko:K01826	psg:G655_15280
ko:K01782	psg:G655_16485
ko:K00626	psg:G655_16490
ko:K03406	psg:G655_11725
ko:K03406	psg:G655_11735
ko:K03227	psg:G655_16720
ko:K03406	psg:G655_22065
ko:K03406	psg:G655_22150
ko:K03406	psg:G655_22160
ko:K03406	psg:G655_22165
ko:K14335	psg:G655_22170
ko:K06986	psg:G655_22175
ko:K03406	psg:G655_12205
ko:K00666	psg:G655_12230
ko:K00626	psg:G655_12250
ko:K05794	psg:G655_12275
ko:K01426	psg:G655_22330
ko:K07665	psg:G655_12410
ko:K15725	psg:G655_12415
ko:K15727	psg:G655_12420
ko:K10531	psg:G655_13115
ko:K07116	psg:G655_13120
ko:K00101	psg:G655_13135
ko:K00854	psg:G655_13335
ko:K00045	psg:G655_13340
ko:K06889	psg:G655_14275
ko:K07027	psg:G655_14345
ko:K00700	psg:G655_14350
ko:K00799	psg:G655_15665
ko:K02017	psg:G655_15835
ko:K03498	psg:G655_15855
ko:K01545	psg:G655_17050
ko:K02014	psg:G655_17145
ko:K00647	psg:G655_17165
ko:K03406	psg:G655_17170
ko:K03307	psg:G655_18125
ko:K03825	psg:G655_18295
ko:K02014	psg:G655_18340
ko:K04750	psg:G655_18400
ko:K07660	psg:G655_19355
ko:K02571	psg:G655_19365
ko:K02569	psg:G655_19390
ko:K01439	psg:G655_19440
ko:K06147	psg:G655_19675
ko:K10943	psg:G655_19755
ko:K10942	psg:G655_19760
ko:K06603	psg:G655_19790
ko:K03299	psg:G655_20030
ko:K07393	psg:G655_11950
ko:K11179	psg:G655_11960
ko:K04091	psg:G655_12000
ko:K02051	psg:G655_12005
ko:K04091	psg:G655_12010
ko:K02014	psg:G655_12050
