ko:K18929	cfx:CFV97608_0948
ko:K18928	cfx:CFV97608_0947
ko:K18925	cfx:CFV97608_1475
ko:K18924	cfx:CFV97608_1476
ko:K18139	cfx:CFV97608_0119
ko:K01977	cfx:CFV97608_0155
ko:K15035	cfx:CFV97608_0523
ko:K14237	cfx:CFV97608_1839
ko:K03496	cfx:CFV97608_1897
ko:K03496	cfx:CFV97608_1352
ko:K03496	cfx:CFV97608_b0022
ko:K19416	cfx:CFV97608_1949
ko:K01990	cfx:CFV97608_0262
ko:K11015	cfx:CFV97608_1012
ko:K11015	cfx:CFV97608_1015
ko:K14228	cfx:CFV97608_0689
ko:K17248	cfx:CFV97608_1522
ko:K01985	cfx:CFV97608_0158
ko:K01985	cfx:CFV97608_0641
ko:K01985	cfx:CFV97608_0553
ko:K14229	cfx:CFV97608_0650
ko:K14226	cfx:CFV97608_1810
ko:K11014	cfx:CFV97608_1016
ko:K11013	cfx:CFV97608_1017
ko:K14222	cfx:CFV97608_1951
ko:K14218	cfx:CFV97608_0156
ko:K14218	cfx:CFV97608_0551
ko:K04753	cfx:CFV97608_1449
ko:K01978	cfx:CFV97608_0090
ko:K01980	cfx:CFV97608_0157
ko:K00376	cfx:CFV97608_0440
ko:K02573	cfx:CFV97608_0443
ko:K02574	cfx:CFV97608_0446
ko:K02484	cfx:CFV97608_0451
ko:K07154	cfx:CFV97608_0457
ko:K03424	cfx:CFV97608_1244
ko:K03631	cfx:CFV97608_1246
ko:K00858	cfx:CFV97608_1247
ko:K01876	cfx:CFV97608_1248
ko:K00939	cfx:CFV97608_1249
ko:K01507	cfx:CFV97608_1250
ko:K03827	cfx:CFV97608_1251
ko:K02013	cfx:CFV97608_1253
ko:K02015	cfx:CFV97608_1254
ko:K02016	cfx:CFV97608_1255
ko:K16087	cfx:CFV97608_1258
ko:K01448	cfx:CFV97608_1261
ko:K00459	cfx:CFV97608_1262
ko:K01866	cfx:CFV97608_1263
ko:K03060	cfx:CFV97608_1265
ko:K09903	cfx:CFV97608_1266
ko:K09811	cfx:CFV97608_1268
ko:K09812	cfx:CFV97608_1269
ko:K03439	cfx:CFV97608_1270
ko:K06180	cfx:CFV97608_1272
