ko:K09796	nmd:NMBG2136_1428
ko:K02483	nmd:NMBG2136_0533
ko:K21345	nmd:NMBG2136_1975
ko:K18929	nmd:NMBG2136_1328
ko:K14742	nmd:NMBG2136_0349
ko:K04771	nmd:NMBG2136_0468
ko:K18893	nmd:NMBG2136_0264
ko:K18133	nmd:NMBG2136_1940
ko:K07316	nmd:NMBG2136_1274
ko:K18928	nmd:NMBG2136_1326
ko:K00983	nmd:NMBG2136_0074
ko:K01885	nmd:NMBG2136_0003
ko:K16087	nmd:NMBG2136_1880
ko:K18138	nmd:NMBG2136_1588
ko:K02933	nmd:NMBG2136_0153
ko:K02881	nmd:NMBG2136_0154
ko:K02988	nmd:NMBG2136_0155
ko:K02907	nmd:NMBG2136_0156
ko:K02876	nmd:NMBG2136_0157
ko:K03076	nmd:NMBG2136_0158
ko:K02518	nmd:NMBG2136_0159
ko:K02919	nmd:NMBG2136_0160
ko:K02952	nmd:NMBG2136_0161
ko:K02948	nmd:NMBG2136_0162
ko:K02986	nmd:NMBG2136_0163
ko:K03040	nmd:NMBG2136_0164
ko:K02879	nmd:NMBG2136_0165
ko:K03610	nmd:NMBG2136_0166
ko:K03609	nmd:NMBG2136_0167
ko:K03608	nmd:NMBG2136_0168
ko:K04761	nmd:NMBG2136_0169
ko:K01873	nmd:NMBG2136_0170
ko:K07238	nmd:NMBG2136_0171
ko:K00285	nmd:NMBG2136_0172
ko:K03310	nmd:NMBG2136_0173
ko:K00677	nmd:NMBG2136_0174
ko:K02372	nmd:NMBG2136_0175
ko:K02536	nmd:NMBG2136_0176
ko:K06142	nmd:NMBG2136_0177
ko:K07277	nmd:NMBG2136_0178
ko:K03704	nmd:NMBG2136_0772
ko:K03592	nmd:NMBG2136_0773
ko:K09889	nmd:NMBG2136_0774
ko:K07462	nmd:NMBG2136_0776
ko:K01494	nmd:NMBG2136_0781
ko:K03554	nmd:NMBG2136_0783
ko:K03977	nmd:NMBG2136_0784
ko:K01892	nmd:NMBG2136_0786
ko:K07018	nmd:NMBG2136_0801
ko:K00797	nmd:NMBG2136_0802
ko:K00606	nmd:NMBG2136_0805
ko:K01918	nmd:NMBG2136_0806
ko:K02494	nmd:NMBG2136_0808
ko:K00919	nmd:NMBG2136_0809
ko:K00948	nmd:NMBG2136_0813
ko:K02897	nmd:NMBG2136_0814
ko:K01754	nmd:NMBG2136_0816
ko:K02045	nmd:NMBG2136_0817
ko:K02047	nmd:NMBG2136_0818
ko:K02046	nmd:NMBG2136_0819
