ko:K00130	bsul:BSUA_03320
ko:K21900	bsul:BSUA_04001
ko:K02253	bsul:BSUA_03389
ko:K02277	bsul:BSUA_01621
ko:K06292	bsul:BSUA_03814
ko:K21613	bsul:BSUA_03119
ko:K02032	bsul:BSUA_01236
ko:K19551	bsul:BSUA_03725
ko:K22044	bsul:BSUA_01548
ko:K19578	bsul:BSUA_02575
ko:K05592	bsul:BSUA_04151
ko:K19689	bsul:BSUA_01572
ko:K03297	bsul:BSUA_03585
ko:K14228	bsul:BSUA_00528
ko:K14228	bsul:BSUA_00102
ko:K11741	bsul:BSUA_03678
ko:K18924	bsul:BSUA_03677
ko:K19563	bsul:BSUA_03212
ko:K18926	bsul:BSUA_00316
ko:K18939	bsul:BSUA_00317
ko:K07155	bsul:BSUA_04240
ko:K18939	bsul:BSUA_04241
ko:K01732	bsul:BSUA_02005
ko:K19427	bsul:BSUA_03655
ko:K03296	bsul:BSUA_00742
ko:K03293	bsul:BSUA_03629
ko:K00571	bsul:BSUA_03138
ko:K07029	bsul:BSUA_00743
ko:K07315	bsul:BSUA_03639
ko:K18924	bsul:BSUA_01426
ko:K21064	bsul:BSUA_01212
ko:K01990	bsul:BSUA_00305
ko:K11638	bsul:BSUA_00833
ko:K01212	bsul:BSUA_03674
ko:K19575	bsul:BSUA_02576
ko:K01990	bsul:BSUA_00906
ko:K01990	bsul:BSUA_01004
ko:K08221	bsul:BSUA_00814
ko:K07149	bsul:BSUA_04327
ko:K03892	bsul:BSUA_00588
ko:K22579	bsul:BSUA_03749
ko:K21471	bsul:BSUA_03710
ko:K21469	bsul:BSUA_00211
ko:K21472	bsul:BSUA_03452
ko:K21466	bsul:BSUA_01523
ko:K15654	bsul:BSUA_00398
ko:K19242	bsul:BSUA_04127
ko:K11691	bsul:BSUA_00487
ko:K19546	bsul:BSUA_04010
ko:K19417	bsul:BSUA_03665
ko:K19449	bsul:BSUA_02636
ko:K19429	bsul:BSUA_03652
ko:K19430	bsul:BSUA_03651
ko:K19419	bsul:BSUA_03658
ko:K01101	bsul:BSUA_03447
ko:K19420	bsul:BSUA_03664
ko:K01487	bsul:BSUA_01435
ko:K16137	bsul:BSUA_00759
ko:K06332	bsul:BSUA_00762
ko:K06333	bsul:BSUA_00763
ko:K06334	bsul:BSUA_00764
ko:K07718	bsul:BSUA_00768
ko:K07720	bsul:BSUA_00769
ko:K02027	bsul:BSUA_00770
ko:K02025	bsul:BSUA_00771
ko:K02026	bsul:BSUA_00772
ko:K15532	bsul:BSUA_00773
ko:K01190	bsul:BSUA_00781
ko:K17318	bsul:BSUA_00783
ko:K17319	bsul:BSUA_00784
ko:K17320	bsul:BSUA_00785
ko:K07406	bsul:BSUA_00786
ko:K07145	bsul:BSUA_00788
ko:K06890	bsul:BSUA_00794
ko:K14338	bsul:BSUA_00799
ko:K00978	bsul:BSUA_00801
ko:K01709	bsul:BSUA_00802
ko:K08223	bsul:BSUA_00806
ko:K01560	bsul:BSUA_00807
ko:K03294	bsul:BSUA_00808
ko:K15738	bsul:BSUA_00811
ko:K01092	bsul:BSUA_01596
ko:K03088	bsul:BSUA_01602
ko:K06207	bsul:BSUA_01606
ko:K07175	bsul:BSUA_01610
ko:K01425	bsul:BSUA_01612
ko:K03588	bsul:BSUA_01614
ko:K01958	bsul:BSUA_01615
ko:K02259	bsul:BSUA_01616
ko:K02275	bsul:BSUA_01618
ko:K02274	bsul:BSUA_01619
ko:K02276	bsul:BSUA_01620
ko:K02862	bsul:BSUA_01622
ko:K00954	bsul:BSUA_01631
ko:K07001	bsul:BSUA_01633
ko:K07177	bsul:BSUA_01634
ko:K07040	bsul:BSUA_01637
