ko:K00344	vcm:VCM66_0510
ko:K11904	vcm:VCM66_1371
ko:K03316	vcm:VCM66_0374
ko:K00830	vcm:VCM66_0377
ko:K07726	vcm:VCM66_A0431
ko:K15583	vcm:VCM66_1050
ko:K11904	vcm:VCM66_A0121
ko:K07481	vcm:VCM66_A0281
ko:K01961	vcm:VCM66_0280
ko:K02462	vcm:VCM66_2644
ko:K13747	vcm:VCM66_1563
ko:K18923	vcm:VCM66_A0405
ko:K10948	vcm:VCM66_A0215
ko:K07052	vcm:VCM66_1030
ko:K00703	vcm:VCM66_1666
ko:K07113	vcm:VCM66_2616
ko:K01744	vcm:VCM66_2618
ko:K04084	vcm:VCM66_2621
ko:K11105	vcm:VCM66_2623
ko:K09125	vcm:VCM66_2626
ko:K00942	vcm:VCM66_2628
ko:K03060	vcm:VCM66_2629
ko:K03655	vcm:VCM66_2631
ko:K07638	vcm:VCM66_2633
ko:K07659	vcm:VCM66_2634
ko:K04760	vcm:VCM66_2635
ko:K06959	vcm:VCM66_2636
ko:K02170	vcm:VCM66_2638
ko:K07400	vcm:VCM66_2640
ko:K08312	vcm:VCM66_2641
ko:K02461	vcm:VCM66_2645
ko:K02460	vcm:VCM66_2646
ko:K02459	vcm:VCM66_2647
ko:K02457	vcm:VCM66_2649
ko:K02456	vcm:VCM66_2650
ko:K02454	vcm:VCM66_2652
ko:K02453	vcm:VCM66_2653
ko:K02452	vcm:VCM66_2654
ko:K04762	vcm:VCM66_2655
ko:K04083	vcm:VCM66_2656
ko:K01610	vcm:VCM66_2658
ko:K07560	vcm:VCM66_2661
ko:K07058	vcm:VCM66_2662
ko:K06207	vcm:VCM66_2664
ko:K01915	vcm:VCM66_2666
ko:K07708	vcm:VCM66_2668
ko:K07712	vcm:VCM66_2669
ko:K01626	vcm:VCM66_A0994
ko:K02798	vcm:VCM66_A1003
ko:K02799	vcm:VCM66_A1003
ko:K02800	vcm:VCM66_A1003
ko:K00009	vcm:VCM66_A1004
ko:K02562	vcm:VCM66_A1005
ko:K03810	vcm:VCM66_A1006
ko:K07090	vcm:VCM66_A1010
ko:K07118	vcm:VCM66_A1012
ko:K02858	vcm:VCM66_A1018
ko:K03756	vcm:VCM66_A1020
ko:K01581	vcm:VCM66_A1021
ko:K00154	vcm:VCM66_A1025
ko:K11928	vcm:VCM66_A1029
ko:K00275	vcm:VCM66_A1037
ko:K09749	vcm:VCM66_A1042
ko:K03412	vcm:VCM66_A1046
ko:K03664	vcm:VCM66_0805
ko:K09801	vcm:VCM66_0807
ko:K06186	vcm:VCM66_0808
ko:K03631	vcm:VCM66_0809
ko:K00858	vcm:VCM66_0810
ko:K03687	vcm:VCM66_0811
ko:K04043	vcm:VCM66_0812
ko:K03686	vcm:VCM66_0813
ko:K02655	vcm:VCM66_0814
ko:K08084	vcm:VCM66_0815
ko:K02672	vcm:VCM66_0816
ko:K11991	vcm:VCM66_0821
ko:K01952	vcm:VCM66_0826
ko:K01881	vcm:VCM66_0832
ko:K02909	vcm:VCM66_0835
ko:K02919	vcm:VCM66_0836
ko:K09768	vcm:VCM66_0838
ko:K06175	vcm:VCM66_0845
ko:K01662	vcm:VCM66_0846
ko:K07039	vcm:VCM66_1755
ko:K03517	vcm:VCM66_1756
ko:K03640	vcm:VCM66_1758
ko:K03641	vcm:VCM66_1759
ko:K03646	vcm:VCM66_1760
ko:K03560	vcm:VCM66_1761
ko:K03562	vcm:VCM66_1762
ko:K07107	vcm:VCM66_1763
ko:K00426	vcm:VCM66_1766
ko:K00425	vcm:VCM66_1767
ko:K03551	vcm:VCM66_1768
