ko:K18928	bpsm:BBQ_5878
ko:K07005	bpsm:BBQ_5464
ko:K12979	bpsm:BBQ_4726
ko:K03297	bpsm:BBQ_1727
ko:K14218	bpsm:BBQ_1135
ko:K14230	bpsm:BBQ_2677
ko:K01178	bpsm:BBQ_3542
ko:K16238	bpsm:BBQ_3465
ko:K14229	bpsm:BBQ_544
ko:K14237	bpsm:BBQ_1269
ko:K14237	bpsm:BBQ_1813
ko:K14237	bpsm:BBQ_4106
ko:K11741	bpsm:BBQ_2283
ko:K15634	bpsm:BBQ_406
ko:K05799	bpsm:BBQ_358
ko:K18139	bpsm:BBQ_1665
ko:K08642	bpsm:BBQ_5613
ko:K09472	bpsm:BBQ_5722
ko:K01458	bpsm:BBQ_5922
ko:K05375	bpsm:BBQ_4895
ko:K06893	bpsm:BBQ_3352
ko:K07497	bpsm:BBQ_3282
ko:K21449	bpsm:BBQ_3652
ko:K20542	bpsm:BBQ_4565
ko:K18816	bpsm:BBQ_5947
ko:K03458	bpsm:BBQ_2631
ko:K00102	bpsm:BBQ_4836
ko:K02483	bpsm:BBQ_5566
ko:K11209	bpsm:BBQ_402
ko:K11209	bpsm:BBQ_1610
ko:K19209	bpsm:BBQ_4131
ko:K00821	bpsm:BBQ_2518
ko:K07492	bpsm:BBQ_1792
ko:K21449	bpsm:BBQ_5345
ko:K00042	bpsm:BBQ_1319
ko:K07346	bpsm:BBQ_1505
ko:K22589	bpsm:BBQ_681
ko:K21678	bpsm:BBQ_3759
ko:K08166	bpsm:BBQ_5873
ko:K21345	bpsm:BBQ_3014
ko:K21344	bpsm:BBQ_793
ko:K05882	bpsm:BBQ_5273
ko:K01738	bpsm:BBQ_1440
ko:K01697	bpsm:BBQ_1440
ko:K15355	bpsm:BBQ_5130
ko:K00108	bpsm:BBQ_4796
ko:K05874	bpsm:BBQ_1591
ko:K00344	bpsm:BBQ_3811
ko:K00091	bpsm:BBQ_3946
ko:K00863	bpsm:BBQ_1492
ko:K00108	bpsm:BBQ_3418
ko:K03588	bpsm:BBQ_275
ko:K02563	bpsm:BBQ_276
ko:K01924	bpsm:BBQ_277
ko:K01921	bpsm:BBQ_278
ko:K03589	bpsm:BBQ_279
ko:K03590	bpsm:BBQ_280
ko:K03531	bpsm:BBQ_281
ko:K02535	bpsm:BBQ_283
ko:K03070	bpsm:BBQ_286
ko:K00620	bpsm:BBQ_287
ko:K01586	bpsm:BBQ_117
ko:K06202	bpsm:BBQ_119
ko:K05366	bpsm:BBQ_120
ko:K02666	bpsm:BBQ_124
ko:K00891	bpsm:BBQ_125
ko:K01735	bpsm:BBQ_126
ko:K01129	bpsm:BBQ_127
ko:K05813	bpsm:BBQ_128
ko:K05814	bpsm:BBQ_129
ko:K05815	bpsm:BBQ_130
ko:K05816	bpsm:BBQ_131
ko:K01126	bpsm:BBQ_132
ko:K07275	bpsm:BBQ_133
ko:K07491	bpsm:BBQ_134
ko:K06923	bpsm:BBQ_288
ko:K03574	bpsm:BBQ_289
ko:K09862	bpsm:BBQ_290
ko:K00859	bpsm:BBQ_292
ko:K02654	bpsm:BBQ_293
ko:K02653	bpsm:BBQ_294
ko:K02652	bpsm:BBQ_295
ko:K02523	bpsm:BBQ_298
ko:K02888	bpsm:BBQ_299
ko:K02899	bpsm:BBQ_300
ko:K03979	bpsm:BBQ_301
ko:K00931	bpsm:BBQ_302
ko:K08311	bpsm:BBQ_304
ko:K01881	bpsm:BBQ_305
ko:K00760	bpsm:BBQ_307
ko:K03106	bpsm:BBQ_308
ko:K06950	bpsm:BBQ_310
ko:K03806	bpsm:BBQ_311
ko:K06077	bpsm:BBQ_316
ko:K00856	bpsm:BBQ_317
ko:K11065	bpsm:BBQ_318
ko:K02687	bpsm:BBQ_320
ko:K01961	bpsm:BBQ_321
ko:K02160	bpsm:BBQ_322
ko:K03786	bpsm:BBQ_323
ko:K00265	bpsm:BBQ_135
ko:K00266	bpsm:BBQ_136
ko:K03310	bpsm:BBQ_137
ko:K01975	bpsm:BBQ_138
ko:K02471	bpsm:BBQ_139
ko:K03153	bpsm:BBQ_140
ko:K03154	bpsm:BBQ_141
ko:K03149	bpsm:BBQ_142
ko:K00788	bpsm:BBQ_143
ko:K02065	bpsm:BBQ_144
ko:K02066	bpsm:BBQ_145
ko:K02067	bpsm:BBQ_146
ko:K04754	bpsm:BBQ_147
ko:K07323	bpsm:BBQ_148
ko:K07122	bpsm:BBQ_149
ko:K01990	bpsm:BBQ_150
ko:K01992	bpsm:BBQ_151
ko:K00790	bpsm:BBQ_153
ko:K00765	bpsm:BBQ_154
ko:K00013	bpsm:BBQ_155
ko:K00817	bpsm:BBQ_156
ko:K01693	bpsm:BBQ_157
ko:K05595	bpsm:BBQ_158
ko:K02501	bpsm:BBQ_159
ko:K01814	bpsm:BBQ_160
ko:K02500	bpsm:BBQ_161
ko:K01496	bpsm:BBQ_162
ko:K02404	bpsm:BBQ_1
ko:K04562	bpsm:BBQ_2
ko:K02405	bpsm:BBQ_3
ko:K01251	bpsm:BBQ_4
ko:K08972	bpsm:BBQ_5
ko:K00297	bpsm:BBQ_6
ko:K01061	bpsm:BBQ_8
ko:K00459	bpsm:BBQ_9
ko:K01999	bpsm:BBQ_10
ko:K07226	bpsm:BBQ_12
ko:K03642	bpsm:BBQ_18
ko:K07056	bpsm:BBQ_19
ko:K07460	bpsm:BBQ_20
ko:K03271	bpsm:BBQ_21
ko:K08738	bpsm:BBQ_23
ko:K09122	bpsm:BBQ_29
ko:K07275	bpsm:BBQ_34
ko:K00145	bpsm:BBQ_37
ko:K03809	bpsm:BBQ_38
ko:K06910	bpsm:BBQ_39
ko:K02876	bpsm:BBQ_99
ko:K03076	bpsm:BBQ_100
ko:K02518	bpsm:BBQ_101
ko:K02919	bpsm:BBQ_102
ko:K02952	bpsm:BBQ_103
ko:K02948	bpsm:BBQ_104
ko:K02986	bpsm:BBQ_105
ko:K03040	bpsm:BBQ_106
ko:K02879	bpsm:BBQ_107
ko:K03926	bpsm:BBQ_108
ko:K04084	bpsm:BBQ_109
ko:K01698	bpsm:BBQ_110
ko:K03978	bpsm:BBQ_111
ko:K07399	bpsm:BBQ_113
ko:K17247	bpsm:BBQ_116
ko:K01523	bpsm:BBQ_163
ko:K02503	bpsm:BBQ_165
ko:K03116	bpsm:BBQ_166
ko:K03117	bpsm:BBQ_167
ko:K03118	bpsm:BBQ_168
