ko:K00666	coe:Cp258_0235
ko:K18917	coe:Cp258_0636
ko:K01992	coe:Cp258_1111
ko:K01992	coe:Cp258_1631
ko:K18926	coe:Cp258_0484
ko:K13580	coe:Cp258_1310
ko:K16147	coe:Cp258_0863
ko:K16148	coe:Cp258_0793
ko:K16164	coe:Cp258_0163
ko:K00382	coe:Cp258_0482
ko:K06287	coe:Cp258_0492
ko:K02529	coe:Cp258_0494
ko:K03524	coe:Cp258_0499
ko:K01589	coe:Cp258_0501
ko:K01588	coe:Cp258_0502
ko:K01809	coe:Cp258_0518
ko:K01251	coe:Cp258_0521
ko:K00943	coe:Cp258_0522
ko:K03070	coe:Cp258_0528
ko:K06949	coe:Cp258_0534
ko:K03529	coe:Cp258_1352
ko:K01512	coe:Cp258_1353
ko:K03310	coe:Cp258_1354
ko:K03685	coe:Cp258_1356
ko:K07040	coe:Cp258_1357
ko:K00259	coe:Cp258_1361
ko:K00865	coe:Cp258_1363
ko:K00688	coe:Cp258_1367
ko:K00873	coe:Cp258_1370
ko:K01609	coe:Cp258_1372
ko:K02500	coe:Cp258_1375
ko:K02501	coe:Cp258_1378
ko:K01693	coe:Cp258_1381
ko:K00817	coe:Cp258_1382
ko:K00013	coe:Cp258_1383
ko:K04762	coe:Cp258_1393
ko:K01754	coe:Cp258_1396
ko:K02337	coe:Cp258_1397
ko:K05786	coe:Cp258_1398
ko:K06180	coe:Cp258_1400
ko:K03101	coe:Cp258_1401
ko:K02346	coe:Cp258_1405
ko:K07090	coe:Cp258_0094
ko:K03579	coe:Cp258_0097
ko:K03919	coe:Cp258_0098
ko:K01246	coe:Cp258_0099
ko:K06996	coe:Cp258_0103
ko:K00864	coe:Cp258_0106
ko:K02440	coe:Cp258_0107
ko:K05845	coe:Cp258_0112
ko:K00817	coe:Cp258_0133
ko:K14445	coe:Cp258_0134
ko:K03480	coe:Cp258_0135
ko:K06996	coe:Cp258_0137
ko:K04561	coe:Cp258_0138
ko:K00375	coe:Cp258_0140
ko:K06215	coe:Cp258_0141
ko:K08681	coe:Cp258_0142
ko:K06442	coe:Cp258_0979
ko:K00858	coe:Cp258_0980
ko:K03631	coe:Cp258_0981
ko:K05896	coe:Cp258_0987
ko:K01935	coe:Cp258_0988
ko:K03305	coe:Cp258_0989
ko:K00833	coe:Cp258_0990
ko:K01935	coe:Cp258_0991
ko:K06024	coe:Cp258_0992
ko:K06178	coe:Cp258_0993
ko:K00945	coe:Cp258_0994
ko:K03977	coe:Cp258_0995
ko:K02016	coe:Cp258_1000
ko:K02015	coe:Cp258_1002
ko:K02013	coe:Cp258_1003
ko:K03070	coe:Cp258_1009
ko:K08999	coe:Cp258_1012
ko:K03284	coe:Cp258_1021
ko:K03885	coe:Cp258_1023
ko:K00574	coe:Cp258_1024
ko:K05567	coe:Cp258_1829
ko:K05569	coe:Cp258_1831
ko:K05571	coe:Cp258_1833
ko:K06048	coe:Cp258_1835
ko:K01462	coe:Cp258_1838
ko:K01142	coe:Cp258_1840
ko:K06131	coe:Cp258_1841
ko:K00925	coe:Cp258_1848
ko:K13788	coe:Cp258_1849
ko:K00528	coe:Cp258_1850
ko:K08289	coe:Cp258_1852
ko:K07101	coe:Cp258_1853
ko:K07399	coe:Cp258_1861
ko:K03385	coe:Cp258_1863
ko:K15876	coe:Cp258_1864
ko:K01939	coe:Cp258_1865
ko:K01624	coe:Cp258_1876
ko:K00762	coe:Cp258_1879
ko:K02874	coe:Cp258_0366
ko:K02895	coe:Cp258_0367
ko:K02931	coe:Cp258_0368
ko:K03837	coe:Cp258_0370
ko:K01752	coe:Cp258_0371
ko:K03639	coe:Cp258_0375
ko:K02994	coe:Cp258_0377
ko:K02933	coe:Cp258_0378
ko:K02881	coe:Cp258_0379
ko:K02988	coe:Cp258_0380
ko:K02907	coe:Cp258_0381
ko:K02876	coe:Cp258_0382
ko:K03076	coe:Cp258_0393
ko:K01265	coe:Cp258_0395
ko:K02518	coe:Cp258_0398
ko:K02952	coe:Cp258_0399
ko:K02948	coe:Cp258_0400
ko:K02986	coe:Cp258_0401
ko:K03040	coe:Cp258_0402
ko:K02879	coe:Cp258_0403
ko:K06173	coe:Cp258_0404
ko:K03466	coe:Cp258_0409
ko:K02871	coe:Cp258_0413
ko:K02996	coe:Cp258_0414
ko:K03431	coe:Cp258_0415
ko:K01775	coe:Cp258_0420
ko:K06925	coe:Cp258_0421
ko:K07085	coe:Cp258_0423
ko:K07738	coe:Cp258_1244
ko:K01356	coe:Cp258_1246
ko:K00299	coe:Cp258_1256
ko:K03665	coe:Cp258_1258
ko:K01778	coe:Cp258_1261
ko:K00791	coe:Cp258_1262
ko:K06168	coe:Cp258_1267
ko:K03565	coe:Cp258_1268
ko:K03523	coe:Cp258_1271
ko:K00995	coe:Cp258_1277
ko:K09780	coe:Cp258_1278
ko:K03466	coe:Cp258_1281
ko:K01714	coe:Cp258_1284
ko:K00215	coe:Cp258_1286
ko:K00962	coe:Cp258_1287
ko:K02956	coe:Cp258_1288
ko:K11753	coe:Cp258_1290
ko:K02834	coe:Cp258_1296
ko:K02519	coe:Cp258_1297
ko:K01657	coe:Cp258_2105
ko:K00766	coe:Cp258_2107
ko:K13498	coe:Cp258_2108
ko:K01696	coe:Cp258_2110
ko:K01695	coe:Cp258_2111
ko:K14347	coe:Cp258_2113
ko:K07735	coe:Cp258_2117
ko:K03980	coe:Cp258_2122
ko:K03088	coe:Cp258_2123
ko:K00384	coe:Cp258_2125
ko:K03671	coe:Cp258_2126
ko:K01448	coe:Cp258_2127
ko:K03501	coe:Cp258_2131
ko:K03217	coe:Cp258_2132
ko:K03536	coe:Cp258_2133
ko:K02914	coe:Cp258_2134
ko:K02313	coe:Cp258_0001
ko:K02338	coe:Cp258_0003
ko:K03629	coe:Cp258_0004
ko:K02470	coe:Cp258_0006
ko:K02469	coe:Cp258_0011
ko:K02057	coe:Cp258_0018
ko:K02013	coe:Cp258_0032
ko:K02015	coe:Cp258_0033
ko:K02015	coe:Cp258_0034
ko:K04487	coe:Cp258_0869
ko:K00566	coe:Cp258_0871
ko:K01972	coe:Cp258_0874
ko:K02435	coe:Cp258_0876
ko:K02015	coe:Cp258_0882
ko:K02013	coe:Cp258_0883
ko:K02016	coe:Cp258_0884
ko:K02434	coe:Cp258_0887
ko:K06895	coe:Cp258_0889
ko:K05596	coe:Cp258_0890
ko:K01687	coe:Cp258_0893
ko:K01652	coe:Cp258_0896
ko:K01653	coe:Cp258_0897
ko:K00053	coe:Cp258_0898
ko:K00052	coe:Cp258_0903
ko:K02361	coe:Cp258_0908
ko:K01012	coe:Cp258_0914
ko:K01703	coe:Cp258_0917
ko:K01704	coe:Cp258_0918
ko:K00057	coe:Cp258_0921
ko:K00426	coe:Cp258_1720
ko:K02039	coe:Cp258_1725
ko:K02036	coe:Cp258_1727
ko:K02038	coe:Cp258_1728
ko:K02037	coe:Cp258_1729
ko:K06980	coe:Cp258_1736
ko:K01933	coe:Cp258_1738
ko:K00764	coe:Cp258_1739
ko:K11068	coe:Cp258_1743
ko:K01952	coe:Cp258_1744
ko:K01952	coe:Cp258_1745
ko:K01952	coe:Cp258_1746
ko:K00432	coe:Cp258_1747
ko:K01354	coe:Cp258_1748
ko:K01923	coe:Cp258_1750
ko:K01756	coe:Cp258_1751
ko:K01945	coe:Cp258_1754
ko:K00156	coe:Cp258_1764
ko:K00697	coe:Cp258_1770
ko:K01087	coe:Cp258_1772
ko:K00602	coe:Cp258_0651
ko:K10008	coe:Cp258_0652
ko:K10005	coe:Cp258_0653
ko:K10006	coe:Cp258_0654
ko:K10007	coe:Cp258_0655
ko:K01644	coe:Cp258_0656
ko:K02963	coe:Cp258_0659
ko:K02954	coe:Cp258_0660
ko:K02913	coe:Cp258_0661
ko:K02902	coe:Cp258_0662
ko:K02909	coe:Cp258_0663
ko:K02911	coe:Cp258_0664
ko:K03282	coe:Cp258_0669
ko:K00963	coe:Cp258_0672
ko:K03750	coe:Cp258_0673
ko:K03790	coe:Cp258_0674
ko:K15977	coe:Cp258_0676
ko:K07056	coe:Cp258_0682
ko:K01874	coe:Cp258_0683
ko:K03424	coe:Cp258_0684
ko:K02528	coe:Cp258_0686
ko:K00919	coe:Cp258_0687
ko:K03811	coe:Cp258_0692
ko:K00134	coe:Cp258_0698
ko:K00820	coe:Cp258_1512
ko:K01129	coe:Cp258_1516
ko:K01880	coe:Cp258_1521
ko:K00806	coe:Cp258_1526
ko:K03584	coe:Cp258_1527
ko:K00868	coe:Cp258_1529
ko:K07042	coe:Cp258_1531
ko:K09761	coe:Cp258_1533
ko:K03686	coe:Cp258_1534
ko:K03705	coe:Cp258_1535
ko:K00705	coe:Cp258_1540
ko:K01284	coe:Cp258_1543
ko:K03311	coe:Cp258_1550
ko:K07088	coe:Cp258_1555
ko:K02034	coe:Cp258_1558
ko:K06997	coe:Cp258_1562
ko:K07112	coe:Cp258_1563
ko:K00656	coe:Cp258_0256
ko:K00075	coe:Cp258_0259
ko:K00286	coe:Cp258_0268
ko:K02492	coe:Cp258_0275
ko:K01749	coe:Cp258_0276
ko:K13542	coe:Cp258_0277
ko:K01698	coe:Cp258_0278
ko:K01599	coe:Cp258_0281
ko:K00231	coe:Cp258_0282
ko:K01845	coe:Cp258_0284
ko:K07399	coe:Cp258_0288
ko:K02013	coe:Cp258_0290
ko:K02016	coe:Cp258_0291
ko:K02015	coe:Cp258_0292
ko:K02548	coe:Cp258_0296
ko:K01911	coe:Cp258_0297
ko:K01661	coe:Cp258_0298
ko:K02551	coe:Cp258_0301
ko:K03183	coe:Cp258_0304
ko:K13038	coe:Cp258_1139
ko:K03060	coe:Cp258_1140
ko:K00942	coe:Cp258_1141
ko:K01591	coe:Cp258_1144
ko:K01955	coe:Cp258_1145
ko:K01956	coe:Cp258_1146
ko:K01465	coe:Cp258_1147
ko:K00609	coe:Cp258_1148
ko:K02825	coe:Cp258_1149
ko:K07071	coe:Cp258_1150
ko:K03625	coe:Cp258_1153
ko:K02356	coe:Cp258_1154
ko:K03786	coe:Cp258_1156
ko:K01735	coe:Cp258_1157
ko:K00891	coe:Cp258_1158
ko:K01736	coe:Cp258_1159
ko:K00014	coe:Cp258_1161
ko:K07082	coe:Cp258_1162
ko:K07447	coe:Cp258_1163
ko:K01872	coe:Cp258_1164
ko:K07478	coe:Cp258_1165
ko:K01876	coe:Cp258_1167
ko:K01421	coe:Cp258_1170
ko:K01752	coe:Cp258_1174
ko:K01892	coe:Cp258_1180
ko:K11065	coe:Cp258_1182
ko:K00759	coe:Cp258_1186
ko:K03074	coe:Cp258_1188
ko:K03072	coe:Cp258_1189
ko:K03210	coe:Cp258_1190
ko:K03551	coe:Cp258_1191
ko:K03550	coe:Cp258_1192
ko:K01875	coe:Cp258_1993
ko:K03710	coe:Cp258_1994
ko:K03310	coe:Cp258_2004
ko:K01126	coe:Cp258_2007
ko:K04564	coe:Cp258_2013
ko:K08224	coe:Cp258_2016
ko:K07146	coe:Cp258_2027
ko:K03217	coe:Cp258_2030
ko:K09125	coe:Cp258_2032
ko:K00800	coe:Cp258_0535
ko:K03088	coe:Cp258_0538
ko:K03657	coe:Cp258_0549
ko:K10716	coe:Cp258_0550
ko:K03426	coe:Cp258_0551
ko:K03657	coe:Cp258_0552
ko:K07043	coe:Cp258_0554
ko:K11738	coe:Cp258_0570
ko:K02836	coe:Cp258_0578
ko:K09812	coe:Cp258_0581
ko:K09811	coe:Cp258_0582
ko:K03664	coe:Cp258_0583
ko:K01673	coe:Cp258_0587
ko:K02016	coe:Cp258_0589
ko:K02015	coe:Cp258_0590
ko:K02015	coe:Cp258_0591
ko:K01870	coe:Cp258_1406
ko:K02221	coe:Cp258_1409
ko:K09772	coe:Cp258_1410
ko:K05810	coe:Cp258_1412
ko:K03531	coe:Cp258_1413
ko:K03589	coe:Cp258_1414
ko:K01924	coe:Cp258_1415
ko:K02563	coe:Cp258_1417
ko:K03588	coe:Cp258_1418
ko:K01925	coe:Cp258_1419
ko:K01000	coe:Cp258_1420
ko:K01929	coe:Cp258_1421
ko:K01928	coe:Cp258_1422
ko:K03587	coe:Cp258_1423
ko:K03438	coe:Cp258_1425
ko:K03925	coe:Cp258_1426
ko:K00297	coe:Cp258_1431
ko:K01626	coe:Cp258_1436
ko:K00655	coe:Cp258_1439
ko:K02276	coe:Cp258_1448
ko:K02275	coe:Cp258_1450
ko:K01953	coe:Cp258_1451
ko:K02231	coe:Cp258_1455
ko:K00768	coe:Cp258_1456
ko:K02233	coe:Cp258_1457
ko:K00773	coe:Cp258_0147
ko:K02343	coe:Cp258_0156
ko:K09747	coe:Cp258_0157
ko:K06187	coe:Cp258_0158
ko:K01649	coe:Cp258_0170
ko:K05346	coe:Cp258_0171
ko:K00928	coe:Cp258_0181
ko:K00133	coe:Cp258_0183
ko:K03088	coe:Cp258_0184
ko:K03781	coe:Cp258_0185
ko:K02011	coe:Cp258_0191
ko:K02012	coe:Cp258_0192
ko:K02445	coe:Cp258_0193
ko:K05571	coe:Cp258_0196
ko:K05569	coe:Cp258_0198
ko:K03820	coe:Cp258_1031
ko:K07113	coe:Cp258_1032
ko:K02229	coe:Cp258_1034
ko:K06042	coe:Cp258_1035
ko:K05895	coe:Cp258_1037
ko:K05936	coe:Cp258_1038
ko:K03118	coe:Cp258_1044
ko:K03116	coe:Cp258_1045
ko:K01938	coe:Cp258_1057
ko:K01744	coe:Cp258_1058
ko:K07791	coe:Cp258_1060
ko:K00765	coe:Cp258_1061
ko:K06153	coe:Cp258_1067
ko:K05881	coe:Cp258_1074
ko:K05879	coe:Cp258_1075
ko:K05878	coe:Cp258_1076
ko:K00111	coe:Cp258_1882
ko:K03695	coe:Cp258_1889
ko:K03312	coe:Cp258_1893
ko:K02003	coe:Cp258_1903
ko:K03686	coe:Cp258_1913
ko:K03687	coe:Cp258_1914
ko:K04043	coe:Cp258_1915
ko:K03306	coe:Cp258_1924
ko:K02013	coe:Cp258_1930
ko:K02015	coe:Cp258_1931
ko:K02016	coe:Cp258_1932
ko:K03190	coe:Cp258_1933
ko:K03189	coe:Cp258_1934
ko:K03188	coe:Cp258_1935
ko:K03187	coe:Cp258_1936
ko:K01428	coe:Cp258_1937
ko:K03789	coe:Cp258_0426
ko:K04078	coe:Cp258_0428
ko:K04077	coe:Cp258_0429
ko:K03088	coe:Cp258_0430
ko:K01951	coe:Cp258_0436
ko:K02072	coe:Cp258_0443
ko:K02071	coe:Cp258_0444
ko:K02073	coe:Cp258_0445
ko:K02073	coe:Cp258_0447
ko:K03216	coe:Cp258_0455
ko:K01491	coe:Cp258_0456
ko:K00641	coe:Cp258_0458
ko:K02016	coe:Cp258_0461
ko:K02015	coe:Cp258_0462
ko:K02013	coe:Cp258_0463
ko:K01740	coe:Cp258_0465
ko:K00031	coe:Cp258_0466
ko:K01142	coe:Cp258_0469
ko:K01867	coe:Cp258_0471
ko:K07058	coe:Cp258_0472
ko:K00761	coe:Cp258_0478
ko:K07742	coe:Cp258_1298
ko:K02600	coe:Cp258_1299
ko:K09748	coe:Cp258_1300
ko:K01881	coe:Cp258_1302
ko:K09861	coe:Cp258_1303
ko:K02224	coe:Cp258_1308
ko:K00116	coe:Cp258_1312
ko:K02232	coe:Cp258_1317
ko:K01265	coe:Cp258_1318
ko:K00099	coe:Cp258_1322
ko:K06941	coe:Cp258_1325
ko:K00981	coe:Cp258_1327
ko:K02838	coe:Cp258_1328
ko:K09903	coe:Cp258_1329
ko:K02357	coe:Cp258_1330
ko:K02967	coe:Cp258_1331
ko:K03733	coe:Cp258_1333
ko:K04096	coe:Cp258_1334
ko:K03470	coe:Cp258_1337
ko:K03100	coe:Cp258_1338
ko:K02884	coe:Cp258_1339
