ko:K04044	ypy:YPK_1280
ko:K02409	ypy:YPK_0711
ko:K02412	ypy:YPK_2394
ko:K02335	ypy:YPK_4195
ko:K07462	ypy:YPK_0922
ko:K01760	ypy:YPK_0671
ko:K01755	ypy:YPK_4087
ko:K05799	ypy:YPK_3492
ko:K05793	ypy:YPK_3875
ko:K11733	ypy:YPK_2752
ko:K07052	ypy:YPK_0793
ko:K03602	ypy:YPK_3251
ko:K05366	ypy:YPK_0219
ko:K01012	ypy:YPK_2931
ko:K02841	ypy:YPK_4148
ko:K02902	ypy:YPK_4154
ko:K03630	ypy:YPK_4155
ko:K02337	ypy:YPK_1081
ko:K05775	ypy:YPK_0382
ko:K03499	ypy:YPK_0313
ko:K02879	ypy:YPK_0309
ko:K02986	ypy:YPK_0307
ko:K06207	ypy:YPK_4188
ko:K03673	ypy:YPK_4196
ko:K06726	ypy:YPK_4210
ko:K03558	ypy:YPK_1534
ko:K06173	ypy:YPK_1529
ko:K08296	ypy:YPK_1511
ko:K02196	ypy:YPK_1499
ko:K02195	ypy:YPK_1498
ko:K02194	ypy:YPK_1497
ko:K08305	ypy:YPK_1464
ko:K03528	ypy:YPK_1431
ko:K02777	ypy:YPK_1426
ko:K03187	ypy:YPK_1134
ko:K00850	ypy:YPK_4126
ko:K01610	ypy:YPK_0174
ko:K04567	ypy:YPK_0924
ko:K00484	ypy:YPK_2452
ko:K01889	ypy:YPK_1824
ko:K01429	ypy:YPK_1132
ko:K00954	ypy:YPK_4151
ko:K03500	ypy:YPK_0314
ko:K02553	ypy:YPK_4106
ko:K01876	ypy:YPK_2148
ko:K01657	ypy:YPK_2042
ko:K05851	ypy:YPK_4015
ko:K02822	ypy:YPK_1547
ko:K07568	ypy:YPK_3265
ko:K03547	ypy:YPK_3277
ko:K00112	ypy:YPK_3990
ko:K05787	ypy:YPK_0354
ko:K00123	ypy:YPK_0038
ko:K00813	ypy:YPK_2650
ko:K01546	ypy:YPK_1159
ko:K01547	ypy:YPK_1158
ko:K01548	ypy:YPK_1157
ko:K05788	ypy:YPK_2667
ko:K03654	ypy:YPK_3998
ko:K00483	ypy:YPK_2453
ko:K08722	ypy:YPK_1557
ko:K02336	ypy:YPK_3546
ko:K02346	ypy:YPK_3296
ko:K01883	ypy:YPK_3152
ko:K01585	ypy:YPK_0845
ko:K01430	ypy:YPK_1131
ko:K07300	ypy:YPK_2233
ko:K06217	ypy:YPK_2235
ko:K02405	ypy:YPK_2380
ko:K02408	ypy:YPK_2390
ko:K02409	ypy:YPK_2391
ko:K02410	ypy:YPK_2392
