ko:K00887	lpb:SH83_08180
ko:K19973	lpb:SH83_04530
ko:K03483	lpb:SH83_00975
ko:K08153	lpb:SH83_03095
ko:K21680	lpb:SH83_07560
ko:K01007	lpb:SH83_07920
ko:K21285	lpb:SH83_08220
ko:K02777	lpb:SH83_03570
ko:K02777	lpb:SH83_14595
ko:K02777	lpb:SH83_12590
ko:K19225	lpb:SH83_06525
ko:K01621	lpb:SH83_14735
ko:K01239	lpb:SH83_10975
ko:K01621	lpb:SH83_11210
ko:K01239	lpb:SH83_11910
ko:K05881	lpb:SH83_00715
ko:K01710	lpb:SH83_04965
ko:K00571	lpb:SH83_09640
ko:K04042	lpb:SH83_02050
ko:K17836	lpb:SH83_02055
ko:K00948	lpb:SH83_02060
ko:K06885	lpb:SH83_02080
ko:K03048	lpb:SH83_02095
ko:K01937	lpb:SH83_02100
ko:K01875	lpb:SH83_02105
ko:K03837	lpb:SH83_02110
ko:K01752	lpb:SH83_02115
ko:K01752	lpb:SH83_02120
ko:K00790	lpb:SH83_02135
ko:K03628	lpb:SH83_02140
ko:K02909	lpb:SH83_02145
ko:K07284	lpb:SH83_02155
ko:K03744	lpb:SH83_02160
ko:K03799	lpb:SH83_02165
ko:K01929	lpb:SH83_02175
ko:K05592	lpb:SH83_02180
ko:K00997	lpb:SH83_02185
ko:K01775	lpb:SH83_02190
ko:K07171	lpb:SH83_02195
ko:K03549	lpb:SH83_02200
ko:K01955	lpb:SH83_02205
ko:K01956	lpb:SH83_02210
ko:K00145	lpb:SH83_02215
ko:K00620	lpb:SH83_02220
ko:K00930	lpb:SH83_02225
ko:K00611	lpb:SH83_02235
ko:K00016	lpb:SH83_02260
ko:K01056	lpb:SH83_02265
ko:K03723	lpb:SH83_02270
ko:K13052	lpb:SH83_02285
ko:K07571	lpb:SH83_02290
ko:K04075	lpb:SH83_02295
ko:K00760	lpb:SH83_02300
ko:K03798	lpb:SH83_02305
ko:K04083	lpb:SH83_02310
ko:K04567	lpb:SH83_02320
ko:K03305	lpb:SH83_02350
ko:K02890	lpb:SH83_04295
ko:K02982	lpb:SH83_04300
ko:K02878	lpb:SH83_04305
ko:K02904	lpb:SH83_04310
ko:K02961	lpb:SH83_04315
ko:K02874	lpb:SH83_04320
ko:K02895	lpb:SH83_04325
ko:K02931	lpb:SH83_04330
ko:K02954	lpb:SH83_04335
ko:K02994	lpb:SH83_04340
ko:K02933	lpb:SH83_04345
ko:K02881	lpb:SH83_04350
ko:K02988	lpb:SH83_04355
ko:K02907	lpb:SH83_04360
ko:K02876	lpb:SH83_04365
ko:K03076	lpb:SH83_04370
ko:K00939	lpb:SH83_04375
ko:K02518	lpb:SH83_04380
ko:K02952	lpb:SH83_04385
ko:K02948	lpb:SH83_04390
ko:K03040	lpb:SH83_04395
ko:K02879	lpb:SH83_04400
ko:K00805	lpb:SH83_04405
ko:K00805	lpb:SH83_04410
ko:K03885	lpb:SH83_04420
ko:K03734	lpb:SH83_04430
ko:K16786	lpb:SH83_04435
ko:K16787	lpb:SH83_04440
ko:K16785	lpb:SH83_04445
ko:K06173	lpb:SH83_04450
ko:K02871	lpb:SH83_04455
ko:K02996	lpb:SH83_04460
ko:K00615	lpb:SH83_04480
ko:K00014	lpb:SH83_04485
