ko:K02495	eld:i02_4409
ko:K18838	eld:i02_2332
ko:K18138	eld:i02_0557
ko:K05396	eld:i02_2149
ko:K03761	eld:i02_2908
ko:K03297	eld:i02_2167
ko:K16345	eld:i02_4141
ko:K10014	eld:i02_2649
ko:K16371	eld:i02_3577
ko:K01990	eld:i02_0843
ko:K14219	eld:i02_t016
ko:K14219	eld:i02_t017
ko:K19162	eld:i02_0556
ko:K21901	eld:i02_3975
ko:K21907	eld:i02_3991
ko:K14236	eld:i02_t044
ko:K14236	eld:i02_t078
ko:K14236	eld:i02_t077
ko:K02054	eld:i02_1690
ko:K21908	eld:i02_3990
ko:K02226	eld:i02_0698
ko:K03722	eld:i02_2032
ko:K21906	eld:i02_3995
ko:K02345	eld:i02_2070
ko:K16301	eld:i02_1057
ko:K00254	eld:i02_0989
ko:K03585	eld:i02_1591
ko:K18140	eld:i02_3712
ko:K16348	eld:i02_4743
ko:K16347	eld:i02_4742
ko:K10109	eld:i02_4588
ko:K18139	eld:i02_1594
ko:K18968	eld:i02_0474
ko:K10906	eld:i02_1283
ko:K14218	eld:i02_t070
ko:K16092	eld:i02_4520
ko:K00971	eld:i02_2374
ko:K16089	eld:i02_3295
ko:K11745	eld:i02_0049
ko:K05372	eld:i02_2240
ko:K16138	eld:i02_1830
ko:K16139	eld:i02_1828
ko:K16088	eld:i02_1256
ko:K16089	eld:i02_2489
ko:K19611	eld:i02_1144
ko:K14228	eld:i02_t083
ko:K14233	eld:i02_t080
ko:K16090	eld:i02_0854
ko:K14220	eld:i02_t020
ko:K14220	eld:i02_t021
ko:K14220	eld:i02_t072
ko:K14220	eld:i02_t071
ko:K14232	eld:i02_t022
ko:K14219	eld:i02_t023
ko:K14224	eld:i02_t033
ko:K14224	eld:i02_t047
ko:K14224	eld:i02_t069
ko:K14224	eld:i02_t040
ko:K16136	eld:i02_1832
ko:K14219	eld:i02_t064
ko:K14219	eld:i02_t068
ko:K14219	eld:i02_t067
ko:K14219	eld:i02_t066
ko:K14219	eld:i02_t065
ko:K14233	eld:i02_t063
ko:K14230	eld:i02_t027
ko:K14230	eld:i02_t061
ko:K14230	eld:i02_t029
ko:K14230	eld:i02_t028
ko:K16140	eld:i02_1827
ko:K14225	eld:i02_t062
ko:K14231	eld:i02_t030
ko:K14231	eld:i02_t055
ko:K14230	eld:i02_t031
ko:K14228	eld:i02_t060
ko:K14234	eld:i02_t059
ko:K14232	eld:i02_t056
ko:K14219	eld:i02_t036
ko:K14226	eld:i02_t037
ko:K16137	eld:i02_1864
ko:K14234	eld:i02_t046
ko:K02550	eld:i02_3395
ko:K07347	eld:i02_0157
ko:K07347	eld:i02_1135
ko:K02014	eld:i02_0170
ko:K02014	eld:i02_0286
ko:K02014	eld:i02_3316
ko:K05875	eld:i02_2119
ko:K00130	eld:i02_0417
ko:K02016	eld:i02_2321
ko:K02015	eld:i02_2320
ko:K02013	eld:i02_2319
ko:K07480	eld:i02_3280
ko:K02468	eld:i02_2992
ko:K02467	eld:i02_2993
ko:K12266	eld:i02_2994
ko:K12264	eld:i02_2995
ko:K12265	eld:i02_2997
ko:K04656	eld:i02_2998
ko:K05796	eld:i02_2999
ko:K08315	eld:i02_3006
ko:K15834	eld:i02_3007
ko:K15832	eld:i02_3008
ko:K15831	eld:i02_3009
ko:K14415	eld:i02_3869
ko:K14414	eld:i02_3870
ko:K02444	eld:i02_3872
ko:K02439	eld:i02_3874
ko:K00111	eld:i02_3875
ko:K07347	eld:i02_3883
ko:K00688	eld:i02_3886
ko:K00703	eld:i02_3887
ko:K00975	eld:i02_3888
ko:K00133	eld:i02_3891
ko:K03654	eld:i02_3894
ko:K06156	eld:i02_3895
ko:K06145	eld:i02_3897
ko:K06911	eld:i02_3898
ko:K01126	eld:i02_3908
ko:K05813	eld:i02_3912
ko:K01996	eld:i02_3914
ko:K01995	eld:i02_3915
ko:K01998	eld:i02_3916
ko:K01997	eld:i02_3917
ko:K01999	eld:i02_3918
ko:K01999	eld:i02_3923
ko:K00164	eld:i02_0773
ko:K00658	eld:i02_0774
ko:K01903	eld:i02_0775
ko:K01902	eld:i02_0776
ko:K00425	eld:i02_0781
ko:K00426	eld:i02_0782
ko:K07107	eld:i02_0785
ko:K03562	eld:i02_0786
ko:K03641	eld:i02_0789
ko:K03640	eld:i02_0790
ko:K03517	eld:i02_0793
ko:K03811	eld:i02_0794
ko:K01626	eld:i02_0797
ko:K12524	eld:i02_0001
ko:K00872	eld:i02_0002
ko:K01733	eld:i02_0003
ko:K09861	eld:i02_0006
ko:K03310	eld:i02_0007
ko:K03831	eld:i02_0009
ko:K04043	eld:i02_0013
ko:K03686	eld:i02_0014
ko:K14441	eld:i02_0884
ko:K11534	eld:i02_0889
ko:K08160	eld:i02_0891
ko:K07085	eld:i02_0896
ko:K11073	eld:i02_0903
ko:K11076	eld:i02_0904
ko:K11075	eld:i02_0905
ko:K03212	eld:i02_0908
ko:K09996	eld:i02_0909
ko:K09999	eld:i02_0911
ko:K09997	eld:i02_0912
ko:K11066	eld:i02_0916
ko:K01620	eld:i02_0919
ko:K00156	eld:i02_0920
ko:K11933	eld:i02_0921
ko:K06188	eld:i02_0925
ko:K09824	eld:i02_0928
ko:K13888	eld:i02_0930
ko:K05685	eld:i02_0931
ko:K03704	eld:i02_0932
ko:K06891	eld:i02_0933
ko:K03694	eld:i02_0934
ko:K02518	eld:i02_0935
ko:K00684	eld:i02_0936
ko:K00384	eld:i02_0939
ko:K00325	eld:i02_1814
ko:K00324	eld:i02_1815
ko:K03758	eld:i02_1817
ko:K13938	eld:i02_1818
ko:K07661	eld:i02_1820
ko:K07639	eld:i02_1821
ko:K01676	eld:i02_1824
ko:K01809	eld:i02_1825
ko:K01195	eld:i02_1829
ko:K14155	eld:i02_1834
ko:K10773	eld:i02_1846
ko:K03305	eld:i02_1848
ko:K00868	eld:i02_1850
ko:K01866	eld:i02_1851
ko:K00275	eld:i02_1852
ko:K09001	eld:i02_1854
ko:K06077	eld:i02_1855
ko:K06938	eld:i02_1863
ko:K10680	eld:i02_1865
ko:K03683	eld:i02_1867
ko:K07390	eld:i02_1870
ko:K11537	eld:i02_2736
ko:K03815	eld:i02_2737
ko:K14347	eld:i02_2741
