ko:K18893	mhq:D650_5830
ko:K02058	mhq:D650_15600
ko:K03297	mhq:D650_26740
ko:K02487	mhq:D650_16600
ko:K07464	mhq:D650_13780
ko:K18136	mhq:D650_12430
ko:K18843	mhq:D650_13590
ko:K01185	mhq:D650_13040
ko:K03746	mhq:D650_13670
ko:K07724	mhq:D650_22270
ko:K19227	mhq:D650_13190
ko:K01139	mhq:D650_23930
ko:K19230	mhq:D650_7630
ko:K07316	mhq:D650_11440
ko:K07012	mhq:D650_13880
ko:K07662	mhq:D650_11640
ko:K19229	mhq:D650_13170
ko:K01420	mhq:D650_12550
ko:K07316	mhq:D650_11450
ko:K04017	mhq:D650_22450
ko:K03604	mhq:D650_17080
ko:K05366	mhq:D650_7550
ko:K00891	mhq:D650_7570
ko:K01735	mhq:D650_7580
ko:K03308	mhq:D650_7600
ko:K00927	mhq:D650_7610
ko:K01624	mhq:D650_7620
ko:K02380	mhq:D650_7680
ko:K02379	mhq:D650_7730
ko:K07088	mhq:D650_7740
ko:K01883	mhq:D650_7770
ko:K00872	mhq:D650_7780
ko:K12524	mhq:D650_7790
ko:K04564	mhq:D650_7800
ko:K01775	mhq:D650_7810
ko:K03581	mhq:D650_7820
ko:K01810	mhq:D650_7850
ko:K06920	mhq:D650_7880
ko:K01737	mhq:D650_7890
ko:K14260	mhq:D650_7960
ko:K05786	mhq:D650_7970
ko:K04066	mhq:D650_7990
ko:K12055	mhq:D650_16780
ko:K03601	mhq:D650_16790
ko:K08304	mhq:D650_16800
ko:K00764	mhq:D650_16820
ko:K03558	mhq:D650_16830
ko:K01940	mhq:D650_16850
ko:K07574	mhq:D650_16880
ko:K07140	mhq:D650_16940
ko:K03602	mhq:D650_16950
ko:K00795	mhq:D650_16960
ko:K01091	mhq:D650_3060
ko:K13292	mhq:D650_3070
ko:K08311	mhq:D650_3090
ko:K01070	mhq:D650_3130
ko:K13979	mhq:D650_3140
ko:K09936	mhq:D650_3220
ko:K07001	mhq:D650_3270
ko:K02553	mhq:D650_3280
ko:K00796	mhq:D650_3320
ko:K07112	mhq:D650_3360
ko:K03781	mhq:D650_3380
ko:K03686	mhq:D650_3390
ko:K04043	mhq:D650_3410
ko:K03665	mhq:D650_3470
ko:K03666	mhq:D650_3480
ko:K00791	mhq:D650_3490
ko:K03572	mhq:D650_3520
ko:K00147	mhq:D650_3530
ko:K07058	mhq:D650_3540
ko:K07560	mhq:D650_3550
ko:K03311	mhq:D650_3570
ko:K00645	mhq:D650_3600
ko:K09765	mhq:D650_3610
ko:K09748	mhq:D650_12090
ko:K08309	mhq:D650_12110
ko:K03113	mhq:D650_12120
ko:K01591	mhq:D650_12130
ko:K05788	mhq:D650_12160
ko:K02945	mhq:D650_12170
ko:K00945	mhq:D650_12180
ko:K04691	mhq:D650_12190
ko:K04764	mhq:D650_12210
ko:K01890	mhq:D650_12220
ko:K01889	mhq:D650_12230
ko:K06956	mhq:D650_12260
ko:K09861	mhq:D650_12310
ko:K02996	mhq:D650_12350
ko:K02871	mhq:D650_12360
ko:K09908	mhq:D650_12370
ko:K01951	mhq:D650_12380
ko:K09904	mhq:D650_12440
ko:K07014	mhq:D650_12450
ko:K08159	mhq:D650_12460
ko:K03632	mhq:D650_12480
ko:K03804	mhq:D650_12490
ko:K03633	mhq:D650_12500
ko:K00963	mhq:D650_12510
ko:K03563	mhq:D650_12520
ko:K01872	mhq:D650_12530
ko:K00208	mhq:D650_12560
ko:K01147	mhq:D650_12590
ko:K02939	mhq:D650_21150
ko:K02963	mhq:D650_21160
ko:K02686	mhq:D650_21170
ko:K02990	mhq:D650_21180
ko:K01945	mhq:D650_21190
ko:K00705	mhq:D650_21210
ko:K03811	mhq:D650_21220
ko:K06178	mhq:D650_21250
ko:K01657	mhq:D650_21270
ko:K00766	mhq:D650_21300
ko:K02426	mhq:D650_21320
ko:K01358	mhq:D650_21330
ko:K03544	mhq:D650_21340
ko:K00912	mhq:D650_21390
ko:K09791	mhq:D650_21400
ko:K00297	mhq:D650_21430
ko:K02015	mhq:D650_21470
ko:K02013	mhq:D650_21480
ko:K08218	mhq:D650_21540
ko:K02013	mhq:D650_21550
ko:K02016	mhq:D650_21560
ko:K02015	mhq:D650_21580
ko:K09816	mhq:D650_16980
ko:K07478	mhq:D650_16990
ko:K03571	mhq:D650_17000
ko:K03570	mhq:D650_17010
