ko:K02028	ssw:SSGZ1_0443
ko:K06148	ssw:SSGZ1_0933
ko:K19689	ssw:SSGZ1_1765
ko:K10040	ssw:SSGZ1_1211
ko:K03790	ssw:SSGZ1_1045
ko:K13677	ssw:SSGZ1_1216
ko:K10041	ssw:SSGZ1_1208
ko:K02424	ssw:SSGZ1_1879
ko:K10039	ssw:SSGZ1_1209
ko:K10009	ssw:SSGZ1_1878
ko:K00549	ssw:SSGZ1_1599
ko:K00297	ssw:SSGZ1_1600
ko:K06901	ssw:SSGZ1_1601
ko:K01875	ssw:SSGZ1_1607
ko:K03427	ssw:SSGZ1_1608
ko:K01154	ssw:SSGZ1_1609
ko:K01153	ssw:SSGZ1_1610
ko:K01962	ssw:SSGZ1_1617
ko:K01963	ssw:SSGZ1_1618
ko:K01961	ssw:SSGZ1_1619
ko:K03570	ssw:SSGZ1_0017
ko:K03571	ssw:SSGZ1_0018
ko:K00948	ssw:SSGZ1_0020
ko:K03584	ssw:SSGZ1_0022
ko:K03621	ssw:SSGZ1_0023
ko:K02078	ssw:SSGZ1_0024
ko:K01923	ssw:SSGZ1_0025
ko:K01952	ssw:SSGZ1_0026
ko:K00764	ssw:SSGZ1_0027
ko:K01933	ssw:SSGZ1_0028
ko:K11175	ssw:SSGZ1_0029
ko:K00602	ssw:SSGZ1_0030
ko:K01945	ssw:SSGZ1_0031
ko:K01588	ssw:SSGZ1_0032
ko:K01589	ssw:SSGZ1_0033
ko:K01756	ssw:SSGZ1_0036
ko:K03551	ssw:SSGZ1_0045
ko:K11754	ssw:SSGZ1_0051
ko:K03572	ssw:SSGZ1_0055
ko:K03550	ssw:SSGZ1_0056
ko:K01246	ssw:SSGZ1_0057
ko:K07447	ssw:SSGZ1_0062
ko:K02787	ssw:SSGZ1_0916
ko:K02788	ssw:SSGZ1_0916
ko:K02531	ssw:SSGZ1_0918
ko:K03575	ssw:SSGZ1_0930
ko:K06180	ssw:SSGZ1_0935
ko:K00858	ssw:SSGZ1_0936
ko:K00948	ssw:SSGZ1_0939
ko:K04487	ssw:SSGZ1_0940
ko:K01926	ssw:SSGZ1_0943
ko:K07010	ssw:SSGZ1_0944
ko:K03630	ssw:SSGZ1_0945
ko:K02469	ssw:SSGZ1_0947
ko:K02057	ssw:SSGZ1_0951
ko:K02057	ssw:SSGZ1_0952
ko:K07335	ssw:SSGZ1_0954
ko:K00756	ssw:SSGZ1_0957
ko:K02968	ssw:SSGZ1_0960
ko:K02039	ssw:SSGZ1_0965
ko:K02036	ssw:SSGZ1_0966
ko:K04083	ssw:SSGZ1_1785
ko:K03811	ssw:SSGZ1_1788
ko:K03696	ssw:SSGZ1_1790
ko:K02357	ssw:SSGZ1_1794
ko:K02967	ssw:SSGZ1_1795
ko:K03073	ssw:SSGZ1_1799
ko:K02913	ssw:SSGZ1_1800
ko:K06180	ssw:SSGZ1_1803
ko:K09760	ssw:SSGZ1_1807
ko:K01783	ssw:SSGZ1_1809
ko:K06949	ssw:SSGZ1_1810
ko:K02528	ssw:SSGZ1_1817
ko:K05985	ssw:SSGZ1_1825
ko:K03424	ssw:SSGZ1_1826
ko:K02914	ssw:SSGZ1_1827
ko:K03217	ssw:SSGZ1_1829
ko:K03536	ssw:SSGZ1_1830
ko:K01755	ssw:SSGZ1_1831
ko:K01940	ssw:SSGZ1_1832
ko:K04567	ssw:SSGZ1_0509
ko:K03588	ssw:SSGZ1_0517
ko:K01595	ssw:SSGZ1_0518
ko:K03088	ssw:SSGZ1_0519
ko:K02358	ssw:SSGZ1_0521
ko:K01803	ssw:SSGZ1_0522
ko:K06885	ssw:SSGZ1_0525
ko:K02337	ssw:SSGZ1_0533
ko:K00850	ssw:SSGZ1_0534
ko:K00873	ssw:SSGZ1_0535
ko:K03100	ssw:SSGZ1_0539
ko:K00820	ssw:SSGZ1_0540
ko:K02029	ssw:SSGZ1_0541
ko:K00931	ssw:SSGZ1_0548
ko:K00147	ssw:SSGZ1_0549
ko:K00286	ssw:SSGZ1_0550
ko:K09861	ssw:SSGZ1_0554
ko:K07461	ssw:SSGZ1_1399
ko:K01118	ssw:SSGZ1_1401
ko:K05592	ssw:SSGZ1_1405
ko:K00868	ssw:SSGZ1_1411
ko:K04042	ssw:SSGZ1_1415
ko:K02003	ssw:SSGZ1_1425
ko:K05847	ssw:SSGZ1_1432
ko:K13292	ssw:SSGZ1_1436
ko:K01809	ssw:SSGZ1_1438
ko:K06959	ssw:SSGZ1_1444
ko:K07058	ssw:SSGZ1_1448
ko:K01265	ssw:SSGZ1_1449
ko:K00790	ssw:SSGZ1_1451
ko:K00789	ssw:SSGZ1_1453
ko:K02003	ssw:SSGZ1_0224
ko:K03310	ssw:SSGZ1_0225
ko:K00262	ssw:SSGZ1_0228
ko:K07282	ssw:SSGZ1_0230
ko:K01421	ssw:SSGZ1_0236
ko:K02440	ssw:SSGZ1_0244
ko:K06915	ssw:SSGZ1_0245
ko:K02913	ssw:SSGZ1_0252
ko:K02911	ssw:SSGZ1_0253
ko:K01892	ssw:SSGZ1_0254
ko:K04072	ssw:SSGZ1_0257
ko:K01733	ssw:SSGZ1_0258
ko:K07166	ssw:SSGZ1_0271
ko:K09157	ssw:SSGZ1_0272
ko:K03705	ssw:SSGZ1_0274
ko:K03687	ssw:SSGZ1_0275
ko:K04043	ssw:SSGZ1_0276
ko:K03686	ssw:SSGZ1_0277
ko:K01448	ssw:SSGZ1_1146
ko:K00067	ssw:SSGZ1_1148
ko:K01790	ssw:SSGZ1_1151
ko:K00973	ssw:SSGZ1_1152
ko:K07238	ssw:SSGZ1_1153
ko:K06967	ssw:SSGZ1_1155
ko:K00651	ssw:SSGZ1_1157
ko:K00759	ssw:SSGZ1_1158
ko:K07462	ssw:SSGZ1_1160
ko:K06131	ssw:SSGZ1_1161
ko:K07124	ssw:SSGZ1_1163
ko:K03665	ssw:SSGZ1_1166
ko:K00791	ssw:SSGZ1_1167
ko:K03449	ssw:SSGZ1_1169
ko:K00077	ssw:SSGZ1_1174
ko:K00243	ssw:SSGZ1_1175
ko:K02838	ssw:SSGZ1_1176
ko:K09903	ssw:SSGZ1_1177
ko:K02863	ssw:SSGZ1_1181
ko:K02867	ssw:SSGZ1_1182
ko:K00969	ssw:SSGZ1_0334
ko:K09710	ssw:SSGZ1_0338
ko:K01462	ssw:SSGZ1_0347
ko:K00705	ssw:SSGZ1_0349
ko:K00688	ssw:SSGZ1_0350
ko:K07146	ssw:SSGZ1_0360
ko:K03704	ssw:SSGZ1_0364
ko:K03501	ssw:SSGZ1_0365
ko:K05366	ssw:SSGZ1_0366
ko:K07444	ssw:SSGZ1_0371
ko:K07173	ssw:SSGZ1_0373
ko:K00942	ssw:SSGZ1_0375
ko:K03060	ssw:SSGZ1_0376
ko:K04066	ssw:SSGZ1_0377
ko:K00604	ssw:SSGZ1_0378
ko:K03500	ssw:SSGZ1_0379
