ko:K04042	bmt:BSUIS_B0579
ko:K01991	bmt:BSUIS_B0420
ko:K14981	bmt:BSUIS_A1933
ko:K01972	bmt:BSUIS_A1471
ko:K02412	bmt:BSUIS_B0135
ko:K07462	bmt:BSUIS_A1319
ko:K03575	bmt:BSUIS_A0521
ko:K00568	bmt:BSUIS_A1713
ko:K06998	bmt:BSUIS_A1425
ko:K11719	bmt:BSUIS_A0156
ko:K02340	bmt:BSUIS_A1898
ko:K03787	bmt:BSUIS_A0924
ko:K02337	bmt:BSUIS_A0864
ko:K10773	bmt:BSUIS_A0167
ko:K01687	bmt:BSUIS_A0103
ko:K00598	bmt:BSUIS_A1508
ko:K01962	bmt:BSUIS_A1873
ko:K00161	bmt:BSUIS_A1178
ko:K03587	bmt:BSUIS_A1489
ko:K02469	bmt:BSUIS_A1146
ko:K01588	bmt:BSUIS_B1220
ko:K02874	bmt:BSUIS_A1272
ko:K01247	bmt:BSUIS_B1124
ko:K01465	bmt:BSUIS_B0597
ko:K02601	bmt:BSUIS_A1296
ko:K03076	bmt:BSUIS_A1262
ko:K01589	bmt:BSUIS_B1221
ko:K00166	bmt:BSUIS_B0519
ko:K01892	bmt:BSUIS_B0190
ko:K05788	bmt:BSUIS_A0154
ko:K03500	bmt:BSUIS_B1292
ko:K01889	bmt:BSUIS_A1962
ko:K01266	bmt:BSUIS_B0527
ko:K01653	bmt:BSUIS_A1439
ko:K00609	bmt:BSUIS_B0596
ko:K03555	bmt:BSUIS_A0148
ko:K00130	bmt:BSUIS_A0580
ko:K00240	bmt:BSUIS_A1741
ko:K11381	bmt:BSUIS_B0034
ko:K05366	bmt:BSUIS_A0612
ko:K02358	bmt:BSUIS_A1284
ko:K04075	bmt:BSUIS_B1168
ko:K01695	bmt:BSUIS_A1948
ko:K00208	bmt:BSUIS_A0445
ko:K00052	bmt:BSUIS_B0882
ko:K01580	bmt:BSUIS_B0344
ko:K00925	bmt:BSUIS_B0391
ko:K02863	bmt:BSUIS_A1294
ko:K03449	bmt:BSUIS_A0589
ko:K03043	bmt:BSUIS_A1291
ko:K00133	bmt:BSUIS_B0879
ko:K02046	bmt:BSUIS_A1379
ko:K01613	bmt:BSUIS_A0469
ko:K03558	bmt:BSUIS_A0474
ko:K02939	bmt:BSUIS_A0478
ko:K02963	bmt:BSUIS_A0480
ko:K02990	bmt:BSUIS_A0481
ko:K09458	bmt:BSUIS_A0487
ko:K07082	bmt:BSUIS_A0488
ko:K00942	bmt:BSUIS_A0490
ko:K03568	bmt:BSUIS_A0491
ko:K02274	bmt:BSUIS_A0495
ko:K03455	bmt:BSUIS_A1375
ko:K07002	bmt:BSUIS_A1377
ko:K02047	bmt:BSUIS_A1378
