ko:K01893	tpc:TPECDC2_0609
ko:K09013	tpc:TPECDC2_0611
ko:K09014	tpc:TPECDC2_0612
ko:K11717	tpc:TPECDC2_0614
ko:K01807	tpc:TPECDC2_0616
ko:K08307	tpc:TPECDC2_0623
ko:K03547	tpc:TPECDC2_0626
ko:K00763	tpc:TPECDC2_0628
ko:K03412	tpc:TPECDC2_0631
ko:K01867	tpc:TPECDC2_0632
ko:K03424	tpc:TPECDC2_0994
ko:K04773	tpc:TPECDC2_0997
ko:K03310	tpc:TPECDC2_0998
ko:K03466	tpc:TPECDC2_0999
ko:K06187	tpc:TPECDC2_1004
ko:K02343	tpc:TPECDC2_1005
ko:K02470	tpc:TPECDC2_1006
ko:K00057	tpc:TPECDC2_1009
ko:K00940	tpc:TPECDC2_1010
ko:K01056	tpc:TPECDC2_1011
ko:K04078	tpc:TPECDC2_1013
ko:K03625	tpc:TPECDC2_1015
ko:K01872	tpc:TPECDC2_1017
ko:K00948	tpc:TPECDC2_0294
ko:K00859	tpc:TPECDC2_0296
ko:K02057	tpc:TPECDC2_0301
ko:K02057	tpc:TPECDC2_0302
ko:K03572	tpc:TPECDC2_0303
ko:K01937	tpc:TPECDC2_0305
ko:K02986	tpc:TPECDC2_0306
ko:K01775	tpc:TPECDC2_0681
ko:K02523	tpc:TPECDC2_0683
ko:K10542	tpc:TPECDC2_0685
ko:K03655	tpc:TPECDC2_0687
ko:K03977	tpc:TPECDC2_0689
ko:K05896	tpc:TPECDC2_0691
ko:K03308	tpc:TPECDC2_0023
ko:K02410	tpc:TPECDC2_0026
ko:K00790	tpc:TPECDC2_0029
ko:K04077	tpc:TPECDC2_0030
ko:K09761	tpc:TPECDC2_0032
ko:K09817	tpc:TPECDC2_0035
ko:K09816	tpc:TPECDC2_0036
ko:K03778	tpc:TPECDC2_0037
ko:K03210	tpc:TPECDC2_0409a
ko:K03072	tpc:TPECDC2_0410
ko:K03074	tpc:TPECDC2_0411
ko:K03106	tpc:TPECDC2_0416
ko:K03820	tpc:TPECDC2_0417
ko:K03787	tpc:TPECDC2_0419
ko:K03525	tpc:TPECDC2_0431
ko:K00286	tpc:TPECDC2_0797
ko:K01874	tpc:TPECDC2_0798
ko:K03694	tpc:TPECDC2_0801
ko:K01147	tpc:TPECDC2_0805
ko:K02911	tpc:TPECDC2_0807
ko:K02078	tpc:TPECDC2_0808
ko:K03685	tpc:TPECDC2_0809
ko:K00384	tpc:TPECDC2_0814
ko:K01689	tpc:TPECDC2_0817
ko:K00075	tpc:TPECDC2_0090
ko:K01883	tpc:TPECDC2_0091
ko:K03088	tpc:TPECDC2_0092
ko:K02518	tpc:TPECDC2_0097
ko:K09903	tpc:TPECDC2_0099
ko:K03657	tpc:TPECDC2_0102
ko:K03654	tpc:TPECDC2_0103
ko:K03218	tpc:TPECDC2_0109
ko:K07082	tpc:TPECDC2_0491
ko:K03086	tpc:TPECDC2_0493
ko:K07164	tpc:TPECDC2_0494
ko:K03569	tpc:TPECDC2_0497
ko:K03570	tpc:TPECDC2_0498
ko:K03571	tpc:TPECDC2_0499
ko:K05515	tpc:TPECDC2_0500
ko:K05837	tpc:TPECDC2_0501
ko:K00844	tpc:TPECDC2_0505
ko:K03545	tpc:TPECDC2_0506
ko:K01358	tpc:TPECDC2_0507
ko:K03544	tpc:TPECDC2_0508
ko:K02407	tpc:TPECDC2_0872
ko:K06925	tpc:TPECDC2_0875
ko:K00962	tpc:TPECDC2_0886
ko:K02956	tpc:TPECDC2_0887
ko:K11753	tpc:TPECDC2_0888
ko:K02834	tpc:TPECDC2_0890
ko:K02519	tpc:TPECDC2_0891
ko:K02600	tpc:TPECDC2_0892
ko:K09748	tpc:TPECDC2_0893
ko:K09775	tpc:TPECDC2_0153
ko:K07107	tpc:TPECDC2_0156
ko:K01881	tpc:TPECDC2_0160
ko:K03551	tpc:TPECDC2_0162
ko:K01914	tpc:TPECDC2_0556
ko:K03151	tpc:TPECDC2_0559
ko:K00615	tpc:TPECDC2_0560
ko:K06872	tpc:TPECDC2_0561
ko:K09795	tpc:TPECDC2_0565
ko:K01625	tpc:TPECDC2_0568
ko:K08988	tpc:TPECDC2_0570
ko:K03744	tpc:TPECDC2_0571
ko:K02836	tpc:TPECDC2_0576
ko:K03110	tpc:TPECDC2_0578
ko:K03217	tpc:TPECDC2_0949
ko:K08998	tpc:TPECDC2_0949a
ko:K03536	tpc:TPECDC2_0950a
ko:K02914	tpc:TPECDC2_0951
ko:K02395	tpc:TPECDC2_0959
ko:K02392	tpc:TPECDC2_0960
ko:K02392	tpc:TPECDC2_0961
ko:K07230	tpc:TPECDC2_0971
ko:K04066	tpc:TPECDC2_0230
ko:K02913	tpc:TPECDC2_0234
ko:K03073	tpc:TPECDC2_0235
ko:K02601	tpc:TPECDC2_0236
ko:K02867	tpc:TPECDC2_0237
ko:K02863	tpc:TPECDC2_0238
ko:K02864	tpc:TPECDC2_0239
ko:K02935	tpc:TPECDC2_0240
ko:K03043	tpc:TPECDC2_0241
ko:K03046	tpc:TPECDC2_0242
ko:K02950	tpc:TPECDC2_0243
ko:K02992	tpc:TPECDC2_0244
ko:K01448	tpc:TPECDC2_0247
ko:K04764	tpc:TPECDC2_0251
ko:K03820	tpc:TPECDC2_0252
ko:K03628	tpc:TPECDC2_0254
ko:K12267	tpc:TPECDC2_0633
ko:K01972	tpc:TPECDC2_0634
ko:K00791	tpc:TPECDC2_0637
ko:K01892	tpc:TPECDC2_0641
ko:K04566	tpc:TPECDC2_0644
ko:K01875	tpc:TPECDC2_0647
ko:K07042	tpc:TPECDC2_0650
ko:K07037	tpc:TPECDC2_0651
ko:K02435	tpc:TPECDC2_1019
ko:K02434	tpc:TPECDC2_1021
ko:K04485	tpc:TPECDC2_1022
ko:K03565	tpc:TPECDC2_1023
ko:K02996	tpc:TPECDC2_1024
ko:K02871	tpc:TPECDC2_1025
ko:K00757	tpc:TPECDC2_1027
ko:K03657	tpc:TPECDC2_1028
ko:K07001	tpc:TPECDC2_1033
ko:K07301	tpc:TPECDC2_1034
ko:K01873	tpc:TPECDC2_1035
ko:K11068	tpc:TPECDC2_1037
ko:K04047	tpc:TPECDC2_1038
ko:K00759	tpc:TPECDC2_1039
ko:K04568	tpc:TPECDC2_1040
ko:K01358	tpc:TPECDC2_1041
ko:K07335	tpc:TPECDC2_0319
ko:K02057	tpc:TPECDC2_0322
ko:K02057	tpc:TPECDC2_0323
ko:K07277	tpc:TPECDC2_0326
ko:K06142	tpc:TPECDC2_0327
ko:K03555	tpc:TPECDC2_0328
ko:K00600	tpc:TPECDC2_0329
ko:K07462	tpc:TPECDC2_0704
ko:K02405	tpc:TPECDC2_0709
ko:K04562	tpc:TPECDC2_0712
ko:K02404	tpc:TPECDC2_0713
ko:K02400	tpc:TPECDC2_0714
ko:K02401	tpc:TPECDC2_0715
ko:K02421	tpc:TPECDC2_0716
ko:K02420	tpc:TPECDC2_0717
ko:K02419	tpc:TPECDC2_0718
ko:K02418	tpc:TPECDC2_0719
ko:K02417	tpc:TPECDC2_0720
ko:K02416	tpc:TPECDC2_0721
ko:K02415	tpc:TPECDC2_0722
ko:K02557	tpc:TPECDC2_0724
ko:K02556	tpc:TPECDC2_0725
ko:K02385	tpc:TPECDC2_0726
ko:K08309	tpc:TPECDC2_0043
ko:K03495	tpc:TPECDC2_0044
ko:K09770	tpc:TPECDC2_0047
ko:K07101	tpc:TPECDC2_0050
ko:K02835	tpc:TPECDC2_0051
ko:K02493	tpc:TPECDC2_0052
ko:K01573	tpc:TPECDC2_0055
ko:K00655	tpc:TPECDC2_0361
ko:K02902	tpc:TPECDC2_0362
ko:K03407	tpc:TPECDC2_0363
ko:K03408	tpc:TPECDC2_0364
ko:K03413	tpc:TPECDC2_0366
ko:K03529	tpc:TPECDC2_0367
ko:K00919	tpc:TPECDC2_0371
ko:K02897	tpc:TPECDC2_0372
ko:K04075	tpc:TPECDC2_0373
ko:K03070	tpc:TPECDC2_0379
ko:K06168	tpc:TPECDC2_0754
ko:K00604	tpc:TPECDC2_0756
ko:K01462	tpc:TPECDC2_0757
ko:K02970	tpc:TPECDC2_0758
ko:K03587	tpc:TPECDC2_0760
ko:K03798	tpc:TPECDC2_0765
ko:K02355	tpc:TPECDC2_0767
ko:K03324	tpc:TPECDC2_0771
ko:K07507	tpc:TPECDC2_0774
ko:K02939	tpc:TPECDC2_0060
ko:K02963	tpc:TPECDC2_0061
ko:K02990	tpc:TPECDC2_0063
ko:K03310	tpc:TPECDC2_0414
ko:K03408	tpc:TPECDC2_0439
ko:K00858	tpc:TPECDC2_0441
ko:K03631	tpc:TPECDC2_0442
ko:K03152	tpc:TPECDC2_0445
ko:K00761	tpc:TPECDC2_0448
ko:K02355	tpc:TPECDC2_0450
ko:K01870	tpc:TPECDC2_0452
ko:K06024	tpc:TPECDC2_0458
ko:K06178	tpc:TPECDC2_0459
ko:K02073	tpc:TPECDC2_0821
ko:K05919	tpc:TPECDC2_0823
ko:K01662	tpc:TPECDC2_0824
ko:K00997	tpc:TPECDC2_0828
ko:K09766	tpc:TPECDC2_0829
ko:K06173	tpc:TPECDC2_0830
ko:K01887	tpc:TPECDC2_0831
ko:K01866	tpc:TPECDC2_0834
ko:K01868	tpc:TPECDC2_0837
ko:K01265	tpc:TPECDC2_0842
ko:K00134	tpc:TPECDC2_0844
ko:K03092	tpc:TPECDC2_0111
ko:K04088	tpc:TPECDC2_0113
ko:K04087	tpc:TPECDC2_0114
ko:K00868	tpc:TPECDC2_0115
ko:K03702	tpc:TPECDC2_0116
ko:K02072	tpc:TPECDC2_0119
ko:K02071	tpc:TPECDC2_0120
ko:K06942	tpc:TPECDC2_0124
ko:K01142	tpc:TPECDC2_0125
ko:K03596	tpc:TPECDC2_0510
ko:K07736	tpc:TPECDC2_0511
ko:K12506	tpc:TPECDC2_0512
ko:K03701	tpc:TPECDC2_0514
ko:K03980	tpc:TPECDC2_0516
ko:K01159	tpc:TPECDC2_0517
ko:K02343	tpc:TPECDC2_0521
ko:K03558	tpc:TPECDC2_0522
ko:K02563	tpc:TPECDC2_0523
ko:K01338	tpc:TPECDC2_0524
ko:K02356	tpc:TPECDC2_0525
ko:K03928	tpc:TPECDC2_0902
ko:K01925	tpc:TPECDC2_0903
ko:K02959	tpc:TPECDC2_0905
ko:K06960	tpc:TPECDC2_0906
ko:K02860	tpc:TPECDC2_0907
ko:K00554	tpc:TPECDC2_0908
ko:K02884	tpc:TPECDC2_0909
ko:K04061	tpc:TPECDC2_0911
ko:K07460	tpc:TPECDC2_0913
ko:K06213	tpc:TPECDC2_0917
ko:K03671	tpc:TPECDC2_0919
ko:K07566	tpc:TPECDC2_0182
ko:K03664	tpc:TPECDC2_0184
ko:K03100	tpc:TPECDC2_0185
ko:K02358	tpc:TPECDC2_0187
ko:K02946	tpc:TPECDC2_0188
ko:K02906	tpc:TPECDC2_0189
ko:K02926	tpc:TPECDC2_0190
ko:K02892	tpc:TPECDC2_0191
ko:K02886	tpc:TPECDC2_0192
ko:K02890	tpc:TPECDC2_0194
ko:K02982	tpc:TPECDC2_0195
ko:K02878	tpc:TPECDC2_0196
ko:K02904	tpc:TPECDC2_0197
ko:K02961	tpc:TPECDC2_0198
ko:K02874	tpc:TPECDC2_0199
ko:K02895	tpc:TPECDC2_0200
ko:K02931	tpc:TPECDC2_0201
ko:K02954	tpc:TPECDC2_0202
ko:K02994	tpc:TPECDC2_0203
ko:K02933	tpc:TPECDC2_0204
ko:K02881	tpc:TPECDC2_0205
ko:K02988	tpc:TPECDC2_0206
ko:K02907	tpc:TPECDC2_0206a
ko:K02876	tpc:TPECDC2_0207
ko:K09808	tpc:TPECDC2_0580
ko:K09808	tpc:TPECDC2_0582
ko:K01869	tpc:TPECDC2_0586
ko:K02340	tpc:TPECDC2_0587
ko:K11749	tpc:TPECDC2_0600
ko:K00099	tpc:TPECDC2_0601
ko:K00981	tpc:TPECDC2_0602
ko:K00806	tpc:TPECDC2_0603
ko:K02838	tpc:TPECDC2_0604
ko:K02357	tpc:TPECDC2_0605
ko:K02967	tpc:TPECDC2_0606
ko:K07243	tpc:TPECDC2_0972
ko:K01889	tpc:TPECDC2_0973
ko:K07056	tpc:TPECDC2_0975
ko:K03101	tpc:TPECDC2_0978
ko:K03424	tpc:TPECDC2_0979
ko:K04079	tpc:TPECDC2_0984
ko:K01876	tpc:TPECDC2_0985
ko:K03642	tpc:TPECDC2_0993
ko:K02909	tpc:TPECDC2_0255
ko:K00995	tpc:TPECDC2_0256
ko:K01126	tpc:TPECDC2_0257
ko:K03311	tpc:TPECDC2_0265
ko:K02528	tpc:TPECDC2_0337
ko:K06180	tpc:TPECDC2_0339
ko:K11754	tpc:TPECDC2_0340
ko:K01924	tpc:TPECDC2_0341
ko:K00945	tpc:TPECDC2_0342
ko:K03575	tpc:TPECDC2_0343
ko:K03723	tpc:TPECDC2_0344
ko:K01000	tpc:TPECDC2_0345
ko:K03775	tpc:TPECDC2_0349
ko:K00147	tpc:TPECDC2_0350
ko:K00931	tpc:TPECDC2_0351
ko:K00943	tpc:TPECDC2_0354
ko:K03524	tpc:TPECDC2_0357
ko:K05366	tpc:TPECDC2_0705
ko:K02390	tpc:TPECDC2_0727
ko:K02389	tpc:TPECDC2_0728
ko:K00995	tpc:TPECDC2_0730
ko:K01491	tpc:TPECDC2_0732
ko:K00266	tpc:TPECDC2_0735
ko:K00528	tpc:TPECDC2_0736
ko:K09710	tpc:TPECDC2_0738
ko:K00969	tpc:TPECDC2_0741
ko:K02899	tpc:TPECDC2_0743
ko:K02888	tpc:TPECDC2_0745
ko:K03563	tpc:TPECDC2_0657
ko:K13626	tpc:TPECDC2_0658
ko:K02397	tpc:TPECDC2_0659
ko:K02396	tpc:TPECDC2_0660
ko:K01624	tpc:TPECDC2_0662
ko:K00876	tpc:TPECDC2_0667
ko:K02221	tpc:TPECDC2_0668
ko:K02337	tpc:TPECDC2_0669
ko:K01921	tpc:TPECDC2_0670
ko:K01880	tpc:TPECDC2_0672
ko:K02313	tpc:TPECDC2_0001
ko:K02338	tpc:TPECDC2_0002
ko:K03629	tpc:TPECDC2_0003
ko:K02469	tpc:TPECDC2_0005
ko:K01890	tpc:TPECDC2_0015
ko:K03925	tpc:TPECDC2_0383
ko:K03438	tpc:TPECDC2_0384
ko:K01929	tpc:TPECDC2_0386
ko:K03588	tpc:TPECDC2_0387
ko:K03589	tpc:TPECDC2_0388
ko:K03590	tpc:TPECDC2_0389
ko:K03531	tpc:TPECDC2_0390
ko:K04096	tpc:TPECDC2_0393
ko:K03168	tpc:TPECDC2_0394
ko:K02387	tpc:TPECDC2_0396
ko:K02388	tpc:TPECDC2_0397
ko:K02408	tpc:TPECDC2_0398
ko:K02409	tpc:TPECDC2_0399
ko:K02410	tpc:TPECDC2_0400
ko:K02411	tpc:TPECDC2_0401
ko:K02412	tpc:TPECDC2_0402
ko:K02413	tpc:TPECDC2_0403
ko:K01776	tpc:TPECDC2_0406
ko:K10773	tpc:TPECDC2_0775
ko:K01950	tpc:TPECDC2_0780
ko:K09774	tpc:TPECDC2_0785
ko:K06861	tpc:TPECDC2_0786
ko:K02406	tpc:TPECDC2_0792
ko:K00789	tpc:TPECDC2_0794
ko:K03734	tpc:TPECDC2_0796
ko:K06941	tpc:TPECDC2_0068
ko:K03695	tpc:TPECDC2_0071
ko:K09005	tpc:TPECDC2_0087
ko:K03439	tpc:TPECDC2_0464
ko:K03703	tpc:TPECDC2_0472
