ko:K18137	abd:ABTW07_2308
ko:K03602	abd:ABTW07_1389
ko:K18923	abd:ABTW07_0955
ko:K00529	abd:ABTW07_1041
ko:K03395	abd:ABTW07_3898
ko:K20319	abd:ABTW07_2813
ko:K18138	abd:ABTW07_3209
ko:K03297	abd:ABTW07_2689
ko:K03297	abd:ABTW07_3313
ko:K16090	abd:ABTW07_2244
ko:K18145	abd:ABTW07_2038
ko:K18146	abd:ABTW07_2037
ko:K21029	abd:ABTW07_2537
ko:K11735	abd:ABTW07_2629
ko:K11735	abd:ABTW07_3687
ko:K19302	abd:ABTW07_0028
ko:K16238	abd:ABTW07_2496
ko:K07278	abd:ABTW07_2524
ko:K11741	abd:ABTW07_0687
ko:K18147	abd:ABTW07_2036
ko:K03980	abd:ABTW07_0076
ko:K03773	abd:ABTW07_0077
ko:K01991	abd:ABTW07_0081
ko:K02474	abd:ABTW07_0082
ko:K00963	abd:ABTW07_0096
ko:K00012	abd:ABTW07_0097
ko:K01810	abd:ABTW07_0098
ko:K00427	abd:ABTW07_0101
ko:K14348	abd:ABTW07_0102
ko:K03777	abd:ABTW07_0104
ko:K00832	abd:ABTW07_0105
ko:K00285	abd:ABTW07_0123
ko:K01775	abd:ABTW07_0124
ko:K11737	abd:ABTW07_0126
ko:K11737	abd:ABTW07_0127
ko:K00140	abd:ABTW07_0129
ko:K01895	abd:ABTW07_0131
ko:K06899	abd:ABTW07_0989
ko:K03424	abd:ABTW07_0995
ko:K08369	abd:ABTW07_0999
ko:K01714	abd:ABTW07_1000
ko:K03088	abd:ABTW07_1002
ko:K09790	abd:ABTW07_1009
ko:K03758	abd:ABTW07_1013
ko:K02968	abd:ABTW07_1861
ko:K02553	abd:ABTW07_1863
ko:K07223	abd:ABTW07_1865
ko:K03723	abd:ABTW07_1867
ko:K04755	abd:ABTW07_1870
ko:K04044	abd:ABTW07_1871
ko:K04082	abd:ABTW07_1872
ko:K04487	abd:ABTW07_1875
ko:K13643	abd:ABTW07_1876
ko:K03530	abd:ABTW07_1879
ko:K03770	abd:ABTW07_1880
ko:K00496	abd:ABTW07_1882
ko:K02231	abd:ABTW07_1901
ko:K00768	abd:ABTW07_1902
ko:K02233	abd:ABTW07_1905
ko:K01626	abd:ABTW07_1906
ko:K07090	abd:ABTW07_1907
ko:K00748	abd:ABTW07_1911
ko:K04691	abd:ABTW07_2731
ko:K04564	abd:ABTW07_2733
ko:K03179	abd:ABTW07_2737
ko:K03181	abd:ABTW07_2738
ko:K01915	abd:ABTW07_2739
