ko:K03741	fpq:IB65_07935
ko:K08307	fpq:IB65_00020
ko:K07146	fpq:IB65_00035
ko:K02348	fpq:IB65_00025
ko:K00927	fpq:IB65_00015
ko:K00567	fpq:IB65_00095
ko:K08738	fpq:IB65_00100
ko:K01698	fpq:IB65_00105
ko:K07501	fpq:IB65_00090
ko:K05366	fpq:IB65_00050
ko:K01028	fpq:IB65_00055
ko:K01029	fpq:IB65_00080
ko:K00451	fpq:IB65_01025
ko:K00457	fpq:IB65_01030
ko:K00453	fpq:IB65_01040
ko:K01056	fpq:IB65_01050
ko:K11753	fpq:IB65_01065
ko:K01012	fpq:IB65_01070
ko:K05606	fpq:IB65_01085
ko:K02834	fpq:IB65_01090
ko:K09808	fpq:IB65_01095
ko:K07568	fpq:IB65_01100
ko:K00800	fpq:IB65_01105
ko:K07461	fpq:IB65_01115
ko:K07560	fpq:IB65_01140
ko:K06949	fpq:IB65_01145
ko:K04516	fpq:IB65_01150
ko:K04518	fpq:IB65_01160
ko:K01990	fpq:IB65_01165
ko:K00789	fpq:IB65_01195
ko:K03584	fpq:IB65_01200
ko:K00262	fpq:IB65_01210
ko:K01876	fpq:IB65_01235
ko:K03704	fpq:IB65_01240
ko:K01662	fpq:IB65_01255
ko:K01129	fpq:IB65_01275
ko:K07098	fpq:IB65_01325
ko:K03671	fpq:IB65_01330
ko:K01993	fpq:IB65_01345
ko:K03841	fpq:IB65_01365
ko:K00928	fpq:IB65_01380
ko:K07007	fpq:IB65_01415
ko:K01597	fpq:IB65_01425
ko:K00869	fpq:IB65_01440
ko:K03179	fpq:IB65_01445
ko:K06178	fpq:IB65_01450
ko:K01963	fpq:IB65_01480
ko:K01624	fpq:IB65_01485
ko:K03437	fpq:IB65_01495
ko:K03183	fpq:IB65_01505
ko:K01715	fpq:IB65_00175
ko:K06950	fpq:IB65_00180
ko:K03921	fpq:IB65_00185
ko:K00655	fpq:IB65_00190
ko:K07025	fpq:IB65_00200
ko:K01874	fpq:IB65_00205
ko:K01297	fpq:IB65_00220
ko:K07460	fpq:IB65_00225
ko:K02557	fpq:IB65_00235
ko:K01142	fpq:IB65_00240
ko:K00058	fpq:IB65_00250
ko:K00286	fpq:IB65_00260
ko:K06213	fpq:IB65_00265
ko:K02528	fpq:IB65_00270
ko:K01875	fpq:IB65_00290
ko:K00228	fpq:IB65_00115
ko:K03790	fpq:IB65_00125
ko:K01599	fpq:IB65_00135
ko:K01719	fpq:IB65_00140
ko:K01749	fpq:IB65_00145
ko:K02492	fpq:IB65_00150
ko:K01772	fpq:IB65_00160
ko:K08973	fpq:IB65_00165
ko:K03322	fpq:IB65_00310
ko:K03709	fpq:IB65_00315
ko:K07394	fpq:IB65_00325
ko:K11749	fpq:IB65_00335
ko:K07386	fpq:IB65_00360
ko:K07152	fpq:IB65_00375
ko:K04758	fpq:IB65_00380
ko:K04759	fpq:IB65_00385
ko:K00241	fpq:IB65_00400
ko:K00239	fpq:IB65_00405
ko:K00240	fpq:IB65_00415
ko:K11031	fpq:IB65_00425
ko:K01719	fpq:IB65_00805
ko:K13766	fpq:IB65_00810
ko:K15034	fpq:IB65_00815
ko:K03811	fpq:IB65_00825
ko:K07094	fpq:IB65_00830
ko:K01251	fpq:IB65_00840
ko:K03723	fpq:IB65_00855
ko:K03642	fpq:IB65_00865
ko:K00764	fpq:IB65_00875
ko:K04485	fpq:IB65_00460
ko:K07017	fpq:IB65_00465
ko:K07027	fpq:IB65_00470
ko:K01579	fpq:IB65_00475
ko:K01918	fpq:IB65_00480
ko:K00703	fpq:IB65_00485
ko:K00820	fpq:IB65_00495
ko:K02112	fpq:IB65_00510
ko:K02114	fpq:IB65_00515
ko:K00652	fpq:IB65_00530
ko:K01889	fpq:IB65_00555
ko:K03558	fpq:IB65_00565
ko:K07114	fpq:IB65_00585
ko:K07114	fpq:IB65_00595
ko:K03924	fpq:IB65_00610
ko:K06193	fpq:IB65_00630
ko:K00057	fpq:IB65_00635
ko:K08325	fpq:IB65_00640
ko:K00969	fpq:IB65_00645
ko:K01810	fpq:IB65_00655
ko:K02897	fpq:IB65_00660
ko:K00948	fpq:IB65_00665
ko:K01262	fpq:IB65_00695
ko:K00639	fpq:IB65_00715
ko:K04564	fpq:IB65_00730
ko:K01866	fpq:IB65_00735
ko:K01465	fpq:IB65_00750
ko:K00721	fpq:IB65_00755
ko:K03469	fpq:IB65_00885
ko:K11175	fpq:IB65_00890
ko:K02078	fpq:IB65_00895
ko:K09458	fpq:IB65_00905
ko:K03685	fpq:IB65_00910
ko:K00873	fpq:IB65_00920
ko:K01159	fpq:IB65_00945
ko:K09793	fpq:IB65_00965
ko:K01870	fpq:IB65_00985
ko:K03101	fpq:IB65_00995
