ko:K19743	apx:APA26_08140
ko:K07062	apx:APA26_43880
ko:K03560	apx:APA26_26220
ko:K09690	apx:APA26_23040
ko:K00254	apx:APA26_02520
ko:K22617	apx:APA26_10790
ko:K17103	apx:APA26_07820
ko:K22474	apx:APA26_00860
ko:K22473	apx:APA26_00870
ko:K19689	apx:APA26_03660
ko:K16013	apx:APA26_15410
ko:K16013	apx:APA26_12620
ko:K16012	apx:APA26_12610
ko:K13409	apx:APA26_03260
ko:K13408	apx:APA26_03270
ko:K12340	apx:APA26_12430
ko:K15726	apx:APA26_15930
ko:K03297	apx:APA26_13370
ko:K03297	apx:APA26_21110
ko:K16012	apx:APA26_15400
ko:K02083	apx:APA26_12830
ko:K03446	apx:APA26_42510
ko:K07267	apx:APA26_22080
ko:K14980	apx:APA26_02870
ko:K14981	apx:APA26_02880
ko:K03687	apx:APA26_02890
ko:K04043	apx:APA26_02900
ko:K03686	apx:APA26_02910
ko:K00215	apx:APA26_02920
ko:K00789	apx:APA26_02930
ko:K03439	apx:APA26_02940
ko:K00602	apx:APA26_02950
ko:K01879	apx:APA26_03000
ko:K01878	apx:APA26_03010
ko:K09945	apx:APA26_03020
ko:K03820	apx:APA26_03040
ko:K03628	apx:APA26_03080
ko:K03284	apx:APA26_03100
ko:K01696	apx:APA26_03110
ko:K01695	apx:APA26_03120
ko:K07007	apx:APA26_03130
ko:K06915	apx:APA26_03140
ko:K02502	apx:APA26_03150
ko:K01939	apx:APA26_03160
ko:K07636	apx:APA26_03180
ko:K02040	apx:APA26_03190
ko:K01093	apx:APA26_03230
ko:K00145	apx:APA26_03310
ko:K04079	apx:APA26_03340
ko:K00979	apx:APA26_11880
ko:K07391	apx:APA26_11920
ko:K06131	apx:APA26_11980
ko:K07460	apx:APA26_11970
ko:K07390	apx:APA26_12000
ko:K01952	apx:APA26_12020
ko:K01952	apx:APA26_12030
ko:K01952	apx:APA26_12050
ko:K01923	apx:APA26_12060
ko:K01756	apx:APA26_12070
ko:K08309	apx:APA26_12090
ko:K01095	apx:APA26_12100
ko:K03644	apx:APA26_12140
ko:K00382	apx:APA26_12150
ko:K00627	apx:APA26_12160
ko:K00162	apx:APA26_12170
ko:K00161	apx:APA26_12180
ko:K03637	apx:APA26_12190
ko:K01609	apx:APA26_12200
ko:K00766	apx:APA26_12210
ko:K01657	apx:APA26_12230
ko:K03770	apx:APA26_12240
ko:K01803	apx:APA26_12250
ko:K03075	apx:APA26_12260
ko:K01937	apx:APA26_12270
ko:K01627	apx:APA26_12280
ko:K02470	apx:APA26_12290
ko:K03629	apx:APA26_12300
ko:K02338	apx:APA26_12310
ko:K02313	apx:APA26_12320
ko:K02968	apx:APA26_12330
ko:K03183	apx:APA26_12350
ko:K13038	apx:APA26_12360
ko:K07160	apx:APA26_20680
ko:K01961	apx:APA26_20730
ko:K00812	apx:APA26_20750
ko:K06044	apx:APA26_20790
ko:K01236	apx:APA26_20800
ko:K00703	apx:APA26_20820
ko:K00156	apx:APA26_20860
ko:K07152	apx:APA26_20910
ko:K01875	apx:APA26_21120
ko:K03118	apx:APA26_21130
ko:K03117	apx:APA26_21140
ko:K06024	apx:APA26_21150
ko:K05896	apx:APA26_21160
ko:K01887	apx:APA26_21180
ko:K03549	apx:APA26_42600
ko:K01173	apx:APA26_03550
ko:K01720	apx:APA26_03590
ko:K01895	apx:APA26_03620
ko:K01876	apx:APA26_03690
ko:K01620	apx:APA26_03700
ko:K02897	apx:APA26_03710
ko:K01056	apx:APA26_03720
ko:K06942	apx:APA26_03730
ko:K00147	apx:APA26_03740
ko:K00969	apx:APA26_03750
ko:K09710	apx:APA26_03760
ko:K00783	apx:APA26_03770
ko:K01575	apx:APA26_03800
ko:K01652	apx:APA26_03810
ko:K01576	apx:APA26_03830
ko:K00782	apx:APA26_03860
ko:K00790	apx:APA26_03880
ko:K01494	apx:APA26_03890
ko:K00720	apx:APA26_03950
ko:K01662	apx:APA26_03970
ko:K01873	apx:APA26_12410
ko:K09991	apx:APA26_12420
ko:K00573	apx:APA26_12440
ko:K00946	apx:APA26_12510
ko:K03625	apx:APA26_12520
ko:K07738	apx:APA26_12530
ko:K00864	apx:APA26_12550
ko:K02440	apx:APA26_12560
ko:K00111	apx:APA26_12570
ko:K02444	apx:APA26_12580
ko:K03654	apx:APA26_12590
ko:K03088	apx:APA26_12650
ko:K03088	apx:APA26_12660
ko:K15738	apx:APA26_12680
ko:K01194	apx:APA26_12690
ko:K06193	apx:APA26_12710
