ko:K19745	cgx:SB89_11905
ko:K01007	cgx:SB89_02995
ko:K21687	cgx:SB89_04345
ko:K21688	cgx:SB89_04795
ko:K02021	cgx:SB89_07390
ko:K02476	cgx:SB89_00380
ko:K14231	cgx:SB89_12035
ko:K02483	cgx:SB89_12270
ko:K14228	cgx:SB89_06985
ko:K21686	cgx:SB89_03685
ko:K14237	cgx:SB89_08595
ko:K14225	cgx:SB89_08565
ko:K14225	cgx:SB89_08580
ko:K14225	cgx:SB89_08590
ko:K14218	cgx:SB89_11910
ko:K14237	cgx:SB89_08570
ko:K14237	cgx:SB89_08585
ko:K02075	cgx:SB89_00155
ko:K01046	cgx:SB89_00450
ko:K00067	cgx:SB89_01860
ko:K01790	cgx:SB89_01860
ko:K01659	cgx:SB89_03495
ko:K00384	cgx:SB89_03660
ko:K01046	cgx:SB89_00455
ko:K10563	cgx:SB89_14390
ko:K00798	cgx:SB89_12010
ko:K01239	cgx:SB89_07040
ko:K02021	cgx:SB89_05010
ko:K03293	cgx:SB89_06030
ko:K01710	cgx:SB89_01865
ko:K01239	cgx:SB89_13345
ko:K03116	cgx:SB89_14640
ko:K03305	cgx:SB89_14645
ko:K04098	cgx:SB89_14655
ko:K00010	cgx:SB89_14685
ko:K00010	cgx:SB89_14690
ko:K03762	cgx:SB89_14700
ko:K09384	cgx:SB89_14720
ko:K02016	cgx:SB89_14725
ko:K08987	cgx:SB89_14735
ko:K00868	cgx:SB89_14745
ko:K07735	cgx:SB89_14770
ko:K00970	cgx:SB89_14775
ko:K03980	cgx:SB89_14790
ko:K03088	cgx:SB89_14795
ko:K00384	cgx:SB89_14800
ko:K03671	cgx:SB89_14805
ko:K01448	cgx:SB89_14810
ko:K03497	cgx:SB89_14820
ko:K03496	cgx:SB89_14825
ko:K03501	cgx:SB89_14830
ko:K03217	cgx:SB89_14835
ko:K03536	cgx:SB89_14840
ko:K02914	cgx:SB89_14845
ko:K03496	cgx:SB89_14865
ko:K03321	cgx:SB89_14890
ko:K00156	cgx:SB89_12285
ko:K08167	cgx:SB89_12290
ko:K06902	cgx:SB89_12300
ko:K08322	cgx:SB89_12320
ko:K09780	cgx:SB89_12325
ko:K03340	cgx:SB89_12340
ko:K00697	cgx:SB89_12380
ko:K01087	cgx:SB89_12390
ko:K02077	cgx:SB89_12400
ko:K02074	cgx:SB89_12405
ko:K02075	cgx:SB89_12410
ko:K03218	cgx:SB89_12440
ko:K01883	cgx:SB89_12445
ko:K02808	cgx:SB89_12450
ko:K02809	cgx:SB89_12450
ko:K02810	cgx:SB89_12450
ko:K01193	cgx:SB89_12455
ko:K02564	cgx:SB89_12460
ko:K01443	cgx:SB89_12465
ko:K01714	cgx:SB89_12470
ko:K00845	cgx:SB89_12475
ko:K18320	cgx:SB89_12480
ko:K01788	cgx:SB89_12495
ko:K01770	cgx:SB89_12515
ko:K00991	cgx:SB89_12520
ko:K07736	cgx:SB89_12525
