ko:K18929	hca:HPPC18_00695
ko:K18928	hca:HPPC18_00700
ko:K14225	hca:HPPC18_t08014
ko:K07316	hca:HPPC18_01300
ko:K07491	hca:HPPC18_05035
ko:K16091	hca:HPPC18_03345
ko:K16091	hca:HPPC18_03985
ko:K16091	hca:HPPC18_06905
ko:K14233	hca:HPPC18_t07994
ko:K14218	hca:HPPC18_t07998
ko:K14219	hca:HPPC18_t08024
ko:K14226	hca:HPPC18_t08026
ko:K15726	hca:HPPC18_04765
ko:K01977	hca:HPPC18_r08060
ko:K01977	hca:HPPC18_r08058
ko:K14230	hca:HPPC18_t08036
ko:K14234	hca:HPPC18_t08040
ko:K14225	hca:HPPC18_t08042
ko:K14236	hca:HPPC18_t08044
ko:K14234	hca:HPPC18_t08046
ko:K14228	hca:HPPC18_t08048
ko:K14222	hca:HPPC18_t08018
ko:K14228	hca:HPPC18_t08050
ko:K14231	hca:HPPC18_t08052
ko:K10716	hca:HPPC18_02335
ko:K02014	hca:HPPC18_04310
ko:K02014	hca:HPPC18_07040
ko:K03496	hca:HPPC18_04910
ko:K02028	hca:HPPC18_05825
ko:K02030	hca:HPPC18_05830
ko:K00789	hca:HPPC18_00980
ko:K00940	hca:HPPC18_00985
ko:K02911	hca:HPPC18_00995
ko:K03621	hca:HPPC18_01000
ko:K00648	hca:HPPC18_01005
ko:K04079	hca:HPPC18_01045
ko:K03495	hca:HPPC18_01060
ko:K14445	hca:HPPC18_01065
ko:K00981	hca:HPPC18_01070
ko:K00099	hca:HPPC18_01075
ko:K04487	hca:HPPC18_01100
ko:K13819	hca:HPPC18_01105
ko:K04485	hca:HPPC18_01115
ko:K01915	hca:HPPC18_02440
ko:K02939	hca:HPPC18_02455
ko:K01419	hca:HPPC18_02460
ko:K03667	hca:HPPC18_02465
ko:K01776	hca:HPPC18_02625
ko:K03628	hca:HPPC18_02630
ko:K02909	hca:HPPC18_02635
ko:K07056	hca:HPPC18_02640
ko:K03218	hca:HPPC18_02645
ko:K01962	hca:HPPC18_02670
ko:K09458	hca:HPPC18_02675
ko:K03517	hca:HPPC18_06780
ko:K01613	hca:HPPC18_06785
ko:K03179	hca:HPPC18_06800
ko:K03841	hca:HPPC18_06840
ko:K01783	hca:HPPC18_06845
ko:K03631	hca:HPPC18_06875
ko:K00858	hca:HPPC18_06880
ko:K00259	hca:HPPC18_06895
ko:K01476	hca:HPPC18_06900
ko:K07043	hca:HPPC18_06910
ko:K01153	hca:HPPC18_06915
ko:K01154	hca:HPPC18_06930
ko:K00820	hca:HPPC18_06955
ko:K02313	hca:HPPC18_06970
ko:K01142	hca:HPPC18_06985
ko:K03655	hca:HPPC18_07000
ko:K02600	hca:HPPC18_07030
ko:K01042	hca:HPPC18_07035
ko:K01633	hca:HPPC18_07050
ko:K08591	hca:HPPC18_07055
ko:K01154	hca:HPPC18_03900
ko:K01534	hca:HPPC18_03905
ko:K07391	hca:HPPC18_03910
ko:K01462	hca:HPPC18_03915
ko:K01358	hca:HPPC18_03920
ko:K03303	hca:HPPC18_00705
ko:K03303	hca:HPPC18_00710
ko:K03575	hca:HPPC18_00715
ko:K00404	hca:HPPC18_00725
ko:K00405	hca:HPPC18_00730
ko:K00407	hca:HPPC18_00735
ko:K00406	hca:HPPC18_00740
ko:K01689	hca:HPPC18_00780
ko:K00891	hca:HPPC18_00795
ko:K01698	hca:HPPC18_00820
ko:K08303	hca:HPPC18_00845
ko:K02836	hca:HPPC18_00855
ko:K03750	hca:HPPC18_00860
ko:K02421	hca:HPPC18_00865
ko:K01624	hca:HPPC18_00880
ko:K02356	hca:HPPC18_00885
ko:K03820	hca:HPPC18_00900
ko:K03558	hca:HPPC18_00905
ko:K04567	hca:HPPC18_00910
ko:K00600	hca:HPPC18_00915
ko:K00246	hca:HPPC18_00960
ko:K01803	hca:HPPC18_00965
ko:K00208	hca:HPPC18_00970
ko:K02536	hca:HPPC18_00975
ko:K03269	hca:HPPC18_05235
ko:K03415	hca:HPPC18_05240
ko:K03407	hca:HPPC18_05245
ko:K03408	hca:HPPC18_05250
ko:K11065	hca:HPPC18_05255
ko:K04564	hca:HPPC18_05260
ko:K15256	hca:HPPC18_05265
ko:K04066	hca:HPPC18_05270
ko:K02493	hca:HPPC18_05305
