ko:K18917	cpg:Cp316_0652
ko:K01992	cpg:Cp316_0338
ko:K01992	cpg:Cp316_1142
ko:K01992	cpg:Cp316_1667
ko:K16013	cpg:Cp316_1757
ko:K16012	cpg:Cp316_1758
ko:K07399	cpg:Cp316_0294
ko:K02013	cpg:Cp316_0296
ko:K02016	cpg:Cp316_0297
ko:K02015	cpg:Cp316_0298
ko:K02548	cpg:Cp316_0302
ko:K01911	cpg:Cp316_0303
ko:K01661	cpg:Cp316_0304
ko:K02551	cpg:Cp316_0307
ko:K03183	cpg:Cp316_0310
ko:K03073	cpg:Cp316_0315
ko:K02601	cpg:Cp316_0316
ko:K02867	cpg:Cp316_0317
ko:K02863	cpg:Cp316_0318
ko:K02864	cpg:Cp316_0322
ko:K02935	cpg:Cp316_0323
ko:K03043	cpg:Cp316_0332
ko:K03046	cpg:Cp316_0333
ko:K07089	cpg:Cp316_0340
ko:K04069	cpg:Cp316_0341
ko:K02825	cpg:Cp316_1180
ko:K03625	cpg:Cp316_1184
ko:K02356	cpg:Cp316_1185
ko:K03786	cpg:Cp316_1187
ko:K01735	cpg:Cp316_1188
ko:K00891	cpg:Cp316_1189
ko:K01736	cpg:Cp316_1190
ko:K00014	cpg:Cp316_1192
ko:K07082	cpg:Cp316_1193
ko:K07447	cpg:Cp316_1194
ko:K01872	cpg:Cp316_1196
ko:K07478	cpg:Cp316_1197
ko:K01876	cpg:Cp316_1199
ko:K01421	cpg:Cp316_1202
ko:K01752	cpg:Cp316_1206
ko:K01892	cpg:Cp316_1211
ko:K11065	cpg:Cp316_1213
ko:K00759	cpg:Cp316_1217
ko:K03074	cpg:Cp316_1219
ko:K03072	cpg:Cp316_1220
ko:K03210	cpg:Cp316_1221
ko:K03551	cpg:Cp316_1222
ko:K03550	cpg:Cp316_1223
ko:K01159	cpg:Cp316_1224
ko:K10805	cpg:Cp316_1227
ko:K03310	cpg:Cp316_2045
ko:K01126	cpg:Cp316_2048
ko:K04564	cpg:Cp316_2054
ko:K08224	cpg:Cp316_2056
ko:K07146	cpg:Cp316_2066
ko:K03217	cpg:Cp316_2068
ko:K09125	cpg:Cp316_2070
ko:K08369	cpg:Cp316_2085
ko:K02939	cpg:Cp316_2090
ko:K02990	cpg:Cp316_2092
ko:K03216	cpg:Cp316_0468
ko:K01491	cpg:Cp316_0469
ko:K00641	cpg:Cp316_0472
ko:K02016	cpg:Cp316_0475
ko:K02015	cpg:Cp316_0476
ko:K02013	cpg:Cp316_0477
ko:K01740	cpg:Cp316_0479
ko:K00031	cpg:Cp316_0480
ko:K01142	cpg:Cp316_0483
ko:K01867	cpg:Cp316_0485
ko:K07058	cpg:Cp316_0486
ko:K00761	cpg:Cp316_0492
ko:K00382	cpg:Cp316_0496
ko:K06287	cpg:Cp316_0505
ko:K03524	cpg:Cp316_0511
ko:K01589	cpg:Cp316_0513
ko:K01588	cpg:Cp316_0514
ko:K02224	cpg:Cp316_1340
ko:K13580	cpg:Cp316_1342
ko:K00116	cpg:Cp316_1344
ko:K02232	cpg:Cp316_1349
ko:K01265	cpg:Cp316_1350
ko:K00099	cpg:Cp316_1354
ko:K06941	cpg:Cp316_1357
ko:K00981	cpg:Cp316_1359
ko:K02838	cpg:Cp316_1360
ko:K09903	cpg:Cp316_1361
ko:K02357	cpg:Cp316_1362
ko:K02967	cpg:Cp316_1363
ko:K03733	cpg:Cp316_1365
ko:K07391	cpg:Cp316_1367
ko:K03470	cpg:Cp316_1370
ko:K03100	cpg:Cp316_1371
ko:K02884	cpg:Cp316_1372
ko:K06959	cpg:Cp316_1373
ko:K00554	cpg:Cp316_1376
ko:K02860	cpg:Cp316_1377
ko:K02959	cpg:Cp316_1379
ko:K03106	cpg:Cp316_1380
ko:K00990	cpg:Cp316_1381
ko:K04751	cpg:Cp316_1382
ko:K03110	cpg:Cp316_1383
ko:K03529	cpg:Cp316_1385
ko:K01512	cpg:Cp316_1386
ko:K03310	cpg:Cp316_1387
ko:K03685	cpg:Cp316_1389
ko:K07040	cpg:Cp316_1390
ko:K14393	cpg:Cp316_0634
ko:K03327	cpg:Cp316_0640
ko:K01697	cpg:Cp316_0641
ko:K01586	cpg:Cp316_0642
ko:K02034	cpg:Cp316_0647
ko:K03724	cpg:Cp316_0657
ko:K01810	cpg:Cp316_0661
ko:K03657	cpg:Cp316_0664
ko:K11175	cpg:Cp316_0667
ko:K00602	cpg:Cp316_0668
ko:K10008	cpg:Cp316_0669
ko:K10005	cpg:Cp316_0670
ko:K10006	cpg:Cp316_0671
ko:K10007	cpg:Cp316_0672
ko:K01644	cpg:Cp316_0673
ko:K02963	cpg:Cp316_0676
ko:K02954	cpg:Cp316_0677
ko:K02913	cpg:Cp316_0678
ko:K02902	cpg:Cp316_0679
ko:K02909	cpg:Cp316_0680
ko:K02911	cpg:Cp316_0681
ko:K03801	cpg:Cp316_1502
ko:K03644	cpg:Cp316_1503
ko:K01915	cpg:Cp316_1506
ko:K07084	cpg:Cp316_1515
ko:K01733	cpg:Cp316_1518
ko:K00982	cpg:Cp316_1522
ko:K01915	cpg:Cp316_1523
ko:K00849	cpg:Cp316_1527
ko:K07164	cpg:Cp316_1530
ko:K00817	cpg:Cp316_1532
ko:K02227	cpg:Cp316_1536
ko:K00163	cpg:Cp316_1538
ko:K00820	cpg:Cp316_1548
ko:K01129	cpg:Cp316_1552
ko:K01012	cpg:Cp316_0071
ko:K01241	cpg:Cp316_0074
ko:K01858	cpg:Cp316_0078
ko:K06966	cpg:Cp316_0085
ko:K07090	cpg:Cp316_0093
ko:K03579	cpg:Cp316_0096
ko:K03919	cpg:Cp316_0097
ko:K01246	cpg:Cp316_0098
ko:K06996	cpg:Cp316_0102
ko:K00864	cpg:Cp316_0106
ko:K02440	cpg:Cp316_0107
ko:K05845	cpg:Cp316_0112
ko:K02945	cpg:Cp316_0975
ko:K00859	cpg:Cp316_0978
ko:K03702	cpg:Cp316_0980
ko:K06966	cpg:Cp316_0808
ko:K00796	cpg:Cp316_0809
ko:K00563	cpg:Cp316_0813
ko:K01193	cpg:Cp316_0814
ko:K01575	cpg:Cp316_0815
ko:K00975	cpg:Cp316_0817
ko:K03088	cpg:Cp316_0819
ko:K03117	cpg:Cp316_0821
ko:K00014	cpg:Cp316_0829
ko:K00965	cpg:Cp316_0837
ko:K00849	cpg:Cp316_0838
ko:K05592	cpg:Cp316_0839
ko:K09136	cpg:Cp316_1666
ko:K06200	cpg:Cp316_1671
ko:K14645	cpg:Cp316_1673
ko:K07124	cpg:Cp316_1676
ko:K13288	cpg:Cp316_1677
ko:K01714	cpg:Cp316_1678
ko:K08281	cpg:Cp316_1686
ko:K03564	cpg:Cp316_1689
ko:K00997	cpg:Cp316_1691
ko:K11533	cpg:Cp316_1693
ko:K00989	cpg:Cp316_1703
ko:K01776	cpg:Cp316_1705
ko:K06891	cpg:Cp316_1708
ko:K00763	cpg:Cp316_1709
ko:K01079	cpg:Cp316_1712
ko:K15342	cpg:Cp316_1713
ko:K03701	cpg:Cp316_0986
ko:K02520	cpg:Cp316_0987
ko:K02916	cpg:Cp316_0988
ko:K02887	cpg:Cp316_0989
ko:K03437	cpg:Cp316_0992
ko:K01889	cpg:Cp316_0993
ko:K01890	cpg:Cp316_0994
ko:K00145	cpg:Cp316_0995
ko:K00620	cpg:Cp316_0996
ko:K00930	cpg:Cp316_0997
ko:K00611	cpg:Cp316_0999
ko:K03402	cpg:Cp316_1000
ko:K01940	cpg:Cp316_1001
ko:K01755	cpg:Cp316_1002
ko:K09791	cpg:Cp316_1003
ko:K01866	cpg:Cp316_1004
ko:K06442	cpg:Cp316_1008
ko:K00858	cpg:Cp316_1009
ko:K03631	cpg:Cp316_1010
ko:K05896	cpg:Cp316_1016
ko:K04485	cpg:Cp316_1820
ko:K01673	cpg:Cp316_1822
ko:K03575	cpg:Cp316_1823
ko:K03696	cpg:Cp316_1826
ko:K04567	cpg:Cp316_1832
ko:K02168	cpg:Cp316_1837
ko:K01918	cpg:Cp316_1839
ko:K00950	cpg:Cp316_1843
ko:K01633	cpg:Cp316_1844
ko:K00796	cpg:Cp316_1845
ko:K01495	cpg:Cp316_1846
ko:K03798	cpg:Cp316_1847
ko:K00760	cpg:Cp316_1848
ko:K04075	cpg:Cp316_1849
ko:K07259	cpg:Cp316_1850
ko:K11103	cpg:Cp316_1853
ko:K04077	cpg:Cp316_1862
ko:K05567	cpg:Cp316_1870
ko:K05569	cpg:Cp316_1872
ko:K02950	cpg:Cp316_0344
ko:K02992	cpg:Cp316_0345
ko:K02355	cpg:Cp316_0346
ko:K02358	cpg:Cp316_0347
ko:K02946	cpg:Cp316_0357
ko:K02906	cpg:Cp316_0358
ko:K02926	cpg:Cp316_0359
ko:K02892	cpg:Cp316_0360
ko:K02886	cpg:Cp316_0361
ko:K02965	cpg:Cp316_0362
ko:K02890	cpg:Cp316_0363
ko:K02982	cpg:Cp316_0364
ko:K02878	cpg:Cp316_0365
ko:K02904	cpg:Cp316_0366
ko:K02961	cpg:Cp316_0367
ko:K02034	cpg:Cp316_0370
ko:K02874	cpg:Cp316_0374
ko:K02895	cpg:Cp316_0375
ko:K02931	cpg:Cp316_0376
ko:K03837	cpg:Cp316_0378
ko:K01752	cpg:Cp316_0379
ko:K03639	cpg:Cp316_0384
ko:K02994	cpg:Cp316_0386
ko:K02933	cpg:Cp316_0387
ko:K02881	cpg:Cp316_0388
ko:K02988	cpg:Cp316_0389
ko:K02907	cpg:Cp316_0390
ko:K02876	cpg:Cp316_0391
ko:K03076	cpg:Cp316_0401
ko:K00995	cpg:Cp316_1234
ko:K01868	cpg:Cp316_1236
ko:K07156	cpg:Cp316_1239
ko:K03684	cpg:Cp316_1247
ko:K01662	cpg:Cp316_1248
ko:K00886	cpg:Cp316_1257
ko:K03086	cpg:Cp316_1258
ko:K07560	cpg:Cp316_1264
ko:K04761	cpg:Cp316_1274
ko:K03578	cpg:Cp316_1276
ko:K07738	cpg:Cp316_1277
ko:K01356	cpg:Cp316_1279
ko:K02768	cpg:Cp316_1285
ko:K02769	cpg:Cp316_1285
ko:K02770	cpg:Cp316_1285
ko:K07146	cpg:Cp316_2102
ko:K04047	cpg:Cp316_2104
ko:K01421	cpg:Cp316_2108
ko:K01869	cpg:Cp316_2111
ko:K02003	cpg:Cp316_2115
ko:K01443	cpg:Cp316_2122
ko:K01714	cpg:Cp316_2130
ko:K01792	cpg:Cp316_2135
ko:K09946	cpg:Cp316_2138
ko:K01657	cpg:Cp316_2145
ko:K00766	cpg:Cp316_2147
ko:K04756	cpg:Cp316_1271
ko:K01809	cpg:Cp316_0531
ko:K01251	cpg:Cp316_0535
ko:K00943	cpg:Cp316_0536
ko:K03070	cpg:Cp316_0542
ko:K06949	cpg:Cp316_0548
ko:K00800	cpg:Cp316_0549
ko:K03088	cpg:Cp316_0552
ko:K03657	cpg:Cp316_0563
ko:K03426	cpg:Cp316_0565
ko:K03657	cpg:Cp316_0566
ko:K07043	cpg:Cp316_0568
ko:K00259	cpg:Cp316_1394
ko:K00262	cpg:Cp316_1395
ko:K00865	cpg:Cp316_1396
ko:K00688	cpg:Cp316_1400
ko:K00873	cpg:Cp316_1402
ko:K01609	cpg:Cp316_1404
ko:K02500	cpg:Cp316_1407
ko:K02501	cpg:Cp316_1410
ko:K01693	cpg:Cp316_1413
ko:K00817	cpg:Cp316_1414
ko:K00013	cpg:Cp316_1415
