ko:K11707	cpsv:B600_0512
ko:K01921	cpsv:B600_0975
ko:K01924	cpsv:B600_0975
ko:K02342	cpsv:B600_0105
ko:K00813	cpsv:B600_0006
ko:K07258	cpsv:B600_0083
ko:K02492	cpsv:B600_0036
ko:K03224	cpsv:B600_0044
ko:K03219	cpsv:B600_0050
ko:K02838	cpsv:B600_0057
ko:K09903	cpsv:B600_0058
ko:K02357	cpsv:B600_0059
ko:K02967	cpsv:B600_0060
ko:K03162	cpsv:B600_0062
ko:K06925	cpsv:B600_0104
ko:K03820	cpsv:B600_0107
ko:K02535	cpsv:B600_0108
ko:K02372	cpsv:B600_0109
ko:K00677	cpsv:B600_0110
ko:K00604	cpsv:B600_0111
ko:K02906	cpsv:B600_0114
ko:K02926	cpsv:B600_0115
ko:K02886	cpsv:B600_0117
ko:K02965	cpsv:B600_0118
ko:K02890	cpsv:B600_0119
ko:K02982	cpsv:B600_0120
ko:K02878	cpsv:B600_0121
ko:K02904	cpsv:B600_0122
ko:K02961	cpsv:B600_0123
ko:K02874	cpsv:B600_0124
ko:K02895	cpsv:B600_0125
ko:K01698	cpsv:B600_0001
ko:K00346	cpsv:B600_0002
ko:K03582	cpsv:B600_0010
ko:K03583	cpsv:B600_0011
ko:K07146	cpsv:B600_0013
ko:K02986	cpsv:B600_0014
ko:K01151	cpsv:B600_0015
ko:K03980	cpsv:B600_0016
ko:K06861	cpsv:B600_0024
ko:K01627	cpsv:B600_0026
ko:K06960	cpsv:B600_0028
ko:K06180	cpsv:B600_0029
ko:K02469	cpsv:B600_0032
ko:K02470	cpsv:B600_0033
ko:K02417	cpsv:B600_0047
ko:K09013	cpsv:B600_0065
ko:K09015	cpsv:B600_0066
ko:K11717	cpsv:B600_0067
ko:K07220	cpsv:B600_0074
ko:K03306	cpsv:B600_0075
ko:K00927	cpsv:B600_0076
ko:K02337	cpsv:B600_0090
ko:K07783	cpsv:B600_0091
ko:K01892	cpsv:B600_0093
ko:K01876	cpsv:B600_0095
ko:K03216	cpsv:B600_0098
ko:K03671	cpsv:B600_0099
ko:K02931	cpsv:B600_0126
ko:K02343	cpsv:B600_0590
ko:K08719	cpsv:B600_1039
ko:K09779	cpsv:B600_0337
ko:K02956	cpsv:B600_0870
ko:K00962	cpsv:B600_0871
ko:K03798	cpsv:B600_0872
ko:K04075	cpsv:B600_0873
ko:K07091	cpsv:B600_0874
ko:K11720	cpsv:B600_0875
ko:K01889	cpsv:B600_0878
ko:K02887	cpsv:B600_0879
ko:K02916	cpsv:B600_0880
ko:K02520	cpsv:B600_0881
ko:K03625	cpsv:B600_0882
ko:K00075	cpsv:B600_0883
ko:K03439	cpsv:B600_0886
ko:K01985	cpsv:B600_1155
ko:K09760	cpsv:B600_0890
ko:K01902	cpsv:B600_0894
ko:K01903	cpsv:B600_0895
ko:K03110	cpsv:B600_0896
ko:K06890	cpsv:B600_0897
ko:K03834	cpsv:B600_0899
ko:K00820	cpsv:B600_0900
ko:K03431	cpsv:B600_0901
ko:K00748	cpsv:B600_0903
ko:K02970	cpsv:B600_0380
ko:K03686	cpsv:B600_0381
ko:K11381	cpsv:B600_0382
ko:K09747	cpsv:B600_0389
ko:K02343	cpsv:B600_0390
ko:K07037	cpsv:B600_0392
ko:K01749	cpsv:B600_0396
ko:K04485	cpsv:B600_0397
ko:K03685	cpsv:B600_0398
ko:K04564	cpsv:B600_0402
ko:K01963	cpsv:B600_0403
ko:K00566	cpsv:B600_0411
ko:K03696	cpsv:B600_0412
ko:K03800	cpsv:B600_0414
ko:K02437	cpsv:B600_0418
ko:K00350	cpsv:B600_0421
ko:K00349	cpsv:B600_0422
ko:K00348	cpsv:B600_0423
ko:K00347	cpsv:B600_0424
ko:K02313	cpsv:B600_0427
ko:K03621	cpsv:B600_0921
ko:K02911	cpsv:B600_0922
ko:K08301	cpsv:B600_0924
ko:K00630	cpsv:B600_0925
ko:K00919	cpsv:B600_0929
ko:K02939	cpsv:B600_0930
ko:K02963	cpsv:B600_0931
ko:K02990	cpsv:B600_0932
ko:K01056	cpsv:B600_0933
ko:K02897	cpsv:B600_0934
ko:K00703	cpsv:B600_0936
ko:K00995	cpsv:B600_0937
ko:K14164	cpsv:B600_0939
ko:K03555	cpsv:B600_0946
ko:K03703	cpsv:B600_0948
ko:K02954	cpsv:B600_0951
ko:K02919	cpsv:B600_0952
ko:K01883	cpsv:B600_0954
ko:K04567	cpsv:B600_0955
ko:K04066	cpsv:B600_0958
ko:K00655	cpsv:B600_0960
ko:K00263	cpsv:B600_0962
ko:K09458	cpsv:B600_0965
ko:K09710	cpsv:B600_0966
ko:K00791	cpsv:B600_0970
ko:K03926	cpsv:B600_0973
ko:K06960	cpsv:B600_0974
ko:K02994	cpsv:B600_0127
ko:K02933	cpsv:B600_0128
ko:K02881	cpsv:B600_0129
ko:K02988	cpsv:B600_0130
ko:K02876	cpsv:B600_0131
ko:K03076	cpsv:B600_0132
ko:K02952	cpsv:B600_0133
ko:K02948	cpsv:B600_0134
