ko:K02495	seni:CY43_20935
ko:K07497	seni:CY43_14475
ko:K18795	seni:CY43_20110
ko:K19092	seni:CY43_15415
ko:K22507	seni:CY43_15090
ko:K18923	seni:CY43_07900
ko:K10906	seni:CY43_14030
ko:K19504	seni:CY43_23625
ko:K03297	seni:CY43_08440
ko:K19595	seni:CY43_02085
ko:K01977	seni:CY43_20860
ko:K19555	seni:CY43_24190
ko:K19557	seni:CY43_24155
ko:K01990	seni:CY43_04380
ko:K02345	seni:CY43_09900
ko:K18816	seni:CY43_08265
ko:K08151	seni:CY43_20090
ko:K03111	seni:CY43_22215
ko:K00526	seni:CY43_12215
ko:K10906	seni:CY43_05160
ko:K18968	seni:CY43_02250
ko:K18984	seni:CY43_07105
ko:K19611	seni:CY43_14520
ko:K14744	seni:CY43_05260
ko:K00287	seni:CY43_00430
ko:K19221	seni:CY43_08785
ko:K19230	seni:CY43_08665
ko:K19697	seni:CY43_11100
ko:K19789	seni:CY43_11940
ko:K14225	seni:CY43_15835
ko:K14225	seni:CY43_21640
ko:K14237	seni:CY43_04060
ko:K14237	seni:CY43_12925
ko:K14237	seni:CY43_12930
ko:K14237	seni:CY43_12935
ko:K14237	seni:CY43_07245
ko:K14233	seni:CY43_04865
ko:K14233	seni:CY43_05785
ko:K14233	seni:CY43_05555
ko:K14233	seni:CY43_10800
ko:K14233	seni:CY43_14765
ko:K08348	seni:CY43_08020
ko:K12979	seni:CY43_22370
ko:K07494	seni:CY43_24195
ko:K03292	seni:CY43_21260
ko:K18895	seni:CY43_14505
ko:K04103	seni:CY43_12870
ko:K00001	seni:CY43_21145
ko:K01007	seni:CY43_06870
ko:K21469	seni:CY43_13245
ko:K01980	seni:CY43_20875
ko:K14235	seni:CY43_20410
ko:K08156	seni:CY43_02295
ko:K10678	seni:CY43_04680
ko:K14228	seni:CY43_10235
ko:K21905	seni:CY43_23995
ko:K21430	seni:CY43_04615
ko:K19597	seni:CY43_02090
ko:K07005	seni:CY43_03785
ko:K19164	seni:CY43_24095
ko:K04753	seni:CY43_16535
ko:K07713	seni:CY43_21790
ko:K01801	seni:CY43_11705
ko:K00984	seni:CY43_20060
ko:K01023	seni:CY43_16635
ko:K06218	seni:CY43_23180
ko:K18850	seni:CY43_06270
ko:K18889	seni:CY43_02640
ko:K13654	seni:CY43_08110
ko:K18864	seni:CY43_23950
ko:K18868	seni:CY43_23955
ko:K21645	seni:CY43_23490
ko:K01985	seni:CY43_01270
ko:K01985	seni:CY43_14145
ko:K01985	seni:CY43_20400
ko:K01985	seni:CY43_21610
ko:K01985	seni:CY43_17675
ko:K01985	seni:CY43_20880
ko:K01985	seni:CY43_21820
ko:K01985	seni:CY43_17665
ko:K14219	seni:CY43_12805
ko:K11741	seni:CY43_22625
ko:K07214	seni:CY43_03215
ko:K02364	seni:CY43_03225
ko:K16076	seni:CY43_08030
ko:K08167	seni:CY43_08040
ko:K02575	seni:CY43_08050
ko:K00370	seni:CY43_08055
ko:K00371	seni:CY43_08060
ko:K00373	seni:CY43_08065
ko:K00374	seni:CY43_08070
ko:K00675	seni:CY43_08080
ko:K11738	seni:CY43_08090
ko:K02014	seni:CY43_08105
ko:K03823	seni:CY43_08120
ko:K09936	seni:CY43_08125
ko:K00137	seni:CY43_08160
ko:K08641	seni:CY43_08170
ko:K08303	seni:CY43_08190
ko:K05782	seni:CY43_08200
ko:K07347	seni:CY43_00110
ko:K06871	seni:CY43_00180
ko:K03313	seni:CY43_00195
ko:K03717	seni:CY43_00200
ko:K01811	seni:CY43_00205
ko:K02968	seni:CY43_00215
ko:K11753	seni:CY43_00220
ko:K01870	seni:CY43_00225
ko:K03101	seni:CY43_00230
ko:K03774	seni:CY43_00235
ko:K03527	seni:CY43_00240
ko:K12700	seni:CY43_00250
ko:K07702	seni:CY43_00255
ko:K05844	seni:CY43_04685
ko:K11073	seni:CY43_04695
ko:K11076	seni:CY43_04700
ko:K11075	seni:CY43_04705
ko:K11074	seni:CY43_04710
ko:K03212	seni:CY43_04720
ko:K03475	seni:CY43_04725
ko:K02822	seni:CY43_04730
ko:K09996	seni:CY43_04740
ko:K09998	seni:CY43_04745
ko:K09999	seni:CY43_04750
ko:K09997	seni:CY43_04755
ko:K10000	seni:CY43_04760
ko:K11066	seni:CY43_04775
ko:K01620	seni:CY43_04790
ko:K00156	seni:CY43_04795
ko:K11933	seni:CY43_04800
ko:K05601	seni:CY43_04805
ko:K07459	seni:CY43_04815
ko:K09824	seni:CY43_04820
ko:K13888	seni:CY43_04825
ko:K05685	seni:CY43_04830
ko:K03704	seni:CY43_04835
ko:K06891	seni:CY43_04840
ko:K03694	seni:CY43_04845
ko:K07491	seni:CY43_04850
ko:K06911	seni:CY43_04875
ko:K02518	seni:CY43_04885
ko:K00684	seni:CY43_04890
ko:K16012	seni:CY43_04895
ko:K16013	seni:CY43_04900
ko:K00384	seni:CY43_04905
ko:K03719	seni:CY43_04910
ko:K03466	seni:CY43_04915
ko:K03634	seni:CY43_04920
ko:K07478	seni:CY43_04925
ko:K01875	seni:CY43_04930
ko:K07306	seni:CY43_04935
ko:K07307	seni:CY43_04940
ko:K09917	seni:CY43_09310
ko:K01665	seni:CY43_09315
ko:K01752	seni:CY43_09325
ko:K02793	seni:CY43_09340
ko:K02794	seni:CY43_09340
ko:K02795	seni:CY43_09345
ko:K00563	seni:CY43_09365
ko:K03587	seni:CY43_09370
ko:K02408	seni:CY43_10365
ko:K02409	seni:CY43_10370
ko:K02410	seni:CY43_10375
ko:K02411	seni:CY43_10380
ko:K02412	seni:CY43_10385
ko:K02413	seni:CY43_10390
ko:K02013	seni:CY43_03235
ko:K02015	seni:CY43_03240
ko:K02015	seni:CY43_03245
ko:K08225	seni:CY43_03250
ko:K02016	seni:CY43_03255
ko:K02361	seni:CY43_03260
ko:K02363	seni:CY43_03265
ko:K01252	seni:CY43_03270
ko:K00216	seni:CY43_03275
ko:K06200	seni:CY43_03285
ko:K08317	seni:CY43_03295
ko:K14287	seni:CY43_03300
ko:K03805	seni:CY43_03320
ko:K03386	seni:CY43_03325
ko:K03387	seni:CY43_03330
ko:K11932	seni:CY43_03355
ko:K06140	seni:CY43_03365
