ko:K02028	spya:A20_1271c
ko:K00105	spya:A20_1427c
ko:K19240	spya:A20_1763c
ko:K03293	spya:A20_1402c
ko:K03790	spya:A20_1139c
ko:K15771	spya:A20_1093
ko:K13677	spya:A20_0470
ko:K07464	spya:A20_1320c
ko:K07260	spya:A20_1551c
ko:K16785	spya:A20_1571c
ko:K03366	spya:A20_0577
ko:K13734	spya:A20_0154
ko:K15770	spya:A20_1101c
ko:K15770	spya:A20_1092
ko:K15772	spya:A20_1094
ko:K01776	spya:A20_0351
ko:K07095	spya:A20_0353
ko:K05896	spya:A20_0356
ko:K06024	spya:A20_0357
ko:K06178	spya:A20_0358
ko:K08998	spya:A20_0359
ko:K03216	spya:A20_0360
ko:K07139	spya:A20_0363
ko:K04069	spya:A20_0366
ko:K02015	spya:A20_0369c
ko:K02015	spya:A20_0370c
ko:K02016	spya:A20_0371c
ko:K02013	spya:A20_0372c
ko:K00761	spya:A20_0375
ko:K01358	spya:A20_0377
ko:K00943	spya:A20_0380
ko:K02341	spya:A20_0381
ko:K07056	spya:A20_0385
ko:K01142	spya:A20_0389c
ko:K07461	spya:A20_1186
ko:K03549	spya:A20_1187c
ko:K05592	spya:A20_1188c
ko:K02837	spya:A20_1189c
ko:K01929	spya:A20_1191c
ko:K01921	spya:A20_1192c
ko:K06187	spya:A20_1193c
ko:K01534	spya:A20_1202c
ko:K00919	spya:A20_0121
ko:K11040	spya:A20_1748
ko:K11040	spya:A20_0231
ko:K11040	spya:A20_0408c
ko:K00919	spya:A20_0122
ko:K00919	spya:A20_0123
ko:K09817	spya:A20_0125
ko:K09816	spya:A20_0126
ko:K01866	spya:A20_0128c
ko:K03043	spya:A20_0130
ko:K15738	spya:A20_0716
ko:K01462	spya:A20_0718
ko:K03544	spya:A20_0732
ko:K03978	spya:A20_0733
ko:K01807	spya:A20_0736
ko:K01839	spya:A20_0737
ko:K01591	spya:A20_0745
ko:K00762	spya:A20_0746
ko:K03648	spya:A20_0750
ko:K01465	spya:A20_0751
ko:K08591	spya:A20_0752c
ko:K02622	spya:A20_0753
ko:K02621	spya:A20_0754
ko:K00826	spya:A20_0755
ko:K02945	spya:A20_0759
ko:K07146	spya:A20_0762
ko:K00791	spya:A20_0766
ko:K03665	spya:A20_0767
ko:K03686	spya:A20_1546c
ko:K04043	spya:A20_1547c
ko:K03687	spya:A20_1548c
ko:K03705	spya:A20_1549c
ko:K02434	spya:A20_1555c
ko:K02435	spya:A20_1557c
ko:K03706	spya:A20_1562c
ko:K14260	spya:A20_1563c
ko:K03655	spya:A20_1569c
ko:K02013	spya:A20_1575c
ko:K02015	spya:A20_1576c
ko:K02016	spya:A20_1577c
ko:K01775	spya:A20_1582c
ko:K00997	spya:A20_1583c
ko:K03070	spya:A20_1584c
ko:K01809	spya:A20_1587c
ko:K00847	spya:A20_1588c
ko:K01193	spya:A20_1591
ko:K03484	spya:A20_1592
ko:K03046	spya:A20_0131
ko:K00925	spya:A20_0141
ko:K00286	spya:A20_0143c
ko:K06878	spya:A20_0148
ko:K04083	spya:A20_0152c
ko:K03100	spya:A20_0155
ko:K08600	spya:A20_0157
ko:K02106	spya:A20_0165
ko:K01034	spya:A20_0169
ko:K02968	spya:A20_0982
ko:K01256	spya:A20_0985c
ko:K02039	spya:A20_0986c
ko:K02036	spya:A20_0987c
ko:K02036	spya:A20_0988c
ko:K02038	spya:A20_0989c
ko:K02037	spya:A20_0990c
ko:K02040	spya:A20_0991c
ko:K11753	spya:A20_0996c
ko:K02003	spya:A20_1002c
ko:K03657	spya:A20_1012c
ko:K03310	spya:A20_1013
ko:K02029	spya:A20_1018c
ko:K06193	spya:A20_1019c
ko:K00820	spya:A20_1020c
ko:K03100	spya:A20_1021c
ko:K00873	spya:A20_1022c
ko:K00850	spya:A20_1023c
ko:K02337	spya:A20_1024c
ko:K03073	spya:A20_1796c
ko:K06180	spya:A20_1800
ko:K04077	spya:A20_1804c
ko:K04078	spya:A20_1805c
ko:K03696	spya:A20_1806c
ko:K03704	spya:A20_1809c
ko:K03387	spya:A20_1812
ko:K01468	spya:A20_1813c
ko:K01712	spya:A20_1814
ko:K01938	spya:A20_1817
ko:K01745	spya:A20_1820
ko:K02967	spya:A20_1823
ko:K02357	spya:A20_1824
ko:K09861	spya:A20_1833
ko:K07447	spya:A20_1842c
ko:K01246	spya:A20_1847c
ko:K01874	spya:A20_0397
ko:K02445	spya:A20_0414
ko:K04042	spya:A20_0415
ko:K03466	spya:A20_0425
ko:K02867	spya:A20_0427
ko:K02863	spya:A20_0428
ko:K09903	spya:A20_0429
ko:K02838	spya:A20_0430
ko:K00243	spya:A20_0431
ko:K07042	spya:A20_0438
ko:K03530	spya:A20_1257c
ko:K03631	spya:A20_1262c
ko:K03402	spya:A20_1263c
ko:K06442	spya:A20_1264c
ko:K13789	spya:A20_1265c
ko:K03602	spya:A20_1266c
ko:K03601	spya:A20_1267c
ko:K01491	spya:A20_1268c
ko:K01669	spya:A20_1270c
ko:K01870	spya:A20_1277c
ko:K04074	spya:A20_1278c
ko:K02221	spya:A20_1280c
ko:K09772	spya:A20_1281c
ko:K06997	spya:A20_1282c
ko:K03531	spya:A20_1283c
ko:K03590	spya:A20_1284c
ko:K03589	spya:A20_1285c
ko:K02563	spya:A20_1286c
ko:K01925	spya:A20_1287c
ko:K15772	spya:A20_1097c
ko:K15771	spya:A20_1098c
ko:K07124	spya:A20_0770
ko:K07462	spya:A20_0771
ko:K00759	spya:A20_0772
ko:K10773	spya:A20_0774
ko:K06967	spya:A20_0775
ko:K00973	spya:A20_0778
ko:K01790	spya:A20_0779
ko:K06158	spya:A20_0793
ko:K00161	spya:A20_0794
ko:K00162	spya:A20_0795
ko:K00627	spya:A20_0796
ko:K00382	spya:A20_0797
ko:K03800	spya:A20_0799
ko:K01928	spya:A20_0801c
ko:K03431	spya:A20_0804
ko:K00940	spya:A20_0814
ko:K00940	spya:A20_0815
ko:K03596	spya:A20_0816
ko:K03625	spya:A20_1593c
ko:K02356	spya:A20_1595c
ko:K03701	spya:A20_1598c
ko:K03284	spya:A20_1599
ko:K02963	spya:A20_1601c
ko:K02990	spya:A20_1603c
ko:K03575	spya:A20_1605
ko:K03671	spya:A20_1607c
ko:K07456	spya:A20_1609c
ko:K03100	spya:A20_1613
ko:K03581	spya:A20_1614
ko:K02346	spya:A20_1616c
ko:K00656	spya:A20_1617
ko:K02440	spya:A20_1621c
ko:K09747	spya:A20_1627
ko:K07007	spya:A20_1631
ko:K00757	spya:A20_1634c
ko:K02954	spya:A20_1636
ko:K03789	spya:A20_1638c
ko:K01915	spya:A20_1642c
ko:K01939	spya:A20_0186
ko:K07335	spya:A20_0187
ko:K02601	spya:A20_0188
ko:K01869	spya:A20_0198
ko:K02000	spya:A20_0207
ko:K06929	spya:A20_0210
ko:K00767	spya:A20_0220
ko:K00773	spya:A20_0225
ko:K03523	spya:A20_0227
ko:K11991	spya:A20_0229
ko:K03550	spya:A20_1848c
ko:K03572	spya:A20_1850c
ko:K03555	spya:A20_1851c
ko:K03402	spya:A20_1853c
ko:K01887	spya:A20_1854
ko:K01876	spya:A20_1859c
ko:K01892	spya:A20_1860c
ko:K02911	spya:A20_1861
ko:K02913	spya:A20_1862
ko:K01421	spya:A20_1874c
ko:K02986	spya:A20_1876c
ko:K02939	spya:A20_1880c
ko:K03495	spya:A20_1882c
ko:K00566	spya:A20_1884c
ko:K01752	spya:A20_1885
ko:K01752	spya:A20_1886
ko:K00995	spya:A20_1891c
ko:K00012	spya:A20_1896
ko:K00963	spya:A20_1897
ko:K03629	spya:A20_1899
ko:K16786	spya:A20_1890c
ko:K00859	spya:A20_0455
ko:K06915	spya:A20_0456
ko:K03075	spya:A20_0458
ko:K12573	spya:A20_0459
ko:K03664	spya:A20_0460
ko:K01304	spya:A20_0462c
ko:K02529	spya:A20_0469
ko:K01868	spya:A20_0472
ko:K03685	spya:A20_0483
ko:K03529	spya:A20_0484
ko:K00014	spya:A20_0486
ko:K00789	spya:A20_0490
ko:K00012	spya:A20_0493
ko:K06207	spya:A20_1289c
ko:K04047	spya:A20_1293c
ko:K06941	spya:A20_1295c
ko:K02529	spya:A20_1297c
ko:K00954	spya:A20_1300c
ko:K01914	spya:A20_1302c
ko:K00926	spya:A20_1303c
ko:K00611	spya:A20_1306c
ko:K03402	spya:A20_1310
ko:K07718	spya:A20_1313c
ko:K12267	spya:A20_1315c
ko:K15342	spya:A20_1319c
ko:K01873	spya:A20_1325c
ko:K01735	spya:A20_1333
ko:K00014	spya:A20_1337c
ko:K16787	spya:A20_1889c
ko:K02012	spya:A20_0826
ko:K06940	spya:A20_0827
ko:K03703	spya:A20_0831
ko:K03650	spya:A20_0834c
ko:K02864	spya:A20_0835
ko:K02935	spya:A20_0836
ko:K11754	spya:A20_0859
ko:K01495	spya:A20_0860
ko:K00796	spya:A20_0861
ko:K01633	spya:A20_0862
ko:K00950	spya:A20_0863
ko:K00075	spya:A20_0864
ko:K03788	spya:A20_0874
ko:K00927	spya:A20_1645c
ko:K02902	spya:A20_1651c
ko:K01624	spya:A20_1652c
ko:K01937	spya:A20_1656c
ko:K03545	spya:A20_1658c
ko:K00868	spya:A20_1662c
ko:K06173	spya:A20_1663c
ko:K00865	spya:A20_1671c
ko:K01153	spya:A20_1672
ko:K01154	spya:A20_1673
ko:K03427	spya:A20_1674
ko:K02003	spya:A20_1678c
ko:K02787	spya:A20_1683c
ko:K02788	spya:A20_1683c
ko:K02996	spya:A20_1695c
