ko:K16238	kpv:KPNIH29_05445
ko:K19586	kpv:KPNIH29_20280
ko:K09690	kpv:KPNIH29_17720
ko:K21908	kpv:KPNIH29_22915
ko:K19271	kpv:KPNIH29_15035
ko:K19098	kpv:KPNIH29_26635
ko:K19611	kpv:KPNIH29_10940
ko:K03293	kpv:KPNIH29_11925
ko:K01990	kpv:KPNIH29_08480
ko:K01990	kpv:KPNIH29_25495
ko:K19227	kpv:KPNIH29_11195
ko:K19230	kpv:KPNIH29_11180
ko:K19611	kpv:KPNIH29_01550
ko:K19789	kpv:KPNIH29_18370
ko:K19745	kpv:KPNIH29_17230
ko:K08348	kpv:KPNIH29_14225
ko:K08348	kpv:KPNIH29_14230
ko:K00108	kpv:KPNIH29_07250
ko:K00146	kpv:KPNIH29_06985
ko:K00344	kpv:KPNIH29_01450
ko:K12979	kpv:KPNIH29_20425
ko:K03446	kpv:KPNIH29_13715
ko:K04103	kpv:KPNIH29_19025
ko:K21430	kpv:KPNIH29_08735
ko:K01007	kpv:KPNIH29_15740
ko:K08156	kpv:KPNIH29_14195
ko:K07713	kpv:KPNIH29_01210
ko:K04753	kpv:KPNIH29_22655
ko:K03293	kpv:KPNIH29_00735
ko:K02483	kpv:KPNIH29_13875
ko:K19587	kpv:KPNIH29_20290
ko:K00433	kpv:KPNIH29_17400
ko:K00984	kpv:KPNIH29_26630
ko:K19504	kpv:KPNIH29_03585
ko:K00130	kpv:KPNIH29_22290
ko:K00042	kpv:KPNIH29_23210
ko:K18850	kpv:KPNIH29_10070
ko:K05708	kpv:KPNIH29_19720
ko:K21645	kpv:KPNIH29_16380
ko:K14228	kpv:KPNIH29_02865
ko:K01980	kpv:KPNIH29_03225
ko:K01980	kpv:KPNIH29_00550
ko:K01980	kpv:KPNIH29_00085
ko:K14228	kpv:KPNIH29_03685
ko:K14228	kpv:KPNIH29_03695
ko:K14228	kpv:KPNIH29_03690
ko:K14228	kpv:KPNIH29_00750
ko:K01985	kpv:KPNIH29_00090
ko:K01985	kpv:KPNIH29_23895
ko:K01985	kpv:KPNIH29_03230
ko:K01985	kpv:KPNIH29_04965
ko:K01985	kpv:KPNIH29_01245
ko:K01985	kpv:KPNIH29_19940
ko:K01985	kpv:KPNIH29_01020
ko:K01985	kpv:KPNIH29_00555
ko:K01985	kpv:KPNIH29_23885
ko:K14219	kpv:KPNIH29_18960
ko:K18850	kpv:KPNIH29_03210
ko:K20861	kpv:KPNIH29_08770
ko:K01977	kpv:KPNIH29_00535
ko:K20866	kpv:KPNIH29_00170
ko:K20881	kpv:KPNIH29_24365
ko:K20862	kpv:KPNIH29_00820
ko:K14237	kpv:KPNIH29_14960
ko:K09691	kpv:KPNIH29_17715
ko:K01977	kpv:KPNIH29_19955
ko:K01977	kpv:KPNIH29_23905
ko:K01977	kpv:KPNIH29_00075
ko:K01977	kpv:KPNIH29_01000
ko:K01977	kpv:KPNIH29_03215
ko:K01977	kpv:KPNIH29_01230
ko:K01977	kpv:KPNIH29_04945
ko:K14224	kpv:KPNIH29_00080
ko:K14224	kpv:KPNIH29_19950
ko:K14224	kpv:KPNIH29_03220
ko:K14224	kpv:KPNIH29_01235
ko:K14223	kpv:KPNIH29_07800
ko:K14223	kpv:KPNIH29_07805
ko:K14233	kpv:KPNIH29_09630
ko:K14233	kpv:KPNIH29_09650
ko:K14222	kpv:KPNIH29_17055
ko:K14228	kpv:KPNIH29_23465
ko:K01978	kpv:KPNIH29_26410
ko:K11732	kpv:KPNIH29_07000
ko:K16053	kpv:KPNIH29_07030
ko:K02794	kpv:KPNIH29_07075
ko:K02793	kpv:KPNIH29_07080
ko:K10679	kpv:KPNIH29_07085
ko:K02034	kpv:KPNIH29_14175
ko:K02031	kpv:KPNIH29_14180
ko:K02032	kpv:KPNIH29_14180
ko:K08350	kpv:KPNIH29_14215
ko:K08349	kpv:KPNIH29_14220
ko:K05783	kpv:KPNIH29_14240
ko:K05784	kpv:KPNIH29_14245
ko:K05550	kpv:KPNIH29_14250
ko:K05549	kpv:KPNIH29_14255
ko:K03381	kpv:KPNIH29_14260
ko:K03464	kpv:KPNIH29_14265
ko:K01856	kpv:KPNIH29_14270
ko:K02624	kpv:KPNIH29_14275
ko:K08167	kpv:KPNIH29_14280
ko:K02575	kpv:KPNIH29_14290
ko:K00370	kpv:KPNIH29_14295
ko:K00371	kpv:KPNIH29_14300
ko:K00373	kpv:KPNIH29_14305
ko:K00374	kpv:KPNIH29_14310
ko:K00675	kpv:KPNIH29_14315
ko:K02011	kpv:KPNIH29_14320
ko:K02012	kpv:KPNIH29_14325
ko:K02010	kpv:KPNIH29_14330
ko:K02855	kpv:KPNIH29_14340
ko:K16077	kpv:KPNIH29_14355
ko:K01821	kpv:KPNIH29_14365
ko:K11208	kpv:KPNIH29_14370
ko:K02030	kpv:KPNIH29_14375
ko:K02028	kpv:KPNIH29_14380
ko:K02029	kpv:KPNIH29_14385
ko:K02030	kpv:KPNIH29_14395
ko:K11738	kpv:KPNIH29_14425
ko:K02014	kpv:KPNIH29_14440
ko:K02015	kpv:KPNIH29_15540
ko:K02013	kpv:KPNIH29_15545
ko:K02020	kpv:KPNIH29_15550
ko:K00014	kpv:KPNIH29_15555
ko:K08194	kpv:KPNIH29_15560
ko:K00457	kpv:KPNIH29_15565
ko:K00873	kpv:KPNIH29_15590
ko:K06078	kpv:KPNIH29_15595
ko:K02426	kpv:KPNIH29_15605
ko:K11717	kpv:KPNIH29_15610
ko:K09015	kpv:KPNIH29_15615
ko:K09013	kpv:KPNIH29_15620
ko:K09014	kpv:KPNIH29_15625
ko:K05997	kpv:KPNIH29_15630
ko:K02016	kpv:KPNIH29_15685
ko:K02015	kpv:KPNIH29_15690
ko:K02013	kpv:KPNIH29_15695
ko:K00549	kpv:KPNIH29_15705
ko:K09773	kpv:KPNIH29_15750
ko:K01626	kpv:KPNIH29_15755
ko:K08997	kpv:KPNIH29_15765
ko:K06074	kpv:KPNIH29_15775
ko:K00432	kpv:KPNIH29_15780
ko:K02073	kpv:KPNIH29_15785
ko:K06073	kpv:KPNIH29_15790
ko:K07458	kpv:KPNIH29_17150
ko:K06950	kpv:KPNIH29_17160
ko:K09933	kpv:KPNIH29_17180
ko:K13635	kpv:KPNIH29_17205
ko:K03316	kpv:KPNIH29_17220
ko:K16137	kpv:KPNIH29_17225
ko:K01241	kpv:KPNIH29_17250
ko:K07090	kpv:KPNIH29_17280
ko:K00077	kpv:KPNIH29_17285
ko:K00059	kpv:KPNIH29_17320
ko:K03566	kpv:KPNIH29_17410
ko:K02477	kpv:KPNIH29_19010
ko:K00845	kpv:KPNIH29_19015
ko:K03322	kpv:KPNIH29_19040
ko:K11535	kpv:KPNIH29_19045
ko:K07483	kpv:KPNIH29_19065
ko:K01885	kpv:KPNIH29_19095
ko:K14347	kpv:KPNIH29_19125
ko:K09954	kpv:KPNIH29_19130
ko:K01972	kpv:KPNIH29_19135
ko:K03528	kpv:KPNIH29_19140
ko:K06203	kpv:KPNIH29_19150
ko:K01738	kpv:KPNIH29_19155
ko:K02784	kpv:KPNIH29_19165
ko:K08483	kpv:KPNIH29_19170
ko:K00868	kpv:KPNIH29_19185
ko:K12339	kpv:KPNIH29_19200
ko:K02045	kpv:KPNIH29_19205
ko:K02047	kpv:KPNIH29_19210
ko:K02046	kpv:KPNIH29_19215
ko:K02048	kpv:KPNIH29_19220
ko:K07223	kpv:KPNIH29_19235
ko:K01448	kpv:KPNIH29_19255
ko:K00228	kpv:KPNIH29_19260
ko:K04033	kpv:KPNIH29_19265
ko:K04025	kpv:KPNIH29_19270
ko:K04026	kpv:KPNIH29_19275
ko:K03736	kpv:KPNIH29_19280
ko:K15723	kpv:KPNIH29_21155
ko:K06879	kpv:KPNIH29_21160
ko:K06966	kpv:KPNIH29_21165
ko:K03837	kpv:KPNIH29_21170
ko:K01752	kpv:KPNIH29_21175
ko:K15553	kpv:KPNIH29_21180
ko:K04091	kpv:KPNIH29_21220
ko:K01146	kpv:KPNIH29_21235
ko:K00048	kpv:KPNIH29_21240
ko:K01628	kpv:KPNIH29_21245
ko:K02429	kpv:KPNIH29_21255
ko:K01818	kpv:KPNIH29_21260
ko:K00879	kpv:KPNIH29_21265
ko:K02431	kpv:KPNIH29_21270
ko:K02430	kpv:KPNIH29_21275
ko:K06968	kpv:KPNIH29_21280
ko:K03566	kpv:KPNIH29_21290
ko:K01766	kpv:KPNIH29_21300
ko:K02426	kpv:KPNIH29_21305
ko:K08304	kpv:KPNIH29_21315
ko:K00768	kpv:KPNIH29_21335
ko:K02231	kpv:KPNIH29_21340
ko:K02232	kpv:KPNIH29_21345
ko:K02006	kpv:KPNIH29_21350
ko:K02008	kpv:KPNIH29_21355
ko:K02009	kpv:KPNIH29_21360
ko:K02007	kpv:KPNIH29_21365
ko:K03394	kpv:KPNIH29_21370
ko:K02190	kpv:KPNIH29_21375
ko:K05895	kpv:KPNIH29_21380
ko:K02189	kpv:KPNIH29_21390
ko:K05936	kpv:KPNIH29_21395
ko:K02191	kpv:KPNIH29_21400
ko:K03399	kpv:KPNIH29_21405
ko:K02188	kpv:KPNIH29_21410
ko:K09774	kpv:KPNIH29_23595
ko:K06861	kpv:KPNIH29_23600
ko:K03092	kpv:KPNIH29_23605
ko:K05808	kpv:KPNIH29_23610
ko:K02806	kpv:KPNIH29_23615
ko:K06958	kpv:KPNIH29_23620
ko:K08485	kpv:KPNIH29_23625
ko:K03814	kpv:KPNIH29_23630
ko:K07648	kpv:KPNIH29_23640
ko:K01686	kpv:KPNIH29_23645
ko:K08322	kpv:KPNIH29_23655
ko:K07139	kpv:KPNIH29_23665
ko:K00265	kpv:KPNIH29_23670
ko:K00266	kpv:KPNIH29_23675
ko:K01788	kpv:KPNIH29_23680
ko:K03600	kpv:KPNIH29_23685
ko:K03599	kpv:KPNIH29_23690
ko:K02996	kpv:KPNIH29_23695
ko:K02871	kpv:KPNIH29_23700
ko:K06916	kpv:KPNIH29_23705
ko:K09908	kpv:KPNIH29_23710
ko:K04691	kpv:KPNIH29_23720
ko:K00024	kpv:KPNIH29_23725
ko:K03402	kpv:KPNIH29_23730
ko:K03623	kpv:KPNIH29_23745
ko:K03468	kpv:KPNIH29_23750
ko:K15548	kpv:KPNIH29_23755
ko:K03568	kpv:KPNIH29_23770
ko:K08301	kpv:KPNIH29_23780
ko:K06287	kpv:KPNIH29_23785
ko:K03571	kpv:KPNIH29_23790
ko:K03570	kpv:KPNIH29_23795
ko:K03569	kpv:KPNIH29_23800
ko:K18765	kpv:KPNIH29_23805
ko:K17247	kpv:KPNIH29_23820
ko:K03786	kpv:KPNIH29_23825
ko:K02160	kpv:KPNIH29_23830
