ko:K01139	kpq:KPR0928_25190
ko:K00086	kpq:KPR0928_22535
ko:K02487	kpq:KPR0928_22005
ko:K16238	kpq:KPR0928_05155
ko:K02345	kpq:KPR0928_26360
ko:K18922	kpq:KPR0928_20255
ko:K06120	kpq:KPR0928_22525
ko:K09690	kpq:KPR0928_17385
ko:K21908	kpq:KPR0928_22495
ko:K19162	kpq:KPR0928_05850
ko:K02345	kpq:KPR0928_16540
ko:K06122	kpq:KPR0928_22515
ko:K06121	kpq:KPR0928_22520
ko:K15634	kpq:KPR0928_13630
ko:K19271	kpq:KPR0928_14805
ko:K03585	kpq:KPR0928_25395
ko:K07481	kpq:KPR0928_00675
ko:K00130	kpq:KPR0928_21560
ko:K18138	kpq:KPR0928_25400
ko:K18139	kpq:KPR0928_25405
ko:K03553	kpq:KPR0928_19930
ko:K03111	kpq:KPR0928_26390
ko:K04772	kpq:KPR0928_23270
ko:K00042	kpq:KPR0928_22785
ko:K00146	kpq:KPR0928_11845
ko:K19611	kpq:KPR0928_10790
ko:K03293	kpq:KPR0928_12020
ko:K00526	kpq:KPR0928_18125
ko:K03111	kpq:KPR0928_01520
ko:K01990	kpq:KPR0928_08175
ko:K01990	kpq:KPR0928_25135
ko:K19227	kpq:KPR0928_11050
ko:K19230	kpq:KPR0928_11035
ko:K18768	kpq:KPR0928_26095
ko:K18828	kpq:KPR0928_26205
ko:K08348	kpq:KPR0928_14010
ko:K19611	kpq:KPR0928_01530
ko:K19789	kpq:KPR0928_17995
ko:K19745	kpq:KPR0928_16965
ko:K00108	kpq:KPR0928_06985
ko:K21364	kpq:KPR0928_17440
ko:K03446	kpq:KPR0928_13565
ko:K04103	kpq:KPR0928_18605
ko:K00001	kpq:KPR0928_00305
ko:K21430	kpq:KPR0928_08435
ko:K01007	kpq:KPR0928_15505
ko:K02298	kpq:KPR0928_05595
ko:K02297	kpq:KPR0928_05600
ko:K08218	kpq:KPR0928_05605
ko:K07286	kpq:KPR0928_05610
ko:K05527	kpq:KPR0928_05615
