ko:K19302	hpyg:HPOKI673_04330
ko:K14233	hpyg:HPOKI673_00530
ko:K14220	hpyg:HPOKI673_01245
ko:K14232	hpyg:HPOKI673_05155
ko:K14219	hpyg:HPOKI673_04260
ko:K14219	hpyg:HPOKI673_05140
ko:K14232	hpyg:HPOKI673_02290
ko:K14230	hpyg:HPOKI673_03750
ko:K14230	hpyg:HPOKI673_04550
ko:K14230	hpyg:HPOKI673_05895
ko:K14225	hpyg:HPOKI673_04790
ko:K14225	hpyg:HPOKI673_06040
ko:K14228	hpyg:HPOKI673_04795
ko:K14228	hpyg:HPOKI673_05400
ko:K14228	hpyg:HPOKI673_06080
ko:K14228	hpyg:HPOKI673_06085
ko:K14233	hpyg:HPOKI673_04805
ko:K14234	hpyg:HPOKI673_06035
ko:K14234	hpyg:HPOKI673_06050
ko:K14236	hpyg:HPOKI673_06045
ko:K14231	hpyg:HPOKI673_07635
ko:K02483	hpyg:HPOKI673_00900
ko:K03074	hpyg:HPOKI673_00240
ko:K03072	hpyg:HPOKI673_00245
ko:K03210	hpyg:HPOKI673_00250
ko:K03313	hpyg:HPOKI673_00255
ko:K02967	hpyg:HPOKI673_00270
ko:K02357	hpyg:HPOKI673_00275
ko:K07491	hpyg:HPOKI673_00300
ko:K11928	hpyg:HPOKI673_00320
ko:K13821	hpyg:HPOKI673_00325
ko:K03190	hpyg:HPOKI673_00390
ko:K03189	hpyg:HPOKI673_00395
ko:K03188	hpyg:HPOKI673_00400
ko:K03187	hpyg:HPOKI673_00405
ko:K03191	hpyg:HPOKI673_00410
ko:K01428	hpyg:HPOKI673_00420
ko:K14048	hpyg:HPOKI673_00425
ko:K03101	hpyg:HPOKI673_00435
ko:K03431	hpyg:HPOKI673_00440
ko:K02968	hpyg:HPOKI673_00445
ko:K02835	hpyg:HPOKI673_00450
ko:K07491	hpyg:HPOKI673_00465
ko:K03406	hpyg:HPOKI673_00480
ko:K02996	hpyg:HPOKI673_00485
ko:K02871	hpyg:HPOKI673_00490
ko:K00116	hpyg:HPOKI673_00505
ko:K03086	hpyg:HPOKI673_00515
ko:K18284	hpyg:HPOKI673_00520
ko:K02014	hpyg:HPOKI673_04645
ko:K01955	hpyg:HPOKI673_04655
ko:K00134	hpyg:HPOKI673_04665
ko:K01821	hpyg:HPOKI673_04680
ko:K06187	hpyg:HPOKI673_04685
ko:K06176	hpyg:HPOKI673_04690
ko:K03799	hpyg:HPOKI673_04695
ko:K01495	hpyg:HPOKI673_04700
ko:K00795	hpyg:HPOKI673_04705
ko:K03787	hpyg:HPOKI673_04710
ko:K01737	hpyg:HPOKI673_04720
ko:K10009	hpyg:HPOKI673_04755
ko:K02424	hpyg:HPOKI673_04760
ko:K01775	hpyg:HPOKI673_04765
ko:K03310	hpyg:HPOKI673_04770
ko:K00285	hpyg:HPOKI673_04775
ko:K09022	hpyg:HPOKI673_04780
ko:K00783	hpyg:HPOKI673_04830
ko:K01963	hpyg:HPOKI673_04835
ko:K03743	hpyg:HPOKI673_04845
ko:K13292	hpyg:HPOKI673_04860
ko:K06179	hpyg:HPOKI673_04865
ko:K02527	hpyg:HPOKI673_04870
ko:K07164	hpyg:HPOKI673_04875
ko:K01878	hpyg:HPOKI673_04885
ko:K00057	hpyg:HPOKI673_04890
ko:K15726	hpyg:HPOKI673_04915
ko:K01915	hpyg:HPOKI673_02755
ko:K02939	hpyg:HPOKI673_02765
ko:K01419	hpyg:HPOKI673_02770
ko:K03667	hpyg:HPOKI673_02775
ko:K07126	hpyg:HPOKI673_02790
ko:K01776	hpyg:HPOKI673_02795
ko:K03628	hpyg:HPOKI673_02800
ko:K02909	hpyg:HPOKI673_02805
ko:K07056	hpyg:HPOKI673_02810
ko:K03218	hpyg:HPOKI673_02815
ko:K01962	hpyg:HPOKI673_02835
ko:K09458	hpyg:HPOKI673_02840
ko:K02078	hpyg:HPOKI673_02850
ko:K00059	hpyg:HPOKI673_02855
ko:K02970	hpyg:HPOKI673_02860
ko:K01778	hpyg:HPOKI673_02880
ko:K06942	hpyg:HPOKI673_02895
ko:K01255	hpyg:HPOKI673_02900
ko:K00759	hpyg:HPOKI673_02910
ko:K01808	hpyg:HPOKI673_02920
ko:K03100	hpyg:HPOKI673_02930
ko:K01491	hpyg:HPOKI673_02935
ko:K01465	hpyg:HPOKI673_02955
ko:K02417	hpyg:HPOKI673_02970
ko:K10773	hpyg:HPOKI673_02975
ko:K07082	hpyg:HPOKI673_02990
ko:K00176	hpyg:HPOKI673_02995
ko:K00174	hpyg:HPOKI673_03000
ko:K00175	hpyg:HPOKI673_03005
ko:K00177	hpyg:HPOKI673_03010
ko:K01870	hpyg:HPOKI673_07075
ko:K06941	hpyg:HPOKI673_07100
ko:K06041	hpyg:HPOKI673_07105
ko:K12574	hpyg:HPOKI673_07110
ko:K02528	hpyg:HPOKI673_07115
ko:K01154	hpyg:HPOKI673_07135
ko:K01433	hpyg:HPOKI673_07140
ko:K04773	hpyg:HPOKI673_07145
ko:K03563	hpyg:HPOKI673_07200
ko:K00919	hpyg:HPOKI673_07205
ko:K03664	hpyg:HPOKI673_07210
ko:K03561	hpyg:HPOKI673_07215
ko:K03559	hpyg:HPOKI673_07220
ko:K03536	hpyg:HPOKI673_07225
ko:K03217	hpyg:HPOKI673_07235
ko:K06346	hpyg:HPOKI673_07240
ko:K03650	hpyg:HPOKI673_07245
ko:K07337	hpyg:HPOKI673_07275
ko:K06178	hpyg:HPOKI673_07285
ko:K02337	hpyg:HPOKI673_07290
ko:K00428	hpyg:HPOKI673_07295
ko:K18480	hpyg:HPOKI673_07310
ko:K02067	hpyg:HPOKI673_07315
ko:K02065	hpyg:HPOKI673_07320
ko:K02066	hpyg:HPOKI673_07325
ko:K00826	hpyg:HPOKI673_07335
ko:K03296	hpyg:HPOKI673_03095
ko:K01939	hpyg:HPOKI673_01390
ko:K11749	hpyg:HPOKI673_01405
ko:K03601	hpyg:HPOKI673_01410
ko:K07316	hpyg:HPOKI673_01415
ko:K03695	hpyg:HPOKI673_01435
ko:K06196	hpyg:HPOKI673_01440
ko:K01465	hpyg:HPOKI673_01445
ko:K06168	hpyg:HPOKI673_01460
ko:K09778	hpyg:HPOKI673_01465
ko:K06940	hpyg:HPOKI673_01485
ko:K01609	hpyg:HPOKI673_01495
ko:K01524	hpyg:HPOKI673_01505
ko:K02841	hpyg:HPOKI673_01510
ko:K02517	hpyg:HPOKI673_01515
ko:K00773	hpyg:HPOKI673_01520
ko:K09944	hpyg:HPOKI673_01525
ko:K01735	hpyg:HPOKI673_01530
ko:K01586	hpyg:HPOKI673_01565
ko:K04093	hpyg:HPOKI673_01570
ko:K01163	hpyg:HPOKI673_01575
ko:K03342	hpyg:HPOKI673_01580
ko:K01426	hpyg:HPOKI673_01585
ko:K02397	hpyg:HPOKI673_01590
ko:K02888	hpyg:HPOKI673_01595
ko:K02899	hpyg:HPOKI673_01600
ko:K12368	hpyg:HPOKI673_01605
ko:K12369	hpyg:HPOKI673_01610
ko:K12370	hpyg:HPOKI673_01615
ko:K12371	hpyg:HPOKI673_01620
ko:K12372	hpyg:HPOKI673_01625
ko:K03979	hpyg:HPOKI673_01630
ko:K01845	hpyg:HPOKI673_01645
ko:K03106	hpyg:HPOKI673_05735
ko:K01873	hpyg:HPOKI673_05740
ko:K02563	hpyg:HPOKI673_05750
ko:K00286	hpyg:HPOKI673_05765
ko:K04095	hpyg:HPOKI673_05770
ko:K07042	hpyg:HPOKI673_05775
ko:K03839	hpyg:HPOKI673_05780
ko:K00384	hpyg:HPOKI673_05795
ko:K01810	hpyg:HPOKI673_05810
ko:K06200	hpyg:HPOKI673_05820
ko:K02029	hpyg:HPOKI673_05825
ko:K02029	hpyg:HPOKI673_05830
ko:K02028	hpyg:HPOKI673_05835
ko:K02030	hpyg:HPOKI673_05840
ko:K02429	hpyg:HPOKI673_05850
ko:K06901	hpyg:HPOKI673_05855
ko:K03784	hpyg:HPOKI673_05880
ko:K01839	hpyg:HPOKI673_05885
ko:K03317	hpyg:HPOKI673_05890
ko:K05801	hpyg:HPOKI673_05900
ko:K08159	hpyg:HPOKI673_05925
ko:K01674	hpyg:HPOKI673_05930
ko:K00133	hpyg:HPOKI673_05940
ko:K01892	hpyg:HPOKI673_05945
ko:K02843	hpyg:HPOKI673_05950
ko:K02355	hpyg:HPOKI673_05965
ko:K02992	hpyg:HPOKI673_05970
ko:K02950	hpyg:HPOKI673_05975
ko:K13797	hpyg:HPOKI673_05980
ko:K02935	hpyg:HPOKI673_05990
ko:K02864	hpyg:HPOKI673_05995
ko:K00790	hpyg:HPOKI673_03295
ko:K01744	hpyg:HPOKI673_03300
ko:K01079	hpyg:HPOKI673_03315
ko:K02217	hpyg:HPOKI673_03320
ko:K18285	hpyg:HPOKI673_03325
ko:K07277	hpyg:HPOKI673_03330
ko:K11784	hpyg:HPOKI673_03335
ko:K02434	hpyg:HPOKI673_03345
ko:K03469	hpyg:HPOKI673_03360
ko:K03685	hpyg:HPOKI673_03365
ko:K01736	hpyg:HPOKI673_03370
ko:K11473	hpyg:HPOKI673_03385
ko:K00812	hpyg:HPOKI673_03410
ko:K04763	hpyg:HPOKI673_03420
ko:K00567	hpyg:HPOKI673_03425
ko:K07090	hpyg:HPOKI673_03430
ko:K13016	hpyg:HPOKI673_03435
ko:K04042	hpyg:HPOKI673_03465
ko:K02419	hpyg:HPOKI673_03470
ko:K16091	hpyg:HPOKI673_03475
ko:K04759	hpyg:HPOKI673_03480
ko:K07501	hpyg:HPOKI673_03485
ko:K00626	hpyg:HPOKI673_03490
ko:K01028	hpyg:HPOKI673_03495
ko:K01029	hpyg:HPOKI673_03500
ko:K02106	hpyg:HPOKI673_03505
ko:K10856	hpyg:HPOKI673_03525
ko:K00901	hpyg:HPOKI673_03540
ko:K02469	hpyg:HPOKI673_03545
ko:K03655	hpyg:HPOKI673_07615
ko:K01142	hpyg:HPOKI673_07630
ko:K02313	hpyg:HPOKI673_07645
ko:K00820	hpyg:HPOKI673_07660
ko:K01154	hpyg:HPOKI673_07670
ko:K07043	hpyg:HPOKI673_07685
ko:K16091	hpyg:HPOKI673_07690
ko:K01476	hpyg:HPOKI673_07700
ko:K00259	hpyg:HPOKI673_07705
ko:K00858	hpyg:HPOKI673_07720
ko:K03631	hpyg:HPOKI673_07725
ko:K02342	hpyg:HPOKI673_07745
ko:K01783	hpyg:HPOKI673_07750
ko:K03841	hpyg:HPOKI673_07755
ko:K04656	hpyg:HPOKI673_07785
ko:K04655	hpyg:HPOKI673_07790
ko:K02377	hpyg:HPOKI673_07800
ko:K01711	hpyg:HPOKI673_07805
ko:K00971	hpyg:HPOKI673_07810
ko:K12048	hpyg:HPOKI673_07815
