ko:K07062	xcr:J163_04448
ko:K16238	xcr:J163_02519
ko:K01436	xcr:J163_03998
ko:K19736	xcr:J163_00366
ko:K05802	xcr:J163_00539
ko:K05710	xcr:J163_03100
ko:K19611	xcr:J163_03778
ko:K11209	xcr:J163_04172
ko:K09788	xcr:J163_01272
ko:K07063	xcr:J163_00107
ko:K01007	xcr:J163_02188
ko:K12979	xcr:J163_00500
ko:K21449	xcr:J163_03703
ko:K05874	xcr:J163_02039
ko:K04034	xcr:J163_01844
ko:K02485	xcr:J163_00801
ko:K09691	xcr:J163_03758
ko:K01800	xcr:J163_03766
ko:K01829	xcr:J163_04028
ko:K01179	xcr:J163_02683
ko:K20862	xcr:J163_04113
ko:K13664	xcr:J163_02745
ko:K15270	xcr:J163_00714
ko:K01184	xcr:J163_00778
ko:K06148	xcr:J163_00166
ko:K07063	xcr:J163_00035
ko:K00344	xcr:J163_01133
ko:K20074	xcr:J163_01221
ko:K12132	xcr:J163_04255
ko:K03183	xcr:J163_00760
ko:K00121	xcr:J163_00769
ko:K00856	xcr:J163_00772
ko:K03569	xcr:J163_00773
ko:K03570	xcr:J163_00774
ko:K03571	xcr:J163_00775
ko:K05515	xcr:J163_00776
ko:K05837	xcr:J163_00777
ko:K08305	xcr:J163_00779
ko:K03642	xcr:J163_00780
ko:K07258	xcr:J163_00781
ko:K09158	xcr:J163_00783
ko:K03801	xcr:J163_00784
ko:K03644	xcr:J163_00785
ko:K03797	xcr:J163_00786
ko:K07090	xcr:J163_00787
ko:K00033	xcr:J163_00797
ko:K04065	xcr:J163_00799
ko:K00950	xcr:J163_00803
ko:K03793	xcr:J163_00804
ko:K02014	xcr:J163_00807
ko:K00472	xcr:J163_00808
ko:K03664	xcr:J163_01660
ko:K09801	xcr:J163_01662
ko:K06186	xcr:J163_01663
ko:K03711	xcr:J163_01664
ko:K03631	xcr:J163_01665
ko:K03705	xcr:J163_01666
ko:K03687	xcr:J163_01667
ko:K04043	xcr:J163_01668
ko:K03686	xcr:J163_01669
ko:K00868	xcr:J163_01671
ko:K04517	xcr:J163_01672
ko:K04761	xcr:J163_01677
ko:K06147	xcr:J163_01678
ko:K16013	xcr:J163_02492
ko:K00425	xcr:J163_02493
ko:K01961	xcr:J163_00647
ko:K02160	xcr:J163_00649
ko:K03786	xcr:J163_00650
ko:K04084	xcr:J163_00651
ko:K03926	xcr:J163_00652
ko:K04078	xcr:J163_00659
ko:K04077	xcr:J163_00660
ko:K01626	xcr:J163_00663
ko:K01053	xcr:J163_00666
ko:K00982	xcr:J163_00668
ko:K09125	xcr:J163_00669
ko:K07276	xcr:J163_00671
ko:K09019	xcr:J163_00672
ko:K01093	xcr:J163_00674
ko:K13929	xcr:J163_00677
ko:K13931	xcr:J163_00678
ko:K13932	xcr:J163_00679
ko:K13933	xcr:J163_00680
ko:K13934	xcr:J163_00681
ko:K13930	xcr:J163_00682
ko:K00645	xcr:J163_00684
ko:K01091	xcr:J163_00687
ko:K07315	xcr:J163_00690
ko:K01224	xcr:J163_00693
ko:K00163	xcr:J163_00694
ko:K07483	xcr:J163_00696
ko:K09701	xcr:J163_01519
ko:K03088	xcr:J163_01523
ko:K03616	xcr:J163_01526
ko:K01874	xcr:J163_01528
ko:K08234	xcr:J163_01532
ko:K16235	xcr:J163_01533
ko:K00547	xcr:J163_01534
ko:K09125	xcr:J163_01536
ko:K10947	xcr:J163_01540
ko:K05973	xcr:J163_01542
ko:K08973	xcr:J163_01544
ko:K01962	xcr:J163_01547
ko:K02337	xcr:J163_01548
ko:K03470	xcr:J163_01549
ko:K00748	xcr:J163_01550
ko:K00677	xcr:J163_01551
ko:K02372	xcr:J163_01552
ko:K02536	xcr:J163_01553
ko:K07277	xcr:J163_01555
ko:K11749	xcr:J163_01556
ko:K00099	xcr:J163_01557
ko:K00981	xcr:J163_01558
ko:K00806	xcr:J163_01559
ko:K02838	xcr:J163_01560
ko:K09903	xcr:J163_01561
ko:K02357	xcr:J163_01563
ko:K02967	xcr:J163_01564
ko:K07346	xcr:J163_01565
ko:K07347	xcr:J163_01568
ko:K07346	xcr:J163_01569
ko:K03658	xcr:J163_02414
ko:K03630	xcr:J163_02435
ko:K01222	xcr:J163_03242
ko:K09704	xcr:J163_03243
ko:K12308	xcr:J163_03245
ko:K06201	xcr:J163_03251
ko:K01444	xcr:J163_03252
ko:K03790	xcr:J163_03253
ko:K06598	xcr:J163_03254
ko:K06597	xcr:J163_03255
ko:K02487	xcr:J163_03256
ko:K06596	xcr:J163_03256
ko:K02660	xcr:J163_03257
ko:K02659	xcr:J163_03258
ko:K02658	xcr:J163_03259
ko:K02657	xcr:J163_03260
ko:K01920	xcr:J163_03261
ko:K03832	xcr:J163_03262
ko:K14742	xcr:J163_03264
ko:K05365	xcr:J163_03267
ko:K00951	xcr:J163_03270
ko:K06136	xcr:J163_03271
ko:K06137	xcr:J163_03272
ko:K06138	xcr:J163_03273
ko:K06139	xcr:J163_03274
ko:K00845	xcr:J163_03277
ko:K03578	xcr:J163_03279
ko:K04047	xcr:J163_03280
ko:K03654	xcr:J163_03281
ko:K06182	xcr:J163_03286
ko:K06895	xcr:J163_03289
ko:K05596	xcr:J163_03290
ko:K06920	xcr:J163_03293
ko:K01255	xcr:J163_04114
ko:K03088	xcr:J163_04116
ko:K03781	xcr:J163_04117
ko:K12262	xcr:J163_04118
ko:K09992	xcr:J163_04119
ko:K07693	xcr:J163_04120
ko:K07778	xcr:J163_04121
ko:K02003	xcr:J163_04123
ko:K02004	xcr:J163_04124
ko:K02004	xcr:J163_04125
ko:K05786	xcr:J163_04127
ko:K05786	xcr:J163_04128
ko:K01867	xcr:J163_04133
ko:K01476	xcr:J163_04137
ko:K07131	xcr:J163_04138
ko:K06945	xcr:J163_04141
ko:K00943	xcr:J163_04142
ko:K03525	xcr:J163_04145
ko:K03524	xcr:J163_04146
ko:K09933	xcr:J163_04148
ko:K07637	xcr:J163_04151
ko:K07660	xcr:J163_04152
ko:K05539	xcr:J163_04154
ko:K07712	xcr:J163_00322
ko:K04565	xcr:J163_00323
ko:K04565	xcr:J163_00324
ko:K00626	xcr:J163_00327
ko:K02498	xcr:J163_00328
ko:K02496	xcr:J163_00329
ko:K01719	xcr:J163_00330
ko:K07270	xcr:J163_00331
ko:K01002	xcr:J163_00540
ko:K09781	xcr:J163_00542
ko:K00703	xcr:J163_00544
ko:K00700	xcr:J163_00545
ko:K01236	xcr:J163_00546
ko:K00705	xcr:J163_00547
ko:K06044	xcr:J163_00548
ko:K00059	xcr:J163_00552
ko:K00627	xcr:J163_00563
ko:K00162	xcr:J163_00565
ko:K00161	xcr:J163_00566
ko:K07004	xcr:J163_00567
ko:K00453	xcr:J163_00568
ko:K03305	xcr:J163_00569
ko:K00457	xcr:J163_00572
ko:K00451	xcr:J163_00573
ko:K05564	xcr:J163_00576
ko:K05563	xcr:J163_00577
ko:K05562	xcr:J163_00578
ko:K05561	xcr:J163_00579
ko:K03071	xcr:J163_00335
ko:K00057	xcr:J163_00336
ko:K00156	xcr:J163_00338
ko:K03216	xcr:J163_00344
ko:K06940	xcr:J163_00350
ko:K03690	xcr:J163_00356
ko:K03688	xcr:J163_00357
ko:K06175	xcr:J163_00359
ko:K09924	xcr:J163_00360
ko:K15034	xcr:J163_00361
ko:K13051	xcr:J163_00363
ko:K01284	xcr:J163_00364
ko:K06996	xcr:J163_00367
ko:K01638	xcr:J163_00371
ko:K01637	xcr:J163_00372
ko:K07483	xcr:J163_01199
ko:K03545	xcr:J163_01206
ko:K01358	xcr:J163_01207
ko:K03544	xcr:J163_01208
ko:K01338	xcr:J163_01209
ko:K03530	xcr:J163_01210
ko:K03770	xcr:J163_01214
ko:K08307	xcr:J163_01216
ko:K01069	xcr:J163_01217
ko:K03469	xcr:J163_01219
ko:K02342	xcr:J163_01220
ko:K12982	xcr:J163_01224
ko:K11211	xcr:J163_01225
ko:K03639	xcr:J163_01227
ko:K03637	xcr:J163_01228
ko:K03636	xcr:J163_01229
ko:K03635	xcr:J163_01230
ko:K07483	xcr:J163_01233
ko:K02343	xcr:J163_01240
ko:K09747	xcr:J163_01241
ko:K06187	xcr:J163_01242
ko:K07285	xcr:J163_01244
ko:K03924	xcr:J163_01247
ko:K07483	xcr:J163_02066
ko:K06871	xcr:J163_02072
ko:K03407	xcr:J163_02075
ko:K03414	xcr:J163_02076
ko:K03413	xcr:J163_02077
ko:K02405	xcr:J163_02078
ko:K04562	xcr:J163_02079
ko:K02404	xcr:J163_02080
