ko:K18929	cjer:H730_00395
ko:K14228	cjer:H730_t10062
ko:K14226	cjer:H730_t10068
ko:K14232	cjer:H730_t10070
ko:K18928	cjer:H730_00400
ko:K18139	cjer:H730_02385
ko:K18682	cjer:H730_06995
ko:K02031	cjer:H730_09215
ko:K17248	cjer:H730_06605
ko:K11013	cjer:H730_00425
ko:K02482	cjer:H730_04855
ko:K01174	cjer:H730_05780
ko:K04753	cjer:H730_08870
ko:K06148	cjer:H730_06620
ko:K07216	cjer:H730_07080
ko:K00782	cjer:H730_00390
ko:K00425	cjer:H730_00435
ko:K00426	cjer:H730_00440
ko:K00254	cjer:H730_04920
ko:K01714	cjer:H730_04930
ko:K00076	cjer:H730_04935
ko:K01916	cjer:H730_04950
ko:K00912	cjer:H730_04955
ko:K01733	cjer:H730_04960
ko:K00979	cjer:H730_04965
ko:K02030	cjer:H730_04975
ko:K02419	cjer:H730_04980
ko:K04042	cjer:H730_04985
ko:K13038	cjer:H730_04990
ko:K00806	cjer:H730_05000
ko:K02654	cjer:H730_05005
ko:K07091	cjer:H730_05010
ko:K06173	cjer:H730_05015
ko:K01754	cjer:H730_05020
ko:K06929	cjer:H730_05025
ko:K09943	cjer:H730_05030
ko:K01682	cjer:H730_05055
ko:K00567	cjer:H730_05060
ko:K01772	cjer:H730_05065
ko:K01874	cjer:H730_05070
ko:K03841	cjer:H730_05080
ko:K03753	cjer:H730_05085
ko:K08309	cjer:H730_05095
ko:K02221	cjer:H730_05100
ko:K01885	cjer:H730_05105
ko:K07098	cjer:H730_05110
ko:K01613	cjer:H730_05115
ko:K04061	cjer:H730_05120
ko:K01845	cjer:H730_05145
ko:K01491	cjer:H730_05155
ko:K03100	cjer:H730_05160
ko:K03750	cjer:H730_05165
ko:K00790	cjer:H730_05170
ko:K03575	cjer:H730_09420
ko:K11752	cjer:H730_09430
ko:K01752	cjer:H730_09440
ko:K03837	cjer:H730_09445
ko:K03561	cjer:H730_09460
ko:K03559	cjer:H730_09465
ko:K00566	cjer:H730_09490
ko:K01736	cjer:H730_09495
ko:K03685	cjer:H730_09500
ko:K03469	cjer:H730_09505
ko:K01928	cjer:H730_09530
ko:K09747	cjer:H730_09535
ko:K00795	cjer:H730_09545
ko:K00615	cjer:H730_09550
ko:K02066	cjer:H730_09555
ko:K02065	cjer:H730_09560
ko:K02067	cjer:H730_09565
ko:K18480	cjer:H730_09570
ko:K01265	cjer:H730_09580
ko:K01776	cjer:H730_09585
ko:K03313	cjer:H730_09595
ko:K03313	cjer:H730_09600
ko:K07243	cjer:H730_09615
ko:K07230	cjer:H730_09620
ko:K02004	cjer:H730_09630
ko:K02004	cjer:H730_09635
ko:K02003	cjer:H730_09640
ko:K03534	cjer:H730_03020
ko:K07248	cjer:H730_03025
ko:K02950	cjer:H730_03030
ko:K02992	cjer:H730_03035
ko:K02355	cjer:H730_03040
ko:K02015	cjer:H730_07710
ko:K02015	cjer:H730_07715
ko:K02013	cjer:H730_07720
ko:K02016	cjer:H730_07725
ko:K03385	cjer:H730_07735
ko:K15876	cjer:H730_07740
ko:K00937	cjer:H730_07745
ko:K03407	cjer:H730_07770
ko:K03551	cjer:H730_07775
ko:K01679	cjer:H730_07785
ko:K00820	cjer:H730_07795
ko:K00990	cjer:H730_07800
ko:K18285	cjer:H730_07805
ko:K06901	cjer:H730_07810
ko:K00769	cjer:H730_07815
ko:K04754	cjer:H730_07820
ko:K07323	cjer:H730_07825
ko:K07003	cjer:H730_07830
ko:K02428	cjer:H730_07835
ko:K01042	cjer:H730_07850
ko:K03833	cjer:H730_07855
ko:K03981	cjer:H730_07860
ko:K03839	cjer:H730_07870
ko:K03781	cjer:H730_07885
ko:K03326	cjer:H730_07905
ko:K01760	cjer:H730_07910
ko:K04758	cjer:H730_07935
ko:K05927	cjer:H730_07950
ko:K00208	cjer:H730_07955
ko:K01803	cjer:H730_07960
ko:K00927	cjer:H730_07965
ko:K00134	cjer:H730_07970
ko:K00969	cjer:H730_07975
ko:K09710	cjer:H730_07980
ko:K15778	cjer:H730_07990
ko:K02415	cjer:H730_07995
ko:K00997	cjer:H730_08000
ko:K07478	cjer:H730_01305
ko:K03300	cjer:H730_01330
ko:K06153	cjer:H730_01340
ko:K01868	cjer:H730_01345
ko:K02520	cjer:H730_01350
ko:K07318	cjer:H730_01355
ko:K00145	cjer:H730_01415
ko:K00930	cjer:H730_01425
ko:K00573	cjer:H730_01435
ko:K00763	cjer:H730_01450
ko:K00762	cjer:H730_01465
ko:K02838	cjer:H730_01470
ko:K03075	cjer:H730_01475
ko:K01673	cjer:H730_01485
ko:K16052	cjer:H730_01490
ko:K13819	cjer:H730_01495
ko:K04487	cjer:H730_01500
ko:K02916	cjer:H730_01515
ko:K02887	cjer:H730_01520
ko:K03637	cjer:H730_01560
ko:K01142	cjer:H730_01575
ko:K03760	cjer:H730_01580
ko:K00901	cjer:H730_01585
ko:K01465	cjer:H730_01595
ko:K03406	cjer:H730_01610
ko:K07238	cjer:H730_01615
ko:K03406	cjer:H730_01620
ko:K01997	cjer:H730_06050
ko:K01999	cjer:H730_06055
ko:K01999	cjer:H730_06060
ko:K00133	cjer:H730_06080
ko:K09860	cjer:H730_06100
ko:K02469	cjer:H730_06105
ko:K02242	cjer:H730_06110
ko:K03596	cjer:H730_06120
ko:K03686	cjer:H730_06140
ko:K01959	cjer:H730_06155
ko:K03588	cjer:H730_06160
ko:K02563	cjer:H730_06165
ko:K00788	cjer:H730_06190
ko:K03150	cjer:H730_06195
ko:K03149	cjer:H730_06200
ko:K03148	cjer:H730_06205
ko:K03154	cjer:H730_06210
ko:K01439	cjer:H730_06215
ko:K06895	cjer:H730_06220
ko:K12410	cjer:H730_06225
ko:K07456	cjer:H730_06235
ko:K01924	cjer:H730_06245
ko:K03602	cjer:H730_06260
ko:K00088	cjer:H730_06265
ko:K02433	cjer:H730_06270
ko:K01870	cjer:H730_06280
ko:K03743	cjer:H730_06285
ko:K00995	cjer:H730_06305
ko:K11749	cjer:H730_06310
ko:K06940	cjer:H730_03375
ko:K01609	cjer:H730_03385
ko:K06917	cjer:H730_03395
ko:K03320	cjer:H730_03400
ko:K01772	cjer:H730_03405
ko:K13017	cjer:H730_03415
ko:K01872	cjer:H730_03420
ko:K06287	cjer:H730_03425
ko:K05366	cjer:H730_03430
ko:K03695	cjer:H730_03435
ko:K03797	cjer:H730_03445
ko:K01923	cjer:H730_03450
ko:K01952	cjer:H730_03455
ko:K01952	cjer:H730_03460
ko:K00655	cjer:H730_03470
ko:K06199	cjer:H730_03475
ko:K04079	cjer:H730_03480
ko:K03324	cjer:H730_03495
ko:K03587	cjer:H730_03500
ko:K02408	cjer:H730_03505
ko:K02388	cjer:H730_03510
ko:K02387	cjer:H730_03515
ko:K07082	cjer:H730_03520
ko:K00031	cjer:H730_03530
ko:K00024	cjer:H730_03535
ko:K01903	cjer:H730_03540
ko:K01902	cjer:H730_03545
ko:K00176	cjer:H730_03550
ko:K00174	cjer:H730_03555
