ko:K10747	xfu:XFF4834R_chr31600
ko:K00128	xfu:XFF4834R_chr08850
ko:K16238	xfu:XFF4834R_chr23690
ko:K07497	xfu:XFF4834R_chr23850
ko:K11741	xfu:XFF4834R_chr04840
ko:K01436	xfu:XFF4834R_chr37340
ko:K19736	xfu:XFF4834R_chr02240
ko:K05802	xfu:XFF4834R_chr04120
ko:K05710	xfu:XFF4834R_chr16990
ko:K19611	xfu:XFF4834R_chr35170
ko:K11209	xfu:XFF4834R_chr39120
ko:K09788	xfu:XFF4834R_chr11350
ko:K20444	xfu:XFF4834R_chr20860
ko:K19745	xfu:XFF4834R_chr24820
ko:K01007	xfu:XFF4834R_chr21470
ko:K21449	xfu:XFF4834R_chr34400
ko:K14223	xfu:XFF4834R_chr09550
ko:K14236	xfu:XFF4834R_chr09600
ko:K14225	xfu:XFF4834R_chr09610
ko:K14225	xfu:XFF4834R_chr13410
ko:K14234	xfu:XFF4834R_chr09620
ko:K14232	xfu:XFF4834R_chr10520
ko:K14232	xfu:XFF4834R_chr23430
ko:K14232	xfu:XFF4834R_chr26230
ko:K14226	xfu:XFF4834R_chr10540
ko:K14229	xfu:XFF4834R_chr10550
ko:K14229	xfu:XFF4834R_chr14910
ko:K14228	xfu:XFF4834R_chr10570
ko:K14228	xfu:XFF4834R_chr21610
ko:K14228	xfu:XFF4834R_chr22030
ko:K14228	xfu:XFF4834R_chr27010
ko:K14237	xfu:XFF4834R_chr10630
ko:K14237	xfu:XFF4834R_chr11270
ko:K14221	xfu:XFF4834R_chr10640
ko:K14221	xfu:XFF4834R_chr10650
ko:K14233	xfu:XFF4834R_chr10730
ko:K14233	xfu:XFF4834R_chr11020
ko:K14233	xfu:XFF4834R_chr27670
ko:K14233	xfu:XFF4834R_chr28520
ko:K14224	xfu:XFF4834R_chr21630
ko:K14224	xfu:XFF4834R_chr21650
ko:K14218	xfu:XFF4834R_chr21660
ko:K14218	xfu:XFF4834R_chr21640
ko:K14218	xfu:XFF4834R_chr24280
ko:K14218	xfu:XFF4834R_chr37820
ko:K14218	xfu:XFF4834R_chr41570
ko:K01977	xfu:XFF4834R_chr37830
ko:K01977	xfu:XFF4834R_chr41580
ko:K04034	xfu:XFF4834R_chr28090
ko:K05874	xfu:XFF4834R_chr20420
ko:K02485	xfu:XFF4834R_chr06930
ko:K02650	xfu:XFF4834R_chr36970
ko:K01184	xfu:XFF4834R_chr23790
ko:K02650	xfu:XFF4834R_chr13980
ko:K02650	xfu:XFF4834R_chr13990
ko:K02014	xfu:XFF4834R_chr10290
ko:K07275	xfu:XFF4834R_chr12950
ko:K11935	xfu:XFF4834R_chr19430
ko:K14219	xfu:XFF4834R_chr03770
ko:K14219	xfu:XFF4834R_chr10530
ko:K14230	xfu:XFF4834R_chr26860
ko:K14225	xfu:XFF4834R_chr22000
ko:K14225	xfu:XFF4834R_chr22020
ko:K14235	xfu:XFF4834R_chr09640
ko:K14228	xfu:XFF4834R_chr29480
ko:K14228	xfu:XFF4834R_chr30510
ko:K14237	xfu:XFF4834R_chr26560
ko:K14230	xfu:XFF4834R_chr36780
ko:K04065	xfu:XFF4834R_chr06910
ko:K18457	xfu:XFF4834R_chr16470
ko:K11904	xfu:XFF4834R_chr39940
ko:K18480	xfu:XFF4834R_chr34680
ko:K03462	xfu:XFF4834R_chr06830
ko:K16235	xfu:XFF4834R_chr31060
ko:K02302	xfu:XFF4834R_chr13090
ko:K02014	xfu:XFF4834R_chr13140
ko:K00390	xfu:XFF4834R_chr13170
ko:K00381	xfu:XFF4834R_chr13180
ko:K00380	xfu:XFF4834R_chr13190
ko:K00957	xfu:XFF4834R_chr13200
ko:K00955	xfu:XFF4834R_chr13210
ko:K03585	xfu:XFF4834R_chr13220
ko:K18138	xfu:XFF4834R_chr13230
ko:K01448	xfu:XFF4834R_chr19090
ko:K09007	xfu:XFF4834R_chr19100
ko:K00970	xfu:XFF4834R_chr19130
ko:K00950	xfu:XFF4834R_chr19140
ko:K00606	xfu:XFF4834R_chr19150
ko:K01918	xfu:XFF4834R_chr19160
ko:K01579	xfu:XFF4834R_chr19170
ko:K01810	xfu:XFF4834R_chr19180
ko:K07093	xfu:XFF4834R_chr19210
ko:K05349	xfu:XFF4834R_chr19220
ko:K03307	xfu:XFF4834R_chr19230
ko:K01218	xfu:XFF4834R_chr19250
ko:K15012	xfu:XFF4834R_chr19260
ko:K15011	xfu:XFF4834R_chr19270
ko:K01779	xfu:XFF4834R_chr19310
ko:K00075	xfu:XFF4834R_chr19330
ko:K00254	xfu:XFF4834R_chr19340
ko:K00128	xfu:XFF4834R_chr19380
ko:K11936	xfu:XFF4834R_chr19410
ko:K11931	xfu:XFF4834R_chr19420
ko:K15125	xfu:XFF4834R_chr19450
ko:K07814	xfu:XFF4834R_chr24790
ko:K16137	xfu:XFF4834R_chr24860
ko:K10680	xfu:XFF4834R_chr24870
ko:K07124	xfu:XFF4834R_chr24880
ko:K15371	xfu:XFF4834R_chr24920
ko:K03585	xfu:XFF4834R_chr24940
ko:K18138	xfu:XFF4834R_chr24950
ko:K03435	xfu:XFF4834R_chr24960
ko:K02768	xfu:XFF4834R_chr24970
ko:K08483	xfu:XFF4834R_chr24970
