ko:K00130	sauy:SAI8T7_1019490
ko:K19005	sauy:SAI8T7_1005570
ko:K07498	sauy:SAI8T7_20130
ko:K00561	sauy:SAI8T7_1006340
ko:K18938	sauy:SAI8T7_20070
ko:K18934	sauy:SAI8T7_1016070
ko:K18934	sauy:SAI8T7_1016080
ko:K11442	sauy:SAI8T7_1016120
ko:K08168	sauy:SAI8T7_1000920
ko:K18936	sauy:SAI8T7_1017880
ko:K18935	sauy:SAI8T7_1016100
ko:K03328	sauy:SAI8T7_1000870
ko:K03328	sauy:SAI8T7_1003740
ko:K18940	sauy:SAI8T7_1010230
ko:K19975	sauy:SAI8T7_1004860
ko:K19973	sauy:SAI8T7_1004880
ko:K09692	sauy:SAI8T7_1004930
ko:K02479	sauy:SAI8T7_1013670
ko:K02483	sauy:SAI8T7_1017480
ko:K14204	sauy:SAI8T7_1014690
ko:K01046	sauy:SAI8T7_1020010
ko:K03293	sauy:SAI8T7_1009590
ko:K22580	sauy:SAI8T7_1007490
ko:K21462	sauy:SAI8T7_1020000
ko:K21463	sauy:SAI8T7_1017440
ko:K05352	sauy:SAI8T7_1001970
ko:K08255	sauy:SAI8T7_1006810
ko:K03695	sauy:SAI8T7_1006840
ko:K06910	sauy:SAI8T7_1006890
ko:K00648	sauy:SAI8T7_1006900
ko:K09458	sauy:SAI8T7_1006910
ko:K15581	sauy:SAI8T7_1006920
ko:K15582	sauy:SAI8T7_1006930
ko:K15583	sauy:SAI8T7_1006940
ko:K10823	sauy:SAI8T7_1006950
ko:K15580	sauy:SAI8T7_1006960
ko:K02035	sauy:SAI8T7_1006970
ko:K02033	sauy:SAI8T7_1007000
ko:K02034	sauy:SAI8T7_1007010
ko:K01867	sauy:SAI8T7_1007020
ko:K16511	sauy:SAI8T7_1007030
ko:K06198	sauy:SAI8T7_1007040
ko:K08602	sauy:SAI8T7_1007050
ko:K07816	sauy:SAI8T7_1007080
ko:K00858	sauy:SAI8T7_1007090
ko:K06180	sauy:SAI8T7_1007100
ko:K06213	sauy:SAI8T7_1007110
ko:K03455	sauy:SAI8T7_1007130
ko:K00208	sauy:SAI8T7_1007140
ko:K03310	sauy:SAI8T7_1007160
ko:K05362	sauy:SAI8T7_1007210
ko:K02837	sauy:SAI8T7_1007220
ko:K02250	sauy:SAI8T7_1007290
ko:K03800	sauy:SAI8T7_1007300
ko:K07052	sauy:SAI8T7_1007310
ko:K01990	sauy:SAI8T7_1014670
ko:K04077	sauy:SAI8T7_1014880
ko:K07052	sauy:SAI8T7_1014890
ko:K07078	sauy:SAI8T7_1014910
ko:K07813	sauy:SAI8T7_1014930
ko:K07706	sauy:SAI8T7_1014940
ko:K07707	sauy:SAI8T7_1014950
ko:K00847	sauy:SAI8T7_1014960
ko:K01193	sauy:SAI8T7_1014970
ko:K03484	sauy:SAI8T7_1014980
