ko:K06001	deg:DehalGT_0871
ko:K02503	deg:DehalGT_0396
ko:K13640	deg:DehalGT_1129
ko:K11754	deg:DehalGT_0015
ko:K00197	deg:DehalGT_0596
ko:K01843	deg:DehalGT_0266
ko:K01992	deg:DehalGT_0732
ko:K01990	deg:DehalGT_0731
ko:K02823	deg:DehalGT_0944
ko:K03386	deg:DehalGT_1377
ko:K07052	deg:DehalGT_0660
ko:K07033	deg:DehalGT_0697
ko:K13963	deg:DehalGT_0267
ko:K01960	deg:DehalGT_0149
ko:K00970	deg:DehalGT_0285
ko:K02315	deg:DehalGT_0477
ko:K01897	deg:DehalGT_0791
ko:K13993	deg:DehalGT_0799
ko:K11749	deg:DehalGT_0314
ko:K00821	deg:DehalGT_0995
ko:K05794	deg:DehalGT_0244
ko:K01992	deg:DehalGT_1414
ko:K00194	deg:DehalGT_0598
ko:K09720	deg:DehalGT_0805
ko:K00030	deg:DehalGT_0391
ko:K07321	deg:DehalGT_0600
ko:K02004	deg:DehalGT_0735
ko:K00951	deg:DehalGT_0005
ko:K10206	deg:DehalGT_0630
ko:K00091	deg:DehalGT_1375
ko:K14224	deg:DehalGT_R0033
ko:K14218	deg:DehalGT_R0003
ko:K01990	deg:DehalGT_0694
ko:K01990	deg:DehalGT_1413
ko:K03296	deg:DehalGT_1335
ko:K00124	deg:DehalGT_0143
ko:K14234	deg:DehalGT_R0028
ko:K01622	deg:DehalGT_0965
ko:K14229	deg:DehalGT_R0025
ko:K00966	deg:DehalGT_0949
ko:K09968	deg:DehalGT_0079
ko:K01897	deg:DehalGT_0870
ko:K14220	deg:DehalGT_R0022
ko:K14228	deg:DehalGT_R0020
ko:K14225	deg:DehalGT_R0041
ko:K14235	deg:DehalGT_R0039
ko:K14219	deg:DehalGT_R0016
ko:K14228	deg:DehalGT_R0043
ko:K14233	deg:DehalGT_R0010
ko:K14126	deg:DehalGT_0550
ko:K14128	deg:DehalGT_0549
ko:K14232	deg:DehalGT_R0018
ko:K08998	deg:DehalGT_0878
ko:K03536	deg:DehalGT_0879
ko:K02914	deg:DehalGT_0880
ko:K02963	deg:DehalGT_0881
ko:K03111	deg:DehalGT_0882
ko:K02990	deg:DehalGT_0883
ko:K03631	deg:DehalGT_0888
ko:K07576	deg:DehalGT_0898
ko:K01673	deg:DehalGT_0902
ko:K06287	deg:DehalGT_0903
ko:K01950	deg:DehalGT_0905
ko:K01915	deg:DehalGT_0906
ko:K04751	deg:DehalGT_0907
ko:K03320	deg:DehalGT_0908
ko:K02500	deg:DehalGT_0912
ko:K02501	deg:DehalGT_0915
ko:K01738	deg:DehalGT_0918
ko:K02227	deg:DehalGT_0921
ko:K03152	deg:DehalGT_0148
ko:K00766	deg:DehalGT_0154
ko:K02224	deg:DehalGT_0156
ko:K07636	deg:DehalGT_0165
ko:K01734	deg:DehalGT_0166
ko:K02040	deg:DehalGT_0167
ko:K02037	deg:DehalGT_0168
ko:K02038	deg:DehalGT_0169
ko:K02036	deg:DehalGT_0170
ko:K02039	deg:DehalGT_0171
ko:K00335	deg:DehalGT_0174
ko:K07043	deg:DehalGT_0179
ko:K01620	deg:DehalGT_0181
ko:K03523	deg:DehalGT_0926
ko:K00794	deg:DehalGT_0929
ko:K00793	deg:DehalGT_0931
ko:K11752	deg:DehalGT_0932
ko:K09807	deg:DehalGT_0933
ko:K03100	deg:DehalGT_0934
ko:K00762	deg:DehalGT_0935
ko:K03572	deg:DehalGT_0937
ko:K03657	deg:DehalGT_0938
ko:K02825	deg:DehalGT_0939
ko:K00609	deg:DehalGT_0940
ko:K01465	deg:DehalGT_0941
ko:K01956	deg:DehalGT_0942
ko:K01955	deg:DehalGT_0943
ko:K01495	deg:DehalGT_0945
ko:K01733	deg:DehalGT_0946
ko:K00003	deg:DehalGT_0947
ko:K01895	deg:DehalGT_0950
ko:K02835	deg:DehalGT_0951
ko:K02493	deg:DehalGT_0952
ko:K02355	deg:DehalGT_0953
ko:K04763	deg:DehalGT_0956
ko:K03703	deg:DehalGT_0957
ko:K03824	deg:DehalGT_0958
ko:K03555	deg:DehalGT_0960
ko:K02338	deg:DehalGT_0967
ko:K02380	deg:DehalGT_0245
ko:K00123	deg:DehalGT_0247
ko:K00954	deg:DehalGT_0249
ko:K03558	deg:DehalGT_0251
ko:K00286	deg:DehalGT_0252
ko:K01869	deg:DehalGT_0253
ko:K07007	deg:DehalGT_0254
ko:K01433	deg:DehalGT_0978
ko:K03325	deg:DehalGT_0980
ko:K07304	deg:DehalGT_0981
ko:K07305	deg:DehalGT_0982
ko:K02669	deg:DehalGT_0992
ko:K00620	deg:DehalGT_0993
ko:K00930	deg:DehalGT_0994
ko:K01940	deg:DehalGT_0997
ko:K01755	deg:DehalGT_0998
ko:K02902	deg:DehalGT_0999
ko:K07030	deg:DehalGT_1000
ko:K03655	deg:DehalGT_1005
ko:K01129	deg:DehalGT_1006
ko:K01887	deg:DehalGT_1007
ko:K00208	deg:DehalGT_1009
ko:K07040	deg:DehalGT_1011
ko:K02911	deg:DehalGT_1012
ko:K00645	deg:DehalGT_1013
ko:K00059	deg:DehalGT_1014
ko:K03625	deg:DehalGT_1015
ko:K02078	deg:DehalGT_1016
ko:K03723	deg:DehalGT_1018
ko:K00931	deg:DehalGT_1019
ko:K00147	deg:DehalGT_1025
ko:K00989	deg:DehalGT_1026
ko:K03743	deg:DehalGT_1028
ko:K09131	deg:DehalGT_1029
ko:K11068	deg:DehalGT_0268
ko:K06158	deg:DehalGT_0269
ko:K07007	deg:DehalGT_0271
ko:K07001	deg:DehalGT_0275
ko:K06915	deg:DehalGT_0277
ko:K03074	deg:DehalGT_0283
ko:K03072	deg:DehalGT_0284
ko:K04066	deg:DehalGT_0287
ko:K02884	deg:DehalGT_0288
ko:K00554	deg:DehalGT_0289
ko:K03925	deg:DehalGT_0290
ko:K03438	deg:DehalGT_0291
ko:K03590	deg:DehalGT_0292
ko:K03531	deg:DehalGT_0293
ko:K07738	deg:DehalGT_0294
ko:K09117	deg:DehalGT_0299
ko:K02970	deg:DehalGT_0300
ko:K03797	deg:DehalGT_0308
ko:K01889	deg:DehalGT_0309
ko:K06207	deg:DehalGT_1035
ko:K09946	deg:DehalGT_1043
ko:K07478	deg:DehalGT_1045
ko:K06990	deg:DehalGT_1048
ko:K04069	deg:DehalGT_1049
ko:K09767	deg:DehalGT_1052
ko:K00859	deg:DehalGT_1059
ko:K02888	deg:DehalGT_1061
ko:K02899	deg:DehalGT_1062
ko:K02909	deg:DehalGT_1063
ko:K01814	deg:DehalGT_1067
ko:K02435	deg:DehalGT_1070
ko:K02433	deg:DehalGT_1071
ko:K07729	deg:DehalGT_1074
ko:K01867	deg:DehalGT_1079
ko:K03527	deg:DehalGT_1080
ko:K01885	deg:DehalGT_1083
ko:K01890	deg:DehalGT_0310
ko:K01507	deg:DehalGT_0311
ko:K01881	deg:DehalGT_0312
ko:K00099	deg:DehalGT_0315
ko:K00981	deg:DehalGT_0316
ko:K00806	deg:DehalGT_0317
ko:K02838	deg:DehalGT_0318
ko:K09903	deg:DehalGT_0319
ko:K02357	deg:DehalGT_0320
ko:K02967	deg:DehalGT_0321
ko:K01952	deg:DehalGT_0322
ko:K01952	deg:DehalGT_0323
ko:K06215	deg:DehalGT_0324
ko:K00088	deg:DehalGT_0327
ko:K07056	deg:DehalGT_0329
ko:K01874	deg:DehalGT_0331
ko:K03798	deg:DehalGT_0334
ko:K01151	deg:DehalGT_0335
ko:K09710	deg:DehalGT_0336
ko:K00940	deg:DehalGT_0337
ko:K06925	deg:DehalGT_0339
ko:K00946	deg:DehalGT_0340
ko:K03183	deg:DehalGT_0341
ko:K03183	deg:DehalGT_0342
ko:K01735	deg:DehalGT_0343
ko:K02548	deg:DehalGT_0344
ko:K02528	deg:DehalGT_0347
ko:K00919	deg:DehalGT_0348
ko:K09695	deg:DehalGT_0353
ko:K09694	deg:DehalGT_0354
ko:K02313	deg:DehalGT_0001
ko:K03979	deg:DehalGT_0002
ko:K00969	deg:DehalGT_0003
ko:K02470	deg:DehalGT_0004
ko:K01892	deg:DehalGT_0006
ko:K00826	deg:DehalGT_0009
ko:K02346	deg:DehalGT_0010
ko:K01591	deg:DehalGT_0012
ko:K03711	deg:DehalGT_0019
ko:K02238	deg:DehalGT_0024
ko:K02237	deg:DehalGT_0025
ko:K03499	deg:DehalGT_0026
ko:K03499	deg:DehalGT_0027
ko:K03498	deg:DehalGT_0029
ko:K03499	deg:DehalGT_0030
ko:K07220	deg:DehalGT_0032
ko:K03306	deg:DehalGT_0033
ko:K00942	deg:DehalGT_0034
ko:K09777	deg:DehalGT_0035
ko:K00337	deg:DehalGT_0772
ko:K05580	deg:DehalGT_0773
ko:K00339	deg:DehalGT_0774
ko:K00341	deg:DehalGT_0776
ko:K00342	deg:DehalGT_0777
ko:K00343	deg:DehalGT_0778
ko:K03424	deg:DehalGT_0779
ko:K10773	deg:DehalGT_0780
ko:K02232	deg:DehalGT_0781
ko:K01995	deg:DehalGT_0783
ko:K01912	deg:DehalGT_0785
ko:K01996	deg:DehalGT_0786
ko:K01999	deg:DehalGT_0787
ko:K01998	deg:DehalGT_0789
ko:K01997	deg:DehalGT_0790
ko:K00179	deg:DehalGT_0792
ko:K00180	deg:DehalGT_0793
ko:K04488	deg:DehalGT_0796
ko:K03594	deg:DehalGT_0800
ko:K04564	deg:DehalGT_0801
ko:K02500	deg:DehalGT_0804
ko:K09458	deg:DehalGT_0807
ko:K07462	deg:DehalGT_0808
ko:K13292	deg:DehalGT_0810
ko:K06877	deg:DehalGT_0811
ko:K09764	deg:DehalGT_0812
ko:K02956	deg:DehalGT_0813
ko:K00962	deg:DehalGT_0814
ko:K00215	deg:DehalGT_0815
ko:K08982	deg:DehalGT_0797
ko:K01783	deg:DehalGT_0576
ko:K04070	deg:DehalGT_1086
ko:K07042	deg:DehalGT_1088
ko:K03101	deg:DehalGT_1092
ko:K06180	deg:DehalGT_1093
ko:K00767	deg:DehalGT_1100
ko:K00278	deg:DehalGT_1101
ko:K03210	deg:DehalGT_1102
ko:K06168	deg:DehalGT_1103
ko:K03282	deg:DehalGT_1105
ko:K10563	deg:DehalGT_1106
ko:K00611	deg:DehalGT_1112
ko:K03977	deg:DehalGT_1113
ko:K08591	deg:DehalGT_1114
ko:K00057	deg:DehalGT_1115
ko:K03686	deg:DehalGT_1116
ko:K04043	deg:DehalGT_1117
ko:K03687	deg:DehalGT_1118
ko:K03705	deg:DehalGT_1119
ko:K03628	deg:DehalGT_1125
ko:K00616	deg:DehalGT_1126
ko:K01937	deg:DehalGT_1127
ko:K03686	deg:DehalGT_1128
ko:K03696	deg:DehalGT_1130
ko:K00764	deg:DehalGT_1132
ko:K01933	deg:DehalGT_1133
ko:K00602	deg:DehalGT_1135
ko:K09125	deg:DehalGT_0365
ko:K09122	deg:DehalGT_0367
ko:K03525	deg:DehalGT_0369
ko:K13038	deg:DehalGT_0370
ko:K01873	deg:DehalGT_0371
ko:K03070	deg:DehalGT_0375
ko:K00948	deg:DehalGT_0376
ko:K00600	deg:DehalGT_0377
ko:K12574	deg:DehalGT_0379
ko:K03466	deg:DehalGT_0380
ko:K03702	deg:DehalGT_0382
ko:K03550	deg:DehalGT_0383
ko:K01159	deg:DehalGT_0384
ko:K00997	deg:DehalGT_0386
ko:K00334	deg:DehalGT_0387
ko:K01808	deg:DehalGT_0577
ko:K00615	deg:DehalGT_0578
ko:K02016	deg:DehalGT_0582
ko:K02015	deg:DehalGT_0583
ko:K02013	deg:DehalGT_0584
ko:K02227	deg:DehalGT_0586
ko:K00768	deg:DehalGT_0588
ko:K02233	deg:DehalGT_0589
ko:K02231	deg:DehalGT_0591
ko:K03671	deg:DehalGT_0592
ko:K01491	deg:DehalGT_0599
ko:K01938	deg:DehalGT_0602
ko:K01876	deg:DehalGT_0605
ko:K03545	deg:DehalGT_0606
ko:K01358	deg:DehalGT_0607
ko:K00852	deg:DehalGT_0608
ko:K02356	deg:DehalGT_0611
ko:K01262	deg:DehalGT_0612
ko:K03168	deg:DehalGT_0614
ko:K04096	deg:DehalGT_0615
ko:K00172	deg:DehalGT_0617
ko:K00171	deg:DehalGT_0618
ko:K00169	deg:DehalGT_0619
ko:K00170	deg:DehalGT_0620
ko:K00334	deg:DehalGT_0621
ko:K00335	deg:DehalGT_0622
ko:K03075	deg:DehalGT_1356
ko:K02434	deg:DehalGT_1357
ko:K12141	deg:DehalGT_1367
ko:K12140	deg:DehalGT_1368
ko:K09981	deg:DehalGT_1380
ko:K03744	deg:DehalGT_1381
ko:K03799	deg:DehalGT_1382
ko:K00640	deg:DehalGT_1383
ko:K03926	deg:DehalGT_1384
ko:K03517	deg:DehalGT_1385
ko:K03665	deg:DehalGT_0628
ko:K01778	deg:DehalGT_0631
ko:K00791	deg:DehalGT_0632
ko:K01803	deg:DehalGT_0633
ko:K00927	deg:DehalGT_0635
ko:K01662	deg:DehalGT_0636
ko:K00760	deg:DehalGT_0638
ko:K02887	deg:DehalGT_0639
ko:K02916	deg:DehalGT_0640
ko:K01868	deg:DehalGT_0642
ko:K06997	deg:DehalGT_0646
ko:K01462	deg:DehalGT_0648
ko:K03624	deg:DehalGT_0657
ko:K03147	deg:DehalGT_0662
ko:K03501	deg:DehalGT_0663
ko:K00943	deg:DehalGT_0665
ko:K00566	deg:DehalGT_0666
ko:K03470	deg:DehalGT_0667
ko:K07460	deg:DehalGT_0668
ko:K00788	deg:DehalGT_0669
ko:K07477	deg:DehalGT_0670
ko:K03734	deg:DehalGT_1389
ko:K03118	deg:DehalGT_1393
ko:K03116	deg:DehalGT_1394
ko:K03116	deg:DehalGT_1395
ko:K03116	deg:DehalGT_1396
ko:K00796	deg:DehalGT_1397
ko:K00950	deg:DehalGT_1398
ko:K01737	deg:DehalGT_1399
ko:K03565	deg:DehalGT_1401
ko:K09769	deg:DehalGT_1403
ko:K07053	deg:DehalGT_1404
ko:K07457	deg:DehalGT_1406
ko:K00145	deg:DehalGT_1419
ko:K03455	deg:DehalGT_1420
ko:K02469	deg:DehalGT_1423
ko:K00928	deg:DehalGT_1426
ko:K02499	deg:DehalGT_1429
ko:K06973	deg:DehalGT_1430
ko:K02968	deg:DehalGT_1431
ko:K01356	deg:DehalGT_1432
ko:K01628	deg:DehalGT_1433
ko:K00604	deg:DehalGT_1434
ko:K01880	deg:DehalGT_0674
ko:K03547	deg:DehalGT_0675
ko:K06178	deg:DehalGT_0676
ko:K01486	deg:DehalGT_0678
ko:K00760	deg:DehalGT_0679
ko:K07568	deg:DehalGT_0683
ko:K03787	deg:DehalGT_0684
ko:K01579	deg:DehalGT_0687
ko:K00606	deg:DehalGT_0688
ko:K01918	deg:DehalGT_0689
ko:K09013	deg:DehalGT_0696
ko:K01649	deg:DehalGT_0705
ko:K00052	deg:DehalGT_0706
ko:K01704	deg:DehalGT_0707
ko:K01703	deg:DehalGT_0708
ko:K07507	deg:DehalGT_0709
ko:K01649	deg:DehalGT_0710
ko:K00053	deg:DehalGT_0711
ko:K01653	deg:DehalGT_0712
ko:K01652	deg:DehalGT_0713
ko:K01687	deg:DehalGT_0714
ko:K07566	deg:DehalGT_0715
ko:K01951	deg:DehalGT_0716
ko:K01945	deg:DehalGT_0718
ko:K01588	deg:DehalGT_0719
ko:K01756	deg:DehalGT_0720
ko:K01923	deg:DehalGT_0721
ko:K01693	deg:DehalGT_0722
ko:K00817	deg:DehalGT_0723
ko:K00013	deg:DehalGT_0724
ko:K00765	deg:DehalGT_0725
ko:K01892	deg:DehalGT_0726
ko:K03524	deg:DehalGT_0729
ko:K02003	deg:DehalGT_0736
ko:K03596	deg:DehalGT_0738
ko:K00334	deg:DehalGT_0742
ko:K00335	deg:DehalGT_0743
ko:K04568	deg:DehalGT_0748
ko:K02356	deg:DehalGT_0749
ko:K06994	deg:DehalGT_0751
ko:K03893	deg:DehalGT_0754
ko:K09740	deg:DehalGT_0764
ko:K02669	deg:DehalGT_0767
ko:K00330	deg:DehalGT_0768
ko:K00331	deg:DehalGT_0769
ko:K00332	deg:DehalGT_0770
ko:K00333	deg:DehalGT_0771
ko:K00133	deg:DehalGT_0816
ko:K01714	deg:DehalGT_0817
ko:K01939	deg:DehalGT_0820
ko:K00995	deg:DehalGT_0821
ko:K08256	deg:DehalGT_0822
ko:K00528	deg:DehalGT_0036
ko:K01858	deg:DehalGT_0823
ko:K00266	deg:DehalGT_0037
ko:K06942	deg:DehalGT_0045
ko:K02340	deg:DehalGT_0047
ko:K00845	deg:DehalGT_0049
ko:K01872	deg:DehalGT_0050
ko:K07447	deg:DehalGT_0051
ko:K00773	deg:DehalGT_0052
ko:K03696	deg:DehalGT_0054
ko:K04485	deg:DehalGT_0055
ko:K00991	deg:DehalGT_0056
ko:K01770	deg:DehalGT_0057
ko:K01883	deg:DehalGT_0058
ko:K01338	deg:DehalGT_0064
ko:K03177	deg:DehalGT_0825
ko:K02834	deg:DehalGT_0826
ko:K02519	deg:DehalGT_0827
ko:K07742	deg:DehalGT_0828
ko:K02600	deg:DehalGT_0829
ko:K07391	deg:DehalGT_0830
ko:K02935	deg:DehalGT_0834
ko:K02864	deg:DehalGT_0835
ko:K02863	deg:DehalGT_0836
ko:K02867	deg:DehalGT_0837
ko:K02601	deg:DehalGT_0838
ko:K03073	deg:DehalGT_0839
ko:K02913	deg:DehalGT_0840
ko:K02358	deg:DehalGT_0841
ko:K07089	deg:DehalGT_0846
ko:K01912	deg:DehalGT_0857
ko:K03685	deg:DehalGT_0863
ko:K01512	deg:DehalGT_0865
ko:K01255	deg:DehalGT_0867
ko:K03752	deg:DehalGT_0130
ko:K06281	deg:DehalGT_0141
ko:K06282	deg:DehalGT_0142
ko:K01870	deg:DehalGT_0874
ko:K06346	deg:DehalGT_0875
ko:K03217	deg:DehalGT_0876
ko:K00024	deg:DehalGT_0392
ko:K01677	deg:DehalGT_0394
ko:K01678	deg:DehalGT_0395
ko:K01515	deg:DehalGT_0397
ko:K00619	deg:DehalGT_0398
ko:K00858	deg:DehalGT_0399
ko:K01736	deg:DehalGT_0403
ko:K00800	deg:DehalGT_0404
ko:K00891	deg:DehalGT_0405
ko:K00014	deg:DehalGT_0406
ko:K03785	deg:DehalGT_0407
ko:K01735	deg:DehalGT_0408
ko:K03856	deg:DehalGT_0409
ko:K02950	deg:DehalGT_0410
ko:K00763	deg:DehalGT_1136
ko:K04075	deg:DehalGT_1139
ko:K06013	deg:DehalGT_1141
ko:K01409	deg:DehalGT_1144
ko:K04078	deg:DehalGT_1145
ko:K04077	deg:DehalGT_1146
ko:K04651	deg:DehalGT_1148
ko:K04652	deg:DehalGT_1149
ko:K04656	deg:DehalGT_1150
ko:K04653	deg:DehalGT_1151
ko:K04654	deg:DehalGT_1152
ko:K04655	deg:DehalGT_1153
ko:K05595	deg:DehalGT_1160
ko:K02897	deg:DehalGT_1164
ko:K01975	deg:DehalGT_1166
ko:K05808	deg:DehalGT_1169
ko:K00567	deg:DehalGT_1170
ko:K03630	deg:DehalGT_1172
ko:K02337	deg:DehalGT_1174
ko:K01657	deg:DehalGT_1180
ko:K01658	deg:DehalGT_1181
ko:K00766	deg:DehalGT_1182
ko:K02992	deg:DehalGT_0411
ko:K02355	deg:DehalGT_0412
ko:K02946	deg:DehalGT_0413
ko:K02906	deg:DehalGT_0414
ko:K02926	deg:DehalGT_0415
ko:K02892	deg:DehalGT_0416
ko:K02886	deg:DehalGT_0417
ko:K02965	deg:DehalGT_0418
ko:K02890	deg:DehalGT_0419
ko:K02982	deg:DehalGT_0420
ko:K02878	deg:DehalGT_0421
ko:K02904	deg:DehalGT_0422
ko:K02961	deg:DehalGT_0423
ko:K02874	deg:DehalGT_0424
ko:K02895	deg:DehalGT_0425
ko:K02931	deg:DehalGT_0426
ko:K02954	deg:DehalGT_0427
ko:K02994	deg:DehalGT_0428
ko:K02933	deg:DehalGT_0429
ko:K02881	deg:DehalGT_0430
ko:K02988	deg:DehalGT_0431
ko:K02907	deg:DehalGT_0432
ko:K02876	deg:DehalGT_0433
ko:K03076	deg:DehalGT_0434
ko:K00939	deg:DehalGT_0435
ko:K01265	deg:DehalGT_0436
ko:K02518	deg:DehalGT_0437
ko:K02919	deg:DehalGT_0438
