ko:K02030	kpe:KPK_2529
ko:K02483	kpe:KPK_2548
ko:K13408	kpe:KPK_A0152
ko:K05799	kpe:KPK_4622
ko:K07246	kpe:KPK_3185
ko:K11746	kpe:KPK_4699
ko:K05793	kpe:KPK_A0200
ko:K03765	kpe:KPK_4094
ko:K11733	kpe:KPK_1572
ko:K02760	kpe:KPK_3212
ko:K02511	kpe:KPK_4838
ko:K02760	kpe:KPK_A0129
ko:K01222	kpe:KPK_3207
ko:K05366	kpe:KPK_0349
ko:K03587	kpe:KPK_4653
ko:K05515	kpe:KPK_3906
ko:K00833	kpe:KPK_3774
ko:K02506	kpe:KPK_0395
ko:K00348	kpe:KPK_4491
ko:K00346	kpe:KPK_4493
ko:K06122	kpe:KPK_0628
ko:K00850	kpe:KPK_5456
ko:K01610	kpe:KPK_0343
ko:K03587	kpe:KPK_1954
ko:K04022	kpe:KPK_1350
ko:K02680	kpe:KPK_0881
ko:K02681	kpe:KPK_0883
ko:K02682	kpe:KPK_4630
ko:K01223	kpe:KPK_1591
ko:K14333	kpe:KPK_5401
ko:K02761	kpe:KPK_3210
ko:K01223	kpe:KPK_1070
ko:K00351	kpe:KPK_4488
ko:K01223	kpe:KPK_0768
ko:K01222	kpe:KPK_0080
ko:K02759	kpe:KPK_3209
ko:K02760	kpe:KPK_0039
ko:K00652	kpe:KPK_3772
ko:K06120	kpe:KPK_0626
ko:K02679	kpe:KPK_0880
ko:K06221	kpe:KPK_0689
ko:K00349	kpe:KPK_4490
ko:K00347	kpe:KPK_4492
ko:K05365	kpe:KPK_4569
ko:K05515	kpe:KPK_2538
ko:K02028	kpe:KPK_2227
ko:K05367	kpe:KPK_1270
ko:K10823	kpe:KPK_2117
ko:K15770	kpe:KPK_4253
ko:K02302	kpe:KPK_1008
ko:K16238	kpe:KPK_4381
ko:K03101	kpe:KPK_4734
ko:K10000	kpe:KPK_3666
ko:K09997	kpe:KPK_3667
ko:K09999	kpe:KPK_3668
ko:K09998	kpe:KPK_3669
ko:K09996	kpe:KPK_3670
ko:K03212	kpe:KPK_3673
ko:K11074	kpe:KPK_3675
ko:K11075	kpe:KPK_3676
ko:K11076	kpe:KPK_3677
ko:K11073	kpe:KPK_3678
