ko:K01006	lmol:LMOL312_1876
ko:K07045	lmol:LMOL312_0869
ko:K01699	lmol:LMOL312_1140
ko:K15780	lmol:LMOL312_0216
ko:K00265	lmol:LMOL312_1741
ko:K22010	lmol:LMOL312_1160
ko:K15771	lmol:LMOL312_0253
ko:K11051	lmol:LMOL312_0988
ko:K05350	lmol:LMOL312_0372
ko:K11741	lmol:LMOL312_0853
ko:K11741	lmol:LMOL312_0854
ko:K05340	lmol:LMOL312_0171
ko:K18926	lmol:LMOL312_0523
ko:K01791	lmol:LMOL312_2497
ko:K02338	lmol:LMOL312_0002
ko:K03629	lmol:LMOL312_0005
ko:K02470	lmol:LMOL312_0006
ko:K02469	lmol:LMOL312_0007
ko:K06131	lmol:LMOL312_0008
ko:K02826	lmol:LMOL312_0016
ko:K02827	lmol:LMOL312_0017
ko:K02828	lmol:LMOL312_0018
ko:K02829	lmol:LMOL312_0019
ko:K07282	lmol:LMOL312_0020
ko:K01223	lmol:LMOL312_0021
ko:K06999	lmol:LMOL312_0760
ko:K03665	lmol:LMOL312_0762
ko:K03800	lmol:LMOL312_0764
ko:K01118	lmol:LMOL312_0785
ko:K11737	lmol:LMOL312_0786
ko:K07150	lmol:LMOL312_0793
ko:K07118	lmol:LMOL312_0794
ko:K05786	lmol:LMOL312_0795
ko:K11733	lmol:LMOL312_0798
ko:K07560	lmol:LMOL312_1520
ko:K00759	lmol:LMOL312_1522
ko:K07462	lmol:LMOL312_1523
ko:K12257	lmol:LMOL312_1525
ko:K03210	lmol:LMOL312_1527
ko:K00773	lmol:LMOL312_1528
ko:K07568	lmol:LMOL312_1529
ko:K03551	lmol:LMOL312_1530
ko:K03550	lmol:LMOL312_1531
ko:K03979	lmol:LMOL312_1535
ko:K00864	lmol:LMOL312_1536
ko:K02440	lmol:LMOL312_1537
ko:K02899	lmol:LMOL312_1538
ko:K02888	lmol:LMOL312_1540
ko:K08301	lmol:LMOL312_1541
ko:K03609	lmol:LMOL312_1542
ko:K03610	lmol:LMOL312_1543
ko:K03571	lmol:LMOL312_1544
ko:K03570	lmol:LMOL312_1545
ko:K03569	lmol:LMOL312_1546
ko:K03630	lmol:LMOL312_1548
ko:K11754	lmol:LMOL312_1551
ko:K01873	lmol:LMOL312_1552
ko:K01845	lmol:LMOL312_1553
ko:K01698	lmol:LMOL312_1554
ko:K01749	lmol:LMOL312_1556
ko:K02492	lmol:LMOL312_1557
ko:K03978	lmol:LMOL312_1558
ko:K01868	lmol:LMOL312_1559
ko:K07738	lmol:LMOL312_1562
ko:K00859	lmol:LMOL312_1563
ko:K00031	lmol:LMOL312_1566
ko:K01647	lmol:LMOL312_1567
ko:K15581	lmol:LMOL312_2214
ko:K15580	lmol:LMOL312_2215
ko:K01867	lmol:LMOL312_2217
ko:K09458	lmol:LMOL312_2220
ko:K00648	lmol:LMOL312_2221
ko:K03695	lmol:LMOL312_2225
ko:K06890	lmol:LMOL312_2226
ko:K01772	lmol:LMOL312_2230
ko:K01599	lmol:LMOL312_2231
ko:K02503	lmol:LMOL312_2235
ko:K00014	lmol:LMOL312_2255
ko:K03534	lmol:LMOL312_2810
ko:K00848	lmol:LMOL312_2813
ko:K03217	lmol:LMOL312_2818
ko:K03536	lmol:LMOL312_2819
ko:K02914	lmol:LMOL312_2820
ko:K02529	lmol:LMOL312_0039
ko:K02761	lmol:LMOL312_0042
ko:K13252	lmol:LMOL312_0044
ko:K10536	lmol:LMOL312_0046
ko:K00926	lmol:LMOL312_0047
ko:K10536	lmol:LMOL312_0048
ko:K03481	lmol:LMOL312_0049
ko:K03975	lmol:LMOL312_0050
ko:K02990	lmol:LMOL312_0052
ko:K02963	lmol:LMOL312_0054
ko:K07813	lmol:LMOL312_0056
ko:K07707	lmol:LMOL312_0059
ko:K02939	lmol:LMOL312_0061
ko:K01939	lmol:LMOL312_0064
ko:K03466	lmol:LMOL312_0071
ko:K00847	lmol:LMOL312_0812
ko:K03324	lmol:LMOL312_0828
ko:K03737	lmol:LMOL312_0829
ko:K04041	lmol:LMOL312_0830
ko:K07088	lmol:LMOL312_0831
ko:K13256	lmol:LMOL312_0836
ko:K01921	lmol:LMOL312_0855
ko:K01929	lmol:LMOL312_0856
ko:K02529	lmol:LMOL312_0858
ko:K07113	lmol:LMOL312_1569
ko:K00873	lmol:LMOL312_1570
ko:K00850	lmol:LMOL312_1571
ko:K01962	lmol:LMOL312_1572
ko:K01963	lmol:LMOL312_1573
ko:K02337	lmol:LMOL312_1574
ko:K00259	lmol:LMOL312_1579
ko:K00925	lmol:LMOL312_1581
ko:K11065	lmol:LMOL312_1583
ko:K04773	lmol:LMOL312_1585
ko:K00858	lmol:LMOL312_1586
ko:K00611	lmol:LMOL312_1587
ko:K00930	lmol:LMOL312_1589
ko:K00620	lmol:LMOL312_1590
ko:K00145	lmol:LMOL312_1591
ko:K03151	lmol:LMOL312_1592
ko:K04487	lmol:LMOL312_1593
ko:K02986	lmol:LMOL312_1596
ko:K01866	lmol:LMOL312_1599
ko:K02529	lmol:LMOL312_1600
ko:K13853	lmol:LMOL312_1601
ko:K01924	lmol:LMOL312_1606
ko:K03466	lmol:LMOL312_1607
ko:K06878	lmol:LMOL312_1608
ko:K13531	lmol:LMOL312_2261
ko:K13530	lmol:LMOL312_2262
ko:K06180	lmol:LMOL312_2263
ko:K07220	lmol:LMOL312_2267
ko:K03306	lmol:LMOL312_2268
ko:K06901	lmol:LMOL312_2273
ko:K05520	lmol:LMOL312_2275
ko:K02759	lmol:LMOL312_2277
ko:K02250	lmol:LMOL312_2288
ko:K02768	lmol:LMOL312_2290
ko:K02769	lmol:LMOL312_2290
ko:K02770	lmol:LMOL312_2290
ko:K00299	lmol:LMOL312_2306
ko:K02072	lmol:LMOL312_0290
ko:K02071	lmol:LMOL312_0291
ko:K02073	lmol:LMOL312_0292
ko:K00783	lmol:LMOL312_0300
ko:K02761	lmol:LMOL312_0305
ko:K02760	lmol:LMOL312_0306
ko:K02759	lmol:LMOL312_0308
ko:K03707	lmol:LMOL312_0313
ko:K00878	lmol:LMOL312_0314
ko:K00941	lmol:LMOL312_0315
ko:K00788	lmol:LMOL312_0316
ko:K01223	lmol:LMOL312_0317
ko:K03588	lmol:LMOL312_1068
ko:K02016	lmol:LMOL312_1070
ko:K00963	lmol:LMOL312_1079
ko:K00763	lmol:LMOL312_1086
ko:K02760	lmol:LMOL312_1089
ko:K01951	lmol:LMOL312_1090
ko:K03827	lmol:LMOL312_1110
ko:K06950	lmol:LMOL312_1784
ko:K02013	lmol:LMOL312_1785
ko:K01142	lmol:LMOL312_1789
ko:K02887	lmol:LMOL312_1790
ko:K02916	lmol:LMOL312_1791
ko:K02520	lmol:LMOL312_1792
ko:K02884	lmol:LMOL312_1795
ko:K00554	lmol:LMOL312_1800
ko:K02860	lmol:LMOL312_1801
ko:K07010	lmol:LMOL312_1803
ko:K06960	lmol:LMOL312_1804
ko:K02959	lmol:LMOL312_1805
ko:K03106	lmol:LMOL312_1809
ko:K03110	lmol:LMOL312_1811
ko:K03529	lmol:LMOL312_1812
ko:K03685	lmol:LMOL312_1813
ko:K02078	lmol:LMOL312_1815
ko:K00645	lmol:LMOL312_1817
ko:K03621	lmol:LMOL312_1818
ko:K03655	lmol:LMOL312_1820
ko:K01752	lmol:LMOL312_1821
ko:K01752	lmol:LMOL312_1822
ko:K02902	lmol:LMOL312_1825
ko:K01783	lmol:LMOL312_1827
ko:K06949	lmol:LMOL312_1828
ko:K02072	lmol:LMOL312_2376
ko:K02071	lmol:LMOL312_2377
ko:K02437	lmol:LMOL312_2384
ko:K05837	lmol:LMOL312_2386
ko:K05837	lmol:LMOL312_2387
ko:K02013	lmol:LMOL312_2388
ko:K02015	lmol:LMOL312_2389
ko:K02016	lmol:LMOL312_2390
ko:K03664	lmol:LMOL312_2408
ko:K12573	lmol:LMOL312_2409
ko:K03928	lmol:LMOL312_2410
ko:K03075	lmol:LMOL312_2411
ko:K01689	lmol:LMOL312_2415
ko:K15633	lmol:LMOL312_2416
ko:K01803	lmol:LMOL312_2417
ko:K00927	lmol:LMOL312_2418
ko:K00134	lmol:LMOL312_2419
ko:K05311	lmol:LMOL312_2420
ko:K03092	lmol:LMOL312_2421
ko:K01273	lmol:LMOL312_2422
ko:K00615	lmol:LMOL312_0340
ko:K01808	lmol:LMOL312_0343
ko:K01803	lmol:LMOL312_0344
ko:K05879	lmol:LMOL312_0345
ko:K05878	lmol:LMOL312_0346
ko:K02769	lmol:LMOL312_0357
ko:K02770	lmol:LMOL312_0357
ko:K01624	lmol:LMOL312_0358
ko:K03118	lmol:LMOL312_0360
ko:K03116	lmol:LMOL312_0361
ko:K05995	lmol:LMOL312_0362
ko:K07243	lmol:LMOL312_0365
ko:K07224	lmol:LMOL312_0366
ko:K16301	lmol:LMOL312_0367
ko:K06193	lmol:LMOL312_0370
ko:K02761	lmol:LMOL312_0373
ko:K02760	lmol:LMOL312_0374
ko:K06608	lmol:LMOL312_0383
ko:K00140	lmol:LMOL312_0384
ko:K03337	lmol:LMOL312_0385
ko:K03338	lmol:LMOL312_0386
ko:K01358	lmol:LMOL312_1126
ko:K02304	lmol:LMOL312_1128
