ko:K22278	cdip:ERS451417_00150
ko:K14237	cdip:ERS451417_01410
ko:K14228	cdip:ERS451417_01847
ko:K14218	cdip:ERS451417_00012
ko:K14225	cdip:ERS451417_01811
ko:K14234	cdip:ERS451417_00353
ko:K14224	cdip:ERS451417_01028
ko:K14220	cdip:ERS451417_01710
ko:K14235	cdip:ERS451417_00355
ko:K14228	cdip:ERS451417_01267
ko:K22468	cdip:ERS451417_00787
ko:K10716	cdip:ERS451417_00655
ko:K03426	cdip:ERS451417_00656
ko:K03657	cdip:ERS451417_00657
ko:K07043	cdip:ERS451417_00659
ko:K07177	cdip:ERS451417_00661
ko:K03684	cdip:ERS451417_01419
ko:K01662	cdip:ERS451417_01420
ko:K01520	cdip:ERS451417_01423
ko:K01092	cdip:ERS451417_01426
ko:K00886	cdip:ERS451417_01427
ko:K03086	cdip:ERS451417_01429
ko:K07560	cdip:ERS451417_01434
ko:K03087	cdip:ERS451417_01435
ko:K03709	cdip:ERS451417_01436
ko:K01784	cdip:ERS451417_01437
ko:K04756	cdip:ERS451417_01441
ko:K03386	cdip:ERS451417_01442
ko:K04761	cdip:ERS451417_01443
ko:K03578	cdip:ERS451417_01445
ko:K07738	cdip:ERS451417_01446
ko:K01356	cdip:ERS451417_01448
ko:K03436	cdip:ERS451417_01449
ko:K08483	cdip:ERS451417_01450
ko:K03436	cdip:ERS451417_01451
ko:K00882	cdip:ERS451417_01452
ko:K02768	cdip:ERS451417_01456
ko:K02769	cdip:ERS451417_01456
ko:K02770	cdip:ERS451417_01456
ko:K11189	cdip:ERS451417_01458
ko:K00299	cdip:ERS451417_01460
ko:K03665	cdip:ERS451417_01462
ko:K01778	cdip:ERS451417_01465
ko:K01239	cdip:ERS451417_01773
ko:K07448	cdip:ERS451417_01777
ko:K03596	cdip:ERS451417_01780
ko:K02968	cdip:ERS451417_01782
ko:K05835	cdip:ERS451417_01783
ko:K06867	cdip:ERS451417_01784
ko:K02340	cdip:ERS451417_01785
ko:K02238	cdip:ERS451417_01786
ko:K02237	cdip:ERS451417_01787
ko:K09710	cdip:ERS451417_01790
ko:K00969	cdip:ERS451417_01791
ko:K00147	cdip:ERS451417_01792
ko:K00931	cdip:ERS451417_01793
ko:K03979	cdip:ERS451417_01795
ko:K02899	cdip:ERS451417_01796
ko:K02888	cdip:ERS451417_01797
ko:K00940	cdip:ERS451417_01799
ko:K11754	cdip:ERS451417_01801
ko:K01873	cdip:ERS451417_01802
ko:K00024	cdip:ERS451417_01803
ko:K03544	cdip:ERS451417_01805
ko:K13950	cdip:ERS451417_01806
ko:K01358	cdip:ERS451417_01807
