ko:K01698	cmur:Y015_00005
ko:K01214	cmur:Y015_01630
ko:K03224	cmur:Y015_00205
ko:K02417	cmur:Y015_00220
ko:K03219	cmur:Y015_00230
ko:K02838	cmur:Y015_00260
ko:K09903	cmur:Y015_00265
ko:K02967	cmur:Y015_00275
ko:K02357	cmur:Y015_00270
ko:K03162	cmur:Y015_00285
ko:K09015	cmur:Y015_00320
ko:K09013	cmur:Y015_00315
ko:K07220	cmur:Y015_00345
ko:K11717	cmur:Y015_00325
ko:K03306	cmur:Y015_00350
ko:K01613	cmur:Y015_00385
ko:K03070	cmur:Y015_00395
ko:K03650	cmur:Y015_00380
ko:K03977	cmur:Y015_00405
ko:K00970	cmur:Y015_00410
ko:K00346	cmur:Y015_00010
ko:K00813	cmur:Y015_00030
ko:K03582	cmur:Y015_00040
ko:K03583	cmur:Y015_00045
ko:K03168	cmur:Y015_00065
ko:K02221	cmur:Y015_00075
ko:K03581	cmur:Y015_00110
ko:K06861	cmur:Y015_00120
ko:K01934	cmur:Y015_00095
ko:K01627	cmur:Y015_00130
ko:K06180	cmur:Y015_00150
ko:K06960	cmur:Y015_00155
ko:K02469	cmur:Y015_00160
ko:K02470	cmur:Y015_00165
ko:K02492	cmur:Y015_00170
ko:K00927	cmur:Y015_00355
ko:K03569	cmur:Y015_00440
ko:K01358	cmur:Y015_00420
ko:K03545	cmur:Y015_00425
ko:K01596	cmur:Y015_00445
ko:K00972	cmur:Y015_00470
ko:K05837	cmur:Y015_00530
ko:K13819	cmur:Y015_00500
ko:K01599	cmur:Y015_00665
ko:K03497	cmur:Y015_00330
ko:K02412	cmur:Y015_00480
ko:K03723	cmur:Y015_00670
ko:K01872	cmur:Y015_00675
ko:K00231	cmur:Y015_00655
ko:K00794	cmur:Y015_00560
ko:K00351	cmur:Y015_00630
ko:K03466	cmur:Y015_00595
ko:K03210	cmur:Y015_00635
ko:K04487	cmur:Y015_00505
ko:K01834	cmur:Y015_00510
ko:K03310	cmur:Y015_00575
ko:K08719	cmur:Y015_00460
ko:K02411	cmur:Y015_00485
ko:K06178	cmur:Y015_00515
ko:K01875	cmur:Y015_00545
ko:K06910	cmur:Y015_00580
ko:K02409	cmur:Y015_00490
ko:K11752	cmur:Y015_00550
ko:K00057	cmur:Y015_00465
ko:K03524	cmur:Y015_00525
ko:K14652	cmur:Y015_00555
ko:K07117	cmur:Y015_00585
ko:K02626	cmur:Y015_03425
ko:K00615	cmur:Y015_00700
ko:K01241	cmur:Y015_00705
ko:K02356	cmur:Y015_00710
ko:K01929	cmur:Y015_00735
ko:K01000	cmur:Y015_00740
ko:K01925	cmur:Y015_00745
ko:K03588	cmur:Y015_00755
ko:K02563	cmur:Y015_00760
ko:K01921	cmur:Y015_00765
ko:K01924	cmur:Y015_00765
ko:K06960	cmur:Y015_00770
ko:K00791	cmur:Y015_00785
ko:K09710	cmur:Y015_00800
ko:K09458	cmur:Y015_00805
ko:K01507	cmur:Y015_00815
ko:K00263	cmur:Y015_00825
ko:K01082	cmur:Y015_00830
ko:K00655	cmur:Y015_00835
ko:K01909	cmur:Y015_00840
ko:K00652	cmur:Y015_00845
ko:K04066	cmur:Y015_00850
ko:K04567	cmur:Y015_00870
ko:K01883	cmur:Y015_00875
ko:K03536	cmur:Y015_00890
ko:K02914	cmur:Y015_00895
ko:K02919	cmur:Y015_00900
ko:K02954	cmur:Y015_00905
ko:K03703	cmur:Y015_00920
ko:K03555	cmur:Y015_00925
ko:K14164	cmur:Y015_00945
ko:K00995	cmur:Y015_00950
ko:K00703	cmur:Y015_00955
ko:K02897	cmur:Y015_00965
ko:K01056	cmur:Y015_00970
ko:K02990	cmur:Y015_00975
ko:K04763	cmur:Y015_01340
ko:K00700	cmur:Y015_01350
ko:K09779	cmur:Y015_01410
ko:K02435	cmur:Y015_01415
ko:K02433	cmur:Y015_01420
ko:K02434	cmur:Y015_01425
ko:K03471	cmur:Y015_01445
ko:K02517	cmur:Y015_01455
ko:K00425	cmur:Y015_01475
ko:K00426	cmur:Y015_01480
ko:K07175	cmur:Y015_01485
ko:K01870	cmur:Y015_01505
ko:K03100	cmur:Y015_01510
ko:K02909	cmur:Y015_01520
ko:K02835	cmur:Y015_01525
ko:K02493	cmur:Y015_01530
ko:K03106	cmur:Y015_01535
ko:K02959	cmur:Y015_01540
ko:K00554	cmur:Y015_01545
ko:K02884	cmur:Y015_01550
ko:K03470	cmur:Y015_01555
ko:K00942	cmur:Y015_01560
ko:K01874	cmur:Y015_01570
ko:K03581	cmur:Y015_01575
ko:K03229	cmur:Y015_01900
ko:K06942	cmur:Y015_01905
ko:K11753	cmur:Y015_01910
ko:K03177	cmur:Y015_01915
ko:K02834	cmur:Y015_01920
ko:K02519	cmur:Y015_01925
ko:K02600	cmur:Y015_01930
ko:K02945	cmur:Y015_01935
ko:K00384	cmur:Y015_01940
ko:K00997	cmur:Y015_01945
ko:K00208	cmur:Y015_01965
ko:K06179	cmur:Y015_01975
ko:K03575	cmur:Y015_01980
ko:K04077	cmur:Y015_01995
ko:K04078	cmur:Y015_02000
ko:K08602	cmur:Y015_02005
ko:K03695	cmur:Y015_02015
ko:K01783	cmur:Y015_02055
ko:K02356	cmur:Y015_02060
ko:K02160	cmur:Y015_02065
ko:K01961	cmur:Y015_02070
ko:K02871	cmur:Y015_02075
ko:K02996	cmur:Y015_02080
ko:K00939	cmur:Y015_02090
ko:K02029	cmur:Y015_02095
ko:K02028	cmur:Y015_02100
ko:K07058	cmur:Y015_02110
ko:K06999	cmur:Y015_02130
ko:K07566	cmur:Y015_02135
ko:K02035	cmur:Y015_02145
ko:K09125	cmur:Y015_02150
ko:K07039	cmur:Y015_02160
ko:K01972	cmur:Y015_02195
ko:K04487	cmur:Y015_02795
ko:K02342	cmur:Y015_02810
ko:K07083	cmur:Y015_02815
ko:K01962	cmur:Y015_02830
ko:K01448	cmur:Y015_02845
ko:K01928	cmur:Y015_02850
ko:K03587	cmur:Y015_02860
ko:K03438	cmur:Y015_02870
ko:K02313	cmur:Y015_02885
ko:K00347	cmur:Y015_02900
ko:K00348	cmur:Y015_02905
ko:K00349	cmur:Y015_02910
ko:K00350	cmur:Y015_02915
ko:K02437	cmur:Y015_02920
ko:K03800	cmur:Y015_02940
ko:K03696	cmur:Y015_02945
ko:K00566	cmur:Y015_02950
ko:K02806	cmur:Y015_02965
ko:K02806	cmur:Y015_02970
ko:K01963	cmur:Y015_02980
ko:K04564	cmur:Y015_02985
ko:K01840	cmur:Y015_02990
ko:K03685	cmur:Y015_03000
ko:K04485	cmur:Y015_03005
ko:K01749	cmur:Y015_03010
ko:K01873	cmur:Y015_03030
ko:K02124	cmur:Y015_03040
ko:K02123	cmur:Y015_03045
ko:K02120	cmur:Y015_03050
ko:K02118	cmur:Y015_03055
ko:K00991	cmur:Y015_03935
ko:K00850	cmur:Y015_02500
ko:K06889	cmur:Y015_02505
ko:K00895	cmur:Y015_02510
ko:K02527	cmur:Y015_02525
ko:K01869	cmur:Y015_02530
ko:K01845	cmur:Y015_02540
ko:K07735	cmur:Y015_02545
ko:K08999	cmur:Y015_02550
ko:K01807	cmur:Y015_02555
ko:K03658	cmur:Y015_02585
ko:K03787	cmur:Y015_02590
ko:K03179	cmur:Y015_02595
ko:K03186	cmur:Y015_02600
ko:K03308	cmur:Y015_02660
ko:K02078	cmur:Y015_02685
ko:K00059	cmur:Y015_02690
ko:K00645	cmur:Y015_02695
ko:K00648	cmur:Y015_02700
ko:K06187	cmur:Y015_02705
ko:K07277	cmur:Y015_02710
ko:K06142	cmur:Y015_02715
ko:K02536	cmur:Y015_02720
ko:K00161	cmur:Y015_02730
ko:K00162	cmur:Y015_02735
ko:K00627	cmur:Y015_02740
ko:K00688	cmur:Y015_02745
ko:K02313	cmur:Y015_02755
ko:K03217	cmur:Y015_02760
ko:K07052	cmur:Y015_02775
ko:K09815	cmur:Y015_03655
ko:K09817	cmur:Y015_03660
ko:K09816	cmur:Y015_03665
ko:K03979	cmur:Y015_03670
ko:K02899	cmur:Y015_03675
ko:K02888	cmur:Y015_03680
ko:K07042	cmur:Y015_03710
ko:K07081	cmur:Y015_03740
ko:K03183	cmur:Y015_03745
ko:K01778	cmur:Y015_03755
ko:K01358	cmur:Y015_03760
ko:K00600	cmur:Y015_03765
ko:K01719	cmur:Y015_03770
ko:K01770	cmur:Y015_03775
ko:K00380	cmur:Y015_03780
ko:K02946	cmur:Y015_03785
ko:K02355	cmur:Y015_03790
ko:K02992	cmur:Y015_03795
ko:K02950	cmur:Y015_03800
ko:K03797	cmur:Y015_03810
ko:K01885	cmur:Y015_03840
ko:K07462	cmur:Y015_03850
ko:K12257	cmur:Y015_03855
ko:K00806	cmur:Y015_03870
ko:K00981	cmur:Y015_03875
ko:K00945	cmur:Y015_03880
ko:K00655	cmur:Y015_03885
ko:K01887	cmur:Y015_03890
ko:K00790	cmur:Y015_03895
ko:K03825	cmur:Y015_03910
ko:K07098	cmur:Y015_03930
ko:K02963	cmur:Y015_00980
ko:K02939	cmur:Y015_00985
ko:K00919	cmur:Y015_00990
ko:K01408	cmur:Y015_01005
ko:K00630	cmur:Y015_01010
ko:K08301	cmur:Y015_01015
ko:K02911	cmur:Y015_01030
ko:K03621	cmur:Y015_01035
ko:K03431	cmur:Y015_01065
ko:K00820	cmur:Y015_01070
ko:K03834	cmur:Y015_01075
ko:K03834	cmur:Y015_01080
ko:K06890	cmur:Y015_01085
ko:K03110	cmur:Y015_01090
ko:K01903	cmur:Y015_01095
ko:K01902	cmur:Y015_01100
ko:K06972	cmur:Y015_01110
ko:K09760	cmur:Y015_01115
ko:K17103	cmur:Y015_01120
ko:K03439	cmur:Y015_01135
ko:K00075	cmur:Y015_01150
ko:K03625	cmur:Y015_01155
ko:K02520	cmur:Y015_01160
ko:K02916	cmur:Y015_01165
ko:K02887	cmur:Y015_01170
ko:K01889	cmur:Y015_01175
ko:K11720	cmur:Y015_01195
ko:K07091	cmur:Y015_01200
ko:K04075	cmur:Y015_01205
ko:K03798	cmur:Y015_01210
ko:K00962	cmur:Y015_01215
ko:K02956	cmur:Y015_01220
ko:K11991	cmur:Y015_01225
ko:K01265	cmur:Y015_01265
ko:K01679	cmur:Y015_01285
ko:K03321	cmur:Y015_01290
ko:K03527	cmur:Y015_01305
ko:K01494	cmur:Y015_01615
ko:K03551	cmur:Y015_01620
ko:K03111	cmur:Y015_01640
ko:K01255	cmur:Y015_01650
ko:K02340	cmur:Y015_01660
ko:K07056	cmur:Y015_01665
ko:K00164	cmur:Y015_01700
ko:K00658	cmur:Y015_01705
ko:K05810	cmur:Y015_01710
ko:K03526	cmur:Y015_01715
ko:K02400	cmur:Y015_01735
ko:K02405	cmur:Y015_01740
ko:K01866	cmur:Y015_01745
ko:K00033	cmur:Y015_01750
ko:K03596	cmur:Y015_01755
ko:K03301	cmur:Y015_01760
ko:K11707	cmur:Y015_01785
ko:K11710	cmur:Y015_01790
ko:K11708	cmur:Y015_01795
