ko:K16235	bbrs:BS27_1067
ko:K18205	bbrs:BS27_0258
ko:K06147	bbrs:BS27_1824
ko:K18955	bbrs:BS27_0743
ko:K18955	bbrs:BS27_0746
ko:K07012	bbrs:BS27_1434
ko:K01802	bbrs:BS27_0739
ko:K02483	bbrs:BS27_1381
ko:K00991	bbrs:BS27_1693
ko:K07005	bbrs:BS27_0091
ko:K06199	bbrs:BS27_0109
ko:K06199	bbrs:BS27_0110
ko:K03484	bbrs:BS27_0111
ko:K00690	bbrs:BS27_0113
ko:K03484	bbrs:BS27_0115
ko:K00053	bbrs:BS27_0118
ko:K10240	bbrs:BS27_0120
ko:K10241	bbrs:BS27_0121
ko:K10242	bbrs:BS27_0122
ko:K05350	bbrs:BS27_0123
ko:K00053	bbrs:BS27_0124
ko:K01187	bbrs:BS27_0125
ko:K07284	bbrs:BS27_0129
ko:K00705	bbrs:BS27_0130
ko:K05343	bbrs:BS27_0131
ko:K15770	bbrs:BS27_0132
ko:K15771	bbrs:BS27_0133
ko:K15772	bbrs:BS27_0134
ko:K04043	bbrs:BS27_0138
ko:K03687	bbrs:BS27_0139
ko:K03686	bbrs:BS27_0140
ko:K13640	bbrs:BS27_0141
ko:K00059	bbrs:BS27_0144
ko:K03975	bbrs:BS27_0146
ko:K02283	bbrs:BS27_0148
ko:K12510	bbrs:BS27_0149
ko:K01591	bbrs:BS27_0975
ko:K02823	bbrs:BS27_0976
ko:K17828	bbrs:BS27_0977
ko:K00762	bbrs:BS27_0978
ko:K11358	bbrs:BS27_0990
ko:K03701	bbrs:BS27_0991
ko:K03703	bbrs:BS27_0992
ko:K00014	bbrs:BS27_0993
ko:K06958	bbrs:BS27_0994
ko:K09762	bbrs:BS27_0995
ko:K00927	bbrs:BS27_0996
ko:K01803	bbrs:BS27_0997
ko:K03075	bbrs:BS27_0998
ko:K00016	bbrs:BS27_0999
ko:K14260	bbrs:BS27_1001
ko:K03311	bbrs:BS27_1003
ko:K00616	bbrs:BS27_1004
ko:K00615	bbrs:BS27_1005
ko:K03705	bbrs:BS27_1006
ko:K03686	bbrs:BS27_1007
ko:K06153	bbrs:BS27_1009
ko:K01868	bbrs:BS27_1011
ko:K01159	bbrs:BS27_1014
ko:K03550	bbrs:BS27_1015
ko:K03551	bbrs:BS27_1016
ko:K03210	bbrs:BS27_1017
ko:K00759	bbrs:BS27_1018
ko:K01903	bbrs:BS27_1019
ko:K01902	bbrs:BS27_1020
ko:K00602	bbrs:BS27_1022
