ko:K16235	bbrj:B7017_1059
ko:K06147	bbrj:B7017_2048
ko:K18926	bbrj:B7017_1678
ko:K18955	bbrj:B7017_0701
ko:K18955	bbrj:B7017_0704
ko:K07012	bbrj:B7017_1615
ko:K01802	bbrj:B7017_0697
ko:K02483	bbrj:B7017_1565
ko:K16785	bbrj:B7017_1533
ko:K16786	bbrj:B7017_1533
ko:K16787	bbrj:B7017_1533
ko:K00991	bbrj:B7017_1897
ko:K01176	bbrj:B7017_0140
ko:K04043	bbrj:B7017_0141
ko:K03687	bbrj:B7017_0142
ko:K03686	bbrj:B7017_0143
ko:K13640	bbrj:B7017_0144
ko:K00059	bbrj:B7017_0146
ko:K03975	bbrj:B7017_0148
ko:K02283	bbrj:B7017_0150
ko:K12510	bbrj:B7017_0151
ko:K02343	bbrj:B7017_0158
ko:K06187	bbrj:B7017_0159
ko:K07284	bbrj:B7017_0160
ko:K03655	bbrj:B7017_0162
ko:K00928	bbrj:B7017_0163
ko:K00928	bbrj:B7017_0164
ko:K00133	bbrj:B7017_0165
ko:K00845	bbrj:B7017_0168
ko:K01788	bbrj:B7017_0169
ko:K02035	bbrj:B7017_0171
ko:K02033	bbrj:B7017_0172
ko:K02031	bbrj:B7017_0173
ko:K02034	bbrj:B7017_0173
ko:K01714	bbrj:B7017_0175
ko:K02564	bbrj:B7017_0176
ko:K01186	bbrj:B7017_0178
ko:K07133	bbrj:B7017_0179
ko:K01649	bbrj:B7017_0183
ko:K03168	bbrj:B7017_0186
ko:K00943	bbrj:B7017_0187
ko:K02341	bbrj:B7017_0188
ko:K11189	bbrj:B7017_0190
ko:K08483	bbrj:B7017_0192
ko:K06910	bbrj:B7017_0193
ko:K08659	bbrj:B7017_0194
ko:K01938	bbrj:B7017_0195
ko:K00609	bbrj:B7017_1018
ko:K00982	bbrj:B7017_1019
ko:K01442	bbrj:B7017_1020
ko:K00297	bbrj:B7017_1021
ko:K00549	bbrj:B7017_1022
ko:K08296	bbrj:B7017_1024
ko:K07442	bbrj:B7017_1025
ko:K06999	bbrj:B7017_1026
ko:K03707	bbrj:B7017_1028
ko:K03564	bbrj:B7017_1034
ko:K02013	bbrj:B7017_1036
ko:K16148	bbrj:B7017_1037
ko:K15580	bbrj:B7017_1040
ko:K00266	bbrj:B7017_1041
ko:K00265	bbrj:B7017_1042
ko:K03596	bbrj:B7017_1048
ko:K02968	bbrj:B7017_1049
ko:K02428	bbrj:B7017_1051
ko:K07154	bbrj:B7017_1057
ko:K09974	bbrj:B7017_1064
ko:K01657	bbrj:B7017_1065
ko:K01496	bbrj:B7017_1066
ko:K02500	bbrj:B7017_1067
ko:K06941	bbrj:B7017_1069
ko:K00981	bbrj:B7017_1070
ko:K02838	bbrj:B7017_1071
ko:K09903	bbrj:B7017_1072
ko:K02357	bbrj:B7017_1073
ko:K02967	bbrj:B7017_1074
ko:K05349	bbrj:B7017_2108
ko:K10716	bbrj:B7017_2111
ko:K05349	bbrj:B7017_2112
ko:K02528	bbrj:B7017_2116
ko:K00919	bbrj:B7017_2117
ko:K00970	bbrj:B7017_2119
ko:K03980	bbrj:B7017_2122
ko:K00384	bbrj:B7017_2123
ko:K03501	bbrj:B7017_2126
ko:K06346	bbrj:B7017_2127
ko:K03217	bbrj:B7017_2128
ko:K03536	bbrj:B7017_2129
ko:K02914	bbrj:B7017_2130
ko:K01810	bbrj:B7017_0359
ko:K02049	bbrj:B7017_0360
ko:K02050	bbrj:B7017_0361
ko:K02884	bbrj:B7017_0363
ko:K03100	bbrj:B7017_0364
ko:K03470	bbrj:B7017_0365
ko:K01897	bbrj:B7017_0368
ko:K02027	bbrj:B7017_0372
ko:K02025	bbrj:B7017_0373a
ko:K02026	bbrj:B7017_0373b
ko:K12308	bbrj:B7017_0374
ko:K01224	bbrj:B7017_0376
ko:K03322	bbrj:B7017_0379
ko:K01104	bbrj:B7017_0383
ko:K03925	bbrj:B7017_1237
