ko:K19743	apq:APA22_08140
ko:K07062	apq:APA22_43880
ko:K03560	apq:APA22_26220
ko:K09690	apq:APA22_23040
ko:K07157	apq:APA22_00080
ko:K09768	apq:APA22_00030
ko:K09019	apq:APA22_00160
ko:K07552	apq:APA22_00050
ko:K09791	apq:APA22_00070
ko:K05838	apq:APA22_00090
ko:K09384	apq:APA22_00140
ko:K03701	apq:APA22_00110
ko:K00254	apq:APA22_02520
ko:K22617	apq:APA22_10790
ko:K17103	apq:APA22_07820
ko:K01935	apq:APA22_10930
ko:K02169	apq:APA22_10930
ko:K22474	apq:APA22_00860
ko:K22473	apq:APA22_00870
ko:K01577	apq:APA22_15720
ko:K01507	apq:APA22_02100
ko:K05524	apq:APA22_00950
ko:K00383	apq:APA22_01050
ko:K06910	apq:APA22_02220
ko:K02067	apq:APA22_02300
ko:K07263	apq:APA22_02420
ko:K00241	apq:APA22_00310
ko:K02428	apq:APA22_00620
ko:K01455	apq:APA22_01550
ko:K13953	apq:APA22_00250
ko:K00135	apq:APA22_00240
ko:K19689	apq:APA22_03660
ko:K02055	apq:APA22_01860
ko:K02052	apq:APA22_01870
ko:K06045	apq:APA22_01950
ko:K03386	apq:APA22_02050
ko:K16013	apq:APA22_15410
ko:K16013	apq:APA22_12620
ko:K16012	apq:APA22_12610
ko:K13409	apq:APA22_03260
ko:K13408	apq:APA22_03270
ko:K12340	apq:APA22_12430
ko:K15726	apq:APA22_15930
ko:K22475	apq:APA22_07070
ko:K03297	apq:APA22_13370
ko:K03297	apq:APA22_21110
ko:K07305	apq:APA22_04400
ko:K03316	apq:APA22_05450
ko:K07386	apq:APA22_05620
ko:K09949	apq:APA22_06610
ko:K01759	apq:APA22_06620
ko:K08178	apq:APA22_03630
ko:K01011	apq:APA22_03780
ko:K06147	apq:APA22_10030
ko:K01934	apq:APA22_02560
ko:K03316	apq:APA22_04220
ko:K12373	apq:APA22_04270
ko:K02371	apq:APA22_11280
ko:K04518	apq:APA22_11870
ko:K08738	apq:APA22_11890
ko:K00058	apq:APA22_11910
ko:K01760	apq:APA22_11930
ko:K01011	apq:APA22_11940
ko:K03743	apq:APA22_12110
ko:K03711	apq:APA22_03060
ko:K07657	apq:APA22_03170
ko:K07221	apq:APA22_03200
ko:K04765	apq:APA22_03320
ko:K00970	apq:APA22_09760
ko:K11085	apq:APA22_09770
ko:K00799	apq:APA22_10080
ko:K00045	apq:APA22_10290
ko:K02035	apq:APA22_10350
ko:K03316	apq:APA22_10370
ko:K00030	apq:APA22_10420
ko:K01262	apq:APA22_10430
ko:K03635	apq:APA22_10890
ko:K00652	apq:APA22_10910
ko:K03153	apq:APA22_11000
ko:K00568	apq:APA22_11260
ko:K00674	apq:APA22_06690
ko:K02067	apq:APA22_11370
ko:K03294	apq:APA22_11390
ko:K08305	apq:APA22_11420
ko:K07258	apq:APA22_11440
ko:K04063	apq:APA22_11540
ko:K01092	apq:APA22_11700
ko:K00059	apq:APA22_11750
ko:K10563	apq:APA22_12340
ko:K02050	apq:APA22_12380
ko:K02049	apq:APA22_12390
ko:K07304	apq:APA22_12400
ko:K00121	apq:APA22_12700
ko:K01439	apq:APA22_06700
ko:K01082	apq:APA22_07200
ko:K08964	apq:APA22_07340
ko:K01885	apq:APA22_07620
ko:K02238	apq:APA22_07630
ko:K13953	apq:APA22_08590
ko:K01784	apq:APA22_08610
ko:K02342	apq:APA22_08710
ko:K00939	apq:APA22_09520
ko:K04763	apq:APA22_07890
ko:K05595	apq:APA22_07940
ko:K01409	apq:APA22_07960
ko:K01719	apq:APA22_07980
ko:K00772	apq:APA22_08090
ko:K02067	apq:APA22_08850
ko:K02200	apq:APA22_08930
ko:K02200	apq:APA22_08940
ko:K02051	apq:APA22_09570
ko:K02050	apq:APA22_09580
ko:K02049	apq:APA22_09590
ko:K16012	apq:APA22_15400
ko:K02014	apq:APA22_15190
ko:K03442	apq:APA22_15340
ko:K07126	apq:APA22_15450
ko:K01424	apq:APA22_15480
ko:K02014	apq:APA22_15610
ko:K06045	apq:APA22_13100
ko:K00135	apq:APA22_13150
ko:K02014	apq:APA22_13280
ko:K00625	apq:APA22_14710
ko:K02051	apq:APA22_12760
ko:K02049	apq:APA22_12780
ko:K02050	apq:APA22_12790
ko:K02433	apq:APA22_12870
ko:K00799	apq:APA22_14780
ko:K00124	apq:APA22_14850
ko:K02014	apq:APA22_13620
ko:K03535	apq:APA22_13800
ko:K02510	apq:APA22_13850
ko:K02051	apq:APA22_13930
ko:K02050	apq:APA22_13940
ko:K01941	apq:APA22_13990
ko:K02014	apq:APA22_14040
ko:K02427	apq:APA22_14890
ko:K00088	apq:APA22_15080
ko:K02035	apq:APA22_15090
ko:K02033	apq:APA22_15110
ko:K02014	apq:APA22_14120
ko:K00569	apq:APA22_14450
ko:K00595	apq:APA22_14510
ko:K01679	apq:APA22_14580
ko:K18139	apq:APA22_01420
ko:K02083	apq:APA22_12830
ko:K03446	apq:APA22_42510
ko:K07267	apq:APA22_22080
ko:K08679	apq:APA22_24140
ko:K09005	apq:APA22_24150
ko:K07402	apq:APA22_24180
ko:K07141	apq:APA22_24190
ko:K00281	apq:APA22_24220
ko:K02437	apq:APA22_24230
ko:K00605	apq:APA22_24240
ko:K00797	apq:APA22_24250
ko:K01611	apq:APA22_24260
ko:K00954	apq:APA22_24310
ko:K02469	apq:APA22_24320
ko:K00962	apq:APA22_24350
ko:K02956	apq:APA22_24360
ko:K02066	apq:APA22_24380
ko:K02065	apq:APA22_24390
ko:K06192	apq:APA22_24400
ko:K09857	apq:APA22_24410
ko:K08169	apq:APA22_15800
ko:K03088	apq:APA22_15880
ko:K11720	apq:APA22_16110
ko:K01091	apq:APA22_16140
ko:K04042	apq:APA22_16150
ko:K00820	apq:APA22_16160
ko:K00432	apq:APA22_16240
ko:K09808	apq:APA22_16260
ko:K03558	apq:APA22_24510
ko:K00764	apq:APA22_24520
ko:K09857	apq:APA22_24530
ko:K06192	apq:APA22_24540
ko:K03808	apq:APA22_24550
ko:K02109	apq:APA22_24590
ko:K02109	apq:APA22_24600
ko:K02110	apq:APA22_24610
ko:K02108	apq:APA22_24620
ko:K03110	apq:APA22_24640
ko:K01778	apq:APA22_24660
ko:K05592	apq:APA22_24690
ko:K02996	apq:APA22_24720
ko:K02871	apq:APA22_24730
