ko:K03429	btb:BMB171_C0436
ko:K07052	btb:BMB171_C0238
ko:K13281	btb:BMB171_C4943
ko:K02862	btb:BMB171_C3604
ko:K01777	btb:BMB171_C2537
ko:K07680	btb:BMB171_C0759
ko:K06415	btb:BMB171_C0673
ko:K07260	btb:BMB171_C4487
ko:K06313	btb:BMB171_C2463
ko:K19310	btb:BMB171_C0252
ko:K14665	btb:BMB171_C0318
ko:K15770	btb:BMB171_C3678
ko:K07213	btb:BMB171_P0221
ko:K06314	btb:BMB171_C4980
ko:K01200	btb:BMB171_C2448
ko:K00978	btb:BMB171_C3187
ko:K01709	btb:BMB171_C3190
ko:K07697	btb:BMB171_C3205
ko:K07507	btb:BMB171_C3207
ko:K03704	btb:BMB171_C3214
ko:K01755	btb:BMB171_C3224
ko:K03088	btb:BMB171_C3266
ko:K02621	btb:BMB171_C3271
ko:K02622	btb:BMB171_C3272
ko:K09936	btb:BMB171_C3132
ko:K01126	btb:BMB171_C3168
ko:K07734	btb:BMB171_C3174
ko:K02016	btb:BMB171_C3145
ko:K02015	btb:BMB171_C3146
ko:K02015	btb:BMB171_C3147
ko:K00675	btb:BMB171_C3161
ko:K02379	btb:BMB171_C3245
ko:K00123	btb:BMB171_C3248
ko:K15580	btb:BMB171_C3260
ko:K09775	btb:BMB171_C3234
ko:K05786	btb:BMB171_C3235
ko:K03636	btb:BMB171_C3239
ko:K03750	btb:BMB171_C3241
ko:K03639	btb:BMB171_C3244
ko:K03696	btb:BMB171_C0078
ko:K04485	btb:BMB171_C0079
ko:K00991	btb:BMB171_C0082
ko:K01770	btb:BMB171_C0083
ko:K00640	btb:BMB171_C0085
ko:K01883	btb:BMB171_C0086
ko:K11145	btb:BMB171_C0087
ko:K03218	btb:BMB171_C0088
ko:K06962	btb:BMB171_C0089
ko:K03091	btb:BMB171_C0090
ko:K03073	btb:BMB171_C0091
ko:K02601	btb:BMB171_C0092
ko:K02867	btb:BMB171_C0093
ko:K02863	btb:BMB171_C0094
ko:K02864	btb:BMB171_C0095
ko:K02935	btb:BMB171_C0096
ko:K03043	btb:BMB171_C0098
ko:K03046	btb:BMB171_C0100
ko:K07590	btb:BMB171_C0101
ko:K02992	btb:BMB171_C0102
ko:K02355	btb:BMB171_C0103
ko:K02358	btb:BMB171_C0104
ko:K02946	btb:BMB171_C0105
ko:K02906	btb:BMB171_C0106
ko:K02313	btb:BMB171_C0001
ko:K02338	btb:BMB171_C0002
ko:K03629	btb:BMB171_C0004
ko:K02470	btb:BMB171_C0005
ko:K02469	btb:BMB171_C0006
ko:K06215	btb:BMB171_C0010
ko:K08681	btb:BMB171_C0011
ko:K01875	btb:BMB171_C0012
ko:K02343	btb:BMB171_C0018
ko:K09747	btb:BMB171_C0019
ko:K06187	btb:BMB171_C0020
ko:K06317	btb:BMB171_C0022
ko:K07571	btb:BMB171_C0056
ko:K06382	btb:BMB171_C0057
ko:K04075	btb:BMB171_C0058
ko:K00760	btb:BMB171_C0059
ko:K03798	btb:BMB171_C0060
ko:K03525	btb:BMB171_C0061
ko:K04083	btb:BMB171_C0062
ko:K01738	btb:BMB171_C0063
ko:K01665	btb:BMB171_C0064
ko:K00796	btb:BMB171_C0067
ko:K01633	btb:BMB171_C0068
ko:K00950	btb:BMB171_C0069
ko:K04567	btb:BMB171_C0074
ko:K00943	btb:BMB171_C0025
ko:K02341	btb:BMB171_C0026
ko:K07056	btb:BMB171_C0030
ko:K06284	btb:BMB171_C0031
ko:K01874	btb:BMB171_C0032
ko:K03424	btb:BMB171_C0033
ko:K05985	btb:BMB171_C0034
ko:K02528	btb:BMB171_C0035
ko:K06436	btb:BMB171_C0036
ko:K06423	btb:BMB171_C0038
ko:K00919	btb:BMB171_C0039
ko:K06412	btb:BMB171_C0042
ko:K04042	btb:BMB171_C0043
ko:K00948	btb:BMB171_C0045
ko:K01056	btb:BMB171_C0046
ko:K03723	btb:BMB171_C0048
ko:K04769	btb:BMB171_C0049
ko:K01069	btb:BMB171_C3184
ko:K01961	btb:BMB171_C3844
ko:K11754	btb:BMB171_C4119
ko:K18925	btb:BMB171_C0731
ko:K07404	btb:BMB171_C3058
ko:K07192	btb:BMB171_C0477
ko:K00611	btb:BMB171_C3791
ko:K18231	btb:BMB171_C2303
ko:K01739	btb:BMB171_C3924
ko:K18924	btb:BMB171_C0730
ko:K15518	btb:BMB171_C0015
ko:K00841	btb:BMB171_C3674
ko:K01897	btb:BMB171_C4172
ko:K01048	btb:BMB171_C4395
ko:K00805	btb:BMB171_C1347
ko:K02926	btb:BMB171_C0107
ko:K02892	btb:BMB171_C0108
ko:K02886	btb:BMB171_C0109
ko:K02890	btb:BMB171_C0110
ko:K02982	btb:BMB171_C0111
ko:K02878	btb:BMB171_C0112
ko:K02904	btb:BMB171_C0113
ko:K02961	btb:BMB171_C0114
ko:K02874	btb:BMB171_C0115
ko:K02895	btb:BMB171_C0116
ko:K02931	btb:BMB171_C0117
ko:K02954	btb:BMB171_C0118
ko:K02994	btb:BMB171_C0119
ko:K02933	btb:BMB171_C0120
ko:K02881	btb:BMB171_C0121
ko:K02988	btb:BMB171_C0122
ko:K02907	btb:BMB171_C0123
ko:K02876	btb:BMB171_C0124
ko:K03076	btb:BMB171_C0125
ko:K01265	btb:BMB171_C0127
ko:K03480	btb:BMB171_C3714
ko:K02057	btb:BMB171_C3457
ko:K02116	btb:BMB171_C4404
ko:K01992	btb:BMB171_C0456
ko:K01784	btb:BMB171_C0432
ko:K13789	btb:BMB171_C3838
ko:K01916	btb:BMB171_C1780
ko:K01077	btb:BMB171_C4009
ko:K07017	btb:BMB171_C3406
ko:K03215	btb:BMB171_C0310
ko:K03593	btb:BMB171_C3238
ko:K03635	btb:BMB171_C3240
ko:K13953	btb:BMB171_C1997
ko:K03406	btb:BMB171_C3193
ko:K01387	btb:BMB171_C3206
ko:K07104	btb:BMB171_C3209
ko:K07034	btb:BMB171_C3217
ko:K06976	btb:BMB171_C3223
ko:K00059	btb:BMB171_C3230
ko:K09685	btb:BMB171_C0040
ko:K07067	btb:BMB171_C0080
ko:K09698	btb:BMB171_C0084
ko:K03294	btb:BMB171_C3252
ko:K00088	btb:BMB171_C0008
ko:K07258	btb:BMB171_C0009
ko:K02499	btb:BMB171_C0051
ko:K02619	btb:BMB171_C0066
ko:K06153	btb:BMB171_C0251
ko:K07552	btb:BMB171_C0167
ko:K15580	btb:BMB171_C0175
ko:K15580	btb:BMB171_C0178
ko:K00286	btb:BMB171_C0181
ko:K02018	btb:BMB171_C0183
ko:K02020	btb:BMB171_C0184
ko:K00655	btb:BMB171_C0190
ko:K00451	btb:BMB171_C0216
ko:K01921	btb:BMB171_C0219
ko:K01929	btb:BMB171_C0220
ko:K05592	btb:BMB171_C0221
ko:K00997	btb:BMB171_C0224
ko:K01775	btb:BMB171_C0226
ko:K07723	btb:BMB171_C0227
ko:K06959	btb:BMB171_C0229
ko:K06925	btb:BMB171_C0231
ko:K03789	btb:BMB171_C0233
ko:K06158	btb:BMB171_C0235
ko:K01926	btb:BMB171_C0236
ko:K04078	btb:BMB171_C0239
ko:K04077	btb:BMB171_C0240
ko:K01951	btb:BMB171_C0243
ko:K06901	btb:BMB171_C0244
ko:K00656	btb:BMB171_C0434
ko:K04069	btb:BMB171_C0435
ko:K07071	btb:BMB171_C0440
ko:K03565	btb:BMB171_C0441
ko:K03575	btb:BMB171_C0445
ko:K01845	btb:BMB171_C0453
ko:K06294	btb:BMB171_C0143
ko:K06349	btb:BMB171_C0144
ko:K00865	btb:BMB171_C0147
ko:K01476	btb:BMB171_C0148
ko:K03431	btb:BMB171_C0151
ko:K00820	btb:BMB171_C0152
ko:K02072	btb:BMB171_C0159
ko:K02071	btb:BMB171_C0160
ko:K02073	btb:BMB171_C0161
ko:K03424	btb:BMB171_C0196
ko:K02034	btb:BMB171_C0205
ko:K00457	btb:BMB171_C0214
ko:K02071	btb:BMB171_C0288
ko:K02072	btb:BMB171_C0289
ko:K02073	btb:BMB171_C0290
ko:K02435	btb:BMB171_C0295
ko:K02434	btb:BMB171_C0297
ko:K03387	btb:BMB171_C0320
ko:K00899	btb:BMB171_C0322
ko:K08963	btb:BMB171_C0323
ko:K01628	btb:BMB171_C0324
ko:K02015	btb:BMB171_C0325
ko:K02015	btb:BMB171_C0326
ko:K02016	btb:BMB171_C0327
ko:K07074	btb:BMB171_C0337
ko:K05548	btb:BMB171_C0340
ko:K02029	btb:BMB171_C0343
ko:K03402	btb:BMB171_C0347
ko:K00611	btb:BMB171_C0349
ko:K03758	btb:BMB171_C0350
ko:K00926	btb:BMB171_C0351
ko:K01421	btb:BMB171_C0358
ko:K00878	btb:BMB171_C0360
ko:K00788	btb:BMB171_C0361
ko:K07791	btb:BMB171_C0362
ko:K01881	btb:BMB171_C0381
ko:K05795	btb:BMB171_C0387
ko:K05795	btb:BMB171_C0388
ko:K07058	btb:BMB171_C0396
ko:K01534	btb:BMB171_C0397
ko:K03100	btb:BMB171_C0400
ko:K07300	btb:BMB171_C0406
ko:K01676	btb:BMB171_C0410
ko:K01247	btb:BMB171_C0412
ko:K06173	btb:BMB171_C0414
ko:K06714	btb:BMB171_C0416
ko:K01425	btb:BMB171_C0425
ko:K03216	btb:BMB171_C0468
ko:K07180	btb:BMB171_C0470
ko:K09786	btb:BMB171_C0471
ko:K03300	btb:BMB171_C0481
ko:K03564	btb:BMB171_C0458
ko:K11616	btb:BMB171_C0500
ko:K00375	btb:BMB171_C0505
ko:K02379	btb:BMB171_C0511
ko:K01126	btb:BMB171_C0516
ko:K00259	btb:BMB171_C0517
ko:K01534	btb:BMB171_C0520
ko:K00763	btb:BMB171_C0521
ko:K01588	btb:BMB171_C0266
ko:K01589	btb:BMB171_C0267
ko:K01756	btb:BMB171_C0268
ko:K01923	btb:BMB171_C0269
ko:K01952	btb:BMB171_C0270
ko:K01952	btb:BMB171_C0271
ko:K01952	btb:BMB171_C0272
ko:K00764	btb:BMB171_C0273
ko:K01933	btb:BMB171_C0274
ko:K11175	btb:BMB171_C0275
ko:K00602	btb:BMB171_C0276
ko:K01945	btb:BMB171_C0277
ko:K03657	btb:BMB171_C0282
ko:K01972	btb:BMB171_C0283
ko:K07090	btb:BMB171_C0285
ko:K01091	btb:BMB171_C0299
ko:K07043	btb:BMB171_C0313
ko:K03315	btb:BMB171_C0317
ko:K11535	btb:BMB171_C0530
ko:K01744	btb:BMB171_C0533
ko:K03303	btb:BMB171_C0534
ko:K06425	btb:BMB171_C0536
ko:K03305	btb:BMB171_C0537
ko:K02016	btb:BMB171_C0538
ko:K02015	btb:BMB171_C0539
ko:K02015	btb:BMB171_C0540
ko:K02013	btb:BMB171_C0541
ko:K07052	btb:BMB171_C2121
ko:K02242	btb:BMB171_C4783
ko:K02518	btb:BMB171_C0128
ko:K02919	btb:BMB171_C0129
ko:K02952	btb:BMB171_C0130
ko:K02948	btb:BMB171_C0131
ko:K03040	btb:BMB171_C0132
ko:K02879	btb:BMB171_C0133
ko:K06173	btb:BMB171_C0137
ko:K02871	btb:BMB171_C0138
ko:K02996	btb:BMB171_C0139
ko:K01448	btb:BMB171_C0141
ko:K01994	btb:BMB171_C4147
ko:K02205	btb:BMB171_C0565
ko:K06419	btb:BMB171_C0753
ko:K13853	btb:BMB171_C2649
ko:K04518	btb:BMB171_C4096
ko:K13853	btb:BMB171_C4315
ko:K06867	btb:BMB171_C4309
ko:K01077	btb:BMB171_C2687
ko:K00034	btb:BMB171_C4353
ko:K06726	btb:BMB171_C0580
ko:K10441	btb:BMB171_C0581
ko:K01114	btb:BMB171_C0589
ko:K06153	btb:BMB171_C0595
ko:K03305	btb:BMB171_C0602
ko:K03311	btb:BMB171_C0603
ko:K02829	btb:BMB171_C0612
ko:K02828	btb:BMB171_C0613
ko:K02826	btb:BMB171_C0615
ko:K06310	btb:BMB171_C0621
ko:K06311	btb:BMB171_C0622
ko:K06312	btb:BMB171_C0623
ko:K04758	btb:BMB171_C0626
