ko:K08744	mtj:J112_09730
ko:K07029	mtj:J112_12090
ko:K01992	mtj:J112_06560
ko:K01992	mtj:J112_07830
ko:K01992	mtj:J112_15720
ko:K01992	mtj:J112_15725
ko:K12349	mtj:J112_03585
ko:K01006	mtj:J112_06075
ko:K22476	mtj:J112_02280
ko:K03574	mtj:J112_06275
ko:K07171	mtj:J112_02430
ko:K03297	mtj:J112_16420
ko:K02554	mtj:J112_19040
ko:K21431	mtj:J112_04585
ko:K22316	mtj:J112_11955
ko:K07171	mtj:J112_05950
ko:K18956	mtj:J112_00125
ko:K18957	mtj:J112_20755
ko:K18851	mtj:J112_00710
ko:K07171	mtj:J112_03530
ko:K07171	mtj:J112_10345
ko:K07045	mtj:J112_18880
ko:K18955	mtj:J112_17515
ko:K07068	mtj:J112_08710
ko:K07448	mtj:J112_13570
ko:K00561	mtj:J112_10605
ko:K03893	mtj:J112_19265
ko:K03218	mtj:J112_19270
ko:K01883	mtj:J112_19275
ko:K01770	mtj:J112_19280
ko:K00991	mtj:J112_19285
ko:K07736	mtj:J112_19290
ko:K04485	mtj:J112_19300
ko:K01673	mtj:J112_19315
ko:K03575	mtj:J112_19320
ko:K03696	mtj:J112_19360
ko:K04567	mtj:J112_19370
ko:K03525	mtj:J112_19375
ko:K01579	mtj:J112_19380
ko:K01918	mtj:J112_19385
ko:K00950	mtj:J112_19405
ko:K01633	mtj:J112_19410
ko:K00796	mtj:J112_19415
ko:K01495	mtj:J112_19420
ko:K03798	mtj:J112_19425
ko:K01207	mtj:J112_01290
ko:K00240	mtj:J112_01340
ko:K00239	mtj:J112_01345
ko:K00362	mtj:J112_01365
ko:K00363	mtj:J112_01370
ko:K02231	mtj:J112_01375
ko:K02232	mtj:J112_01380
ko:K02575	mtj:J112_01405
ko:K02016	mtj:J112_01425
ko:K02575	mtj:J112_01440
ko:K00600	mtj:J112_05905
ko:K07175	mtj:J112_05915
ko:K03602	mtj:J112_05980
ko:K03601	mtj:J112_05985
ko:K03527	mtj:J112_05995
ko:K06942	mtj:J112_06005
ko:K00036	mtj:J112_06045
ko:K01720	mtj:J112_06095
ko:K01647	mtj:J112_06100
ko:K00549	mtj:J112_06110
ko:K07001	mtj:J112_10900
ko:K08281	mtj:J112_10930
ko:K03820	mtj:J112_10970
ko:K07113	mtj:J112_10980
ko:K01061	mtj:J112_10985
ko:K02963	mtj:J112_10990
ko:K02954	mtj:J112_10995
ko:K02913	mtj:J112_11000
ko:K02902	mtj:J112_11005
ko:K07006	mtj:J112_11025
ko:K03088	mtj:J112_11070
ko:K05895	mtj:J112_11075
ko:K05936	mtj:J112_11080
ko:K05813	mtj:J112_15175
ko:K02834	mtj:J112_15200
ko:K02519	mtj:J112_15205
ko:K07742	mtj:J112_15210
ko:K02600	mtj:J112_15215
ko:K09748	mtj:J112_15220
ko:K01881	mtj:J112_15235
ko:K02302	mtj:J112_15245
ko:K00116	mtj:J112_15270
ko:K07241	mtj:J112_15290
ko:K07010	mtj:J112_15315
ko:K01915	mtj:J112_15320
ko:K01265	mtj:J112_15325
ko:K00099	mtj:J112_15375
ko:K09807	mtj:J112_19480
ko:K00760	mtj:J112_19485
ko:K04075	mtj:J112_19490
ko:K07259	mtj:J112_19500
ko:K09799	mtj:J112_19510
ko:K04095	mtj:J112_19570
ko:K02341	mtj:J112_19590
ko:K03168	mtj:J112_19600
ko:K03704	mtj:J112_19610
ko:K12510	mtj:J112_19665
ko:K02283	mtj:J112_19670
ko:K01895	mtj:J112_19710
ko:K10773	mtj:J112_19745
ko:K02030	mtj:J112_02190
ko:K13572	mtj:J112_11225
ko:K12435	mtj:J112_08890
ko:K04719	mtj:J112_01665
ko:K01126	mtj:J112_01720
ko:K07238	mtj:J112_01725
ko:K01304	mtj:J112_01730
ko:K01494	mtj:J112_01740
ko:K00012	mtj:J112_01745
ko:K12410	mtj:J112_06215
ko:K00370	mtj:J112_06280
ko:K00371	mtj:J112_06285
ko:K00373	mtj:J112_06290
ko:K06207	mtj:J112_06300
ko:K00318	mtj:J112_06415
ko:K03088	mtj:J112_06420
ko:K03118	mtj:J112_11210
ko:K03116	mtj:J112_11215
ko:K03432	mtj:J112_11295
ko:K03433	mtj:J112_11300
ko:K00765	mtj:J112_11355
ko:K11738	mtj:J112_11395
ko:K06941	mtj:J112_15425
ko:K00981	mtj:J112_15430
ko:K02838	mtj:J112_15435
ko:K09903	mtj:J112_15440
ko:K02357	mtj:J112_15470
ko:K02967	mtj:J112_15475
ko:K03733	mtj:J112_15500
ko:K04096	mtj:J112_15510
ko:K07391	mtj:J112_15515
ko:K07460	mtj:J112_15520
ko:K02379	mtj:J112_15525
ko:K03470	mtj:J112_15540
ko:K03100	mtj:J112_15545
ko:K02884	mtj:J112_15550
ko:K00554	mtj:J112_15560
ko:K02860	mtj:J112_15565
ko:K06960	mtj:J112_15570
ko:K02959	mtj:J112_15575
ko:K03106	mtj:J112_15610
ko:K00990	mtj:J112_15620
ko:K04751	mtj:J112_15625
ko:K03320	mtj:J112_15630
ko:K03110	mtj:J112_15635
ko:K03529	mtj:J112_15640
ko:K01512	mtj:J112_15645
ko:K03685	mtj:J112_15660
ko:K07040	mtj:J112_15665
ko:K01738	mtj:J112_19800
ko:K09117	mtj:J112_19820
ko:K03924	mtj:J112_19840
ko:K00864	mtj:J112_19860
ko:K07008	mtj:J112_19895
ko:K01919	mtj:J112_19905
ko:K00133	mtj:J112_19930
ko:K00928	mtj:J112_19935
ko:K01649	mtj:J112_19940
ko:K06187	mtj:J112_19965
ko:K09747	mtj:J112_19970
ko:K01448	mtj:J112_19975
ko:K00574	mtj:J112_19990
ko:K02343	mtj:J112_19995
ko:K00973	mtj:J112_01800
ko:K14260	mtj:J112_01815
ko:K11738	mtj:J112_01860
ko:K04043	mtj:J112_01880
ko:K03687	mtj:J112_01885
ko:K03686	mtj:J112_01890
ko:K01939	mtj:J112_01920
ko:K06213	mtj:J112_01945
ko:K01624	mtj:J112_01950
ko:K03975	mtj:J112_01955
ko:K07141	mtj:J112_01990
ko:K07402	mtj:J112_01995
ko:K07402	mtj:J112_02015
ko:K09165	mtj:J112_02030
ko:K00762	mtj:J112_02045
ko:K03695	mtj:J112_02055
ko:K08289	mtj:J112_02080
ko:K10764	mtj:J112_02090
ko:K06966	mtj:J112_06500
ko:K00796	mtj:J112_06510
ko:K01246	mtj:J112_06525
ko:K00975	mtj:J112_06540
ko:K06978	mtj:J112_06550
ko:K03088	mtj:J112_06580
ko:K03117	mtj:J112_06595
ko:K03284	mtj:J112_06675
ko:K00024	mtj:J112_06680
ko:K06153	mtj:J112_11445
ko:K02221	mtj:J112_11505
ko:K09772	mtj:J112_11510
ko:K06997	mtj:J112_11515
ko:K05810	mtj:J112_11520
ko:K03531	mtj:J112_11525
ko:K03589	mtj:J112_11530
ko:K01924	mtj:J112_11535
ko:K02563	mtj:J112_11540
ko:K03588	mtj:J112_11545
ko:K01925	mtj:J112_11550
ko:K01000	mtj:J112_11555
ko:K01929	mtj:J112_11560
ko:K03587	mtj:J112_11605
ko:K03438	mtj:J112_11615
ko:K03925	mtj:J112_11620
ko:K01626	mtj:J112_11680
ko:K00655	mtj:J112_11705
ko:K07089	mtj:J112_15860
ko:K01433	mtj:J112_15865
ko:K00954	mtj:J112_15875
ko:K03655	mtj:J112_15920
ko:K02902	mtj:J112_15930
ko:K03648	mtj:J112_15935
ko:K00946	mtj:J112_15940
ko:K01921	mtj:J112_15960
ko:K00057	mtj:J112_15965
ko:K07001	mtj:J112_20040
ko:K06937	mtj:J112_20050
ko:K09129	mtj:J112_20085
ko:K11991	mtj:J112_20170
ko:K09957	mtj:J112_20185
ko:K05846	mtj:J112_20190
ko:K05846	mtj:J112_20195
ko:K05847	mtj:J112_20200
ko:K05845	mtj:J112_20205
ko:K00817	mtj:J112_20280
ko:K03885	mtj:J112_02095
ko:K00252	mtj:J112_02135
ko:K13788	mtj:J112_02175
ko:K00925	mtj:J112_02180
ko:K00788	mtj:J112_02205
ko:K03154	mtj:J112_02215
ko:K03149	mtj:J112_02220
ko:K07020	mtj:J112_02245
ko:K00941	mtj:J112_02250
ko:K03147	mtj:J112_02255
ko:K01142	mtj:J112_02275
ko:K01462	mtj:J112_02285
ko:K06048	mtj:J112_02305
ko:K07157	mtj:J112_02310
ko:K13525	mtj:J112_02320
ko:K01613	mtj:J112_02330
ko:K03750	mtj:J112_02335
ko:K02935	mtj:J112_03495
ko:K02065	mtj:J112_03510
ko:K09014	mtj:J112_07850
ko:K09015	mtj:J112_07855
ko:K09013	mtj:J112_07860
ko:K11717	mtj:J112_07865
ko:K01681	mtj:J112_07925
ko:K03924	mtj:J112_07945
ko:K01772	mtj:J112_07975
ko:K09165	mtj:J112_08050
ko:K01711	mtj:J112_08120
ko:K02377	mtj:J112_08125
ko:K02047	mtj:J112_12870
