ko:K08153	banv:DJ46_5310
ko:K19310	banv:DJ46_4716
ko:K16654	banv:DJ46_92
ko:K07496	banv:DJ46_4062
ko:K18925	banv:DJ46_5308
ko:K18924	banv:DJ46_5307
ko:K03547	banv:DJ46_5465
ko:K17910	banv:DJ46_223
ko:K19689	banv:DJ46_4766
ko:K07050	banv:DJ46_536
ko:K07149	banv:DJ46_2580
ko:K03297	banv:DJ46_2087
ko:K03297	banv:DJ46_4765
ko:K05592	banv:DJ46_4350
ko:K06147	banv:DJ46_1232
ko:K11638	banv:DJ46_5389
ko:K18926	banv:DJ46_5492
ko:K18926	banv:DJ46_5406
ko:K01400	banv:DJ46_5058
ko:K20107	banv:DJ46_4811
ko:K20108	banv:DJ46_4811
ko:K19975	banv:DJ46_1940
ko:K19973	banv:DJ46_1942
ko:K01992	banv:DJ46_204
ko:K01990	banv:DJ46_203
ko:K01992	banv:DJ46_4295
ko:K01990	banv:DJ46_3444
ko:K01990	banv:DJ46_605
ko:K19309	banv:DJ46_4717
ko:K02479	banv:DJ46_1061
ko:K01759	banv:DJ46_4111
ko:K21379	banv:DJ46_2300
ko:K08221	banv:DJ46_4266
ko:K21472	banv:DJ46_3884
ko:K21993	banv:DJ46_2563
ko:K06418	banv:DJ46_1884
ko:K19449	banv:DJ46_119
ko:K21113	banv:DJ46_1415
ko:K22579	banv:DJ46_1870
ko:K02351	banv:DJ46_1872
ko:K02475	banv:DJ46_5018
ko:K07149	banv:DJ46_2005
ko:K15580	banv:DJ46_845
ko:K18928	banv:DJ46_139
ko:K18929	banv:DJ46_140
ko:K01977	banv:DJ46_4395
ko:K01977	banv:DJ46_4696
ko:K01977	banv:DJ46_5177
ko:K01977	banv:DJ46_4720
ko:K01977	banv:DJ46_4711
ko:K01977	banv:DJ46_4977
ko:K01977	banv:DJ46_3808
ko:K01977	banv:DJ46_4548
ko:K01977	banv:DJ46_4416
ko:K01977	banv:DJ46_4674
ko:K01977	banv:DJ46_4472
ko:K18924	banv:DJ46_3120
ko:K18925	banv:DJ46_3121
ko:K03790	banv:DJ46_1771
ko:K18928	banv:DJ46_2013
ko:K18907	banv:DJ46_1451
ko:K01980	banv:DJ46_4698
ko:K01980	banv:DJ46_4979
ko:K01980	banv:DJ46_5179
ko:K01980	banv:DJ46_4722
ko:K01980	banv:DJ46_4397
ko:K01980	banv:DJ46_4418
ko:K01980	banv:DJ46_4678
ko:K01980	banv:DJ46_4473
ko:K01980	banv:DJ46_4550
ko:K01980	banv:DJ46_3805
ko:K01980	banv:DJ46_4713
ko:K09692	banv:DJ46_4164
ko:K07171	banv:DJ46_4660
ko:K01777	banv:DJ46_5370
ko:K14237	banv:DJ46_110
ko:K14233	banv:DJ46_3783
ko:K14233	banv:DJ46_4664
ko:K06147	banv:DJ46_1233
ko:K02419	banv:DJ46_529
ko:K02420	banv:DJ46_530
ko:K02421	banv:DJ46_531
ko:K02401	banv:DJ46_532
ko:K02400	banv:DJ46_533
ko:K02404	banv:DJ46_534
ko:K02392	banv:DJ46_535
ko:K06425	banv:DJ46_546
ko:K02010	banv:DJ46_551
ko:K02012	banv:DJ46_552
ko:K02011	banv:DJ46_553
ko:K01834	banv:DJ46_561
ko:K01953	banv:DJ46_568
ko:K06949	banv:DJ46_815
ko:K03406	banv:DJ46_816
ko:K04047	banv:DJ46_820
ko:K00274	banv:DJ46_825
ko:K00657	banv:DJ46_829
ko:K09815	banv:DJ46_839
ko:K00567	banv:DJ46_843
ko:K11210	banv:DJ46_846
ko:K06330	banv:DJ46_850
ko:K03284	banv:DJ46_854
ko:K07089	banv:DJ46_855
ko:K08986	banv:DJ46_856
ko:K06131	banv:DJ46_858
ko:K09793	banv:DJ46_862
ko:K03311	banv:DJ46_866
ko:K06994	banv:DJ46_1713
ko:K06994	banv:DJ46_1714
ko:K00800	banv:DJ46_1717
ko:K04517	banv:DJ46_1718
ko:K00817	banv:DJ46_1719
ko:K01736	banv:DJ46_1720
ko:K13853	banv:DJ46_1721
ko:K03088	banv:DJ46_1731
ko:K00116	banv:DJ46_1736
ko:K10555	banv:DJ46_1737
ko:K10557	banv:DJ46_1738
ko:K10556	banv:DJ46_1739
ko:K10558	banv:DJ46_1740
ko:K11216	banv:DJ46_1742
ko:K07145	banv:DJ46_1749
ko:K02768	banv:DJ46_2551
ko:K02769	banv:DJ46_2551
ko:K02770	banv:DJ46_2551
ko:K00882	banv:DJ46_2552
ko:K03436	banv:DJ46_2553
ko:K08976	banv:DJ46_2556
ko:K11735	banv:DJ46_2559
