ko:K19416	amal:I607_10355
ko:K19092	amal:I607_15325
ko:K10747	amal:I607_17635
ko:K18923	amal:I607_02760
ko:K12066	amal:I607_09925
ko:K00520	amal:I607_04755
ko:K03297	amal:I607_14885
ko:K01563	amal:I607_08090
ko:K11741	amal:I607_00815
ko:K21430	amal:I607_02595
ko:K03111	amal:I607_01105
ko:K19597	amal:I607_09905
ko:K00254	amal:I607_09740
ko:K19736	amal:I607_06320
ko:K18828	amal:I607_18280
ko:K07577	amal:I607_17630
ko:K19226	amal:I607_05305
ko:K13693	amal:I607_10650
ko:K18820	amal:I607_18470
ko:K01897	amal:I607_11975
ko:K03559	amal:I607_05430
ko:K06075	amal:I607_05520
ko:K03559	amal:I607_03480
ko:K03559	amal:I607_16155
ko:K03417	amal:I607_14920
ko:K03790	amal:I607_19582
ko:K03790	amal:I607_20557
ko:K08282	amal:I607_09650
ko:K11209	amal:I607_17660
ko:K14223	amal:I607_t19286
ko:K14223	amal:I607_t19318
ko:K01897	amal:I607_03505
ko:K01897	amal:I607_12215
ko:K00265	amal:I607_14995
ko:K00040	amal:I607_11620
ko:K00951	amal:I607_03645
ko:K01190	amal:I607_01305
ko:K17713	amal:I607_12965
ko:K03657	amal:I607_20467
ko:K07798	amal:I607_01395
ko:K07787	amal:I607_01400
ko:K07156	amal:I607_01415
ko:K02305	amal:I607_01450
ko:K03618	amal:I607_01495
ko:K04653	amal:I607_01515
ko:K04651	amal:I607_01520
ko:K04654	amal:I607_01530
ko:K04656	amal:I607_01535
ko:K15726	amal:I607_01625
ko:K16264	amal:I607_01630
ko:K00901	amal:I607_01640
ko:K03760	amal:I607_01645
ko:K01953	amal:I607_05840
ko:K00860	amal:I607_05880
ko:K00957	amal:I607_05885
ko:K03088	amal:I607_05905
ko:K03924	amal:I607_05940
ko:K08296	amal:I607_05975
ko:K03106	amal:I607_05995
ko:K02959	amal:I607_06065
ko:K02860	amal:I607_06070
ko:K00554	amal:I607_06075
ko:K02884	amal:I607_06080
ko:K01626	amal:I607_06095
ko:K14187	amal:I607_06100
ko:K14170	amal:I607_06105
ko:K03413	amal:I607_06110
ko:K03113	amal:I607_06115
ko:K01669	amal:I607_10020
ko:K01669	amal:I607_10025
ko:K01669	amal:I607_10035
ko:K06876	amal:I607_10040
ko:K00901	amal:I607_10070
ko:K03594	amal:I607_10095
ko:K03594	amal:I607_10100
ko:K00404	amal:I607_10110
ko:K00405	amal:I607_10115
ko:K00407	amal:I607_10120
ko:K00406	amal:I607_10125
ko:K09926	amal:I607_10130
ko:K09792	amal:I607_10145
ko:K14055	amal:I607_10155
ko:K14058	amal:I607_10160
ko:K07001	amal:I607_10165
ko:K12410	amal:I607_10190
ko:K11065	amal:I607_10200
ko:K03189	amal:I607_14010
ko:K03188	amal:I607_14015
ko:K03187	amal:I607_14020
ko:K01428	amal:I607_14025
ko:K01429	amal:I607_14030
ko:K01430	amal:I607_14035
ko:K03190	amal:I607_14040
ko:K11963	amal:I607_14045
ko:K11962	amal:I607_14050
ko:K11961	amal:I607_14055
ko:K11960	amal:I607_14060
ko:K11959	amal:I607_14065
ko:K00281	amal:I607_14130
ko:K02437	amal:I607_14135
ko:K00605	amal:I607_14140
ko:K01443	amal:I607_14145
ko:K03303	amal:I607_14160
ko:K03185	amal:I607_14190
ko:K09895	amal:I607_14200
ko:K01807	amal:I607_14225
ko:K15726	amal:I607_01690
ko:K07233	amal:I607_01740
ko:K03413	amal:I607_01775
ko:K03407	amal:I607_01780
ko:K03412	amal:I607_01805
ko:K03413	amal:I607_01815
ko:K03407	amal:I607_01820
ko:K03408	amal:I607_01825
ko:K03411	amal:I607_01845
ko:K03412	amal:I607_01850
ko:K07711	amal:I607_06145
ko:K07715	amal:I607_06155
ko:K01876	amal:I607_06175
ko:K08310	amal:I607_06180
ko:K01159	amal:I607_06185
ko:K03550	amal:I607_06190
ko:K03551	amal:I607_06195
ko:K07107	amal:I607_06200
ko:K03562	amal:I607_06205
ko:K03641	amal:I607_06220
ko:K03640	amal:I607_06225
ko:K03517	amal:I607_06235
ko:K00077	amal:I607_06250
ko:K00133	amal:I607_06260
ko:K12262	amal:I607_06270
ko:K07043	amal:I607_06300
ko:K16090	amal:I607_06325
ko:K06192	amal:I607_06355
ko:K03808	amal:I607_06360
ko:K01893	amal:I607_06375
ko:K07301	amal:I607_06385
ko:K07733	amal:I607_10275
ko:K00995	amal:I607_10290
ko:K03703	amal:I607_10295
ko:K07689	amal:I607_10300
ko:K15977	amal:I607_10335
ko:K07235	amal:I607_10360
ko:K07236	amal:I607_10365
ko:K01875	amal:I607_10405
ko:K06199	amal:I607_10410
ko:K07478	amal:I607_10415
ko:K03634	amal:I607_10420
ko:K03466	amal:I607_10425
ko:K00259	amal:I607_10435
ko:K01591	amal:I607_10440
ko:K06938	amal:I607_14250
ko:K00382	amal:I607_14280
ko:K00627	amal:I607_14285
ko:K00163	amal:I607_14290
ko:K03807	amal:I607_14300
ko:K03806	amal:I607_14305
ko:K06985	amal:I607_14310
ko:K00767	amal:I607_14315
ko:K02654	amal:I607_14330
ko:K00859	amal:I607_14335
ko:K09862	amal:I607_14345
ko:K03070	amal:I607_14360
ko:K02535	amal:I607_14370
ko:K03531	amal:I607_14375
ko:K03590	amal:I607_14380
ko:K03589	amal:I607_14385
ko:K01921	amal:I607_14390
ko:K01924	amal:I607_14395
ko:K02563	amal:I607_14400
ko:K03588	amal:I607_14405
ko:K01925	amal:I607_14410
ko:K01000	amal:I607_14415
ko:K01929	amal:I607_14420
ko:K01928	amal:I607_14425
ko:K03587	amal:I607_14430
ko:K03586	amal:I607_14435
ko:K03438	amal:I607_14440
ko:K03925	amal:I607_14445
ko:K01273	amal:I607_14460
ko:K00826	amal:I607_01945
ko:K01681	amal:I607_01960
ko:K02946	amal:I607_01975
ko:K02906	amal:I607_01980
ko:K02926	amal:I607_01985
ko:K02892	amal:I607_01990
ko:K02886	amal:I607_01995
ko:K02965	amal:I607_02000
ko:K02890	amal:I607_02005
ko:K02982	amal:I607_02010
ko:K02878	amal:I607_02015
ko:K02904	amal:I607_02020
ko:K02961	amal:I607_02025
ko:K02841	amal:I607_02035
ko:K02527	amal:I607_02040
ko:K01284	amal:I607_02065
ko:K01433	amal:I607_02075
ko:K01975	amal:I607_02080
ko:K03579	amal:I607_02085
ko:K05365	amal:I607_02095
ko:K09781	amal:I607_02110
ko:K04752	amal:I607_02125
ko:K03320	amal:I607_02130
ko:K07223	amal:I607_02140
ko:K01845	amal:I607_02150
ko:K00609	amal:I607_02155
ko:K07678	amal:I607_02180
ko:K02621	amal:I607_02185
ko:K06447	amal:I607_02210
ko:K00833	amal:I607_06410
ko:K01012	amal:I607_06415
ko:K02169	amal:I607_06425
ko:K01935	amal:I607_06430
ko:K05995	amal:I607_06435
ko:K06074	amal:I607_06450
ko:K01626	amal:I607_06455
ko:K09954	amal:I607_06465
ko:K03639	amal:I607_06475
ko:K06938	amal:I607_06505
ko:K05541	amal:I607_06510
ko:K10804	amal:I607_06525
ko:K02003	amal:I607_06530
ko:K07071	amal:I607_06540
ko:K07589	amal:I607_06545
ko:K07637	amal:I607_06555
ko:K09780	amal:I607_06575
ko:K01695	amal:I607_06580
ko:K01696	amal:I607_06585
ko:K13498	amal:I607_06590
ko:K00766	amal:I607_06595
ko:K01657	amal:I607_06605
ko:K07053	amal:I607_06610
ko:K05896	amal:I607_06620
ko:K06024	amal:I607_06625
ko:K06178	amal:I607_06630
ko:K06222	amal:I607_06635
ko:K05788	amal:I607_10460
ko:K02945	amal:I607_10465
ko:K00945	amal:I607_10470
ko:K00800	amal:I607_10475
ko:K00831	amal:I607_10480
ko:K02469	amal:I607_10485
ko:K11107	amal:I607_10505
ko:K01923	amal:I607_10535
ko:K07287	amal:I607_10540
ko:K01714	amal:I607_10545
ko:K03567	amal:I607_10550
ko:K03564	amal:I607_10555
ko:K03809	amal:I607_10580
ko:K10763	amal:I607_10590
ko:K09938	amal:I607_10595
ko:K01933	amal:I607_10600
ko:K11175	amal:I607_10605
ko:K15256	amal:I607_10630
ko:K15257	amal:I607_10635
ko:K15918	amal:I607_10640
ko:K07026	amal:I607_10645
ko:K00690	amal:I607_10655
ko:K01091	amal:I607_10660
ko:K03750	amal:I607_10665
ko:K03327	amal:I607_10670
ko:K07141	amal:I607_10675
ko:K09989	amal:I607_10680
ko:K01738	amal:I607_10690
ko:K16872	amal:I607_14530
ko:K09761	amal:I607_14560
ko:K01920	amal:I607_14565
ko:K07735	amal:I607_14570
ko:K07447	amal:I607_14575
ko:K02670	amal:I607_14585
ko:K02669	amal:I607_14590
ko:K06997	amal:I607_14595
ko:K00286	amal:I607_14600
ko:K02221	amal:I607_14605
ko:K09861	amal:I607_14680
ko:K01810	amal:I607_14695
ko:K03648	amal:I607_14705
ko:K01733	amal:I607_14710
ko:K00872	amal:I607_14715
ko:K12524	amal:I607_14720
ko:K03701	amal:I607_14725
ko:K02406	amal:I607_16790
ko:K02879	amal:I607_16815
ko:K03040	amal:I607_16820
ko:K02986	amal:I607_16825
ko:K02948	amal:I607_16830
ko:K02952	amal:I607_16835
ko:K02919	amal:I607_16840
ko:K03076	amal:I607_16845
ko:K02876	amal:I607_16850
ko:K02907	amal:I607_16855
ko:K02988	amal:I607_16860
ko:K02881	amal:I607_16865
ko:K02933	amal:I607_16870
ko:K02994	amal:I607_16875
ko:K02954	amal:I607_16880
ko:K02931	amal:I607_16885
ko:K02895	amal:I607_16890
ko:K02874	amal:I607_16895
ko:K14645	amal:I607_16910
ko:K03218	amal:I607_16920
ko:K12573	amal:I607_16925
ko:K03182	amal:I607_16980
ko:K05368	amal:I607_16985
ko:K00425	amal:I607_17020
ko:K00426	amal:I607_17025
ko:K05800	amal:I607_17035
ko:K00673	amal:I607_02215
ko:K01867	amal:I607_02235
ko:K01783	amal:I607_02240
ko:K03112	amal:I607_02265
ko:K01735	amal:I607_02270
ko:K00891	amal:I607_02275
ko:K02666	amal:I607_02280
ko:K02662	amal:I607_02300
ko:K05366	amal:I607_02305
ko:K03781	amal:I607_02330
ko:K14682	amal:I607_02350
ko:K01755	amal:I607_02355
ko:K01940	amal:I607_02360
ko:K00611	amal:I607_02365
ko:K00930	amal:I607_02370
ko:K00145	amal:I607_02375
ko:K01734	amal:I607_02380
ko:K03216	amal:I607_02405
ko:K00057	amal:I607_02415
ko:K03071	amal:I607_02420
ko:K09798	amal:I607_02440
ko:K01126	amal:I607_02450
ko:K01613	amal:I607_02460
ko:K06949	amal:I607_02465
ko:K13288	amal:I607_02470
ko:K06186	amal:I607_06660
ko:K03631	amal:I607_06665
ko:K04047	amal:I607_06670
ko:K00858	amal:I607_06675
ko:K00019	amal:I607_06685
ko:K00641	amal:I607_06695
ko:K03687	amal:I607_06720
ko:K04043	amal:I607_06725
ko:K03686	amal:I607_06730
ko:K01908	amal:I607_06745
ko:K00215	amal:I607_06755
ko:K01956	amal:I607_06760
ko:K01955	amal:I607_06765
ko:K03624	amal:I607_06770
ko:K04080	amal:I607_06785
ko:K00925	amal:I607_06790
ko:K13788	amal:I607_06795
ko:K03820	amal:I607_06810
ko:K06189	amal:I607_06815
ko:K07042	amal:I607_06820
ko:K06168	amal:I607_06830
ko:K03184	amal:I607_06835
ko:K03310	amal:I607_06890
ko:K06942	amal:I607_06900
ko:K01056	amal:I607_06905
ko:K02897	amal:I607_06910
ko:K12957	amal:I607_06915
ko:K07726	amal:I607_10720
ko:K00432	amal:I607_10765
ko:K01118	amal:I607_10770
ko:K01740	amal:I607_10780
ko:K09768	amal:I607_10815
ko:K03522	amal:I607_10870
ko:K03521	amal:I607_10875
ko:K00311	amal:I607_10880
ko:K03839	amal:I607_10900
ko:K00824	amal:I607_10915
ko:K07160	amal:I607_10930
ko:K00243	amal:I607_10935
ko:K07397	amal:I607_10940
ko:K14260	amal:I607_10970
ko:K00906	amal:I607_14770
ko:K13747	amal:I607_14830
ko:K07056	amal:I607_14840
ko:K07121	amal:I607_14845
ko:K07460	amal:I607_14850
ko:K07778	amal:I607_14890
ko:K07693	amal:I607_14895
ko:K07648	amal:I607_14985
ko:K00266	amal:I607_15000
ko:K02227	amal:I607_15020
ko:K03704	amal:I607_17045
ko:K03688	amal:I607_17050
ko:K03690	amal:I607_17055
ko:K03183	amal:I607_17060
ko:K01414	amal:I607_17070
ko:K02044	amal:I607_17080
ko:K00021	amal:I607_17150
ko:K13408	amal:I607_17155
ko:K13409	amal:I607_17160
ko:K03667	amal:I607_17190
ko:K01419	amal:I607_17195
ko:K04066	amal:I607_17205
ko:K02909	amal:I607_17210
ko:K00029	amal:I607_17220
ko:K03764	amal:I607_17225
ko:K00297	amal:I607_17230
ko:K07058	amal:I607_17235
ko:K07560	amal:I607_17255
ko:K03089	amal:I607_17265
ko:K09811	amal:I607_17280
ko:K09812	amal:I607_17285
ko:K09891	amal:I607_17305
ko:K07751	amal:I607_17320
ko:K06206	amal:I607_17325
ko:K06204	amal:I607_17330
ko:K09897	amal:I607_02485
ko:K01652	amal:I607_02490
ko:K01653	amal:I607_02495
ko:K03116	amal:I607_02505
ko:K03117	amal:I607_02510
ko:K03118	amal:I607_02515
ko:K03424	amal:I607_02525
ko:K01698	amal:I607_02535
ko:K01524	amal:I607_02540
ko:K03732	amal:I607_02545
ko:K03671	amal:I607_02550
ko:K03628	amal:I607_02555
ko:K03313	amal:I607_02570
ko:K01588	amal:I607_02575
ko:K01589	amal:I607_02580
ko:K04047	amal:I607_02590
ko:K05838	amal:I607_02610
ko:K09937	amal:I607_02625
ko:K01939	amal:I607_02630
ko:K06991	amal:I607_02640
ko:K01207	amal:I607_02660
ko:K07106	amal:I607_02675
ko:K01775	amal:I607_02680
ko:K06193	amal:I607_02720
ko:K03829	amal:I607_02725
ko:K00948	amal:I607_06930
ko:K00919	amal:I607_06935
ko:K02494	amal:I607_06940
ko:K02492	amal:I607_06945
ko:K02835	amal:I607_06950
ko:K02493	amal:I607_06955
ko:K01627	amal:I607_06975
ko:K07020	amal:I607_06990
ko:K06968	amal:I607_07000
ko:K02355	amal:I607_07005
ko:K01725	amal:I607_07010
ko:K03924	amal:I607_07035
ko:K03645	amal:I607_07040
ko:K00688	amal:I607_07050
ko:K05526	amal:I607_07060
ko:K09707	amal:I607_07110
ko:K06996	amal:I607_07115
ko:K00457	amal:I607_07120
ko:K00451	amal:I607_07125
ko:K07154	amal:I607_07160
ko:K01129	amal:I607_11040
ko:K17247	amal:I607_11050
ko:K09858	amal:I607_11065
ko:K02018	amal:I607_11125
ko:K02020	amal:I607_11130
ko:K03636	amal:I607_11140
ko:K03637	amal:I607_11145
ko:K03638	amal:I607_11150
ko:K06987	amal:I607_11160
ko:K00817	amal:I607_11195
ko:K00549	amal:I607_11210
ko:K11939	amal:I607_11225
ko:K03581	amal:I607_11240
ko:K03582	amal:I607_11245
ko:K03583	amal:I607_11250
ko:K01866	amal:I607_15050
ko:K09001	amal:I607_15065
ko:K02429	amal:I607_15070
ko:K07267	amal:I607_15075
ko:K10680	amal:I607_15080
ko:K15724	amal:I607_15105
ko:K03608	amal:I607_15120
ko:K03609	amal:I607_15125
ko:K03610	amal:I607_15130
ko:K08973	amal:I607_15155
ko:K14155	amal:I607_15175
ko:K06207	amal:I607_15185
ko:K01915	amal:I607_15195
ko:K07708	amal:I607_15205
ko:K07712	amal:I607_15210
ko:K00655	amal:I607_15220
ko:K09893	amal:I607_15225
ko:K01873	amal:I607_15260
ko:K02339	amal:I607_15265
ko:K01255	amal:I607_15270
ko:K07091	amal:I607_15275
ko:K11720	amal:I607_15280
ko:K03088	amal:I607_15295
ko:K01894	amal:I607_17335
ko:K00950	amal:I607_17345
ko:K00606	amal:I607_17350
ko:K01918	amal:I607_17355
ko:K16090	amal:I607_17395
ko:K07089	amal:I607_17420
ko:K06200	amal:I607_17425
ko:K09973	amal:I607_17440
ko:K02358	amal:I607_17455
ko:K02355	amal:I607_17460
