ko:K02495	eclg:EC036_44170
ko:K19586	eclg:EC036_20260
ko:K01977	eclg:EC036_r00040
ko:K01977	eclg:EC036_r00160
ko:K01977	eclg:EC036_r00220
ko:K01977	eclg:EC036_r00250
ko:K08348	eclg:EC036_22400
ko:K08348	eclg:EC036_22410
ko:K02345	eclg:EC036_26820
ko:K03585	eclg:EC036_00570
ko:K18842	eclg:EC036_28810
ko:K03111	eclg:EC036_03050
ko:K18138	eclg:EC036_00560
ko:K18139	eclg:EC036_00550
ko:K18968	eclg:EC036_09480
ko:K09472	eclg:EC036_19380
ko:K03553	eclg:EC036_34560
ko:K00526	eclg:EC036_30830
ko:K01990	eclg:EC036_13200
ko:K19230	eclg:EC036_24070
ko:K19227	eclg:EC036_23510
ko:K13654	eclg:EC036_22750
ko:K19229	eclg:EC036_24060
ko:K02031	eclg:EC036_22230
ko:K19789	eclg:EC036_30590
ko:K00108	eclg:EC036_11390
ko:K12979	eclg:EC036_03260
ko:K04103	eclg:EC036_31850
ko:K01007	eclg:EC036_17950
ko:K22597	eclg:EC036_23400
ko:K21430	eclg:EC036_13750
ko:K08156	eclg:EC036_22360
ko:K10678	eclg:EC036_13910
ko:K14227	eclg:EC036_t00160
ko:K14227	eclg:EC036_t00750
ko:K14227	eclg:EC036_t00830
ko:K18473	eclg:EC036_04320
ko:K02483	eclg:EC036_21680
ko:K19587	eclg:EC036_20240
ko:K04753	eclg:EC036_37340
ko:K02032	eclg:EC036_22240
ko:K00632	eclg:EC036_42580
ko:K00130	eclg:EC036_36500
ko:K05964	eclg:EC036_36890
ko:K01643	eclg:EC036_36900
ko:K01644	eclg:EC036_36910
ko:K01646	eclg:EC036_36920
ko:K01910	eclg:EC036_36930
ko:K07700	eclg:EC036_36970
ko:K07702	eclg:EC036_36980
ko:K01581	eclg:EC036_36990
ko:K07150	eclg:EC036_37000
ko:K11935	eclg:EC036_37070
ko:K11931	eclg:EC036_37080
ko:K11936	eclg:EC036_37090
