ko:K07489	ypj:CH55_3572
ko:K13060	ypj:CH55_3555
ko:K08723	ypj:CH55_376
ko:K21029	ypj:CH55_1043
ko:K01990	ypj:CH55_3944
ko:K19298	ypj:CH55_3427
ko:K15634	ypj:CH55_2353
ko:K19734	ypj:CH55_153
ko:K19734	ypj:CH55_3556
ko:K20542	ypj:CH55_2677
ko:K20866	ypj:CH55_2429
ko:K02495	ypj:CH55_2434
ko:K19789	ypj:CH55_1280
ko:K00344	ypj:CH55_3445
ko:K02081	ypj:CH55_3711
ko:K21908	ypj:CH55_2221
ko:K01271	ypj:CH55_3251
ko:K07493	ypj:CH55_1378
ko:K01138	ypj:CH55_3699
ko:K11904	ypj:CH55_1066
ko:K01593	ypj:CH55_1355
ko:K07713	ypj:CH55_3938
ko:K00130	ypj:CH55_3927
ko:K13002	ypj:CH55_1677
ko:K03973	ypj:CH55_427
ko:K02032	ypj:CH55_2035
ko:K00632	ypj:CH55_3249
ko:K04057	ypj:CH55_4290
ko:K02032	ypj:CH55_1508
ko:K13001	ypj:CH55_1682
ko:K13000	ypj:CH55_1685
ko:K12453	ypj:CH55_1690
ko:K03892	ypj:CH55_1925
ko:K05799	ypj:CH55_2001
ko:K03293	ypj:CH55_3156
ko:K01406	ypj:CH55_2652
ko:K11894	ypj:CH55_2608
ko:K04753	ypj:CH55_2140
ko:K07497	ypj:CH55_726
ko:K02015	ypj:CH55_1205
ko:K09798	ypj:CH55_3022
ko:K14220	ypj:CH55_947
ko:K14220	ypj:CH55_962
ko:K14235	ypj:CH55_3103
ko:K20881	ypj:CH55_2884
ko:K00632	ypj:CH55_6
ko:K07038	ypj:CH55_531
ko:K06956	ypj:CH55_532
ko:K11066	ypj:CH55_533
ko:K01730	ypj:CH55_535
ko:K08169	ypj:CH55_536
ko:K07346	ypj:CH55_537
ko:K07345	ypj:CH55_538
ko:K07347	ypj:CH55_539
ko:K15540	ypj:CH55_540
ko:K07345	ypj:CH55_541
ko:K03799	ypj:CH55_542
ko:K03797	ypj:CH55_544
ko:K03607	ypj:CH55_545
ko:K03808	ypj:CH55_547
ko:K07346	ypj:CH55_553
ko:K07347	ypj:CH55_554
ko:K03746	ypj:CH55_561
ko:K00012	ypj:CH55_562
ko:K09858	ypj:CH55_564
ko:K01433	ypj:CH55_566
ko:K01142	ypj:CH55_570
ko:K08320	ypj:CH55_571
ko:K03169	ypj:CH55_573
ko:K01008	ypj:CH55_574
ko:K04773	ypj:CH55_576
ko:K01424	ypj:CH55_577
ko:K08281	ypj:CH55_578
ko:K09916	ypj:CH55_579
ko:K07305	ypj:CH55_580
ko:K00134	ypj:CH55_581
ko:K01792	ypj:CH55_582
ko:K07180	ypj:CH55_584
ko:K09786	ypj:CH55_585
ko:K06911	ypj:CH55_588
ko:K07552	ypj:CH55_589
ko:K02656	ypj:CH55_1397
ko:K06941	ypj:CH55_1398
