ko:K03293	spyo:STAB901_06830
ko:K02851	spyo:STAB901_01440
ko:K22044	spyo:STAB901_07820
ko:K14228	spyo:STAB901_07795
ko:K01978	spyo:STAB901_06790
ko:K14228	spyo:STAB901_00620
ko:K14234	spyo:STAB901_00115
ko:K14234	spyo:STAB901_06610
ko:K14234	spyo:STAB901_00180
ko:K14225	spyo:STAB901_00230
ko:K14225	spyo:STAB901_00570
ko:K14232	spyo:STAB901_00135
ko:K14232	spyo:STAB901_00200
ko:K14230	spyo:STAB901_00205
ko:K14233	spyo:STAB901_00215
ko:K14233	spyo:STAB901_00585
ko:K18892	spyo:STAB901_01230
ko:K00948	spyo:STAB901_00250
ko:K03584	spyo:STAB901_00255
ko:K03621	spyo:STAB901_00260
ko:K02078	spyo:STAB901_00265
ko:K01923	spyo:STAB901_00270
ko:K01952	spyo:STAB901_00275
ko:K00764	spyo:STAB901_00280
ko:K11175	spyo:STAB901_00290
ko:K00602	spyo:STAB901_00295
ko:K00602	spyo:STAB901_00300
ko:K01945	spyo:STAB901_00310
ko:K01588	spyo:STAB901_00315
ko:K01589	spyo:STAB901_00320
ko:K01756	spyo:STAB901_00340
ko:K03551	spyo:STAB901_00355
ko:K01104	spyo:STAB901_00360
ko:K04072	spyo:STAB901_00375
ko:K04072	spyo:STAB901_00380
ko:K13953	spyo:STAB901_00385
ko:K02946	spyo:STAB901_00395
ko:K02906	spyo:STAB901_00400
ko:K02926	spyo:STAB901_00405
ko:K02886	spyo:STAB901_00415
ko:K02965	spyo:STAB901_00420
ko:K02890	spyo:STAB901_00425
ko:K02982	spyo:STAB901_00430
ko:K02878	spyo:STAB901_00435
ko:K03630	spyo:STAB901_04845
ko:K01926	spyo:STAB901_04855
ko:K04487	spyo:STAB901_04865
ko:K00948	spyo:STAB901_04870
ko:K07816	spyo:STAB901_04880
ko:K00858	spyo:STAB901_04885
ko:K00625	spyo:STAB901_04895
ko:K05847	spyo:STAB901_04910
ko:K05845	spyo:STAB901_04915
ko:K05846	spyo:STAB901_04915
ko:K00364	spyo:STAB901_04920
ko:K03816	spyo:STAB901_04925
ko:K16169	spyo:STAB901_04930
ko:K03734	spyo:STAB901_04935
ko:K02835	spyo:STAB901_04945
ko:K02493	spyo:STAB901_04950
