ko:K01006	lmp:MUO_09580
ko:K07045	lmp:MUO_04610
ko:K01699	lmp:MUO_05960
ko:K22010	lmp:MUO_06055
ko:K11737	lmp:MUO_04190
ko:K15771	lmp:MUO_01435
ko:K11051	lmp:MUO_05210
ko:K05350	lmp:MUO_02035
ko:K11741	lmp:MUO_04525
ko:K11741	lmp:MUO_04530
ko:K09692	lmp:MUO_05625
ko:K18926	lmp:MUO_02850
ko:K00691	lmp:MUO_10890
ko:K00760	lmp:MUO_01240
ko:K14234	lmp:MUO_t14361
ko:K14234	lmp:MUO_t14429
ko:K14233	lmp:MUO_t14377
ko:K14219	lmp:MUO_t14433
ko:K00820	lmp:MUO_03975
ko:K07726	lmp:MUO_04005
ko:K15975	lmp:MUO_04075
ko:K06999	lmp:MUO_04080
ko:K03665	lmp:MUO_04090
ko:K03800	lmp:MUO_04100
ko:K01118	lmp:MUO_04185
ko:K07150	lmp:MUO_04225
ko:K07118	lmp:MUO_04230
ko:K05786	lmp:MUO_04235
ko:K05592	lmp:MUO_04590
ko:K02759	lmp:MUO_04635
ko:K02760	lmp:MUO_04640
ko:K02761	lmp:MUO_04645
ko:K00231	lmp:MUO_04685
ko:K00997	lmp:MUO_04690
ko:K01775	lmp:MUO_04695
ko:K07723	lmp:MUO_04700
ko:K03321	lmp:MUO_04750
ko:K06959	lmp:MUO_04755
ko:K02761	lmp:MUO_04780
ko:K02760	lmp:MUO_04850
ko:K02761	lmp:MUO_04855
ko:K02759	lmp:MUO_04860
ko:K00826	lmp:MUO_05165
ko:K00432	lmp:MUO_05190
ko:K02837	lmp:MUO_05215
ko:K05823	lmp:MUO_05335
ko:K02000	lmp:MUO_05345
ko:K02001	lmp:MUO_05350
ko:K02002	lmp:MUO_05355
ko:K00243	lmp:MUO_05370
ko:K11622	lmp:MUO_05375
ko:K02529	lmp:MUO_05425
ko:K00615	lmp:MUO_05435
ko:K00615	lmp:MUO_05440
ko:K00864	lmp:MUO_05445
ko:K03827	lmp:MUO_05820
ko:K01358	lmp:MUO_05890
ko:K02304	lmp:MUO_05900
ko:K04031	lmp:MUO_05915
ko:K04029	lmp:MUO_05920
ko:K02231	lmp:MUO_05930
ko:K02233	lmp:MUO_05935
ko:K13919	lmp:MUO_05965
ko:K13920	lmp:MUO_05970
ko:K04024	lmp:MUO_06000
ko:K13922	lmp:MUO_06020
ko:K02440	lmp:MUO_06030
ko:K00925	lmp:MUO_06035
ko:K09888	lmp:MUO_06340
ko:K02347	lmp:MUO_06350
ko:K07456	lmp:MUO_06355
ko:K03671	lmp:MUO_06360
ko:K03703	lmp:MUO_06365
ko:K00928	lmp:MUO_06370
ko:K01776	lmp:MUO_06380
ko:K00989	lmp:MUO_06385
ko:K07095	lmp:MUO_06395
ko:K02818	lmp:MUO_06500
ko:K02819	lmp:MUO_06500
ko:K00931	lmp:MUO_06530
ko:K03545	lmp:MUO_06565
ko:K03544	lmp:MUO_06570
ko:K03100	lmp:MUO_06575
ko:K03100	lmp:MUO_06580
ko:K03100	lmp:MUO_06585
ko:K14540	lmp:MUO_06590
ko:K03470	lmp:MUO_06595
ko:K04096	lmp:MUO_06600
ko:K03168	lmp:MUO_06605
ko:K04094	lmp:MUO_06610
ko:K03733	lmp:MUO_06615
ko:K01419	lmp:MUO_06620
ko:K03667	lmp:MUO_06625
ko:K03706	lmp:MUO_06630
ko:K00995	lmp:MUO_07205
ko:K03823	lmp:MUO_07225
ko:K09769	lmp:MUO_07230
ko:K03555	lmp:MUO_07240
ko:K03572	lmp:MUO_07245
ko:K00656	lmp:MUO_07255
ko:K04069	lmp:MUO_07260
ko:K07727	lmp:MUO_07280
ko:K00075	lmp:MUO_07325
ko:K05847	lmp:MUO_07330
ko:K03322	lmp:MUO_07345
ko:K05846	lmp:MUO_07350
ko:K05845	lmp:MUO_07355
ko:K05846	lmp:MUO_07360
ko:K05847	lmp:MUO_07365
ko:K01714	lmp:MUO_07400
ko:K00928	lmp:MUO_07405
ko:K00133	lmp:MUO_07410
ko:K04564	lmp:MUO_07420
ko:K09816	lmp:MUO_07455
ko:K09817	lmp:MUO_07460
ko:K01151	lmp:MUO_07470
ko:K03581	lmp:MUO_07775
ko:K00566	lmp:MUO_07790
ko:K04487	lmp:MUO_07795
ko:K07478	lmp:MUO_07800
ko:K03320	lmp:MUO_07810
ko:K04751	lmp:MUO_07815
ko:K01876	lmp:MUO_07825
ko:K01892	lmp:MUO_07830
ko:K01448	lmp:MUO_07835
ko:K07560	lmp:MUO_07840
ko:K00759	lmp:MUO_07850
ko:K07462	lmp:MUO_07855
ko:K12257	lmp:MUO_07865
ko:K03210	lmp:MUO_07875
ko:K00773	lmp:MUO_07880
ko:K07568	lmp:MUO_07885
ko:K03551	lmp:MUO_07890
ko:K03550	lmp:MUO_07895
ko:K03979	lmp:MUO_07915
ko:K00864	lmp:MUO_07920
ko:K02440	lmp:MUO_07925
ko:K02899	lmp:MUO_07930
ko:K02888	lmp:MUO_07940
ko:K08301	lmp:MUO_07945
ko:K03609	lmp:MUO_07950
ko:K03610	lmp:MUO_07955
ko:K03571	lmp:MUO_07960
ko:K03570	lmp:MUO_07965
ko:K03569	lmp:MUO_07970
ko:K03630	lmp:MUO_07975
ko:K11754	lmp:MUO_07985
ko:K01873	lmp:MUO_07990
ko:K01845	lmp:MUO_07995
ko:K01698	lmp:MUO_08000
ko:K01749	lmp:MUO_08010
ko:K02492	lmp:MUO_08015
ko:K03978	lmp:MUO_08020
ko:K01868	lmp:MUO_08025
ko:K03439	lmp:MUO_08300
ko:K00824	lmp:MUO_08320
ko:K01695	lmp:MUO_08360
ko:K01696	lmp:MUO_08365
ko:K01817	lmp:MUO_08370
ko:K01609	lmp:MUO_08375
ko:K00766	lmp:MUO_08380
ko:K01657	lmp:MUO_08390
ko:K04072	lmp:MUO_08395
ko:K01246	lmp:MUO_08420
ko:K01681	lmp:MUO_08430
ko:K03547	lmp:MUO_08455
ko:K00655	lmp:MUO_08460
ko:K02357	lmp:MUO_08510
ko:K02967	lmp:MUO_08515
ko:K07106	lmp:MUO_08530
ko:K01869	lmp:MUO_08540
ko:K07139	lmp:MUO_08545
ko:K01953	lmp:MUO_08555
ko:K00789	lmp:MUO_08560
ko:K07058	lmp:MUO_08775
ko:K01265	lmp:MUO_08790
ko:K03839	lmp:MUO_08795
ko:K03569	lmp:MUO_08810
ko:K02759	lmp:MUO_08835
ko:K02760	lmp:MUO_08840
ko:K02529	lmp:MUO_08875
ko:K05349	lmp:MUO_08885
ko:K00266	lmp:MUO_08905
ko:K08317	lmp:MUO_08925
ko:K02029	lmp:MUO_08940
