ko:K08153	bthr:YBT1520_04795
ko:K19310	bthr:YBT1520_01900
ko:K18925	bthr:YBT1520_04785
ko:K18924	bthr:YBT1520_04780
ko:K17910	bthr:YBT1520_07995
ko:K19689	bthr:YBT1520_02185
ko:K03297	bthr:YBT1520_02175
ko:K07050	bthr:YBT1520_09510
ko:K07149	bthr:YBT1520_28815
ko:K18926	bthr:YBT1520_05315
ko:K01990	bthr:YBT1520_07895
ko:K01400	bthr:YBT1520_03330
ko:K20107	bthr:YBT1520_02460
ko:K20108	bthr:YBT1520_02460
ko:K07012	bthr:YBT1520_32036
ko:K01992	bthr:YBT1520_19530
ko:K01992	bthr:YBT1520_28795
ko:K19309	bthr:YBT1520_01905
ko:K01990	bthr:YBT1520_09835
ko:K01990	bthr:YBT1520_17165
ko:K01990	bthr:YBT1520_23965
ko:K02479	bthr:YBT1520_12250
ko:K01759	bthr:YBT1520_27815
ko:K21379	bthr:YBT1520_30374
ko:K21379	bthr:YBT1520_10510
ko:K08221	bthr:YBT1520_28660
ko:K22579	bthr:YBT1520_14090
ko:K22579	bthr:YBT1520_14095
ko:K21472	bthr:YBT1520_26465
ko:K21993	bthr:YBT1520_19835
ko:K19302	bthr:YBT1520_16500
ko:K06418	bthr:YBT1520_14040
ko:K19449	bthr:YBT1520_07505
ko:K01436	bthr:YBT1520_07970
ko:K06372	bthr:YBT1520_07510
ko:K21113	bthr:YBT1520_16645
ko:K02476	bthr:YBT1520_03095
ko:K02475	bthr:YBT1520_03100
ko:K03784	bthr:YBT1520_08420
ko:K14205	bthr:YBT1520_08430
ko:K04564	bthr:YBT1520_08445
ko:K06373	bthr:YBT1520_08455
ko:K06374	bthr:YBT1520_08460
ko:K06178	bthr:YBT1520_08465
ko:K07399	bthr:YBT1520_08475
ko:K07775	bthr:YBT1520_08485
ko:K06153	bthr:YBT1520_16230
ko:K07214	bthr:YBT1520_16275
ko:K02338	bthr:YBT1520_16320
ko:K08177	bthr:YBT1520_16335
ko:K00657	bthr:YBT1520_16365
ko:K01126	bthr:YBT1520_16400
ko:K13955	bthr:YBT1520_16505
ko:K01591	bthr:YBT1520_20625
ko:K17828	bthr:YBT1520_20630
ko:K02823	bthr:YBT1520_20635
ko:K01955	bthr:YBT1520_20640
ko:K01956	bthr:YBT1520_20645
ko:K01465	bthr:YBT1520_20650
ko:K00609	bthr:YBT1520_20655
ko:K02824	bthr:YBT1520_20660
ko:K02824	bthr:YBT1520_20665
ko:K02825	bthr:YBT1520_20670
ko:K06180	bthr:YBT1520_20675
ko:K03101	bthr:YBT1520_20680
ko:K01870	bthr:YBT1520_20690
ko:K04074	bthr:YBT1520_20695
ko:K02221	bthr:YBT1520_20705
ko:K09772	bthr:YBT1520_20710
ko:K06997	bthr:YBT1520_20715
ko:K05810	bthr:YBT1520_20720
ko:K03091	bthr:YBT1520_20730
ko:K03091	bthr:YBT1520_20735
ko:K06383	bthr:YBT1520_20740
ko:K03531	bthr:YBT1520_20745
ko:K03589	bthr:YBT1520_20765
ko:K00075	bthr:YBT1520_20770
ko:K02563	bthr:YBT1520_20775
ko:K03588	bthr:YBT1520_20780
ko:K01925	bthr:YBT1520_20785
ko:K01000	bthr:YBT1520_20790
ko:K01928	bthr:YBT1520_20795
ko:K08384	bthr:YBT1520_20805
ko:K08724	bthr:YBT1520_20810
ko:K03438	bthr:YBT1520_20820
ko:K00077	bthr:YBT1520_20830
ko:K02911	bthr:YBT1520_20845
ko:K07040	bthr:YBT1520_20850
ko:K07177	bthr:YBT1520_20860
ko:K07001	bthr:YBT1520_20865
ko:K00763	bthr:YBT1520_24780
ko:K03466	bthr:YBT1520_24785
ko:K01448	bthr:YBT1520_24790
ko:K06878	bthr:YBT1520_24800
ko:K03439	bthr:YBT1520_24835
ko:K01975	bthr:YBT1520_24855
ko:K01439	bthr:YBT1520_24860
ko:K06183	bthr:YBT1520_24870
ko:K07007	bthr:YBT1520_24880
ko:K00034	bthr:YBT1520_24920
ko:K05340	bthr:YBT1520_24925
ko:K03636	bthr:YBT1520_24935
ko:K03635	bthr:YBT1520_24940
ko:K03753	bthr:YBT1520_24945
ko:K03750	bthr:YBT1520_24950
ko:K03637	bthr:YBT1520_24955
ko:K03639	bthr:YBT1520_24965
ko:K00641	bthr:YBT1520_24990
ko:K01869	bthr:YBT1520_25030
ko:K06200	bthr:YBT1520_28885
ko:K08369	bthr:YBT1520_28895
ko:K05946	bthr:YBT1520_28900
ko:K09153	bthr:YBT1520_28940
ko:K12267	bthr:YBT1520_28985
ko:K05339	bthr:YBT1520_28995
ko:K05338	bthr:YBT1520_29000
ko:K07705	bthr:YBT1520_29005
ko:K07704	bthr:YBT1520_29010
ko:K00491	bthr:YBT1520_29025
ko:K04564	bthr:YBT1520_29030
ko:K01784	bthr:YBT1520_29045
ko:K11068	bthr:YBT1520_29050
ko:K00364	bthr:YBT1520_29090
ko:K00783	bthr:YBT1520_29120
ko:K02279	bthr:YBT1520_33656
ko:K02283	bthr:YBT1520_33666
ko:K04763	bthr:YBT1520_33721
ko:K02313	bthr:YBT1520_00005
ko:K02338	bthr:YBT1520_00010
ko:K03629	bthr:YBT1520_00020
ko:K02470	bthr:YBT1520_00025
ko:K02469	bthr:YBT1520_00030
ko:K00088	bthr:YBT1520_00040
ko:K07258	bthr:YBT1520_00045
ko:K06215	bthr:YBT1520_00050
ko:K08681	bthr:YBT1520_00055
ko:K01875	bthr:YBT1520_00060
ko:K15519	bthr:YBT1520_00070
ko:K15518	bthr:YBT1520_00075
ko:K11991	bthr:YBT1520_00085
ko:K02343	bthr:YBT1520_00090
