ko:K03168	bapu:BUMPUSDA_CDS00313
ko:K01092	bapu:BUMPUSDA_CDS00312
ko:K06941	bapu:BUMPUSDA_CDS00311
ko:K01892	bapu:BUMPUSDA_CDS00309
ko:K00600	bapu:BUMPUSDA_CDS00308
ko:K01935	bapu:BUMPUSDA_CDS00307
ko:K01012	bapu:BUMPUSDA_CDS00306
ko:K00833	bapu:BUMPUSDA_CDS00305
ko:K07404	bapu:BUMPUSDA_CDS00304
ko:K03723	bapu:BUMPUSDA_CDS00303
ko:K09808	bapu:BUMPUSDA_CDS00302
ko:K09810	bapu:BUMPUSDA_CDS00301
ko:K09808	bapu:BUMPUSDA_CDS00300
ko:K00134	bapu:BUMPUSDA_CDS00299
ko:K06879	bapu:BUMPUSDA_CDS00298
ko:K03839	bapu:BUMPUSDA_CDS00297
ko:K01669	bapu:BUMPUSDA_CDS00296
ko:K00164	bapu:BUMPUSDA_CDS00294
ko:K00658	bapu:BUMPUSDA_CDS00293
ko:K01834	bapu:BUMPUSDA_CDS00292
ko:K00850	bapu:BUMPUSDA_CDS00291
ko:K02440	bapu:BUMPUSDA_CDS00290
ko:K01803	bapu:BUMPUSDA_CDS00289
ko:K05788	bapu:BUMPUSDA_CDS00288
ko:K02945	bapu:BUMPUSDA_CDS00287
ko:K00800	bapu:BUMPUSDA_CDS00284
ko:K00831	bapu:BUMPUSDA_CDS00283
ko:K01875	bapu:BUMPUSDA_CDS00282
ko:K00384	bapu:BUMPUSDA_CDS00281
ko:K02518	bapu:BUMPUSDA_CDS00280
ko:K01876	bapu:BUMPUSDA_CDS00279
ko:K09816	bapu:BUMPUSDA_CDS00278
ko:K09817	bapu:BUMPUSDA_CDS00277
ko:K00873	bapu:BUMPUSDA_CDS00273
ko:K00036	bapu:BUMPUSDA_CDS00272
ko:K03799	bapu:BUMPUSDA_CDS00271
ko:K03608	bapu:BUMPUSDA_CDS00268
ko:K03609	bapu:BUMPUSDA_CDS00267
ko:K03610	bapu:BUMPUSDA_CDS00266
ko:K00564	bapu:BUMPUSDA_CDS00265
ko:K03286	bapu:BUMPUSDA_CDS00264
ko:K03980	bapu:BUMPUSDA_CDS00263
ko:K01465	bapu:BUMPUSDA_CDS00262
ko:K02399	bapu:BUMPUSDA_CDS00261
ko:K02386	bapu:BUMPUSDA_CDS00260
ko:K02387	bapu:BUMPUSDA_CDS00259
ko:K02388	bapu:BUMPUSDA_CDS00258
ko:K03495	bapu:BUMPUSDA_CDS00584
ko:K02108	bapu:BUMPUSDA_CDS00583
ko:K02110	bapu:BUMPUSDA_CDS00582
ko:K02109	bapu:BUMPUSDA_CDS00581
ko:K02113	bapu:BUMPUSDA_CDS00580
ko:K02111	bapu:BUMPUSDA_CDS00579
ko:K02115	bapu:BUMPUSDA_CDS00578
ko:K02112	bapu:BUMPUSDA_CDS00577
ko:K02114	bapu:BUMPUSDA_CDS00576
