ko:K02888	crt:A355_0161
ko:K00674	crt:A355_018
ko:K00033	crt:A355_042
ko:K02433	crt:A355_048
ko:K02342	crt:A355_0104
ko:K01885	crt:A355_0120
ko:K03386	crt:A355_0136
ko:K00616	crt:A355_0137
ko:K14234	crt:A355_071
ko:K14228	crt:A355_079
ko:K14228	crt:A355_0126
ko:K03086	crt:A355_066
ko:K01693	crt:A355_068
ko:K03687	crt:A355_073
ko:K04043	crt:A355_074
ko:K00215	crt:A355_075
ko:K01956	crt:A355_077
ko:K01955	crt:A355_078
ko:K02519	crt:A355_080
ko:K01866	crt:A355_082
ko:K02988	crt:A355_0169
ko:K02933	crt:A355_0171
ko:K02994	crt:A355_0172
ko:K02954	crt:A355_0173
ko:K02931	crt:A355_0174
ko:K02874	crt:A355_0175
ko:K02961	crt:A355_0176
ko:K02878	crt:A355_0177
ko:K02982	crt:A355_0178
ko:K02890	crt:A355_0179
ko:K02965	crt:A355_0180
ko:K02886	crt:A355_0181
ko:K02926	crt:A355_0182
ko:K02906	crt:A355_0183
ko:K02946	crt:A355_0184
ko:K02358	crt:A355_0185
ko:K02355	crt:A355_0186
ko:K02992	crt:A355_0187
ko:K02950	crt:A355_0188
ko:K03046	crt:A355_0189
ko:K03043	crt:A355_0190
ko:K02935	crt:A355_0191
ko:K02867	crt:A355_0194
ko:K02299	crt:A355_0199
ko:K02298	crt:A355_0200
ko:K02297	crt:A355_0201
ko:K00826	crt:A355_0203
ko:K01462	crt:A355_0204
ko:K01755	crt:A355_0205
ko:K01586	crt:A355_0206
ko:K01778	crt:A355_0207
ko:K01878	crt:A355_0208
ko:K03704	crt:A355_0210
ko:K00052	crt:A355_098
ko:K00133	crt:A355_099
ko:K01875	crt:A355_0100
ko:K01889	crt:A355_0106
ko:K02887	crt:A355_0107
ko:K02520	crt:A355_0109
ko:K04564	crt:A355_0110
ko:K03596	crt:A355_0112
ko:K01626	crt:A355_0113
ko:K06168	crt:A355_0115
ko:K01869	crt:A355_0117
ko:K01902	crt:A355_0118
ko:K01903	crt:A355_0119
ko:K01874	crt:A355_0122
ko:K01940	crt:A355_0124
ko:K01714	crt:A355_0127
ko:K00116	crt:A355_0129
ko:K00928	crt:A355_0132
ko:K01872	crt:A355_0133
ko:K01873	crt:A355_0135
ko:K01867	crt:A355_0141
ko:K02913	crt:A355_0142
ko:K02902	crt:A355_0143
ko:K04567	crt:A355_0145
ko:K02836	crt:A355_0146
ko:K01733	crt:A355_0147
ko:K00003	crt:A355_0148
ko:K02959	crt:A355_0151
ko:K00053	crt:A355_0153
ko:K01652	crt:A355_0155
ko:K06180	crt:A355_0156
ko:K01870	crt:A355_0157
ko:K03979	crt:A355_0159
ko:K02899	crt:A355_0160
ko:K03040	crt:A355_0163
ko:K02986	crt:A355_0164
ko:K02948	crt:A355_0165
ko:K02952	crt:A355_0166
ko:K02919	crt:A355_0167
ko:K02876	crt:A355_0168
ko:K01358	crt:A355_087
ko:K03544	crt:A355_088
ko:K06131	crt:A355_089
ko:K01876	crt:A355_090
ko:K01783	crt:A355_092
ko:K13821	crt:A355_093
ko:K01649	crt:A355_094
ko:K01736	crt:A355_095
ko:K01703	crt:A355_096
ko:K01704	crt:A355_097
ko:K01886	crt:A355_083
ko:K03650	crt:A355_01
ko:K03495	crt:A355_02
ko:K02108	crt:A355_03
ko:K02110	crt:A355_04
ko:K02111	crt:A355_07
ko:K02115	crt:A355_08
ko:K02112	crt:A355_09
ko:K00611	crt:A355_011
ko:K03786	crt:A355_012
ko:K00615	crt:A355_013
ko:K00297	crt:A355_015
ko:K01265	crt:A355_019
ko:K02967	crt:A355_020
ko:K02337	crt:A355_023
ko:K00549	crt:A355_025
ko:K02909	crt:A355_026
ko:K01735	crt:A355_028
ko:K01687	crt:A355_029
ko:K00600	crt:A355_031
ko:K09014	crt:A355_032
ko:K09013	crt:A355_033
ko:K11717	crt:A355_035
ko:K00566	crt:A355_036
ko:K02518	crt:A355_037
ko:K02835	crt:A355_046
ko:K02434	crt:A355_047
ko:K02871	crt:A355_050
ko:K02996	crt:A355_051
ko:K00800	crt:A355_054
ko:K02945	crt:A355_055
ko:K04077	crt:A355_056
ko:K04078	crt:A355_057
ko:K14231	crt:A355_069
ko:K14219	crt:A355_085
ko:K14219	crt:A355_0130
ko:K14226	crt:A355_086
ko:K14233	crt:A355_091
ko:K14233	crt:A355_0131
ko:K14228	crt:A355_0101
ko:K14222	crt:A355_0125
ko:K14229	crt:A355_0128
ko:K01985	crt:A355_0138
ko:K01980	crt:A355_0139
ko:K14225	crt:A355_0196
ko:K14225	crt:A355_039
ko:K14233	crt:A355_040
ko:K14220	crt:A355_043
ko:K14230	crt:A355_044
ko:K14230	crt:A355_0121
ko:K14230	crt:A355_0152
ko:K14237	crt:A355_058
ko:K14221	crt:A355_059
ko:K14218	crt:A355_067
ko:K14223	crt:A355_070
ko:K01977	crt:A355_0140
ko:K14235	crt:A355_0195
ko:K14236	crt:A355_0197
ko:K14227	crt:A355_017
ko:K14224	crt:A355_038
ko:K14232	crt:A355_084
ko:K01956	crt:A355_076
ko:K02884	crt:A355_0149
ko:K03664	crt:A355_072
ko:K02314	crt:A355_062
ko:K02316	crt:A355_065
ko:K03553	crt:A355_0134
