ko:K02495	sej:STMUK_3987
ko:K14221	sej:STMUK_0267
ko:K07497	sej:STMUK_2757
ko:K18138	sej:STMUK_0482
ko:K22507	sej:STMUK_2879
ko:K18923	sej:STMUK_1517
ko:K19504	sej:STMUK_4526
ko:K06148	sej:STMUK_4247
ko:K03297	sej:STMUK_1622
ko:K10014	sej:STMUK_2384
ko:K19595	sej:STMUK_0358
ko:K00385	sej:STMUK_2582
ko:K03757	sej:STMUK_2590
ko:K08475	sej:STMUK_2427
ko:K07017	sej:STMUK_2764
ko:K07793	sej:STMUK_2776
ko:K00135	sej:STMUK_2779
ko:K08478	sej:STMUK_2428
ko:K00845	sej:STMUK_2434
ko:K03647	sej:STMUK_2795
ko:K13287	sej:STMUK_2872
ko:K03743	sej:STMUK_2819
ko:K08305	sej:STMUK_2820
ko:K02783	sej:STMUK_2821
ko:K02782	sej:STMUK_2822
ko:K02783	sej:STMUK_2822
ko:K13285	sej:STMUK_2874
ko:K00068	sej:STMUK_2824
ko:K02466	sej:STMUK_2825
ko:K03087	sej:STMUK_2913
ko:K01885	sej:STMUK_2446
ko:K06897	sej:STMUK_2939
ko:K04765	sej:STMUK_2943
ko:K02784	sej:STMUK_2463
ko:K08483	sej:STMUK_2464
ko:K10762	sej:STMUK_2660
ko:K07052	sej:STMUK_2407
ko:K00647	sej:STMUK_2408
ko:K01782	sej:STMUK_2418
ko:K08476	sej:STMUK_2426
ko:K03475	sej:STMUK_2372
ko:K02822	sej:STMUK_2373
ko:K02821	sej:STMUK_2374
ko:K01092	sej:STMUK_2578
ko:K06889	sej:STMUK_2579
ko:K04488	sej:STMUK_2574
ko:K00616	sej:STMUK_2505
ko:K01439	sej:STMUK_2515
ko:K07054	sej:STMUK_2518
ko:K03548	sej:STMUK_2525
ko:K02824	sej:STMUK_2529
ko:K03803	sej:STMUK_2673
ko:K02549	sej:STMUK_2336
ko:K08680	sej:STMUK_2338
ko:K02552	sej:STMUK_2340
ko:K02348	sej:STMUK_2342
ko:K00784	sej:STMUK_2343
ko:K07114	sej:STMUK_2345
ko:K00088	sej:STMUK_2543
ko:K07308	sej:STMUK_2560
ko:K01011	sej:STMUK_2565
ko:K13628	sej:STMUK_2573
ko:K02782	sej:STMUK_2740
ko:K02783	sej:STMUK_2740
ko:K08093	sej:STMUK_2743
ko:K04652	sej:STMUK_2844
ko:K04655	sej:STMUK_2847
ko:K11604	sej:STMUK_2850
ko:K11607	sej:STMUK_2851
ko:K00380	sej:STMUK_2937
ko:K19555	sej:STMUK_p016
ko:K01990	sej:STMUK_0822
ko:K09690	sej:STMUK_0728
ko:K02226	sej:STMUK_0648
ko:K00971	sej:STMUK_2135
ko:K16013	sej:STMUK_0925
ko:K14062	sej:STMUK_1437
ko:K09476	sej:STMUK_0965
ko:K12340	sej:STMUK_3175
ko:K02345	sej:STMUK_1856
ko:K16012	sej:STMUK_0924
ko:K12543	sej:STMUK_2725
ko:K03417	sej:STMUK_0374
ko:K00932	sej:STMUK_3231
ko:K00632	sej:STMUK_2419
ko:K02083	sej:STMUK_0534
ko:K16347	sej:STMUK_4320
ko:K16348	sej:STMUK_4321
ko:K03111	sej:STMUK_4241
ko:K11902	sej:STMUK_0268
ko:K11895	sej:STMUK_0269
ko:K11896	sej:STMUK_0270
ko:K11897	sej:STMUK_0271
ko:K11898	sej:STMUK_0272
ko:K11907	sej:STMUK_0274
ko:K11901	sej:STMUK_0275
ko:K11900	sej:STMUK_0276
ko:K11903	sej:STMUK_0279
ko:K11903	sej:STMUK_0282
ko:K11906	sej:STMUK_0283
ko:K11893	sej:STMUK_0284
ko:K11892	sej:STMUK_0285
ko:K11891	sej:STMUK_0288
ko:K11890	sej:STMUK_0289
ko:K07347	sej:STMUK_0307
ko:K03271	sej:STMUK_0316
ko:K02346	sej:STMUK_0319
ko:K02340	sej:STMUK_0651
ko:K03643	sej:STMUK_0652
ko:K01869	sej:STMUK_0653
ko:K04045	sej:STMUK_0664
ko:K10004	sej:STMUK_0667
ko:K10002	sej:STMUK_0668
ko:K10003	sej:STMUK_0669
ko:K10001	sej:STMUK_0670
ko:K12542	sej:STMUK_2727
ko:K03820	sej:STMUK_0671
ko:K06189	sej:STMUK_0672
ko:K07042	sej:STMUK_0673
ko:K06168	sej:STMUK_0675
ko:K03184	sej:STMUK_0676
